event_id,event_year,tourney_name,level,start_date,end_date,surface,singles_draw_size,prize_money,prize_money_currency,match_id,round,match_time_total,match_message,match_status,num_sets,winner_flag_raw,score_string,winner_player_name,loser_player_name,winner_seed,loser_seed,winner_country,loser_country,set1_score,set2_score,set3_score,set4_score,set5_score,match_date,serverating_tot_winner,serveratinglink_tot_winner,doublefaults_tot_winner,aces_tot_winner,firstserve_percent_tot_winner,firstserve_dividend_tot_winner,firstserve_divisor_tot_winner,firstservepointswon_percent_tot_winner,firstservepointswon_dividend_tot_winner,firstservepointswon_divisor_tot_winner,secondservepointswon_percent_tot_winner,secondservepointswon_dividend_tot_winner,secondservepointswon_divisor_tot_winner,breakpointssaved_percent_tot_winner,breakpointssaved_dividend_tot_winner,breakpointssaved_divisor_tot_winner,servicegamesplayed_tot_winner,serverating_tot_loser,serveratinglink_tot_loser,doublefaults_tot_loser,aces_tot_loser,firstserve_percent_tot_loser,firstserve_dividend_tot_loser,firstserve_divisor_tot_loser,firstservepointswon_percent_tot_loser,firstservepointswon_dividend_tot_loser,firstservepointswon_divisor_tot_loser,secondservepointswon_percent_tot_loser,secondservepointswon_dividend_tot_loser,secondservepointswon_divisor_tot_loser,breakpointssaved_percent_tot_loser,breakpointssaved_dividend_tot_loser,breakpointssaved_divisor_tot_loser,servicegamesplayed_tot_loser,totalservicepointswon_percent_tot_winner,totalservicepointswon_dividend_tot_winner,totalservicepointswon_divisor_tot_winner,totalreturnpointswon_percent_tot_winner,totalreturnpointswon_dividend_tot_winner,totalreturnpointswon_divisor_tot_winner,totalpointswon_percent_tot_winner,totalpointswon_dividend_tot_winner,totalpointswon_divisor_tot_winner,totalservicepointswon_percent_tot_loser,totalservicepointswon_dividend_tot_loser,totalservicepointswon_divisor_tot_loser,totalreturnpointswon_percent_tot_loser,totalreturnpointswon_dividend_tot_loser,totalreturnpointswon_divisor_tot_loser,totalpointswon_percent_tot_loser,totalpointswon_dividend_tot_loser,totalpointswon_divisor_tot_loser,winner_flag,tiebreak_set2_winner,tiebreak_set2_loser,tiebreak_set3_winner,tiebreak_set3_loser,doublefaults_isstatbetter_tot_winner,secondservepointswon_isstatbetter_tot_loser,tiebreak_set1_winner,tiebreak_set1_loser,player_winner,player_loser,player_id_winner,player_id_loser,country_winner,country_loser,seed_winner,seed_loser
338,1996,Sydney,GP,1996-01-08T00:00:00,1996-01-14T00:00:00,Hard,32,303000,$,MS021,R32,00:53:00,,F,2,S331,"6-2,6-3",J. Stoltenberg,F. Dewulf,,,AUS,BEL,6-2,6-3,,,,00:53:00,286,/en/stats/leaderboard?page=serve,2,4,59,29,49,72,21,29,65,13,20,0,0,1,9,207,/en/stats/leaderboard?page=serve,4,1,50,21,42,81,17,21,29,6,21,20,1,5,8,69,34,49,45,19,42,58,53,91,55,23,42,31,15,49,42,38,91,A,,,,,,,,,J. Stoltenberg,F. Dewulf,S331,D228,AUS,BEL,,
338,1996,Sydney,GP,1996-01-08T00:00:00,1996-01-14T00:00:00,Hard,32,303000,$,MS022,R32,01:35:00,,F,2,W136,"7-6(7),7-6(7)",T. Woodbridge,D. Vacek,,,AUS,CZE,7-6(7),7-6(7),,,,01:35:00,278,/en/stats/leaderboard?page=serve,3,2,55,42,77,67,28,42,74,26,35,60,3,5,12,264,/en/stats/leaderboard?page=serve,5,6,64,55,86,71,39,55,45,14,31,60,3,5,12,70,54,77,38,33,86,53,87,163,62,53,86,30,23,77,47,76,163,A,7,3,,,,,7,3,T. Woodbridge,D. Vacek,W136,V141,AUS,CZE,,
338,1996,Sydney,GP,1996-01-08T00:00:00,1996-01-14T00:00:00,Hard,32,303000,$,MS023,R32,01:22:00,,F,2,L226,"6-4,7-5",S. Lareau,J. Siemerink,,,CAN,NED,6-4,7-5,,,,01:22:00,259,/en/stats/leaderboard?page=serve,5,2,58,34,59,71,24,34,52,13,25,33,1,3,11,226,/en/stats/leaderboard?page=serve,5,4,53,37,70,59,22,37,52,17,33,67,8,12,11,63,37,59,44,31,70,53,68,129,56,39,70,37,22,59,47,61,129,A,,,,,,,,,S. Lareau,J. Siemerink,L226,S381,CAN,NED,,
338,1996,Sydney,GP,1996-01-08T00:00:00,1996-01-14T00:00:00,Hard,32,303000,$,MS024,R32,01:05:00,,F,2,M442,"6-1,6-2",T. Martin,M. Sinner,,,USA,GER,6-1,6-2,,,,01:05:00,273,/en/stats/leaderboard?page=serve,2,5,41,17,41,94,16,17,50,12,24,67,2,3,7,155,/en/stats/leaderboard?page=serve,7,2,48,29,60,55,16,29,32,10,31,40,4,10,8,68,28,41,57,34,60,61,62,101,43,26,60,32,13,41,39,39,101,A,,,,,,,,,T. Martin,M. Sinner,M442,S367,USA,GER,,
338,1996,Sydney,GP,1996-01-08T00:00:00,1996-01-14T00:00:00,Hard,32,303000,$,MS025,R32,02:04:00,,F,3,C179,"6-4,5-7,6-4",C. Costa,B. Ulihrach,,,ESP,CZE,6-4,5-7,6-4,,,02:04:00,217,/en/stats/leaderboard?page=serve,6,4,38,37,98,73,27,37,46,28,61,60,9,15,16,203,/en/stats/leaderboard?page=serve,9,2,48,49,102,59,29,49,47,25,53,56,9,16,16,56,55,98,47,48,102,52,103,200,53,54,102,44,43,98,49,97,200,A,,,,,,,,,C. Costa,B. Ulihrach,C179,U032,ESP,CZE,,
338,1996,Sydney,GP,1996-01-08T00:00:00,1996-01-14T00:00:00,Hard,32,303000,$,MS026,R32,02:16:00,,F,3,M048,"6-2,4-6,6-4",P. McEnroe,B. Karbacher,,,USA,GER,6-2,4-6,6-4,,,02:16:00,281,/en/stats/leaderboard?page=serve,3,3,67,56,83,73,41,56,56,15,27,71,5,7,14,254,/en/stats/leaderboard?page=serve,1,17,54,59,110,76,45,59,37,19,51,78,14,18,14,67,56,83,42,46,110,53,102,193,58,64,110,33,27,83,47,91,193,A,,,,,,,,,P. McEnroe,B. Karbacher,M048,K190,USA,GER,,
338,1996,Sydney,GP,1996-01-08T00:00:00,1996-01-14T00:00:00,Hard,32,303000,$,MS027,R32,01:54:00,,F,3,F164,"4-6,6-3,6-3",R. Fromberg,A. Boetsch,,,AUS,FRA,4-6,6-3,6-3,,,01:54:00,302,/en/stats/leaderboard?page=serve,2,10,62,48,78,77,37,48,63,19,30,75,3,4,14,255,/en/stats/leaderboard?page=serve,1,1,59,71,121,54,38,71,64,32,50,80,12,15,14,72,56,78,42,51,121,54,107,199,58,70,121,28,22,78,46,92,199,A,,,,,,,,,R. Fromberg,A. Boetsch,F164,B053,AUS,FRA,,
338,1996,Sydney,GP,1996-01-08T00:00:00,1996-01-14T00:00:00,Hard,32,303000,$,MS028,R32,01:20:00,,F,2,F192,"6-1,7-6(7)",R. Furlan,M. Rios,,,ITA,CHI,6-1,7-6(7),,,,01:20:00,270,/en/stats/leaderboard?page=serve,,8,51,35,69,66,23,35,65,22,34,60,3,5,10,207,/en/stats/leaderboard?page=serve,1,1,53,34,64,62,21,34,37,11,30,64,7,11,9,65,45,69,50,32,64,58,77,133,50,32,64,35,24,69,42,56,133,A,7,4,,,False,,,,R. Furlan,M. Rios,F192,R286,ITA,CHI,,
338,1996,Sydney,GP,1996-01-08T00:00:00,1996-01-14T00:00:00,Hard,32,303000,$,MS029,R32,02:02:00,,F,3,D270,"4-6,6-2,7-5",S. Draper,B. Black,,,AUS,ZIM,4-6,6-2,7-5,,,02:02:00,248,/en/stats/leaderboard?page=serve,4,11,47,41,87,73,30,41,48,22,46,50,4,8,15,229,/en/stats/leaderboard?page=serve,4,1,63,69,109,61,42,69,48,19,40,67,12,18,15,60,52,87,44,48,109,51,100,196,56,61,109,40,35,87,49,96,196,A,,,,,,,,,S. Draper,B. Black,D270,B397,AUS,ZIM,,
338,1996,Sydney,GP,1996-01-08T00:00:00,1996-01-14T00:00:00,Hard,32,303000,$,MS030,R32,01:06:00,,F,2,A183,"6-1,6-4",C. Arriens,P. Kilderry,,,GER,AUS,6-1,6-4,,,,01:06:00,184,/en/stats/leaderboard?page=serve,3,4,41,23,56,78,18,23,64,21,33,0,0,,9,231,/en/stats/leaderboard?page=serve,1,1,55,27,49,59,16,27,55,12,22,63,5,8,8,70,39,56,43,21,49,57,60,105,57,28,49,30,17,56,43,45,105,A,,,,,,,,,C. Arriens,P. Kilderry,A183,K244,GER,AUS,,
338,1996,Sydney,GP,1996-01-08T00:00:00,1996-01-14T00:00:00,Hard,32,303000,$,MS031,R32,01:35:00,,F,2,R237,"7-6(7),7-6(8)",G. Rusedski,R. Krajicek,,,GBR,NED,7-6(7),7-6(8),,,,01:35:00,270,/en/stats/leaderboard?page=serve,3,9,60,52,86,77,40,52,44,15,34,67,4,6,12,258,/en/stats/leaderboard?page=serve,5,9,58,53,91,79,42,53,34,13,38,71,5,7,12,64,55,86,40,36,91,51,91,177,60,55,91,36,31,86,49,86,177,A,8,6,,,,,7,4,G. Rusedski,R. Krajicek,R237,K214,GBR,NED,,
