event_id,event_year,tourney_name,level,start_date,end_date,surface,singles_draw_size,prize_money,prize_money_currency,match_id,round,match_time_total,match_message,match_status,num_sets,winner_flag_raw,score_string,winner_player_name,loser_player_name,winner_seed,loser_seed,winner_country,loser_country,set1_score,set2_score,set3_score,set4_score,set5_score,match_date,tiebreak_set1_winner,tiebreak_set1_loser,tiebreak_set2_winner,tiebreak_set2_loser,tiebreak_set3_winner,tiebreak_set3_loser,serverating_tot_winner,serveratinglink_tot_winner,doublefaults_isstatbetter_tot_winner,aces_tot_winner,firstserve_percent_tot_winner,firstserve_dividend_tot_winner,firstserve_divisor_tot_winner,firstservepointswon_percent_tot_winner,firstservepointswon_dividend_tot_winner,firstservepointswon_divisor_tot_winner,secondservepointswon_percent_tot_winner,secondservepointswon_dividend_tot_winner,secondservepointswon_divisor_tot_winner,breakpointssaved_percent_tot_winner,breakpointssaved_dividend_tot_winner,breakpointssaved_divisor_tot_winner,servicegamesplayed_tot_winner,serverating_tot_loser,serveratinglink_tot_loser,doublefaults_tot_loser,aces_tot_loser,firstserve_percent_tot_loser,firstserve_dividend_tot_loser,firstserve_divisor_tot_loser,firstservepointswon_percent_tot_loser,firstservepointswon_dividend_tot_loser,firstservepointswon_divisor_tot_loser,secondservepointswon_percent_tot_loser,secondservepointswon_dividend_tot_loser,secondservepointswon_divisor_tot_loser,breakpointssaved_percent_tot_loser,breakpointssaved_dividend_tot_loser,breakpointssaved_divisor_tot_loser,servicegamesplayed_tot_loser,totalservicepointswon_percent_tot_winner,totalservicepointswon_dividend_tot_winner,totalservicepointswon_divisor_tot_winner,totalreturnpointswon_percent_tot_winner,totalreturnpointswon_dividend_tot_winner,totalreturnpointswon_divisor_tot_winner,totalpointswon_percent_tot_winner,totalpointswon_dividend_tot_winner,totalpointswon_divisor_tot_winner,totalservicepointswon_percent_tot_loser,totalservicepointswon_dividend_tot_loser,totalservicepointswon_divisor_tot_loser,totalreturnpointswon_percent_tot_loser,totalreturnpointswon_dividend_tot_loser,totalreturnpointswon_divisor_tot_loser,totalpointswon_percent_tot_loser,totalpointswon_dividend_tot_loser,totalpointswon_divisor_tot_loser,winner_flag,doublefaults_tot_winner,doublefaults_isstatbetter_tot_loser,player_winner,player_loser,player_id_winner,player_id_loser,country_winner,country_loser,seed_winner,seed_loser
317,1997,Amsterdam,GP,1997-07-28T00:00:00,1997-08-03T00:00:00,Clay,32,475000,$,MS012,R16,02:46:00,,F,3,S015,"4-6,6-4,7-6(7)",J. Sanchez,H. Gumy,,,ESP,ARG,4-6,6-4,7-6(7),,,02:46:00,,,,,7,5,230,/en/stats/leaderboard?page=serve,,3,66,73,111,64,47,73,45,17,38,59,10,17,16,216,/en/stats/leaderboard?page=serve,5,2,58,71,123,59,42,71,46,24,52,56,9,16,16,58,64,111,46,57,123,52,121,234,54,66,123,42,47,111,48,113,234,A,4,,J. Sanchez,H. Gumy,S015,G247,ESP,ARG,,
317,1997,Amsterdam,GP,1997-07-28T00:00:00,1997-08-03T00:00:00,Clay,32,475000,$,MS013,R16,01:39:00,,F,3,F165,"6-3,3-6,6-0",M. Filippini,K. Alami,,,URU,MAR,6-3,3-6,6-0,,,01:39:00,,,,,,,276,/en/stats/leaderboard?page=serve,,0,76,64,84,64,41,64,55,11,20,71,5,7,12,214,/en/stats/leaderboard?page=serve,3,2,55,38,69,63,24,38,39,12,31,29,2,7,12,62,52,84,48,33,69,56,85,153,52,36,69,38,32,84,44,68,153,A,2,,M. Filippini,K. Alami,F165,A203,URU,MAR,,
317,1997,Amsterdam,GP,1997-07-28T00:00:00,1997-08-03T00:00:00,Clay,32,475000,$,MS014,R16,01:42:00,,F,2,D198,"7-5,7-6(9)",S. Dosedel,H. Arazi,,,CZE,MAR,7-5,7-6(9),,,,01:42:00,,,9,7,,,289,/en/stats/leaderboard?page=serve,,6,66,46,70,78,36,46,58,14,24,50,2,4,12,240,/en/stats/leaderboard?page=serve,8,5,62,61,99,72,44,61,34,13,38,75,9,12,12,71,50,70,42,42,99,54,92,169,58,57,99,29,20,70,46,77,169,A,2,,S. Dosedel,H. Arazi,D198,A226,CZE,MAR,,
317,1997,Amsterdam,GP,1997-07-28T00:00:00,1997-08-03T00:00:00,Clay,32,475000,$,MS015,R16,01:09:00,,F,2,V201,"6-0,7-6(7)",J. van Lottum,D. van Scheppingen,,,NED,NED,6-0,7-6(7),,,,01:09:00,,,7,5,,,290,/en/stats/leaderboard?page=serve,False,7,48,25,52,88,22,25,59,16,27,67,2,3,9,211,/en/stats/leaderboard?page=serve,6,5,59,40,68,73,29,40,25,7,28,56,5,9,9,73,38,52,47,32,68,58,70,120,53,36,68,27,14,52,42,50,120,A,,,J. van Lottum,D. van Scheppingen,V201,S559,NED,NED,,
317,1997,Amsterdam,GP,1997-07-28T00:00:00,1997-08-03T00:00:00,Clay,32,475000,$,MS016,R32,01:07:00,,F,2,M605,"6-4,6-4",C. Moya,G. Carraz,,,ESP,FRA,6-4,6-4,,,,01:07:00,,,,,,,298,/en/stats/leaderboard?page=serve,False,3,70,39,56,82,32,39,53,9,17,75,3,4,10,235,/en/stats/leaderboard?page=serve,5,6,48,32,66,72,23,32,44,15,34,50,3,6,10,73,41,56,42,28,66,57,69,122,58,38,66,27,15,56,43,53,122,A,,,C. Moya,G. Carraz,M605,C400,ESP,FRA,,
317,1997,Amsterdam,GP,1997-07-28T00:00:00,1997-08-03T00:00:00,Clay,32,475000,$,MS017,R32,01:32:00,,F,2,V195,"6-3,7-6(7)",F. Vicente,P. Haarhuis,,,ESP,NED,6-3,7-6(7),,,,01:32:00,,,7,3,,,248,/en/stats/leaderboard?page=serve,,1,66,50,76,66,33,50,46,12,26,63,5,8,11,222,/en/stats/leaderboard?page=serve,1,3,59,40,68,58,23,40,43,12,28,43,3,7,10,59,45,76,49,33,68,54,78,144,51,35,68,41,31,76,46,66,144,A,3,,F. Vicente,P. Haarhuis,V195,H223,ESP,NED,,
317,1997,Amsterdam,GP,1997-07-28T00:00:00,1997-08-03T00:00:00,Clay,32,475000,$,MS018,R32,01:35:00,,F,3,A190,"6-3,3-6,4-0",E. Benfele Alvarez,G. Blanco,,,ESP,ESP,6-3,3-6,4-0,,,01:35:00,,,,,,,251,/en/stats/leaderboard?page=serve,,6,52,32,61,81,26,32,45,13,29,63,5,8,12,211,/en/stats/leaderboard?page=serve,4,3,54,45,83,62,28,45,42,16,38,67,10,15,11,64,39,61,47,39,83,54,78,144,53,44,83,36,22,61,46,66,144,A,8,,E. Benfele Alvarez,G. Blanco,A190,B518,ESP,ESP,,
317,1997,Amsterdam,GP,1997-07-28T00:00:00,1997-08-03T00:00:00,Clay,32,475000,$,MS019,R32,01:26:00,,F,2,C252,"6-3,7-5",F. Clavet,L. Nemecek,,,ESP,CZE,6-3,7-5,,,,01:26:00,,,,,,,218,/en/stats/leaderboard?page=serve,,0,61,39,64,64,25,39,36,9,25,50,4,8,10,186,/en/stats/leaderboard?page=serve,4,0,79,56,71,48,27,56,27,4,15,22,2,9,11,53,34,64,56,40,71,55,74,135,44,31,71,47,30,64,45,61,135,A,3,,F. Clavet,L. Nemecek,C252,N110,ESP,CZE,,
317,1997,Amsterdam,GP,1997-07-28T00:00:00,1997-08-03T00:00:00,Clay,32,475000,$,MS020,R32,01:45:00,,F,3,N250,"5-7,6-1,6-0",M. Norman,D. Hrbaty,,,SWE,SVK,5-7,6-1,6-0,,,01:45:00,,,,,,,261,/en/stats/leaderboard?page=serve,,7,47,43,91,67,29,43,58,28,48,75,6,8,12,190,/en/stats/leaderboard?page=serve,6,4,49,39,79,64,25,39,33,13,40,36,4,11,13,63,57,91,52,41,79,58,98,170,48,38,79,37,34,91,42,72,170,A,1,,M. Norman,D. Hrbaty,N250,H377,SWE,SVK,,
317,1997,Amsterdam,GP,1997-07-28T00:00:00,1997-08-03T00:00:00,Clay,32,475000,$,MS021,R32,01:17:00,,F,2,G182,"6-3,6-3",M. Gustafsson,S. Schalken,,,SWE,NED,6-3,6-3,,,,01:17:00,,,,,,,282,/en/stats/leaderboard?page=serve,,6,60,34,57,76,26,34,57,13,23,80,4,5,9,213,/en/stats/leaderboard?page=serve,3,1,55,34,62,59,20,34,46,13,28,60,6,10,9,68,39,57,47,29,62,57,68,119,53,33,62,32,18,57,43,51,119,A,5,,M. Gustafsson,S. Schalken,G182,S572,SWE,NED,,
317,1997,Amsterdam,GP,1997-07-28T00:00:00,1997-08-03T00:00:00,Clay,32,475000,$,MS022,R32,01:34:00,,F,2,R219,"6-4,6-4",C. Ruud,R. Furlan,,,NOR,ITA,6-4,6-4,,,,01:34:00,,,,,,,262,/en/stats/leaderboard?page=serve,,3,60,35,58,69,24,35,52,12,23,0,0,2,10,219,/en/stats/leaderboard?page=serve,4,5,53,44,83,59,26,44,46,18,39,60,6,10,10,62,36,58,47,39,83,53,75,141,53,44,83,38,22,58,47,66,141,A,2,,C. Ruud,R. Furlan,R219,F192,NOR,ITA,,
317,1997,Amsterdam,GP,1997-07-28T00:00:00,1997-08-03T00:00:00,Clay,32,475000,$,MS023,R32,01:53:00,,F,3,D249,"4-6,6-4,6-3",H. Dreekmann,B. Ulihrach,,,GER,CZE,4-6,6-4,6-3,,,01:53:00,,,,,,,255,/en/stats/leaderboard?page=serve,,5,56,58,104,69,40,58,50,23,46,63,5,8,15,240,/en/stats/leaderboard?page=serve,6,4,50,44,88,64,28,44,57,25,44,64,7,11,14,61,63,104,40,35,88,51,98,192,60,53,88,39,41,104,49,94,192,A,5,,H. Dreekmann,B. Ulihrach,D249,U032,GER,CZE,,
