event_id,event_year,tourney_name,level,start_date,end_date,surface,singles_draw_size,prize_money,prize_money_currency,match_id,round,match_time_total,match_message,match_status,num_sets,winner_flag_raw,score_string,winner_player_name,loser_player_name,winner_seed,loser_seed,winner_country,loser_country,set1_score,set2_score,set3_score,set4_score,set5_score,match_date,serverating_tot_winner,serveratinglink_tot_winner,doublefaults_isstatbetter_tot_winner,aces_tot_winner,firstserve_percent_tot_winner,firstserve_dividend_tot_winner,firstserve_divisor_tot_winner,firstservepointswon_percent_tot_winner,firstservepointswon_dividend_tot_winner,firstservepointswon_divisor_tot_winner,secondservepointswon_divisor_tot_winner,secondservepointswon_isstatbetter_tot_winner,breakpointssaved_percent_tot_winner,breakpointssaved_dividend_tot_winner,breakpointssaved_divisor_tot_winner,servicegamesplayed_tot_winner,serverating_tot_loser,serveratinglink_tot_loser,doublefaults_tot_loser,aces_tot_loser,firstserve_percent_tot_loser,firstserve_dividend_tot_loser,firstserve_divisor_tot_loser,firstservepointswon_percent_tot_loser,firstservepointswon_dividend_tot_loser,firstservepointswon_divisor_tot_loser,secondservepointswon_percent_tot_loser,secondservepointswon_dividend_tot_loser,secondservepointswon_divisor_tot_loser,breakpointssaved_percent_tot_loser,breakpointssaved_dividend_tot_loser,breakpointssaved_divisor_tot_loser,servicegamesplayed_tot_loser,totalservicepointswon_dividend_tot_winner,totalreturnpointswon_percent_tot_winner,totalreturnpointswon_dividend_tot_winner,totalreturnpointswon_divisor_tot_winner,totalpointswon_dividend_tot_winner,totalservicepointswon_percent_tot_loser,totalservicepointswon_dividend_tot_loser,totalservicepointswon_divisor_tot_loser,totalreturnpointswon_dividend_tot_loser,totalpointswon_dividend_tot_loser,winner_flag,doublefaults_tot_winner,secondservepointswon_percent_tot_winner,secondservepointswon_dividend_tot_winner,doublefaults_isstatbetter_tot_loser,totalservicepointswon_percent_tot_winner,totalservicepointswon_divisor_tot_winner,totalpointswon_percent_tot_winner,totalpointswon_divisor_tot_winner,totalreturnpointswon_percent_tot_loser,totalreturnpointswon_divisor_tot_loser,totalpointswon_percent_tot_loser,totalpointswon_divisor_tot_loser,tiebreak_set1_winner,tiebreak_set1_loser,tiebreak_set3_winner,tiebreak_set3_loser,tiebreak_set2_winner,tiebreak_set2_loser,player_winner,player_loser,player_id_winner,player_id_loser,country_winner,country_loser,seed_winner,seed_loser
403,1996,ATP Masters 1000 Miami,1000,1996-03-18T00:00:00,1996-03-31T00:00:00,Hard,96,2300000,$,MS021,R32,01:08:00,,F,2,L226,"6-3,6-1",S. Lareau,A. Costa,,,CAN,ESP,6-3,6-1,,,,01:08:00,243,/en/stats/leaderboard?page=serve,,3,56,34,61,76,26,34,27,,,0,,8,213,/en/stats/leaderboard?page=serve,3,3,68,40,59,58,23,40,37,7,19,50,4,8,8,40,49,29,59,69,51,30,59,21,51,A,6,52,14,,66,61,58,120,34,61,43,120,,,,,,,S. Lareau,A. Costa,L226,C378,CAN,ESP,,
403,1996,ATP Masters 1000 Miami,1000,1996-03-18T00:00:00,1996-03-31T00:00:00,Hard,96,2300000,$,MS022,R32,02:24:00,,F,3,R214,"7-5,5-7,7-6(7)",M. Rosset,T. Woodbridge,,,SUI,AUS,7-5,5-7,7-6(7),,,02:24:00,241,/en/stats/leaderboard?page=serve,,12,51,53,104,72,38,53,51,,50,6,12,18,234,/en/stats/leaderboard?page=serve,9,3,59,66,112,65,43,66,50,23,46,40,4,10,18,62,41,46,112,108,59,66,112,42,108,A,7,47,24,,60,104,50,216,40,104,50,216,,,7,4,,,M. Rosset,T. Woodbridge,R214,W136,SUI,AUS,,
403,1996,ATP Masters 1000 Miami,1000,1996-03-18T00:00:00,1996-03-31T00:00:00,Hard,96,2300000,$,MS023,R32,00:53:00,,F,2,J100,"6-0,6-2",M. Joyce,D. Nainkin,,,USA,RSA,6-0,6-2,,,,00:53:00,272,/en/stats/leaderboard?page=serve,,2,56,27,48,74,20,27,21,,,0,,7,145,/en/stats/leaderboard?page=serve,5,0,42,18,43,56,10,18,24,6,25,29,2,7,7,32,63,27,43,59,37,16,43,16,32,A,2,57,12,,67,48,65,91,33,48,35,91,,,,,,,M. Joyce,D. Nainkin,J100,N101,USA,RSA,,
403,1996,ATP Masters 1000 Miami,1000,1996-03-18T00:00:00,1996-03-31T00:00:00,Hard,96,2300000,$,MS024,R32,00:46:00,,F,2,I034,"6-0,6-3",G. Ivanisevic,J. Sanchez,,,CRO,ESP,6-0,6-3,,,,00:46:00,284,/en/stats/leaderboard?page=serve,,13,55,23,42,87,20,23,19,,0,0,1,8,162,/en/stats/leaderboard?page=serve,2,2,58,28,48,46,13,28,30,6,20,38,3,8,7,29,60,29,48,58,40,19,48,13,32,A,5,47,9,,69,42,64,90,31,42,36,90,,,,,,,G. Ivanisevic,J. Sanchez,I034,S015,CRO,ESP,,
403,1996,ATP Masters 1000 Miami,1000,1996-03-18T00:00:00,1996-03-31T00:00:00,Hard,96,2300000,$,MS025,R32,01:02:00,,F,2,M475,"6-2,6-2",A. Medvedev,C. Pioline,,,UKR,FRA,6-2,6-2,,,,01:02:00,277,/en/stats/leaderboard?page=serve,,8,67,31,46,81,25,31,15,,,0,,8,202,/en/stats/leaderboard?page=serve,1,0,57,31,54,48,15,31,48,11,23,33,2,6,8,34,52,28,54,62,48,26,54,12,38,A,1,60,9,,74,46,62,100,26,46,38,100,,,,,,,A. Medvedev,C. Pioline,M475,P226,UKR,FRA,,
403,1996,ATP Masters 1000 Miami,1000,1996-03-18T00:00:00,1996-03-31T00:00:00,Hard,96,2300000,$,MS026,R32,01:53:00,,F,3,K148,"6-4,6-7(4),6-4",P. Korda,M. Rios,,,CZE,CHI,6-4,6-7(4),6-4,,,01:53:00,266,/en/stats/leaderboard?page=serve,,7,59,60,102,73,44,60,42,,57,4,7,16,233,/en/stats/leaderboard?page=serve,4,5,48,49,102,69,34,49,47,25,53,55,6,11,16,65,42,43,102,108,58,59,102,37,96,A,4,50,21,,64,102,53,204,36,102,47,204,,,,,4,7,P. Korda,M. Rios,K148,R286,CZE,CHI,,
403,1996,ATP Masters 1000 Miami,1000,1996-03-18T00:00:00,1996-03-31T00:00:00,Hard,96,2300000,$,MS027,R32,01:10:00,,F,2,C274,"6-3,6-2",M. Chang,J. Bjorkman,,,USA,SWE,6-3,6-2,,,,01:10:00,234,/en/stats/leaderboard?page=serve,,2,53,28,53,61,17,28,25,,57,4,7,9,146,/en/stats/leaderboard?page=serve,,0,40,19,48,47,9,19,34,10,29,33,3,9,8,31,60,29,48,60,40,19,48,22,41,A,4,56,14,False,58,53,59,101,42,53,41,101,,,,,,,M. Chang,J. Bjorkman,C274,B446,USA,SWE,,
403,1996,ATP Masters 1000 Miami,1000,1996-03-18T00:00:00,1996-03-31T00:00:00,Hard,96,2300000,$,MS028,R32,01:30:00,,F,2,S544,"7-5,6-2",V. Spadea,S. Pescosolido,,,USA,ITA,7-5,6-2,,,,01:30:00,245,/en/stats/leaderboard?page=serve,,1,66,49,74,61,30,49,25,,57,4,7,10,183,/en/stats/leaderboard?page=serve,4,2,54,36,67,56,20,36,35,11,31,40,4,10,10,42,54,36,67,78,46,31,67,32,63,A,1,48,12,,57,74,55,141,43,74,45,141,,,,,,,V. Spadea,S. Pescosolido,S544,P235,USA,ITA,,
403,1996,ATP Masters 1000 Miami,1000,1996-03-18T00:00:00,1996-03-31T00:00:00,Hard,96,2300000,$,MS029,R32,01:22:00,,F,2,K214,"7-5,7-6(7)",R. Krajicek,S. Bruguera,,,NED,ESP,7-5,7-6(7),,,,01:22:00,300,/en/stats/leaderboard?page=serve,,18,54,40,74,83,33,40,34,,75,3,4,12,272,/en/stats/leaderboard?page=serve,4,8,55,47,85,72,34,47,58,22,38,83,10,12,12,53,34,29,85,82,66,56,85,21,77,A,5,59,20,,72,74,52,159,28,74,48,159,,,,,7,5,R. Krajicek,S. Bruguera,K214,B350,NED,ESP,,
403,1996,ATP Masters 1000 Miami,1000,1996-03-18T00:00:00,1996-03-31T00:00:00,Hard,96,2300000,$,MS030,R32,01:03:00,,F,2,M442,"6-3,6-2",T. Martin,R. Furlan,,,USA,ITA,6-3,6-2,,,,01:03:00,287,/en/stats/leaderboard?page=serve,,6,54,27,50,81,22,27,23,,0,0,1,9,206,/en/stats/leaderboard?page=serve,2,5,54,28,52,61,17,28,38,9,24,56,5,9,8,36,50,26,52,62,50,26,52,14,40,A,3,61,14,,72,50,61,102,28,50,39,102,,,,,,,T. Martin,R. Furlan,M442,F192,USA,ITA,,
