event_id,event_year,tourney_name,level,start_date,end_date,surface,singles_draw_size,prize_money,prize_money_currency,match_id,round,match_time_total,match_message,match_status,num_sets,winner_flag_raw,score_string,winner_player_name,loser_player_name,winner_seed,loser_seed,winner_country,loser_country,set1_score,set2_score,set3_score,set4_score,set5_score,match_date,serverating_tot_winner,serveratinglink_tot_winner,doublefaults_isstatbetter_tot_winner,aces_tot_winner,firstserve_percent_tot_winner,firstserve_dividend_tot_winner,firstserve_divisor_tot_winner,firstservepointswon_percent_tot_winner,firstservepointswon_dividend_tot_winner,firstservepointswon_divisor_tot_winner,secondservepointswon_percent_tot_winner,secondservepointswon_dividend_tot_winner,secondservepointswon_divisor_tot_winner,breakpointssaved_percent_tot_winner,breakpointssaved_dividend_tot_winner,breakpointssaved_divisor_tot_winner,servicegamesplayed_tot_winner,serverating_tot_loser,serveratinglink_tot_loser,doublefaults_tot_loser,aces_tot_loser,firstserve_percent_tot_loser,firstserve_dividend_tot_loser,firstserve_divisor_tot_loser,firstservepointswon_percent_tot_loser,firstservepointswon_dividend_tot_loser,firstservepointswon_divisor_tot_loser,secondservepointswon_percent_tot_loser,secondservepointswon_dividend_tot_loser,secondservepointswon_divisor_tot_loser,breakpointssaved_percent_tot_loser,breakpointssaved_dividend_tot_loser,breakpointssaved_divisor_tot_loser,servicegamesplayed_tot_loser,totalservicepointswon_percent_tot_winner,totalservicepointswon_dividend_tot_winner,totalservicepointswon_divisor_tot_winner,totalreturnpointswon_percent_tot_winner,totalreturnpointswon_dividend_tot_winner,totalreturnpointswon_divisor_tot_winner,totalpointswon_percent_tot_winner,totalpointswon_dividend_tot_winner,totalpointswon_divisor_tot_winner,totalservicepointswon_percent_tot_loser,totalservicepointswon_dividend_tot_loser,totalservicepointswon_divisor_tot_loser,totalreturnpointswon_percent_tot_loser,totalreturnpointswon_dividend_tot_loser,totalreturnpointswon_divisor_tot_loser,totalpointswon_percent_tot_loser,totalpointswon_dividend_tot_loser,totalpointswon_divisor_tot_loser,winner_flag,doublefaults_tot_winner,tiebreak_set2_winner,tiebreak_set2_loser,tiebreak_set1_winner,tiebreak_set1_loser,doublefaults_isstatbetter_tot_loser,tiebreak_set3_winner,tiebreak_set3_loser,player_winner,player_loser,player_id_winner,player_id_loser,country_winner,country_loser,seed_winner,seed_loser
7306,1997,Marbella,GP,1997-09-08T00:00:00,1997-09-14T00:00:00,Clay,32,303000,$,MS021,R32,00:59:00,,F,2,R177,"6-1,6-0",F. Roig,R. Carretero,,,ESP,ESP,6-1,6-0,,,,00:59:00,275,/en/stats/leaderboard?page=serve,,3,48,21,44,95,20,21,48,11,23,,0,,7,145,/en/stats/leaderboard?page=serve,2,0,65,28,43,39,11,28,27,4,15,38,3,8,6,70,31,44,65,28,43,68,59,87,35,15,43,30,13,44,32,28,87,A,4,,,,,,,,F. Roig,R. Carretero,R177,C383,ESP,ESP,,
7306,1997,Marbella,GP,1997-09-08T00:00:00,1997-09-14T00:00:00,Clay,32,303000,$,MS022,R32,01:31:00,,F,2,A190,"6-3,6-4",E. Benfele Alvarez,J. Marin,,,ESP,CRC,6-3,6-4,,,,01:31:00,210,/en/stats/leaderboard?page=serve,,6,58,45,77,73,33,45,56,18,32,,0,,10,245,/en/stats/leaderboard?page=serve,3,1,45,27,60,70,19,27,55,18,33,71,5,7,9,66,51,77,38,23,60,54,74,137,62,37,60,34,26,77,46,63,137,A,3,,,,,,,,E. Benfele Alvarez,J. Marin,A190,M578,ESP,CRC,,
7306,1997,Marbella,GP,1997-09-08T00:00:00,1997-09-14T00:00:00,Clay,32,303000,$,MS023,R32,02:01:00,,F,3,B518,"6-2,4-6,7-6(7)",G. Blanco,D. Lozano,,,ESP,ESP,6-2,4-6,7-6(7),,,02:01:00,243,/en/stats/leaderboard?page=serve,,9,53,54,101,70,38,54,51,24,47,44,4,9,15,214,/en/stats/leaderboard?page=serve,11,5,57,62,108,66,41,62,37,17,46,57,8,14,15,61,62,101,46,50,108,54,112,209,54,58,108,39,39,101,46,97,209,A,6,,,,,,7,2,G. Blanco,D. Lozano,B518,L342,ESP,ESP,,
7306,1997,Marbella,GP,1997-09-08T00:00:00,1997-09-14T00:00:00,Clay,32,303000,$,MS024,R32,00:54:00,,F,2,A203,"6-2,6-3",K. Alami,I. Moldovan,,,MAR,ROU,6-2,6-3,,,,00:54:00,273,/en/stats/leaderboard?page=serve,False,2,52,22,42,82,18,22,75,15,20,,0,,8,241,/en/stats/leaderboard?page=serve,1,0,82,47,57,55,26,47,50,5,10,43,3,7,9,79,33,42,46,26,57,60,59,99,54,31,57,21,9,42,40,40,99,A,,,,,,,,,K. Alami,I. Moldovan,A203,M600,MAR,ROU,,
7306,1997,Marbella,GP,1997-09-08T00:00:00,1997-09-14T00:00:00,Clay,32,303000,$,MS025,R32,01:59:00,,F,3,C439,"3-6,6-2,6-1",M. Craca,G. Schaller,,,GER,AUT,3-6,6-2,6-1,,,01:59:00,260,/en/stats/leaderboard?page=serve,,7,67,53,79,62,33,53,50,13,26,67,6,9,12,218,/en/stats/leaderboard?page=serve,2,3,81,67,83,55,37,67,31,5,16,50,6,12,12,58,46,79,49,41,83,54,87,162,51,42,83,42,33,79,46,75,162,A,1,,,,,,,,M. Craca,G. Schaller,C439,S315,GER,AUT,,
7306,1997,Marbella,GP,1997-09-08T00:00:00,1997-09-14T00:00:00,Clay,32,303000,$,MS026,R32,01:06:00,,F,2,C487,"6-4,6-2",A. Clement,S. Gomez-Barrio,,,FRA,ESP,6-4,6-2,,,,01:06:00,233,/en/stats/leaderboard?page=serve,,4,52,27,52,59,16,27,56,14,25,63,5,8,9,169,/en/stats/leaderboard?page=serve,3,2,49,27,55,59,16,27,29,8,28,33,3,9,9,58,30,52,56,31,55,57,61,107,44,24,55,42,22,52,43,46,107,A,4,,,,,,,,A. Clement,S. Gomez-Barrio,C487,G226,FRA,ESP,,
7306,1997,Marbella,GP,1997-09-08T00:00:00,1997-09-14T00:00:00,Clay,32,303000,$,MS027,R32,01:11:00,,F,2,H377,"6-3,6-2",D. Hrbaty,N. Lapentti,,,SVK,ECU,6-3,6-2,,,,01:11:00,241,/en/stats/leaderboard?page=serve,,2,68,42,62,74,31,42,55,11,20,,0,,9,226,/en/stats/leaderboard?page=serve,3,3,47,22,47,73,16,22,44,11,25,50,3,6,8,68,42,62,43,20,47,57,62,109,57,27,47,32,20,62,43,47,109,A,2,,,,,,,,D. Hrbaty,N. Lapentti,H377,L290,SVK,ECU,,
7306,1997,Marbella,GP,1997-09-08T00:00:00,1997-09-14T00:00:00,Clay,32,303000,$,MS028,R32,00:45:00,,F,2,A272,"6-3,6-0",J. Alonso,J. Chauvin,,,ESP,FRA,6-3,6-0,,,,00:45:00,264,/en/stats/leaderboard?page=serve,,5,47,20,43,75,15,20,57,13,23,67,2,3,7,166,/en/stats/leaderboard?page=serve,3,1,56,29,52,48,14,29,39,9,23,33,3,9,8,65,28,43,56,29,52,60,57,95,44,23,52,35,15,43,40,38,95,A,5,,,,,,,,J. Alonso,J. Chauvin,A272,C488,ESP,FRA,,
7306,1997,Marbella,GP,1997-09-08T00:00:00,1997-09-14T00:00:00,Clay,32,303000,$,MS029,R32,01:30:00,,F,3,K190,"3-6,6-0,6-3",B. Karbacher,R. Fernandez,,,GER,ESP,3-6,6-0,6-3,,,01:30:00,284,/en/stats/leaderboard?page=serve,,7,47,36,76,78,28,36,63,25,40,88,7,8,12,229,/en/stats/leaderboard?page=serve,7,6,53,41,78,76,31,41,35,13,37,50,4,8,12,70,53,76,44,34,78,56,87,154,56,44,78,30,23,76,44,67,154,A,2,,,,,,,,B. Karbacher,R. Fernandez,K190,F291,GER,ESP,,
7306,1997,Marbella,GP,1997-09-08T00:00:00,1997-09-14T00:00:00,Clay,32,303000,$,MS030,R32,01:28:00,,F,2,N099,"6-3,6-4",T. Nydahl,D. Pescariu,,,SWE,ROU,6-3,6-4,,,,01:28:00,222,/en/stats/leaderboard?page=serve,,0,56,42,75,60,25,42,48,16,33,77,10,13,9,183,/en/stats/leaderboard?page=serve,6,3,66,38,58,50,19,38,30,6,20,25,2,8,10,55,41,75,57,33,58,56,74,133,43,25,58,45,34,75,44,59,133,A,8,,,,,,,,T. Nydahl,D. Pescariu,N099,P254,SWE,ROU,,
7306,1997,Marbella,GP,1997-09-08T00:00:00,1997-09-14T00:00:00,Clay,32,303000,$,MS031,R32,00:50:00,,F,2,B428,"6-0,6-3",A. Berasategui,C. Costa,,,ESP,ESP,6-0,6-3,,,,00:50:00,245,/en/stats/leaderboard?page=serve,,2,71,29,41,69,20,29,33,4,12,0,0,2,7,130,/en/stats/leaderboard?page=serve,2,1,53,26,49,31,8,26,35,8,23,53,8,15,8,59,24,41,67,33,49,63,57,90,33,16,49,41,17,41,37,33,90,A,1,,,,,,,,A. Berasategui,C. Costa,B428,C179,ESP,ESP,,
