event_id,event_year,tourney_name,level,start_date,end_date,surface,singles_draw_size,prize_money,prize_money_currency,match_id,round,match_time_total,match_message,match_status,num_sets,winner_flag_raw,score_string,winner_player_name,loser_player_name,winner_seed,loser_seed,winner_country,loser_country,set1_score,set2_score,set3_score,set4_score,set5_score,match_date,winner_flag,player_winner,player_loser,country_winner,country_loser,seed_winner,seed_loser,serverating_tot_winner,serveratinglink_tot_winner,doublefaults_tot_winner,aces_tot_winner,firstserve_percent_tot_winner,firstserve_dividend_tot_winner,firstserve_divisor_tot_winner,firstservepointswon_percent_tot_winner,firstservepointswon_dividend_tot_winner,firstservepointswon_divisor_tot_winner,secondservepointswon_percent_tot_winner,secondservepointswon_dividend_tot_winner,secondservepointswon_divisor_tot_winner,breakpointssaved_percent_tot_winner,breakpointssaved_dividend_tot_winner,breakpointssaved_divisor_tot_winner,servicegamesplayed_tot_winner,serverating_tot_loser,serveratinglink_tot_loser,doublefaults_tot_loser,aces_tot_loser,firstserve_percent_tot_loser,firstserve_dividend_tot_loser,firstserve_divisor_tot_loser,firstservepointswon_percent_tot_loser,firstservepointswon_dividend_tot_loser,firstservepointswon_divisor_tot_loser,secondservepointswon_percent_tot_loser,secondservepointswon_dividend_tot_loser,secondservepointswon_divisor_tot_loser,breakpointssaved_percent_tot_loser,breakpointssaved_dividend_tot_loser,breakpointssaved_divisor_tot_loser,servicegamesplayed_tot_loser,totalservicepointswon_percent_tot_winner,totalservicepointswon_dividend_tot_winner,totalservicepointswon_divisor_tot_winner,totalreturnpointswon_percent_tot_winner,totalreturnpointswon_dividend_tot_winner,totalreturnpointswon_divisor_tot_winner,totalpointswon_percent_tot_winner,totalpointswon_dividend_tot_winner,totalpointswon_divisor_tot_winner,totalservicepointswon_percent_tot_loser,totalservicepointswon_dividend_tot_loser,totalservicepointswon_divisor_tot_loser,totalreturnpointswon_percent_tot_loser,totalreturnpointswon_dividend_tot_loser,totalreturnpointswon_divisor_tot_loser,totalpointswon_percent_tot_loser,totalpointswon_dividend_tot_loser,totalpointswon_divisor_tot_loser,tiebreak_set1_winner,tiebreak_set1_loser,tiebreak_set3_winner,tiebreak_set3_loser,tiebreak_set2_winner,tiebreak_set2_loser,player_id_winner,player_id_loser
5014,2011,ATP Masters 1000 Shanghai,1000,2011-10-09T00:00:00,2011-10-16T00:00:00,Hard,56,3240000,$,MS043,R64,01:15:00,,F,2,V306,"6-2,6-2",F. Verdasco,Z. Li,,,ESP,CHN,6-2,6-2,,,,01:15:00,A,F. Verdasco,Z. Li,ESP,CHN,,,299,/en/stats/leaderboard?page=serve,0,6,66,35,53,77,27,35,50,9,18,100,1,1,8,209,/en/stats/leaderboard?page=serve,2,5,58,29,50,69,20,29,29,6,21,33,2,6,8,68,36,53,48,24,50,58,60,103,52,26,50,32,17,53,42,43,103,,,,,,,V306,L733
5014,2011,ATP Masters 1000 Shanghai,1000,2011-10-09T00:00:00,2011-10-16T00:00:00,Hard,56,3240000,$,MS044,R64,01:52:00,,F,3,R485,"6-2,3-6,6-2",A. Roddick,Y. Lu,,,USA,TPE,6-2,3-6,6-2,,,01:52:00,A,A. Roddick,Y. Lu,USA,TPE,,,295,/en/stats/leaderboard?page=serve,2,10,58,41,71,78,32,41,60,18,30,80,4,5,12,238,/en/stats/leaderboard?page=serve,7,7,56,49,87,71,35,49,42,16,38,64,7,11,13,70,50,71,41,36,87,54,86,158,59,51,87,30,21,71,46,72,158,,,,,,,R485,L575
5014,2011,ATP Masters 1000 Shanghai,1000,2011-10-09T00:00:00,2011-10-16T00:00:00,Hard,56,3240000,$,MS045,R64,01:44:00,,F,3,D875,"2-6,6-1,6-4",G. Dimitrov,M. Ilhan,,,BUL,TUR,2-6,6-1,6-4,,,01:44:00,A,G. Dimitrov,M. Ilhan,BUL,TUR,,,255,/en/stats/leaderboard?page=serve,7,11,55,46,84,78,36,46,42,16,38,67,6,9,13,229,/en/stats/leaderboard?page=serve,5,1,55,51,92,63,32,51,49,20,41,67,8,12,12,62,52,84,43,40,92,52,92,176,57,52,92,38,32,84,48,84,176,,,,,,,D875,K771
5014,2011,ATP Masters 1000 Shanghai,1000,2011-10-09T00:00:00,2011-10-16T00:00:00,Hard,56,3240000,$,MS046,R64,02:02:00,,F,2,R419,"7-6(7),7-6(7)",T. Robredo,S. Bohli,,,ESP,SUI,7-6(7),7-6(7),,,,02:02:00,A,T. Robredo,S. Bohli,ESP,SUI,,,279,/en/stats/leaderboard?page=serve,4,4,68,60,88,67,40,60,61,17,28,75,6,8,12,266,/en/stats/leaderboard?page=serve,1,3,58,48,83,77,37,48,46,16,35,71,5,7,12,65,57,88,36,30,83,51,87,171,64,53,83,35,31,88,49,84,171,7.0,3.0,,,7.0,4.0,R419,B752
5014,2011,ATP Masters 1000 Shanghai,1000,2011-10-09T00:00:00,2011-10-16T00:00:00,Hard,56,3240000,$,MS049,R64,02:37:00,,F,3,TA46,"7-6(7),6-7(4),6-3",B. Tomic,K. Anderson,,,AUS,RSA,7-6(7),6-7(4),6-3,,,02:37:00,A,B. Tomic,K. Anderson,AUS,RSA,,,319,/en/stats/leaderboard?page=serve,1,7,67,74,110,77,57,74,69,25,36,100,2,2,17,299,/en/stats/leaderboard?page=serve,3,25,62,83,133,82,68,83,40,20,50,92,11,12,16,75,82,110,34,45,133,52,127,243,66,88,133,25,28,110,48,116,243,7.0,5.0,,,4.0,7.0,TA46,A678
5014,2011,ATP Masters 1000 Shanghai,1000,2011-10-09T00:00:00,2011-10-16T00:00:00,Hard,56,3240000,$,MS050,R64,01:26:00,,F,2,R772,"6-3,6-4",A. Ramos-Vinolas,M. Cilic,,,ESP,CRO,6-3,6-4,,,,01:26:00,A,A. Ramos-Vinolas,M. Cilic,ESP,CRO,,,278,/en/stats/leaderboard?page=serve,0,3,51,31,61,77,24,31,57,17,30,50,1,2,10,238,/en/stats/leaderboard?page=serve,3,5,53,30,57,73,22,30,44,12,27,50,3,6,9,67,41,61,40,23,57,54,64,118,60,34,57,33,20,61,46,54,118,,,,,,,R772,C977
5014,2011,ATP Masters 1000 Shanghai,1000,2011-10-09T00:00:00,2011-10-16T00:00:00,Hard,56,3240000,$,MS051,R64,01:40:00,,F,2,D801,"6-4,7-6(8)",A. Dolgopolov,L. Kubot,,,UKR,POL,6-4,7-6(8),,,,01:40:00,A,A. Dolgopolov,L. Kubot,UKR,POL,,,250,/en/stats/leaderboard?page=serve,2,8,34,22,65,64,14,22,65,28,43,0,0,2,11,248,/en/stats/leaderboard?page=serve,2,5,59,46,78,67,31,46,47,15,32,70,7,10,11,65,42,65,41,32,78,52,74,143,59,46,78,35,23,65,48,69,143,,,,,8.0,6.0,D801,K540
5014,2011,ATP Masters 1000 Shanghai,1000,2011-10-09T00:00:00,2011-10-16T00:00:00,Hard,56,3240000,$,MS052,R64,01:16:00,,F,2,M762,"6-4,6-2",J. Melzer,I. Ljubicic,,,AUT,CRO,6-4,6-2,,,,01:16:00,A,J. Melzer,I. Ljubicic,AUT,CRO,,,298,/en/stats/leaderboard?page=serve,1,4,57,27,47,85,23,27,65,13,20,67,2,3,9,214,/en/stats/leaderboard?page=serve,4,5,52,31,60,58,18,31,48,14,29,50,4,8,9,77,36,47,47,28,60,60,64,107,53,32,60,23,11,47,40,43,107,,,,,,,M762,L360
5014,2011,ATP Masters 1000 Shanghai,1000,2011-10-09T00:00:00,2011-10-16T00:00:00,Hard,56,3240000,$,MS053,R64,02:00:00,,F,3,G725,"1-6,6-3,6-4",S. Giraldo,I. Dodig,,,COL,CRO,1-6,6-3,6-4,,,02:00:00,A,S. Giraldo,I. Dodig,COL,CRO,,,268,/en/stats/leaderboard?page=serve,0,3,52,44,85,73,32,44,56,23,41,50,2,4,13,273,/en/stats/leaderboard?page=serve,7,8,55,42,76,86,36,42,47,16,34,60,3,5,13,65,55,85,32,24,76,49,79,161,68,52,76,35,30,85,51,82,161,,,,,,,G725,D646
5014,2011,ATP Masters 1000 Shanghai,1000,2011-10-09T00:00:00,2011-10-16T00:00:00,Hard,56,3240000,$,MS054,R64,02:13:00,,F,3,N552,"0-6,7-5,7-6(7)",K. Nishikori,R. Haase,,,JPN,NED,0-6,7-5,7-6(7),,,02:13:00,A,K. Nishikori,R. Haase,JPN,NED,,,223,/en/stats/leaderboard?page=serve,7,4,56,55,99,65,36,55,45,20,44,45,5,11,15,242,/en/stats/leaderboard?page=serve,7,8,48,48,99,73,35,48,47,24,51,50,4,8,15,57,56,99,40,40,99,48,96,198,60,59,99,43,43,99,52,102,198,,,7.0,5.0,,,N552,H756
