event_id,event_year,tourney_name,level,start_date,end_date,surface,singles_draw_size,prize_money,prize_money_currency,match_id,round,match_time_total,match_message,match_status,num_sets,winner_flag_raw,score_string,winner_player_name,loser_player_name,winner_seed,loser_seed,winner_country,loser_country,set1_score,set2_score,set3_score,set4_score,set5_score,match_date,tiebreak_set1_winner,tiebreak_set1_loser,tiebreak_set2_winner,tiebreak_set2_loser,serverating_tot_winner,serveratinglink_tot_winner,doublefaults_tot_winner,aces_tot_winner,firstserve_percent_tot_winner,firstserve_dividend_tot_winner,firstserve_divisor_tot_winner,firstservepointswon_percent_tot_winner,firstservepointswon_dividend_tot_winner,firstservepointswon_divisor_tot_winner,secondservepointswon_percent_tot_winner,secondservepointswon_dividend_tot_winner,secondservepointswon_divisor_tot_winner,breakpointssaved_percent_tot_winner,breakpointssaved_dividend_tot_winner,breakpointssaved_divisor_tot_winner,servicegamesplayed_tot_winner,serverating_tot_loser,serveratinglink_tot_loser,doublefaults_isstatbetter_tot_loser,aces_tot_loser,firstserve_percent_tot_loser,firstserve_dividend_tot_loser,firstserve_divisor_tot_loser,firstservepointswon_percent_tot_loser,firstservepointswon_dividend_tot_loser,firstservepointswon_divisor_tot_loser,secondservepointswon_percent_tot_loser,secondservepointswon_dividend_tot_loser,secondservepointswon_divisor_tot_loser,breakpointssaved_percent_tot_loser,breakpointssaved_dividend_tot_loser,breakpointssaved_divisor_tot_loser,servicegamesplayed_tot_loser,totalservicepointswon_percent_tot_winner,totalservicepointswon_dividend_tot_winner,totalservicepointswon_divisor_tot_winner,totalreturnpointswon_percent_tot_winner,totalreturnpointswon_dividend_tot_winner,totalreturnpointswon_divisor_tot_winner,totalpointswon_percent_tot_winner,totalpointswon_dividend_tot_winner,totalpointswon_divisor_tot_winner,totalservicepointswon_percent_tot_loser,totalservicepointswon_dividend_tot_loser,totalservicepointswon_divisor_tot_loser,totalreturnpointswon_percent_tot_loser,totalreturnpointswon_dividend_tot_loser,totalreturnpointswon_divisor_tot_loser,totalpointswon_percent_tot_loser,totalpointswon_dividend_tot_loser,totalpointswon_divisor_tot_loser,winner_flag,doublefaults_tot_loser,tiebreak_set3_winner,tiebreak_set3_loser,doublefaults_isstatbetter_tot_winner,player_winner,player_loser,player_id_winner,player_id_loser,country_winner,country_loser,seed_winner,seed_loser
308,1998,Munich,WS,1998-04-27T00:00:00,1998-05-03T00:00:00,Clay,32,500000,$,MS021,R32,01:00:00,,F,2,G182,"6-3,6-1",M. Gustafsson,S. Grosjean,,,SWE,FRA,6-3,6-1,,,,01:00:00,,,,,299,/en/stats/leaderboard?page=serve,2,1,78,36,46,75,27,36,60,6,10,,0,,8,217,/en/stats/leaderboard?page=serve,False,5,80,47,59,57,27,47,25,3,12,56,5,9,8,72,33,46,49,29,59,59,62,105,51,30,59,28,13,46,41,43,105,A,,,,,M. Gustafsson,S. Grosjean,G182,G379,SWE,FRA,,
308,1998,Munich,WS,1998-04-27T00:00:00,1998-05-03T00:00:00,Clay,32,500000,$,MS022,R32,01:30:00,,F,3,E140,"4-6,6-3,6-1",N. Escude,D. Hrbaty,,,FRA,SVK,4-6,6-3,6-1,,,01:30:00,,,,,250,/en/stats/leaderboard?page=serve,1,4,57,41,72,73,30,41,48,15,31,20,1,5,13,194,/en/stats/leaderboard?page=serve,,5,56,49,87,49,24,49,47,18,38,61,11,18,13,63,45,72,52,45,87,57,90,159,48,42,87,38,27,72,43,69,159,A,9,,,,N. Escude,D. Hrbaty,E140,H377,FRA,SVK,,
308,1998,Munich,WS,1998-04-27T00:00:00,1998-05-03T00:00:00,Clay,32,500000,$,MS023,R32,00:56:00,,F,2,P338,"7-5,6-4",M. Philippoussis,J. Alonso,,,AUS,ESP,7-5,6-4,,,,00:56:00,,,,,330,/en/stats/leaderboard?page=serve,5,21,57,30,53,97,29,30,70,16,23,,0,,11,263,/en/stats/leaderboard?page=serve,,5,57,38,67,76,29,38,48,14,29,67,4,6,11,85,45,53,36,24,67,58,69,120,64,43,67,15,8,53,43,51,120,A,4,,,,M. Philippoussis,J. Alonso,P338,A272,AUS,ESP,,
308,1998,Munich,WS,1998-04-27T00:00:00,1998-05-03T00:00:00,Clay,32,500000,$,MS024,R32,01:10:00,,F,2,B518,"6-1,7-6(7)",G. Blanco,S. Bruguera,,,ESP,ESP,6-1,7-6(7),,,,01:10:00,,,7,3,279,/en/stats/leaderboard?page=serve,1,3,61,37,61,70,26,37,58,14,24,67,2,3,9,234,/en/stats/leaderboard?page=serve,,4,70,52,74,54,28,52,50,11,22,64,7,11,10,66,40,61,47,35,74,56,75,135,53,39,74,34,21,61,44,60,135,A,4,,,,G. Blanco,S. Bruguera,B518,B350,ESP,ESP,,
308,1998,Munich,WS,1998-04-27T00:00:00,1998-05-03T00:00:00,Clay,32,500000,$,MS025,R32,01:24:00,,F,2,M435,"7-6(7),6-4",G. Mandl,A. Radulescu,,,AUT,GER,7-6(7),6-4,,,,01:24:00,7,5,,,299,/en/stats/leaderboard?page=serve,4,10,61,38,62,79,30,38,63,15,24,0,0,1,11,262,/en/stats/leaderboard?page=serve,,1,56,38,68,68,26,38,57,17,30,50,2,4,11,73,45,62,37,25,68,54,70,130,63,43,68,27,17,62,46,60,130,A,1,,,,G. Mandl,A. Radulescu,M435,R284,AUT,GER,,
308,1998,Munich,WS,1998-04-27T00:00:00,1998-05-03T00:00:00,Clay,32,500000,$,MS026,R32,02:01:00,,F,3,N099,"7-5,2-6,6-3",T. Nydahl,C. Vinck,,,SWE,GER,7-5,2-6,6-3,,,02:01:00,,,,,222,/en/stats/leaderboard?page=serve,3,1,65,54,83,65,35,54,34,10,29,50,6,12,15,229,/en/stats/leaderboard?page=serve,,4,66,62,94,55,34,62,50,16,32,50,6,12,14,54,45,83,47,44,94,50,89,177,53,50,94,46,38,83,50,88,177,A,3,,,,T. Nydahl,C. Vinck,N099,V175,SWE,GER,,
308,1998,Munich,WS,1998-04-27T00:00:00,1998-05-03T00:00:00,Clay,32,500000,$,MS027,R32,01:42:00,,F,3,H336,"6-4,4-6,6-1",T. Henman,J. Knippschild,,,GBR,GER,6-4,4-6,6-1,,,01:42:00,,,,,264,/en/stats/leaderboard?page=serve,3,1,60,50,84,72,36,50,56,19,34,50,3,6,14,233,/en/stats/leaderboard?page=serve,,3,58,42,73,64,27,42,48,15,31,50,5,10,13,65,55,84,42,31,73,55,86,157,58,42,73,35,29,84,45,71,157,A,1,,,,T. Henman,J. Knippschild,H336,K260,GBR,GER,,
308,1998,Munich,WS,1998-04-27T00:00:00,1998-05-03T00:00:00,Clay,32,500000,$,MS028,R32,01:33:00,,F,3,A092,"6-1,3-6,6-3",A. Agassi,T. Woodbridge,,,USA,AUS,6-1,3-6,6-3,,,01:33:00,,,,,207,/en/stats/leaderboard?page=serve,4,3,61,48,79,65,31,48,32,10,31,63,10,16,12,177,/en/stats/leaderboard?page=serve,,4,57,50,87,58,29,50,32,12,37,44,7,16,13,52,41,79,53,46,87,52,87,166,47,41,87,48,38,79,48,79,166,A,4,,,,A. Agassi,T. Woodbridge,A092,W136,USA,AUS,,
308,1998,Munich,WS,1998-04-27T00:00:00,1998-05-03T00:00:00,Clay,32,500000,$,MS029,R32,01:43:00,,F,2,S636,"6-4,7-6(7)",R. Schuettler,M. Woodforde,,,GER,AUS,6-4,7-6(7),,,,01:43:00,,,7,2,230,/en/stats/leaderboard?page=serve,3,0,54,43,79,60,26,43,56,20,36,56,5,9,11,213,/en/stats/leaderboard?page=serve,,1,62,42,68,57,24,42,42,11,26,38,3,8,11,58,46,79,49,33,68,54,79,147,51,35,68,42,33,79,46,68,147,A,3,,,,R. Schuettler,M. Woodforde,S636,W035,GER,AUS,,
308,1998,Munich,WS,1998-04-27T00:00:00,1998-05-03T00:00:00,Clay,32,500000,$,MS030,R32,01:15:00,,F,2,V170,"7-5,6-1",C. Van Garsse,B. Steven,,,BEL,NZL,7-5,6-1,,,,01:15:00,,,,,299,/en/stats/leaderboard?page=serve,,1,69,31,45,77,24,31,64,9,14,0,0,1,9,215,/en/stats/leaderboard?page=serve,False,3,66,48,73,56,27,48,40,10,25,58,7,12,10,73,33,45,49,36,73,58,69,118,51,37,73,27,12,45,42,49,118,A,,,,False,C. Van Garsse,B. Steven,V170,S321,BEL,NZL,,
308,1998,Munich,WS,1998-04-27T00:00:00,1998-05-03T00:00:00,Clay,32,500000,$,MS031,R32,01:29:00,,F,3,B446,"2-6,6-4,6-0",J. Bjorkman,A. Medvedev,,,SWE,UKR,2-6,6-4,6-0,,,01:29:00,,,,,261,/en/stats/leaderboard?page=serve,2,3,63,49,78,63,31,49,59,17,29,73,8,11,12,229,/en/stats/leaderboard?page=serve,,3,76,61,80,59,36,61,37,7,19,50,5,10,12,62,48,78,46,37,80,54,85,158,54,43,80,38,30,78,46,73,158,A,4,,,,J. Bjorkman,A. Medvedev,B446,M475,SWE,UKR,,
