event_id,event_year,tourney_name,level,start_date,end_date,surface,singles_draw_size,prize_money,prize_money_currency,match_id,round,match_time_total,match_message,match_status,num_sets,winner_flag_raw,score_string,winner_player_name,loser_player_name,winner_seed,loser_seed,winner_country,loser_country,set1_score,set2_score,set3_score,set4_score,set5_score,match_date,tiebreak_set1_winner,tiebreak_set1_loser,tiebreak_set2_winner,tiebreak_set2_loser,serverating_tot_winner,serveratinglink_tot_winner,doublefaults_tot_winner,aces_tot_winner,firstserve_percent_tot_winner,firstserve_dividend_tot_winner,firstserve_divisor_tot_winner,firstservepointswon_percent_tot_winner,firstservepointswon_dividend_tot_winner,firstservepointswon_divisor_tot_winner,secondservepointswon_percent_tot_winner,secondservepointswon_dividend_tot_winner,secondservepointswon_divisor_tot_winner,breakpointssaved_percent_tot_winner,breakpointssaved_dividend_tot_winner,breakpointssaved_divisor_tot_winner,servicegamesplayed_tot_winner,serverating_tot_loser,serveratinglink_tot_loser,doublefaults_tot_loser,aces_tot_loser,firstserve_percent_tot_loser,firstserve_dividend_tot_loser,firstserve_divisor_tot_loser,firstservepointswon_percent_tot_loser,firstservepointswon_dividend_tot_loser,firstservepointswon_divisor_tot_loser,secondservepointswon_percent_tot_loser,secondservepointswon_dividend_tot_loser,secondservepointswon_divisor_tot_loser,breakpointssaved_percent_tot_loser,breakpointssaved_dividend_tot_loser,breakpointssaved_divisor_tot_loser,servicegamesplayed_tot_loser,totalservicepointswon_percent_tot_winner,totalservicepointswon_dividend_tot_winner,totalservicepointswon_divisor_tot_winner,totalreturnpointswon_percent_tot_winner,totalreturnpointswon_dividend_tot_winner,totalreturnpointswon_divisor_tot_winner,totalpointswon_percent_tot_winner,totalpointswon_dividend_tot_winner,totalpointswon_divisor_tot_winner,totalservicepointswon_percent_tot_loser,totalservicepointswon_dividend_tot_loser,totalservicepointswon_divisor_tot_loser,totalreturnpointswon_percent_tot_loser,totalreturnpointswon_dividend_tot_loser,totalreturnpointswon_divisor_tot_loser,totalpointswon_percent_tot_loser,totalpointswon_dividend_tot_loser,totalpointswon_divisor_tot_loser,winner_flag,doublefaults_isstatbetter_tot_winner,player_winner,player_loser,player_id_winner,player_id_loser,country_winner,country_loser,seed_winner,seed_loser
438,1998,Moscow,WS,1998-11-09T00:00:00,1998-11-15T00:00:00,Carpet,32,1125000,$,MS021,R32,01:14:00,,F,2,G319,"7-5,6-3",J. Golmard,D. Prinosil,,,FRA,GER,7-5,6-3,,,,01:14:00,,,,,231,/en/stats/leaderboard?page=serve,4,9,65,51,79,75,38,51,50,14,28,,0,,11,275,/en/stats/leaderboard?page=serve,5,14,51,30,59,80,24,30,55,16,29,60,3,5,10,66,52,79,32,19,59,51,71,138,68,40,59,34,27,79,49,67,138,A,,J. Golmard,D. Prinosil,G319,P273,FRA,GER,,
438,1998,Moscow,WS,1998-11-09T00:00:00,1998-11-15T00:00:00,Carpet,32,1125000,$,MS022,R32,01:18:00,,F,2,S572,"7-5,6-4",S. Schalken,A. Olhovskiy,,,NED,RUS,7-5,6-4,,,,01:18:00,,,,,306,/en/stats/leaderboard?page=serve,1,4,79,60,76,65,39,60,69,11,16,0,0,1,11,263,/en/stats/leaderboard?page=serve,1,3,68,40,59,63,25,40,58,11,19,0,0,3,11,66,50,76,39,23,59,54,73,135,61,36,59,34,26,76,46,62,135,A,,S. Schalken,A. Olhovskiy,S572,O009,NED,RUS,,
438,1998,Moscow,WS,1998-11-09T00:00:00,1998-11-15T00:00:00,Carpet,32,1125000,$,MS023,R32,01:13:00,,F,2,B484,"6-4,6-2",L. Burgsmuller,B. Ulihrach,,,GER,CZE,6-4,6-2,,,,01:13:00,,,,,255,/en/stats/leaderboard?page=serve,2,3,57,34,60,85,29,34,46,12,26,,0,,9,223,/en/stats/leaderboard?page=serve,3,2,54,36,67,72,26,36,32,10,31,40,2,5,9,68,41,60,46,31,67,57,72,127,54,36,67,32,19,60,43,55,127,A,,L. Burgsmuller,B. Ulihrach,B484,U032,GER,CZE,,
438,1998,Moscow,WS,1998-11-09T00:00:00,1998-11-15T00:00:00,Carpet,32,1125000,$,MS024,R32,01:07:00,,F,2,R214,"6-4,6-4",M. Rosset,J. Tarango,,,SUI,USA,6-4,6-4,,,,01:07:00,,,,,297,/en/stats/leaderboard?page=serve,3,16,71,41,58,76,31,41,47,8,17,50,1,2,10,248,/en/stats/leaderboard?page=serve,2,2,64,38,59,71,27,38,43,9,21,40,2,5,10,67,39,58,39,23,59,53,62,117,61,36,59,33,19,58,47,55,117,A,,M. Rosset,J. Tarango,R214,T136,SUI,USA,,
438,1998,Moscow,WS,1998-11-09T00:00:00,1998-11-15T00:00:00,Carpet,32,1125000,$,MS025,R32,01:18:00,,F,2,P280,"7-6(7),6-2",A. Pavel,T. Woodbridge,,,ROU,AUS,7-6(7),6-2,,,,01:18:00,7,4,,,282,/en/stats/leaderboard?page=serve,4,4,59,36,61,81,29,36,52,13,25,50,1,2,10,243,/en/stats/leaderboard?page=serve,2,3,54,33,61,64,21,33,54,15,28,67,6,9,10,69,42,61,41,25,61,55,67,122,59,36,61,31,19,61,45,55,122,A,,A. Pavel,T. Woodbridge,P280,W136,ROU,AUS,,
438,1998,Moscow,WS,1998-11-09T00:00:00,1998-11-15T00:00:00,Carpet,32,1125000,$,MS026,R32,00:55:00,,F,2,K296,"6-1,6-3",J. Kroslak,O. Gross,,,SVK,GER,6-1,6-3,,,,00:55:00,,,,,217,/en/stats/leaderboard?page=serve,3,0,64,35,55,71,25,35,60,12,20,,0,,8,206,/en/stats/leaderboard?page=serve,4,1,66,40,61,60,24,40,33,7,21,69,9,13,8,67,37,55,49,30,61,58,67,116,51,31,61,33,18,55,42,49,116,A,,J. Kroslak,O. Gross,K296,G297,SVK,GER,,
438,1998,Moscow,WS,1998-11-09T00:00:00,1998-11-15T00:00:00,Carpet,32,1125000,$,MS027,R32,00:57:00,,F,2,B397,"6-2,6-3",B. Black,M. Damm,,,ZIM,CZE,6-2,6-3,,,,00:57:00,,,,,224,/en/stats/leaderboard?page=serve,,6,49,19,39,89,17,19,80,16,20,0,0,,8,213,/en/stats/leaderboard?page=serve,3,6,47,24,51,67,16,24,41,11,27,0,0,4,9,85,33,39,47,24,51,63,57,90,53,27,51,15,6,39,37,33,90,A,False,B. Black,M. Damm,B397,D214,ZIM,CZE,,
438,1998,Moscow,WS,1998-11-09T00:00:00,1998-11-15T00:00:00,Carpet,32,1125000,$,MS028,R32,01:04:00,,F,2,H223,"6-3,6-4",P. Haarhuis,M. Safin,,,NED,RUS,6-3,6-4,,,,01:04:00,,,,,277,/en/stats/leaderboard?page=serve,4,10,61,43,71,74,32,43,46,13,28,88,7,8,10,240,/en/stats/leaderboard?page=serve,4,8,46,23,50,87,20,23,37,10,27,25,1,4,9,63,45,71,40,20,50,54,65,121,60,30,50,37,26,71,46,56,121,A,,P. Haarhuis,M. Safin,H223,S741,NED,RUS,,
438,1998,Moscow,WS,1998-11-09T00:00:00,1998-11-15T00:00:00,Carpet,32,1125000,$,MS029,R32,01:22:00,,F,2,R186,"7-6(7),6-4",G. Raoux,A. Medvedev,,,FRA,UKR,7-6(7),6-4,,,,01:22:00,7,5,,,280,/en/stats/leaderboard?page=serve,4,5,54,44,81,70,31,44,65,24,37,67,2,3,11,275,/en/stats/leaderboard?page=serve,4,12,63,40,63,80,32,40,43,10,23,0,0,2,11,68,55,81,33,21,63,53,76,144,67,42,63,32,26,81,47,68,144,A,,G. Raoux,A. Medvedev,R186,M475,FRA,UKR,,
438,1998,Moscow,WS,1998-11-09T00:00:00,1998-11-15T00:00:00,Carpet,32,1125000,$,MS030,R32,01:35:00,,F,3,G379,"6-2,3-6,7-5",S. Grosjean,W. Black,,,FRA,ZIM,6-2,3-6,7-5,,,01:35:00,,,,,283,/en/stats/leaderboard?page=serve,1,8,60,52,86,69,36,52,62,21,34,80,8,10,14,242,/en/stats/leaderboard?page=serve,6,3,44,38,87,79,30,38,49,24,49,33,2,6,15,66,57,86,38,33,87,52,90,173,62,54,87,34,29,86,48,83,173,A,,S. Grosjean,W. Black,G379,B499,FRA,ZIM,,
438,1998,Moscow,WS,1998-11-09T00:00:00,1998-11-15T00:00:00,Carpet,32,1125000,$,MS031,R32,01:15:00,,F,2,K267,"6-3,6-4",Y. Kafelnikov,A. Cherkasov,,,RUS,RUS,6-3,6-4,,,,01:15:00,,,,,299,/en/stats/leaderboard?page=serve,1,5,50,24,48,92,22,24,63,15,24,50,1,2,10,225,/en/stats/leaderboard?page=serve,4,3,47,32,68,69,22,32,44,16,36,73,8,11,9,77,37,48,44,30,68,58,67,116,56,38,68,23,11,48,42,49,116,A,,Y. Kafelnikov,A. Cherkasov,K267,C260,RUS,RUS,,
