event_id,event_year,tourney_name,level,start_date,end_date,surface,singles_draw_size,prize_money,prize_money_currency,match_id,round,match_time_total,match_message,match_status,num_sets,winner_flag_raw,score_string,winner_player_name,loser_player_name,winner_seed,loser_seed,winner_country,loser_country,set1_score,set2_score,set3_score,set4_score,set5_score,match_date,tiebreak_set1_winner,tiebreak_set1_loser,serverating_tot_winner,serveratinglink_tot_winner,doublefaults_tot_winner,aces_tot_winner,firstserve_percent_tot_winner,firstserve_dividend_tot_winner,firstserve_divisor_tot_winner,firstservepointswon_percent_tot_winner,firstservepointswon_dividend_tot_winner,firstservepointswon_divisor_tot_winner,secondservepointswon_percent_tot_winner,secondservepointswon_dividend_tot_winner,secondservepointswon_divisor_tot_winner,breakpointssaved_percent_tot_winner,breakpointssaved_dividend_tot_winner,breakpointssaved_divisor_tot_winner,servicegamesplayed_tot_winner,serverating_tot_loser,serveratinglink_tot_loser,doublefaults_isstatbetter_tot_loser,aces_tot_loser,firstserve_percent_tot_loser,firstserve_dividend_tot_loser,firstserve_divisor_tot_loser,firstservepointswon_percent_tot_loser,firstservepointswon_dividend_tot_loser,firstservepointswon_divisor_tot_loser,secondservepointswon_percent_tot_loser,secondservepointswon_dividend_tot_loser,secondservepointswon_divisor_tot_loser,breakpointssaved_percent_tot_loser,breakpointssaved_dividend_tot_loser,breakpointssaved_divisor_tot_loser,servicegamesplayed_tot_loser,totalservicepointswon_percent_tot_winner,totalservicepointswon_dividend_tot_winner,totalservicepointswon_divisor_tot_winner,totalreturnpointswon_percent_tot_winner,totalreturnpointswon_dividend_tot_winner,totalreturnpointswon_divisor_tot_winner,totalpointswon_percent_tot_winner,totalpointswon_dividend_tot_winner,totalpointswon_divisor_tot_winner,totalservicepointswon_percent_tot_loser,totalservicepointswon_dividend_tot_loser,totalservicepointswon_divisor_tot_loser,totalreturnpointswon_percent_tot_loser,totalreturnpointswon_dividend_tot_loser,totalreturnpointswon_divisor_tot_loser,totalpointswon_percent_tot_loser,totalpointswon_dividend_tot_loser,totalpointswon_divisor_tot_loser,winner_flag,doublefaults_tot_loser,tiebreak_set2_winner,tiebreak_set2_loser,tiebreak_set3_winner,tiebreak_set3_loser,doublefaults_isstatbetter_tot_winner,player_winner,player_loser,player_id_winner,player_id_loser,country_winner,country_loser,seed_winner,seed_loser
407,1998,Rotterdam,WS,1998-03-02T00:00:00,1998-03-08T00:00:00,Carpet,32,725000,$,MS011,R16,00:55:00,,F,2,K214,"6-2,6-2",R. Krajicek,A. Voinea,,,NED,ROU,6-2,6-2,,,,00:55:00,,,246,/en/stats/leaderboard?page=serve,1,21,59,22,37,100,22,22,67,10,15,0,0,,8,206,/en/stats/leaderboard?page=serve,,1,58,33,57,58,19,33,42,10,24,50,4,8,8,86,32,37,49,28,57,64,60,94,51,29,57,,0,,,0,,A,3,,,,,,R. Krajicek,A. Voinea,K214,V166,NED,ROU,,
407,1998,Rotterdam,WS,1998-03-02T00:00:00,1998-03-08T00:00:00,Carpet,32,725000,$,MS012,R16,01:32:00,,F,2,V167,"7-6(8),6-3",J. Van Herck,S. Bruguera,,,BEL,ESP,7-6(8),6-3,,,,01:32:00,8,6,276,/en/stats/leaderboard?page=serve,3,16,57,40,70,85,34,40,40,12,30,50,2,4,11,231,/en/stats/leaderboard?page=serve,,9,39,31,80,74,23,31,41,20,49,73,8,11,10,66,46,70,46,37,80,55,83,150,54,43,80,34,24,70,45,67,150,A,2,,,,,,J. Van Herck,S. Bruguera,V167,B350,BEL,ESP,,
407,1998,Rotterdam,WS,1998-03-02T00:00:00,1998-03-08T00:00:00,Carpet,32,725000,$,MS013,R16,02:49:00,,F,3,J129,"6-3,6-7(5),7-6(10)",T. Johansson,K. Carlsen,,,SWE,DEN,6-3,6-7(5),7-6(10),,,02:49:00,,,295,/en/stats/leaderboard?page=serve,,15,47,60,128,85,51,60,60,41,68,,0,,17,295,/en/stats/leaderboard?page=serve,,6,65,74,113,78,58,74,56,22,39,86,6,7,16,72,92,128,29,33,113,52,125,241,71,80,113,28,36,128,48,116,241,A,3,5,7,10,8,False,T. Johansson,K. Carlsen,J129,C328,SWE,DEN,,
407,1998,Rotterdam,WS,1998-03-02T00:00:00,1998-03-08T00:00:00,Carpet,32,725000,$,MS014,R16,02:43:00,,F,3,S321,"7-6(7),6-7(5),7-5",B. Steven,M. Damm,,,NZL,CZE,7-6(7),6-7(5),7-5,,,02:43:00,7,5,288,/en/stats/leaderboard?page=serve,3,8,65,75,116,76,57,75,59,24,41,63,5,8,18,272,/en/stats/leaderboard?page=serve,,12,56,64,115,73,47,64,57,29,51,64,7,11,18,70,81,116,34,39,115,52,120,231,66,76,115,30,35,116,48,111,231,A,3,5,7,,,,B. Steven,M. Damm,S321,D214,NZL,CZE,,
407,1998,Rotterdam,WS,1998-03-02T00:00:00,1998-03-08T00:00:00,Carpet,32,725000,$,MS015,R16,01:27:00,,F,3,C216,"6-2,1-6,6-2",T. Carbonell,M. Tillstrom,,,ESP,SWE,6-2,1-6,6-2,,,01:27:00,,,268,/en/stats/leaderboard?page=serve,1,6,57,43,76,70,30,43,55,18,33,60,3,5,11,221,/en/stats/leaderboard?page=serve,,5,46,38,82,68,26,38,43,19,44,69,9,13,12,63,48,76,45,37,82,54,85,158,55,45,82,37,28,76,46,73,158,A,7,,,,,,T. Carbonell,M. Tillstrom,C216,T166,ESP,SWE,,
407,1998,Rotterdam,WS,1998-03-02T00:00:00,1998-03-08T00:00:00,Carpet,32,725000,$,MS016,R32,01:46:00,,F,3,R255,"5-7,7-6(7),6-1",P. Rafter,P. Wessels,,,AUS,NED,5-7,7-6(7),6-1,,,01:46:00,,,312,/en/stats/leaderboard?page=serve,1,13,68,52,76,88,46,52,58,14,24,0,0,2,15,263,/en/stats/leaderboard?page=serve,,12,61,68,111,66,45,68,53,23,43,67,8,12,16,79,60,76,39,43,111,55,103,187,61,68,111,21,16,76,45,84,187,A,4,7,3,,,,P. Rafter,P. Wessels,R255,W254,AUS,NED,,
407,1998,Rotterdam,WS,1998-03-02T00:00:00,1998-03-08T00:00:00,Carpet,32,725000,$,MS017,R32,01:11:00,,F,2,S465,"7-5,6-3",D. Scala,J. van Lottum,,,ITA,NED,7-5,6-3,,,,01:11:00,,,298,/en/stats/leaderboard?page=serve,,9,57,34,60,82,28,34,69,18,26,,0,,11,278,/en/stats/leaderboard?page=serve,,8,61,33,54,73,24,33,57,12,21,50,2,4,10,77,46,60,33,18,54,56,64,114,67,36,54,23,14,60,44,50,114,A,1,,,,,False,D. Scala,J. van Lottum,S465,V201,ITA,NED,,
407,1998,Rotterdam,WS,1998-03-02T00:00:00,1998-03-08T00:00:00,Carpet,32,725000,$,MS018,R32,01:09:00,,F,2,R186,"6-2,6-3",G. Raoux,D. Vacek,,,FRA,CZE,6-2,6-3,,,,01:09:00,,,266,/en/stats/leaderboard?page=serve,2,4,49,30,61,80,24,30,58,18,31,,0,,9,226,/en/stats/leaderboard?page=serve,,6,53,25,47,72,18,25,36,8,22,50,3,6,8,69,42,61,45,21,47,58,63,108,55,26,47,31,19,61,42,45,108,A,3,,,,,,G. Raoux,D. Vacek,R186,V141,FRA,CZE,,
407,1998,Rotterdam,WS,1998-03-02T00:00:00,1998-03-08T00:00:00,Carpet,32,725000,$,MS019,R32,02:15:00,,F,3,S381,"5-7,7-6(8),6-3",J. Siemerink,G. Ivanisevic,,,NED,CRO,5-7,7-6(8),6-3,,,02:15:00,,,280,/en/stats/leaderboard?page=serve,7,14,45,55,123,80,44,55,54,37,68,90,9,10,17,297,/en/stats/leaderboard?page=serve,,20,54,55,101,85,47,55,50,23,46,83,5,6,16,66,81,123,31,31,101,50,112,224,69,70,101,34,42,123,50,112,224,A,5,8,6,,,,J. Siemerink,G. Ivanisevic,S381,I034,NED,CRO,,
407,1998,Rotterdam,WS,1998-03-02T00:00:00,1998-03-08T00:00:00,Carpet,32,725000,$,MS020,R32,02:16:00,,F,3,R237,"6-7(7),7-6(7),7-6(7)",G. Rusedski,K. Alami,,,GBR,MAR,6-7(7),7-6(7),7-6(7),,,02:16:00,7,9,226,/en/stats/leaderboard?page=serve,4,17,56,60,108,88,53,60,69,33,48,0,0,,18,255,/en/stats/leaderboard?page=serve,,9,65,93,143,80,74,93,50,25,50,,0,,18,80,86,108,31,44,143,52,130,251,69,99,143,20,22,108,48,121,251,A,4,7,3,7,4,,G. Rusedski,K. Alami,R237,A203,GBR,MAR,,
407,1998,Rotterdam,WS,1998-03-02T00:00:00,1998-03-08T00:00:00,Carpet,32,725000,$,MS021,R32,02:02:00,,F,3,R016,"2-6,6-4,7-5",R. Reneberg,T. Nydahl,,,USA,SWE,2-6,6-4,7-5,,,02:02:00,,,268,/en/stats/leaderboard?page=serve,3,15,56,57,101,81,46,57,39,17,44,70,7,10,15,273,/en/stats/leaderboard?page=serve,,13,52,48,92,73,35,48,57,25,44,63,5,8,15,62,63,101,35,32,92,49,95,193,65,60,92,38,38,101,51,98,193,A,2,,,,,,R. Reneberg,T. Nydahl,R016,N099,USA,SWE,,
407,1998,Rotterdam,WS,1998-03-02T00:00:00,1998-03-08T00:00:00,Carpet,32,725000,$,MS022,R32,01:12:00,,F,2,V166,"6-3,6-4",A. Voinea,P. Haarhuis,,,ROU,NED,6-3,6-4,,,,01:12:00,,,297,/en/stats/leaderboard?page=serve,3,7,60,36,60,89,32,36,54,13,24,,0,,10,259,/en/stats/leaderboard?page=serve,,6,53,30,57,73,22,30,52,14,27,67,4,6,9,75,45,60,37,21,57,56,66,117,63,36,57,25,15,60,44,51,117,A,2,,,,,,A. Voinea,P. Haarhuis,V166,H223,ROU,NED,,
407,1998,Rotterdam,WS,1998-03-02T00:00:00,1998-03-08T00:00:00,Carpet,32,725000,$,MS023,R32,01:15:00,,F,2,K214,"7-5,6-4",R. Krajicek,D. van Scheppingen,,,NED,NED,7-5,6-4,,,,01:15:00,,,254,/en/stats/leaderboard?page=serve,6,19,58,40,69,83,33,40,55,16,29,,0,,11,271,/en/stats/leaderboard?page=serve,,2,63,43,68,67,29,43,60,15,25,78,7,9,11,71,49,69,35,24,68,53,73,137,65,44,68,29,20,69,47,64,137,A,2,,,,,,R. Krajicek,D. van Scheppingen,K214,S559,NED,NED,,
