event_id,event_year,tourney_name,level,start_date,end_date,surface,singles_draw_size,prize_money,prize_money_currency,match_id,round,match_time_total,match_message,match_status,num_sets,winner_flag_raw,score_string,winner_player_name,loser_player_name,winner_seed,loser_seed,winner_country,loser_country,set1_score,set2_score,set3_score,set4_score,set5_score,match_date,serverating_tot_winner,serveratinglink_tot_winner,doublefaults_tot_winner,aces_tot_winner,firstserve_percent_tot_winner,firstserve_dividend_tot_winner,firstserve_divisor_tot_winner,firstservepointswon_percent_tot_winner,firstservepointswon_dividend_tot_winner,firstservepointswon_divisor_tot_winner,secondservepointswon_percent_tot_winner,secondservepointswon_dividend_tot_winner,secondservepointswon_divisor_tot_winner,breakpointssaved_dividend_tot_winner,servicegamesplayed_tot_winner,serverating_tot_loser,serveratinglink_tot_loser,doublefaults_tot_loser,aces_tot_loser,firstserve_percent_tot_loser,firstserve_dividend_tot_loser,firstserve_divisor_tot_loser,firstservepointswon_percent_tot_loser,firstservepointswon_dividend_tot_loser,firstservepointswon_divisor_tot_loser,secondservepointswon_percent_tot_loser,secondservepointswon_dividend_tot_loser,secondservepointswon_divisor_tot_loser,breakpointssaved_percent_tot_loser,breakpointssaved_dividend_tot_loser,breakpointssaved_divisor_tot_loser,servicegamesplayed_tot_loser,totalservicepointswon_percent_tot_winner,totalservicepointswon_dividend_tot_winner,totalservicepointswon_divisor_tot_winner,totalreturnpointswon_percent_tot_winner,totalreturnpointswon_dividend_tot_winner,totalreturnpointswon_divisor_tot_winner,totalpointswon_percent_tot_winner,totalpointswon_dividend_tot_winner,totalpointswon_divisor_tot_winner,totalservicepointswon_percent_tot_loser,totalservicepointswon_dividend_tot_loser,totalservicepointswon_divisor_tot_loser,totalreturnpointswon_percent_tot_loser,totalreturnpointswon_dividend_tot_loser,totalreturnpointswon_divisor_tot_loser,totalpointswon_percent_tot_loser,totalpointswon_dividend_tot_loser,totalpointswon_divisor_tot_loser,winner_flag,breakpointssaved_percent_tot_winner,breakpointssaved_divisor_tot_winner,doublefaults_isstatbetter_tot_loser,tiebreak_set1_winner,tiebreak_set1_loser,tiebreak_set3_winner,tiebreak_set3_loser,tiebreak_set2_winner,tiebreak_set2_loser,doublefaults_isstatbetter_tot_winner,player_winner,player_loser,player_id_winner,player_id_loser,country_winner,country_loser,seed_winner,seed_loser
327,1998,Toulouse,WS,1998-09-28T00:00:00,1998-10-04T00:00:00,Hard,32,375000,$,MS021,R32,01:17:00,,F,2,B403,"7-6(9),6-2",L. Barthez,C. Vinck,,,FRA,GER,7-6(9),6-2,,,,01:17:00,271,/en/stats/leaderboard?page=serve,2,5,53,34,64,82,28,34,63,19,30,0,10,263,/en/stats/leaderboard?page=serve,4,5,67,46,69,72,33,46,43,10,23,82,9,11,10,73,47,64,38,26,69,55,73,133,62,43,69,27,17,64,45,60,133,A,,,,9,7,,,,,,L. Barthez,C. Vinck,B403,V175,FRA,GER,,
327,1998,Toulouse,WS,1998-09-28T00:00:00,1998-10-04T00:00:00,Hard,32,375000,$,MS022,R32,01:35:00,,F,3,T136,"4-6,6-1,6-4",J. Tarango,I. Heuberger,,,USA,SUI,4-6,6-1,6-4,,,01:35:00,276,/en/stats/leaderboard?page=serve,6,4,63,49,78,78,38,49,52,15,29,2,14,246,/en/stats/leaderboard?page=serve,3,12,59,52,88,67,35,52,42,15,36,67,8,12,13,68,53,78,43,38,88,55,91,166,57,50,88,32,25,78,45,75,166,A,50,4,,,,,,,,,J. Tarango,I. Heuberger,T136,H380,USA,SUI,,
327,1998,Toulouse,WS,1998-09-28T00:00:00,1998-10-04T00:00:00,Hard,32,375000,$,MS023,R32,01:54:00,,F,3,R214,"4-6,6-2,6-3",M. Rosset,F. Santoro,,,SUI,FRA,4-6,6-2,6-3,,,01:54:00,294,/en/stats/leaderboard?page=serve,3,13,51,39,76,92,36,39,49,18,37,0,14,252,/en/stats/leaderboard?page=serve,3,4,56,54,97,70,38,54,49,21,43,67,6,9,13,71,54,76,39,38,97,53,92,173,61,59,97,29,22,76,47,81,173,A,0,1,,,,,,,,,M. Rosset,F. Santoro,R214,S424,SUI,FRA,,
327,1998,Toulouse,WS,1998-09-28T00:00:00,1998-10-04T00:00:00,Hard,32,375000,$,MS024,R32,01:18:00,,F,2,H284,"7-5,7-5",S. Huet,M. Larsson,,,FRA,SWE,7-5,7-5,,,,01:18:00,280,/en/stats/leaderboard?page=serve,1,10,40,31,77,81,25,31,59,27,46,2,12,270,/en/stats/leaderboard?page=serve,3,12,74,54,73,65,35,54,47,9,19,40,2,5,12,68,52,77,40,29,73,54,81,150,60,44,73,32,25,77,46,69,150,A,67,3,,,,,,,,,S. Huet,M. Larsson,H284,L206,FRA,SWE,,
327,1998,Toulouse,WS,1998-09-28T00:00:00,1998-10-04T00:00:00,Hard,32,375000,$,MS025,R32,01:39:00,,F,2,S545,"6-3,7-6(7)",S. Sargsian,L. Roux,,,ARM,FRA,6-3,7-6(7),,,,01:39:00,284,/en/stats/leaderboard?page=serve,1,2,61,40,66,78,31,40,54,14,26,2,10,246,/en/stats/leaderboard?page=serve,3,2,54,38,70,71,27,38,50,16,32,57,4,7,11,68,45,66,39,27,70,53,72,136,61,43,70,32,21,66,47,64,136,A,67,3,,,,,,7,5,,S. Sargsian,L. Roux,S545,R280,ARM,FRA,,
327,1998,Toulouse,WS,1998-09-28T00:00:00,1998-10-04T00:00:00,Hard,32,375000,$,MS026,R32,01:39:00,,F,2,V141,"7-6(7),6-4",D. Vacek,G. Pozzi,,,CZE,ITA,7-6(7),6-4,,,,01:39:00,272,/en/stats/leaderboard?page=serve,2,8,49,39,79,82,32,39,63,25,40,0,11,274,/en/stats/leaderboard?page=serve,1,5,46,35,76,71,25,35,63,26,41,75,3,4,11,72,57,79,33,25,76,53,82,155,67,51,76,28,22,79,47,73,155,A,,,,7,2,,,,,,D. Vacek,G. Pozzi,V141,P045,CZE,ITA,,
327,1998,Toulouse,WS,1998-09-28T00:00:00,1998-10-04T00:00:00,Hard,32,375000,$,MS027,R32,01:43:00,,F,2,J129,"7-6(8),7-5",T. Johansson,A. Di Pasquale,,,SWE,FRA,7-6(8),7-5,,,,01:43:00,277,/en/stats/leaderboard?page=serve,6,9,50,43,86,93,40,43,40,17,43,4,12,267,/en/stats/leaderboard?page=serve,5,5,60,49,82,69,34,49,55,18,33,60,3,5,12,66,57,86,37,30,82,52,87,168,63,52,82,34,29,86,48,81,168,A,80,5,,8,6,,,,,,T. Johansson,A. Di Pasquale,J129,D357,SWE,FRA,,
327,1998,Toulouse,WS,1998-09-28T00:00:00,1998-10-04T00:00:00,Hard,32,375000,$,MS028,R32,00:58:00,,F,2,F164,"6-4,6-4",R. Fromberg,D. Sanguinetti,,,AUS,ITA,6-4,6-4,,,,00:58:00,229,/en/stats/leaderboard?page=serve,2,11,64,32,50,84,27,32,72,13,18,0,10,263,/en/stats/leaderboard?page=serve,2,8,46,28,61,89,25,28,42,14,33,80,8,10,10,80,40,50,36,22,61,56,62,111,64,39,61,20,10,50,44,49,111,A,0,,,,,,,,,,R. Fromberg,D. Sanguinetti,F164,S480,AUS,ITA,,
327,1998,Toulouse,WS,1998-09-28T00:00:00,1998-10-04T00:00:00,Hard,32,375000,$,MS029,R32,01:00:00,,F,2,F324,"6-2,6-2",R. Federer,G. Raoux,,,SUI,FRA,6-2,6-2,,,,01:00:00,310,/en/stats/leaderboard?page=serve,,8,54,22,41,82,18,22,79,15,19,0,8,204,/en/stats/leaderboard?page=serve,,0,55,36,65,61,22,36,38,11,29,50,4,8,8,80,33,41,49,32,65,61,65,106,51,33,65,20,8,41,39,41,106,A,,,False,,,,,,,False,R. Federer,G. Raoux,F324,R186,SUI,FRA,,
327,1998,Toulouse,WS,1998-09-28T00:00:00,1998-10-04T00:00:00,Hard,32,375000,$,MS030,R32,01:22:00,,F,2,G319,"6-4,7-6(7)",J. Golmard,D. Prinosil,,,FRA,GER,6-4,7-6(7),,,,01:22:00,308,/en/stats/leaderboard?page=serve,1,6,68,47,69,72,34,47,73,16,22,3,11,281,/en/stats/leaderboard?page=serve,1,18,58,36,62,83,30,36,42,11,26,0,0,2,11,72,50,69,34,21,62,54,71,131,66,41,62,28,19,69,46,60,131,A,75,4,,,,,,7,4,,J. Golmard,D. Prinosil,G319,P273,FRA,GER,,
327,1998,Toulouse,WS,1998-09-28T00:00:00,1998-10-04T00:00:00,Hard,32,375000,$,MS031,R32,01:04:00,,F,2,S381,"6-3,6-4",J. Siemerink,G. Canas,,,NED,ARG,6-3,6-4,,,,01:04:00,215,/en/stats/leaderboard?page=serve,,1,64,36,56,75,27,36,75,15,20,0,10,271,/en/stats/leaderboard?page=serve,3,8,68,38,56,71,27,38,50,9,18,60,3,5,9,75,42,56,36,20,56,55,62,112,64,36,56,25,14,56,45,50,112,A,0,,,,,,,,,False,J. Siemerink,G. Canas,S381,C433,NED,ARG,,
