event_id,event_year,tourney_name,level,start_date,end_date,surface,singles_draw_size,prize_money,prize_money_currency,match_id,round,match_time_total,match_message,match_status,num_sets,winner_flag_raw,score_string,winner_player_name,loser_player_name,winner_seed,loser_seed,winner_country,loser_country,set1_score,set2_score,set3_score,set4_score,set5_score,match_date,serverating_tot_winner,serveratinglink_tot_winner,doublefaults_isstatbetter_tot_winner,aces_tot_winner,firstserve_percent_tot_winner,firstserve_dividend_tot_winner,firstserve_divisor_tot_winner,firstservepointswon_percent_tot_winner,firstservepointswon_dividend_tot_winner,firstservepointswon_divisor_tot_winner,secondservepointswon_percent_tot_winner,secondservepointswon_dividend_tot_winner,secondservepointswon_divisor_tot_winner,breakpointssaved_percent_tot_winner,breakpointssaved_dividend_tot_winner,breakpointssaved_divisor_tot_winner,servicegamesplayed_tot_winner,serverating_tot_loser,serveratinglink_tot_loser,doublefaults_tot_loser,aces_tot_loser,firstserve_percent_tot_loser,firstserve_dividend_tot_loser,firstserve_divisor_tot_loser,firstservepointswon_percent_tot_loser,firstservepointswon_dividend_tot_loser,firstservepointswon_divisor_tot_loser,secondservepointswon_percent_tot_loser,secondservepointswon_dividend_tot_loser,secondservepointswon_divisor_tot_loser,breakpointssaved_percent_tot_loser,breakpointssaved_dividend_tot_loser,breakpointssaved_divisor_tot_loser,servicegamesplayed_tot_loser,totalservicepointswon_percent_tot_winner,totalservicepointswon_dividend_tot_winner,totalservicepointswon_divisor_tot_winner,totalreturnpointswon_percent_tot_winner,totalreturnpointswon_dividend_tot_winner,totalreturnpointswon_divisor_tot_winner,totalpointswon_percent_tot_winner,totalpointswon_dividend_tot_winner,totalpointswon_divisor_tot_winner,totalservicepointswon_percent_tot_loser,totalservicepointswon_dividend_tot_loser,totalservicepointswon_divisor_tot_loser,totalreturnpointswon_percent_tot_loser,totalreturnpointswon_dividend_tot_loser,totalreturnpointswon_divisor_tot_loser,totalpointswon_percent_tot_loser,totalpointswon_dividend_tot_loser,totalpointswon_divisor_tot_loser,winner_flag,doublefaults_tot_winner,tiebreak_set1_winner,tiebreak_set1_loser,doublefaults_isstatbetter_tot_loser,tiebreak_set2_winner,tiebreak_set2_loser,player_winner,player_loser,player_id_winner,player_id_loser,country_winner,country_loser,seed_winner,seed_loser
773,1998,Bucharest,WS,1998-09-14T00:00:00,1998-09-20T00:00:00,Clay,32,475000,$,MS022,R32,01:03:00,,F,2,P305,"6-3,6-3",A. Portas,J. Sanchez,,,ESP,ESP,6-3,6-3,,,,01:03:00,290,/en/stats/leaderboard?page=serve,,0,75,41,55,71,29,41,57,8,14,0,0,1,9,226,/en/stats/leaderboard?page=serve,1,2,74,40,54,53,21,40,43,6,14,20,1,5,9,67,37,55,50,27,54,59,64,109,50,27,54,33,18,55,41,45,109,A,1,,,,,,A. Portas,J. Sanchez,P305,S015,ESP,ESP,,
773,1998,Bucharest,WS,1998-09-14T00:00:00,1998-09-20T00:00:00,Clay,32,475000,$,MS023,R32,00:59:00,,F,2,S608,"6-0,6-2",A. Savolt,A. Ilie,,,HUN,AUS,6-0,6-2,,,,00:59:00,282,/en/stats/leaderboard?page=serve,False,2,57,20,35,85,17,20,53,8,15,0,0,1,7,137,/en/stats/leaderboard?page=serve,,0,46,22,48,50,11,22,27,7,26,40,4,10,7,71,25,35,63,30,48,66,55,83,38,18,48,29,10,35,34,28,83,A,,,,False,,,A. Savolt,A. Ilie,S608,I052,HUN,AUS,,
773,1998,Bucharest,WS,1998-09-14T00:00:00,1998-09-20T00:00:00,Clay,32,475000,$,MS024,R32,01:22:00,,F,2,L290,"6-3,6-4",N. Lapentti,J. Apell,,,ECU,SWE,6-3,6-4,,,,01:22:00,292,/en/stats/leaderboard?page=serve,,3,61,39,64,77,30,39,64,16,25,,0,,10,250,/en/stats/leaderboard?page=serve,3,1,53,31,58,81,25,31,41,11,27,50,2,4,9,72,46,64,38,22,58,56,68,122,62,36,58,28,18,64,44,54,122,A,3,,,,,,N. Lapentti,J. Apell,L290,A176,ECU,SWE,,
773,1998,Bucharest,WS,1998-09-14T00:00:00,1998-09-20T00:00:00,Clay,32,475000,$,MS025,R32,00:45:00,,F,2,D357,"7-6(7),7-6(7)",A. Di Pasquale,G. Trifu,,,FRA,ROU,7-6(7),7-6(7),,,,00:45:00,234,/en/stats/leaderboard?page=serve,,2,66,52,79,65,34,52,44,12,27,29,2,7,12,216,/en/stats/leaderboard?page=serve,3,4,55,56,101,55,31,56,47,21,45,50,5,10,12,58,46,79,49,49,101,53,95,180,51,52,101,42,33,79,47,85,180,A,1,7,1,,7,5,A. Di Pasquale,G. Trifu,D357,T199,FRA,ROU,,
773,1998,Bucharest,WS,1998-09-14T00:00:00,1998-09-20T00:00:00,Clay,32,475000,$,MS026,R32,01:20:00,,F,2,D291,"6-1,6-3",J. Diaz,B. Karbacher,,,ESP,GER,6-1,6-3,,,,01:20:00,280,/en/stats/leaderboard?page=serve,,1,63,36,57,64,23,36,67,14,21,86,6,7,8,158,/en/stats/leaderboard?page=serve,2,1,33,16,49,50,8,16,39,13,33,29,2,7,8,65,37,57,57,28,49,61,65,106,43,21,49,35,20,57,39,41,106,A,2,,,,,,J. Diaz,B. Karbacher,D291,K190,ESP,GER,,
773,1998,Bucharest,WS,1998-09-14T00:00:00,1998-09-20T00:00:00,Clay,32,475000,$,MS027,R32,01:42:00,,F,2,B518,"7-6(8),7-5",G. Blanco,D. Hrbaty,,,ESP,SVK,7-6(8),7-5,,,,01:42:00,270,/en/stats/leaderboard?page=serve,,2,53,42,80,76,32,42,50,19,38,75,3,4,12,261,/en/stats/leaderboard?page=serve,3,1,55,42,77,76,32,42,49,17,35,75,6,8,12,64,51,80,36,28,77,50,79,157,64,49,77,36,29,80,50,78,157,A,2,8,6,,,,G. Blanco,D. Hrbaty,B518,H377,ESP,SVK,,
773,1998,Bucharest,WS,1998-09-14T00:00:00,1998-09-20T00:00:00,Clay,32,475000,$,MS028,R32,01:17:00,,F,2,M600,"6-4,6-4",I. Moldovan,M. Puerta,,,ROU,ARG,6-4,6-4,,,,01:17:00,306,/en/stats/leaderboard?page=serve,False,2,85,51,60,73,37,51,56,5,9,80,4,5,10,242,/en/stats/leaderboard?page=serve,1,1,62,49,79,63,31,49,47,14,30,77,10,13,10,70,42,60,43,34,79,55,76,139,57,45,79,30,18,60,45,63,139,A,,,,,,,I. Moldovan,M. Puerta,M600,P372,ROU,ARG,,
773,1998,Bucharest,WS,1998-09-14T00:00:00,1998-09-20T00:00:00,Clay,32,475000,$,MS029,R32,01:08:00,,F,2,V166,"6-4,6-3",A. Voinea,J. Marin,,,ROU,CRC,6-4,6-3,,,,01:08:00,288,/en/stats/leaderboard?page=serve,,3,63,32,51,72,23,32,63,12,19,75,3,4,9,221,/en/stats/leaderboard?page=serve,1,1,49,30,61,60,18,30,52,16,31,43,3,7,10,69,35,51,44,27,61,55,62,112,56,34,61,31,16,51,45,50,112,A,1,,,,,,A. Voinea,J. Marin,V166,M578,ROU,CRC,,
773,1998,Bucharest,WS,1998-09-14T00:00:00,1998-09-20T00:00:00,Clay,32,475000,$,MS030,R32,01:14:00,,F,2,A190,"6-3,6-2",E. Benfele Alvarez,N. Rovas,,,ESP,GRE,6-3,6-2,,,,01:14:00,242,/en/stats/leaderboard?page=serve,False,5,69,40,58,63,25,40,39,7,18,40,2,5,9,182,/en/stats/leaderboard?page=serve,2,1,73,43,59,47,20,43,38,6,16,40,4,10,8,55,32,58,56,33,59,56,65,117,44,26,59,45,26,58,44,52,117,A,,,,,,,E. Benfele Alvarez,N. Rovas,A190,R365,ESP,GRE,,
773,1998,Bucharest,WS,1998-09-14T00:00:00,1998-09-20T00:00:00,Clay,32,475000,$,MS031,R32,01:46:00,,F,3,F164,"6-7(4),6-1,6-3",R. Fromberg,R. Sabau,,,AUS,ROU,6-7(4),6-1,6-3,,,01:46:00,308,/en/stats/leaderboard?page=serve,,18,63,54,86,80,43,54,56,18,32,75,3,4,14,239,/en/stats/leaderboard?page=serve,6,5,62,58,93,60,35,58,54,19,35,29,2,7,14,71,61,86,42,39,93,56,100,179,58,54,93,29,25,86,44,79,179,A,1,4,7,,,,R. Fromberg,R. Sabau,F164,S535,AUS,ROU,,
