event_id,event_year,tourney_name,level,start_date,end_date,surface,singles_draw_size,prize_money,prize_money_currency,match_id,round,match_time_total,match_message,match_status,num_sets,winner_flag_raw,score_string,winner_player_name,loser_player_name,winner_seed,loser_seed,winner_country,loser_country,set1_score,set2_score,set3_score,set4_score,set5_score,match_date,winner_flag,player_winner,player_loser,country_winner,country_loser,seed_winner,seed_loser,tiebreak_set3_winner,tiebreak_set3_loser,serverating_tot_winner,serveratinglink_tot_winner,doublefaults_tot_winner,aces_tot_winner,firstserve_percent_tot_winner,firstserve_dividend_tot_winner,firstserve_divisor_tot_winner,firstservepointswon_percent_tot_winner,firstservepointswon_dividend_tot_winner,firstservepointswon_divisor_tot_winner,secondservepointswon_percent_tot_winner,secondservepointswon_dividend_tot_winner,secondservepointswon_divisor_tot_winner,breakpointssaved_percent_tot_winner,breakpointssaved_dividend_tot_winner,breakpointssaved_divisor_tot_winner,servicegamesplayed_tot_winner,serverating_tot_loser,serveratinglink_tot_loser,doublefaults_tot_loser,aces_tot_loser,firstserve_percent_tot_loser,firstserve_dividend_tot_loser,firstserve_divisor_tot_loser,firstservepointswon_percent_tot_loser,firstservepointswon_dividend_tot_loser,firstservepointswon_divisor_tot_loser,secondservepointswon_percent_tot_loser,secondservepointswon_dividend_tot_loser,secondservepointswon_divisor_tot_loser,breakpointssaved_percent_tot_loser,breakpointssaved_dividend_tot_loser,breakpointssaved_divisor_tot_loser,servicegamesplayed_tot_loser,totalservicepointswon_percent_tot_winner,totalservicepointswon_dividend_tot_winner,totalservicepointswon_divisor_tot_winner,totalreturnpointswon_percent_tot_winner,totalreturnpointswon_dividend_tot_winner,totalreturnpointswon_divisor_tot_winner,totalpointswon_percent_tot_winner,totalpointswon_dividend_tot_winner,totalpointswon_divisor_tot_winner,totalservicepointswon_percent_tot_loser,totalservicepointswon_dividend_tot_loser,totalservicepointswon_divisor_tot_loser,totalreturnpointswon_percent_tot_loser,totalreturnpointswon_dividend_tot_loser,totalreturnpointswon_divisor_tot_loser,totalpointswon_percent_tot_loser,totalpointswon_dividend_tot_loser,totalpointswon_divisor_tot_loser,tiebreak_set1_winner,tiebreak_set1_loser,tiebreak_set4_winner,tiebreak_set4_loser,tiebreak_set2_winner,tiebreak_set2_loser,player_id_winner,player_id_loser
580,2009,Australian Open,GS,2009-01-19T00:00:00,2009-02-01T00:00:00,Hard,128,10712240,A$,MS068,R128,03:24:00,,F,4,G628,"6-7(5),7-6(7),6-3,6-4",R. Gasquet,D. Junqueira,,,FRA,ARG,6-7(5),7-6(7),6-3,6-4,,03:24:00,A,R. Gasquet,D. Junqueira,FRA,ARG,,,,,291,/en/stats/leaderboard?page=serve,4,14,58,80,138,79,63,80,59,34,58,70,7,10,21,254,/en/stats/leaderboard?page=serve,4,3,66,104,158,70,73,104,43,23,54,74,14,19,21,70,97,138,39,62,158,54,159,296,61,96,158,30,41,138,46,137,296,5.0,7.0,,,7.0,3.0,G628,J214
580,2009,Australian Open,GS,2009-01-19T00:00:00,2009-02-01T00:00:00,Hard,128,10712240,A$,MS069,R128,01:38:00,,F,3,I165,"6-2,7-5,6-4",D. Istomin,V. Spadea,,,UZB,USA,6-2,7-5,6-4,,,01:38:00,A,D. Istomin,V. Spadea,UZB,USA,,,,,273,/en/stats/leaderboard?page=serve,5,10,59,47,79,79,37,47,50,16,32,25,1,4,15,208,/en/stats/leaderboard?page=serve,7,3,65,62,95,55,34,62,39,13,33,46,6,13,15,67,53,79,51,48,95,58,101,174,49,47,95,33,26,79,42,73,174,,,,,,,I165,S544
580,2009,Australian Open,GS,2009-01-19T00:00:00,2009-02-01T00:00:00,Hard,128,10712240,A$,MS070,R128,03:35:00,,F,5,C433,"3-6,7-5,5-7,6-0,7-5",G. Canas,D. Kindlmann,,,ARG,GER,3-6,7-5,5-7,6-0,7-5,03:35:00,A,G. Canas,D. Kindlmann,ARG,GER,,,,,272,/en/stats/leaderboard?page=serve,4,21,51,73,143,78,57,73,50,35,70,50,6,12,25,231,/en/stats/leaderboard?page=serve,6,3,64,106,166,60,64,106,45,27,60,59,13,22,26,64,92,143,45,75,166,54,167,309,55,91,166,36,51,143,46,142,309,,,,,,,C433,K436
580,2009,Australian Open,GS,2009-01-19T00:00:00,2009-02-01T00:00:00,Hard,128,10712240,A$,MS071,R128,03:04:00,,F,5,G415,"5-7,6-2,6-2,3-6,6-3",F. Gonzalez,L. Hewitt,,,CHI,AUS,5-7,6-2,6-2,3-6,6-3,03:04:00,A,F. Gonzalez,L. Hewitt,CHI,AUS,,,,,278,/en/stats/leaderboard?page=serve,4,12,57,75,132,80,60,75,51,29,57,64,7,11,23,234,/en/stats/leaderboard?page=serve,11,9,51,69,134,62,43,69,54,35,65,50,7,14,23,67,89,132,42,56,134,55,145,266,58,78,134,33,43,132,45,121,266,,,,,,,G415,H432
580,2009,Australian Open,GS,2009-01-19T00:00:00,2009-02-01T00:00:00,Hard,128,10712240,A$,MS072,R128,02:25:00,,F,3,MC65,"6-1,6-3,7-5",G. Monfils,M. Vassallo Arguello,,,FRA,ARG,6-1,6-3,7-5,,,02:25:00,A,G. Monfils,M. Vassallo Arguello,FRA,ARG,,,,,255,/en/stats/leaderboard?page=serve,8,9,51,47,92,83,39,47,42,19,45,67,6,9,14,196,/en/stats/leaderboard?page=serve,6,0,66,76,116,54,41,76,40,16,40,62,13,21,14,63,58,92,51,59,116,56,117,208,49,57,116,37,34,92,44,91,208,,,,,,,MC65,V258
580,2009,Australian Open,GS,2009-01-19T00:00:00,2009-02-01T00:00:00,Hard,128,10712240,A$,MS073,R128,01:35:00,,F,3,K310,"6-3,6-2,6-2",S. Koubek,M. Youzhny,,,AUT,RUS,6-3,6-2,6-2,,,01:35:00,A,S. Koubek,M. Youzhny,AUT,RUS,,,,,267,/en/stats/leaderboard?page=serve,4,4,54,43,79,79,34,43,50,18,36,67,4,6,13,198,/en/stats/leaderboard?page=serve,5,4,63,52,82,42,22,52,53,16,30,56,9,16,12,66,52,79,54,44,82,60,96,161,46,38,82,34,27,79,40,65,161,,,,,,,K310,Y061
580,2009,Australian Open,GS,2009-01-19T00:00:00,2009-02-01T00:00:00,Hard,128,10712240,A$,MS074,R128,02:49:00,,F,4,F510,"3-6,7-6(9),6-4,6-2",F. Fognini,A. Golubev,,,ITA,KAZ,3-6,7-6(9),6-4,6-2,,02:49:00,A,F. Fognini,A. Golubev,ITA,KAZ,,,,,274,/en/stats/leaderboard?page=serve,7,4,56,72,129,79,57,72,53,30,57,75,6,8,19,261,/en/stats/leaderboard?page=serve,7,6,56,75,134,65,49,75,61,36,59,67,8,12,20,67,87,129,37,49,134,52,136,263,63,85,134,33,42,129,48,127,263,,,,,9.0,7.0,F510,G806
580,2009,Australian Open,GS,2009-01-19T00:00:00,2009-02-01T00:00:00,Hard,128,10712240,A$,MS075,R128,03:30:00,,F,5,A479,"6-4,6-4,3-6,5-7,6-3",N. Almagro,N. Massu,,,ESP,CHI,6-4,6-4,3-6,5-7,6-3,03:30:00,A,N. Almagro,N. Massu,ESP,CHI,,,,,314,/en/stats/leaderboard?page=serve,4,31,63,87,138,80,70,87,57,29,51,57,4,7,24,280,/en/stats/leaderboard?page=serve,7,9,62,86,139,74,64,86,58,31,53,56,5,9,25,72,99,138,32,44,139,52,143,277,68,95,139,28,39,138,48,134,277,,,,,,,A479,M655
580,2009,Australian Open,GS,2009-01-19T00:00:00,2009-02-01T00:00:00,Hard,128,10712240,A$,MS076,R128,01:47:00,,F,3,K336,"6-3,6-4,6-4",I. Karlovic,D. Gimeno-Traver,,,CRO,ESP,6-3,6-4,6-4,,,01:47:00,A,I. Karlovic,D. Gimeno-Traver,CRO,ESP,,,,,318,/en/stats/leaderboard?page=serve,2,13,55,45,82,87,39,45,65,24,37,100,2,2,15,272,/en/stats/leaderboard?page=serve,1,1,84,73,87,67,49,73,43,6,14,70,7,10,14,77,63,82,37,32,87,56,95,169,63,55,87,23,19,82,44,74,169,,,,,,,K336,G676
580,2009,Australian Open,GS,2009-01-19T00:00:00,2009-02-01T00:00:00,Hard,128,10712240,A$,MS077,R128,02:54:00,,F,4,A385,"7-5,6-4,4-6,6-2",M. Ancic,W. Odesnik,,,CRO,USA,7-5,6-4,4-6,6-2,,02:54:00,A,M. Ancic,W. Odesnik,CRO,USA,,,,,303,/en/stats/leaderboard?page=serve,2,12,69,74,108,78,58,74,56,19,34,0,0,2,20,257,/en/stats/leaderboard?page=serve,4,1,66,87,131,64,56,87,55,24,44,55,6,11,20,71,77,108,39,51,131,54,128,239,61,80,131,29,31,108,46,111,239,,,,,,,A385,O234
