event_id,event_year,tourney_name,level,start_date,end_date,surface,singles_draw_size,prize_money,prize_money_currency,match_id,round,match_time_total,match_message,match_status,num_sets,winner_flag_raw,score_string,winner_player_name,loser_player_name,winner_seed,loser_seed,winner_country,loser_country,set1_score,set2_score,set3_score,set4_score,set5_score,match_date,tiebreak_set1_winner,tiebreak_set1_loser,serverating_tot_winner,serveratinglink_tot_winner,doublefaults_tot_winner,aces_tot_winner,firstserve_percent_tot_winner,firstserve_dividend_tot_winner,firstserve_divisor_tot_winner,firstservepointswon_percent_tot_winner,firstservepointswon_dividend_tot_winner,firstservepointswon_divisor_tot_winner,secondservepointswon_percent_tot_winner,secondservepointswon_dividend_tot_winner,secondservepointswon_divisor_tot_winner,breakpointssaved_percent_tot_winner,breakpointssaved_dividend_tot_winner,breakpointssaved_divisor_tot_winner,servicegamesplayed_tot_winner,serverating_tot_loser,serveratinglink_tot_loser,doublefaults_tot_loser,aces_tot_loser,firstserve_percent_tot_loser,firstserve_dividend_tot_loser,firstserve_divisor_tot_loser,firstservepointswon_percent_tot_loser,firstservepointswon_dividend_tot_loser,firstservepointswon_divisor_tot_loser,secondservepointswon_percent_tot_loser,secondservepointswon_dividend_tot_loser,secondservepointswon_divisor_tot_loser,breakpointssaved_percent_tot_loser,breakpointssaved_dividend_tot_loser,breakpointssaved_divisor_tot_loser,servicegamesplayed_tot_loser,totalservicepointswon_percent_tot_winner,totalservicepointswon_dividend_tot_winner,totalservicepointswon_divisor_tot_winner,totalreturnpointswon_percent_tot_winner,totalreturnpointswon_dividend_tot_winner,totalreturnpointswon_divisor_tot_winner,totalpointswon_percent_tot_winner,totalpointswon_dividend_tot_winner,totalpointswon_divisor_tot_winner,totalservicepointswon_percent_tot_loser,totalservicepointswon_dividend_tot_loser,totalservicepointswon_divisor_tot_loser,totalreturnpointswon_percent_tot_loser,totalreturnpointswon_dividend_tot_loser,totalreturnpointswon_divisor_tot_loser,totalpointswon_percent_tot_loser,totalpointswon_dividend_tot_loser,totalpointswon_divisor_tot_loser,winner_flag,secondservepointswon_isstatbetter_tot_winner,secondservepointswon_isstatbetter_tot_loser,tiebreak_set2_winner,tiebreak_set2_loser,player_winner,player_loser,player_id_winner,player_id_loser,country_winner,country_loser,seed_winner,seed_loser
807,1996,Mexico City,GP,1996-03-04T00:00:00,1996-03-10T00:00:00,Clay,32,305000,$,MS021,R32,00:59:00,,F,2,M197,"6-2,6-2",N. Marques,E. Sanchez,,,POR,ESP,6-2,6-2,,,,00:59:00,,,277,/en/stats/leaderboard?page=serve,4,3,56,25,45,80,20,25,55,11,20,50,1,2,8,178,/en/stats/leaderboard?page=serve,7,1,60,28,47,61,17,28,26,5,19,29,2,7,8,69,31,45,53,25,47,61,56,92,47,22,47,31,14,45,39,36,92,A,,,,,N. Marques,E. Sanchez,M197,S014,POR,ESP,,
807,1996,Mexico City,GP,1996-03-04T00:00:00,1996-03-10T00:00:00,Clay,32,305000,$,MS022,R32,01:01:00,,F,2,H256,"6-3,6-2",M. Hadad,S. Noszaly,,,COL,HUN,6-3,6-2,,,,01:01:00,,,211,/en/stats/leaderboard?page=serve,3,2,48,21,44,90,19,21,74,17,23,0,0,,9,200,/en/stats/leaderboard?page=serve,8,0,36,16,45,69,11,16,41,12,29,57,4,7,8,82,36,44,49,22,45,65,58,89,51,23,45,18,8,44,35,31,89,A,,,,,M. Hadad,S. Noszaly,H256,N112,COL,HUN,,
807,1996,Mexico City,GP,1996-03-04T00:00:00,1996-03-10T00:00:00,Clay,32,305000,$,MS023,R32,00:56:00,,F,2,C252,"6-3,6-2",F. Clavet,N. Pereira,,,ESP,VEN,6-3,6-2,,,,00:56:00,,,283,/en/stats/leaderboard?page=serve,1,2,65,34,52,79,27,34,72,13,18,,0,,9,233,/en/stats/leaderboard?page=serve,1,4,66,33,50,55,18,33,47,8,17,40,2,5,8,77,40,52,48,24,50,63,64,102,52,26,50,23,12,52,37,38,102,A,,,,,F. Clavet,N. Pereira,C252,P218,ESP,VEN,,
807,1996,Mexico City,GP,1996-03-04T00:00:00,1996-03-10T00:00:00,Clay,32,305000,$,MS024,R32,00:46:00,,F,2,S015,"6-3,6-1",J. Sanchez,J. Rascon-Lope,,,ESP,ESP,6-3,6-1,,,,00:46:00,,,226,/en/stats/leaderboard?page=serve,2,2,63,25,40,76,19,25,87,13,15,0,0,,8,198,/en/stats/leaderboard?page=serve,8,5,57,28,49,75,21,28,19,4,21,33,2,6,8,80,32,40,49,24,49,63,56,89,51,25,49,20,8,40,37,33,89,A,,,,,J. Sanchez,J. Rascon-Lope,S015,R240,ESP,ESP,,
807,1996,Mexico City,GP,1996-03-04T00:00:00,1996-03-10T00:00:00,Clay,32,305000,$,MS025,R32,01:27:00,,F,2,V147,"7-6(7),6-2",F. Vitoux,L. Morejon,,,FRA,ECU,7-6(7),6-2,,,,01:27:00,7,4,212,/en/stats/leaderboard?page=serve,10,1,55,42,77,57,24,42,49,17,35,64,7,11,10,207,/en/stats/leaderboard?page=serve,1,2,74,50,68,42,21,50,50,9,18,33,3,9,10,53,41,77,56,38,68,54,79,145,44,30,68,47,36,77,46,66,145,A,,,,,F. Vitoux,L. Morejon,V147,M506,FRA,ECU,,
807,1996,Mexico City,GP,1996-03-04T00:00:00,1996-03-10T00:00:00,Clay,32,305000,$,MS026,R32,02:44:00,,F,3,F200,"7-6(7),6-7(5),6-2",F. Fontang,N. Lapentti,,,FRA,ECU,7-6(7),6-7(5),6-2,,,02:44:00,7,4,259,/en/stats/leaderboard?page=serve,4,2,55,71,128,76,54,71,49,28,57,73,8,11,16,247,/en/stats/leaderboard?page=serve,5,3,54,59,109,75,44,59,52,26,50,38,3,8,16,64,82,128,36,39,109,51,121,237,64,70,109,36,46,128,49,116,237,A,,,5,7,F. Fontang,N. Lapentti,F200,L290,FRA,ECU,,
807,1996,Mexico City,GP,1996-03-04T00:00:00,1996-03-10T00:00:00,Clay,32,305000,$,MS027,R32,01:24:00,,F,3,N254,"6-7(4),6-0,6-1",J. Novak,F. Montana,,,CZE,USA,6-7(4),6-0,6-1,,,01:24:00,4,7,274,/en/stats/leaderboard?page=serve,5,1,61,39,64,82,32,39,52,13,25,0,0,2,12,177,/en/stats/leaderboard?page=serve,9,2,50,45,90,56,25,45,40,18,45,38,5,13,13,70,45,64,52,47,90,60,92,154,48,43,90,30,19,64,40,62,154,A,,,,,J. Novak,F. Montana,N254,M399,CZE,USA,,
807,1996,Mexico City,GP,1996-03-04T00:00:00,1996-03-10T00:00:00,Clay,32,305000,$,MS028,R32,01:36:00,,F,2,M443,"6-4,7-6(7)",F. Meligeni,M. Rincon,,,BRA,COL,6-4,7-6(7),,,,01:36:00,,,246,/en/stats/leaderboard?page=serve,3,8,57,42,74,71,30,42,50,16,32,64,7,11,11,229,/en/stats/leaderboard?page=serve,3,2,73,57,78,60,34,57,43,9,21,44,4,9,11,62,46,74,45,35,78,53,81,152,55,43,78,38,28,74,47,71,152,A,,,7,5,F. Meligeni,M. Rincon,M443,R159,BRA,COL,,
807,1996,Mexico City,GP,1996-03-04T00:00:00,1996-03-10T00:00:00,Clay,32,305000,$,MS029,R32,02:00:00,,F,3,S380,"3-6,7-6(7),6-2",B. Shelton,M. Petchey,,,USA,GBR,3-6,7-6(7),6-2,,,02:00:00,,,279,/en/stats/leaderboard?page=serve,4,4,58,54,93,67,36,54,62,24,39,80,4,5,14,265,/en/stats/leaderboard?page=serve,10,11,53,54,101,78,42,54,47,22,47,78,7,9,15,65,60,93,37,37,101,50,97,194,63,64,101,35,33,93,50,97,194,A,,,7,5,B. Shelton,M. Petchey,S380,P222,USA,GBR,,
807,1996,Mexico City,GP,1996-03-04T00:00:00,1996-03-10T00:00:00,Clay,32,305000,$,MS030,R32,00:59:00,,F,2,L009,"6-3,6-2",L. Lavalle,S. Campbell,,,MEX,USA,6-3,6-2,,,,00:59:00,,,269,/en/stats/leaderboard?page=serve,2,4,58,25,43,88,22,25,44,8,18,33,1,3,9,178,/en/stats/leaderboard?page=serve,4,1,55,31,56,45,14,31,44,11,25,44,4,9,8,70,30,43,55,31,56,62,61,99,45,25,56,30,13,43,38,38,99,A,,,,,L. Lavalle,S. Campbell,L009,C355,MEX,USA,,
807,1996,Mexico City,GP,1996-03-04T00:00:00,1996-03-10T00:00:00,Clay,32,305000,$,MS031,R32,01:42:00,,F,3,G254,"6-3,4-6,6-3",A. Gaudenzi,K. Goossens,,,ITA,BEL,6-3,4-6,6-3,,,01:42:00,,,265,/en/stats/leaderboard?page=serve,3,1,54,40,74,73,29,40,62,21,34,50,3,6,14,217,/en/stats/leaderboard?page=serve,8,5,33,28,84,71,20,28,52,29,56,44,4,9,14,68,50,74,42,35,84,54,85,158,58,49,84,32,24,74,46,73,158,A,,,,,A. Gaudenzi,K. Goossens,G254,G285,ITA,BEL,,
