event_id,event_year,tourney_name,level,start_date,end_date,surface,singles_draw_size,prize_money,prize_money_currency,match_id,round,match_time_total,match_message,match_status,num_sets,winner_flag_raw,score_string,winner_player_name,loser_player_name,winner_seed,loser_seed,winner_country,loser_country,set1_score,set2_score,set3_score,set4_score,set5_score,match_date,serverating_tot_winner,serveratinglink_tot_winner,doublefaults_tot_winner,aces_tot_winner,firstserve_percent_tot_winner,firstserve_dividend_tot_winner,firstserve_divisor_tot_winner,firstservepointswon_percent_tot_winner,firstservepointswon_dividend_tot_winner,firstservepointswon_divisor_tot_winner,secondservepointswon_percent_tot_winner,secondservepointswon_dividend_tot_winner,secondservepointswon_divisor_tot_winner,breakpointssaved_dividend_tot_winner,servicegamesplayed_tot_winner,serverating_tot_loser,serveratinglink_tot_loser,doublefaults_tot_loser,aces_tot_loser,firstserve_percent_tot_loser,firstserve_dividend_tot_loser,firstserve_divisor_tot_loser,firstservepointswon_percent_tot_loser,firstservepointswon_dividend_tot_loser,firstservepointswon_divisor_tot_loser,secondservepointswon_percent_tot_loser,secondservepointswon_dividend_tot_loser,secondservepointswon_divisor_tot_loser,breakpointssaved_percent_tot_loser,breakpointssaved_dividend_tot_loser,breakpointssaved_divisor_tot_loser,servicegamesplayed_tot_loser,totalservicepointswon_percent_tot_winner,totalservicepointswon_dividend_tot_winner,totalservicepointswon_divisor_tot_winner,totalreturnpointswon_percent_tot_winner,totalreturnpointswon_dividend_tot_winner,totalreturnpointswon_divisor_tot_winner,totalpointswon_percent_tot_winner,totalpointswon_dividend_tot_winner,totalpointswon_divisor_tot_winner,totalservicepointswon_percent_tot_loser,totalservicepointswon_dividend_tot_loser,totalservicepointswon_divisor_tot_loser,totalreturnpointswon_percent_tot_loser,totalreturnpointswon_dividend_tot_loser,totalreturnpointswon_divisor_tot_loser,totalpointswon_percent_tot_loser,totalpointswon_dividend_tot_loser,totalpointswon_divisor_tot_loser,winner_flag,tiebreak_set1_winner,tiebreak_set1_loser,tiebreak_set2_winner,tiebreak_set2_loser,breakpointssaved_percent_tot_winner,breakpointssaved_divisor_tot_winner,tiebreak_set3_winner,tiebreak_set3_loser,doublefaults_isstatbetter_tot_winner,player_winner,player_loser,player_id_winner,player_id_loser,country_winner,country_loser,seed_winner,seed_loser
7308,1997,Adelaide,GP,1996-12-30T00:00:00,1997-01-05T00:00:00,Hard,32,303000,$,MS022,R32,01:16:00,,F,2,J129,"6-4,6-3",T. Johansson,G. Blanco,,,SWE,ESP,6-4,6-3,,,,01:16:00,257,/en/stats/leaderboard?page=serve,1,6,35,18,52,78,14,18,62,21,34,1,9,206,/en/stats/leaderboard?page=serve,4,4,62,48,77,60,29,48,34,10,29,67,10,15,10,67,35,52,49,38,77,57,73,129,51,39,77,33,17,52,43,56,129,A,,,,,33,3,,,,T. Johansson,G. Blanco,J129,B518,SWE,ESP,,
7308,1997,Adelaide,GP,1996-12-30T00:00:00,1997-01-05T00:00:00,Hard,32,303000,$,MS023,R32,02:13:00,,F,3,O099,"6-7(5),6-4,7-6(11)",A. O'Brien,M. Goellner,,,USA,GER,6-7(5),6-4,7-6(11),,,02:13:00,313,/en/stats/leaderboard?page=serve,1,13,65,75,115,79,59,75,63,25,40,4,17,288,/en/stats/leaderboard?page=serve,7,14,53,57,107,82,47,57,58,29,50,50,2,4,17,73,84,115,29,31,107,52,115,222,71,76,107,27,31,115,48,107,222,A,5,7,,,80,5,11,9,,A. O'Brien,M. Goellner,O099,G252,USA,GER,,
7308,1997,Adelaide,GP,1996-12-30T00:00:00,1997-01-05T00:00:00,Hard,32,303000,$,MS024,R32,01:12:00,,F,2,P273,"6-3,6-2",D. Prinosil,S. Dosedel,,,GER,CZE,6-3,6-2,,,,01:12:00,272,/en/stats/leaderboard?page=serve,2,9,51,33,65,79,26,33,47,15,32,5,9,202,/en/stats/leaderboard?page=serve,2,2,48,28,58,61,17,28,43,13,30,60,6,10,8,63,41,65,48,28,58,56,69,123,52,30,58,37,24,65,44,54,123,A,,,,,83,6,,,,D. Prinosil,S. Dosedel,P273,D198,GER,CZE,,
7308,1997,Adelaide,GP,1996-12-30T00:00:00,1997-01-05T00:00:00,Hard,32,303000,$,MS025,R32,01:07:00,,F,2,T136,"6-3,6-3",J. Tarango,M. Damm,,,USA,CZE,6-3,6-3,,,,01:07:00,285,/en/stats/leaderboard?page=serve,3,1,63,33,52,73,24,33,63,12,19,1,9,221,/en/stats/leaderboard?page=serve,1,6,56,30,54,63,19,30,42,10,24,43,3,7,9,69,36,52,46,25,54,58,61,106,54,29,54,31,16,52,42,45,106,A,,,,,50,2,,,,J. Tarango,M. Damm,T136,D214,USA,CZE,,
7308,1997,Adelaide,GP,1996-12-30T00:00:00,1997-01-05T00:00:00,Hard,32,303000,$,MS026,R32,01:04:00,,F,2,B446,"7-5,6-1",J. Bjorkman,N. Kulti,,,SWE,SWE,7-5,6-1,,,,01:04:00,284,/en/stats/leaderboard?page=serve,1,5,52,30,58,77,23,30,61,17,28,4,10,220,/en/stats/leaderboard?page=serve,2,5,55,28,51,68,19,28,39,9,23,43,3,7,9,69,40,58,45,23,51,58,63,109,55,28,51,31,18,58,42,46,109,A,,,,,80,5,,,,J. Bjorkman,N. Kulti,B446,K181,SWE,SWE,,
7308,1997,Adelaide,GP,1996-12-30T00:00:00,1997-01-05T00:00:00,Hard,32,303000,$,MS027,R32,00:47:00,,F,2,S403,"6-1,6-1",J. Stark,A. Medvedev,,,USA,UKR,6-1,6-1,,,,00:47:00,283,/en/stats/leaderboard?page=serve,,4,63,24,38,88,21,24,57,8,14,0,7,186,/en/stats/leaderboard?page=serve,4,0,85,40,47,48,19,40,29,2,7,55,6,11,7,76,29,38,55,26,47,65,55,85,45,21,47,24,9,38,35,30,85,A,,,,,,,,,False,J. Stark,A. Medvedev,S403,M475,USA,UKR,,
7308,1997,Adelaide,GP,1996-12-30T00:00:00,1997-01-05T00:00:00,Hard,32,303000,$,MS028,R32,01:03:00,,F,2,U032,"6-4,6-4",B. Ulihrach,N. Pereira,,,CZE,VEN,6-4,6-4,,,,01:03:00,213,/en/stats/leaderboard?page=serve,2,2,49,24,49,92,22,24,72,18,25,0,10,274,/en/stats/leaderboard?page=serve,2,5,65,34,52,76,26,34,50,9,18,33,1,3,10,82,40,49,33,17,52,56,57,101,67,35,52,18,9,49,44,44,101,A,,,,,0,,,,,B. Ulihrach,N. Pereira,U032,P218,CZE,VEN,,
7308,1997,Adelaide,GP,1996-12-30T00:00:00,1997-01-05T00:00:00,Hard,32,303000,$,MS029,R32,01:32:00,,F,3,D270,"6-3,3-6,6-3",S. Draper,A. Radulescu,,,AUS,GER,6-3,3-6,6-3,,,01:32:00,299,/en/stats/leaderboard?page=serve,2,11,57,47,82,70,33,47,71,25,35,3,14,274,/en/stats/leaderboard?page=serve,2,7,53,41,77,76,31,41,56,20,36,33,1,3,13,71,58,82,34,26,77,53,84,159,66,51,77,29,24,82,47,75,159,A,,,,,75,4,,,,S. Draper,A. Radulescu,D270,R284,AUS,GER,,
7308,1997,Adelaide,GP,1996-12-30T00:00:00,1997-01-05T00:00:00,Hard,32,303000,$,MS030,R32,01:28:00,,F,3,K237,"6-1,4-6,6-0",K. Kucera,S. Stolle,,,SVK,AUS,6-1,4-6,6-0,,,01:28:00,264,/en/stats/leaderboard?page=serve,1,2,41,28,68,79,22,28,60,24,40,1,12,184,/en/stats/leaderboard?page=serve,9,0,51,38,74,61,23,38,36,13,36,54,7,13,11,68,46,68,51,38,74,59,84,142,49,36,74,32,22,68,41,58,142,A,,,,,33,3,,,,K. Kucera,S. Stolle,K237,S443,SVK,AUS,,
7308,1997,Adelaide,GP,1996-12-30T00:00:00,1997-01-05T00:00:00,Hard,32,303000,$,MS031,R32,01:01:00,,F,2,W035,"6-3,6-3",M. Woodforde,R. Fromberg,,,AUS,AUS,6-3,6-3,,,,01:01:00,239,/en/stats/leaderboard?page=serve,2,5,71,39,55,82,32,39,50,8,16,0,9,245,/en/stats/leaderboard?page=serve,3,4,69,37,54,62,23,37,47,8,17,40,2,5,9,73,40,55,43,23,54,58,63,109,57,31,54,27,15,55,42,46,109,A,,,,,,,,,,M. Woodforde,R. Fromberg,W035,F164,AUS,AUS,,
