event_id,event_year,tourney_name,level,start_date,end_date,surface,singles_draw_size,prize_money,prize_money_currency,match_id,round,match_time_total,match_message,match_status,num_sets,winner_flag_raw,score_string,winner_player_name,loser_player_name,winner_seed,loser_seed,winner_country,loser_country,set1_score,set2_score,set3_score,set4_score,set5_score,match_date,tiebreak_set1_winner,tiebreak_set1_loser,serverating_tot_winner,serveratinglink_tot_winner,doublefaults_isstatbetter_tot_winner,aces_tot_winner,firstserve_percent_tot_winner,firstserve_dividend_tot_winner,firstserve_divisor_tot_winner,firstservepointswon_percent_tot_winner,firstservepointswon_dividend_tot_winner,firstservepointswon_divisor_tot_winner,secondservepointswon_percent_tot_winner,secondservepointswon_dividend_tot_winner,secondservepointswon_divisor_tot_winner,breakpointssaved_percent_tot_winner,breakpointssaved_dividend_tot_winner,breakpointssaved_divisor_tot_winner,servicegamesplayed_tot_winner,serverating_tot_loser,serveratinglink_tot_loser,doublefaults_tot_loser,aces_tot_loser,firstserve_percent_tot_loser,firstserve_dividend_tot_loser,firstserve_divisor_tot_loser,firstservepointswon_percent_tot_loser,firstservepointswon_dividend_tot_loser,firstservepointswon_divisor_tot_loser,secondservepointswon_percent_tot_loser,secondservepointswon_dividend_tot_loser,secondservepointswon_divisor_tot_loser,breakpointssaved_percent_tot_loser,breakpointssaved_dividend_tot_loser,breakpointssaved_divisor_tot_loser,servicegamesplayed_tot_loser,totalservicepointswon_percent_tot_winner,totalservicepointswon_dividend_tot_winner,totalservicepointswon_divisor_tot_winner,totalreturnpointswon_percent_tot_winner,totalreturnpointswon_dividend_tot_winner,totalreturnpointswon_divisor_tot_winner,totalpointswon_percent_tot_winner,totalpointswon_dividend_tot_winner,totalpointswon_divisor_tot_winner,totalservicepointswon_percent_tot_loser,totalservicepointswon_dividend_tot_loser,totalservicepointswon_divisor_tot_loser,totalreturnpointswon_percent_tot_loser,totalreturnpointswon_dividend_tot_loser,totalreturnpointswon_divisor_tot_loser,totalpointswon_percent_tot_loser,totalpointswon_dividend_tot_loser,totalpointswon_divisor_tot_loser,winner_flag,doublefaults_tot_winner,doublefaults_isstatbetter_tot_loser,tiebreak_set3_winner,tiebreak_set3_loser,tiebreak_set2_winner,tiebreak_set2_loser,player_winner,player_loser,player_id_winner,player_id_loser,country_winner,country_loser,seed_winner,seed_loser
310,1996,Porto,GP,1996-06-10T00:00:00,1996-06-16T00:00:00,Clay,32,400000,$,MS011,R16,01:09:00,,F,2,C216,"6-4,6-3",T. Carbonell,I. Truyol,,,ESP,ESP,6-4,6-3,,,,01:09:00,,,303,/en/stats/leaderboard?page=serve,,1,83,49,59,71,35,49,60,6,10,75,3,4,10,237,/en/stats/leaderboard?page=serve,,1,64,35,55,66,23,35,40,8,20,25,1,4,9,69,41,59,44,24,55,57,65,114,56,31,55,31,18,59,43,49,114,A,2,False,,,,,T. Carbonell,I. Truyol,C216,T206,ESP,ESP,,
310,1996,Porto,GP,1996-06-10T00:00:00,1996-06-16T00:00:00,Clay,32,400000,$,MS012,R16,01:09:00,,F,2,G247,"6-3,6-2",H. Gumy,A. Chesnokov,,,ARG,RUS,6-3,6-2,,,,01:09:00,,,279,/en/stats/leaderboard?page=serve,,2,61,30,49,83,25,30,47,9,19,50,1,2,9,193,/en/stats/leaderboard?page=serve,4,0,48,22,46,45,10,22,54,13,24,43,3,7,8,69,34,49,50,23,46,60,57,95,50,23,46,31,15,49,40,38,95,A,2,,,,,,H. Gumy,A. Chesnokov,G247,C031,ARG,RUS,,
310,1996,Porto,GP,1996-06-10T00:00:00,1996-06-16T00:00:00,Clay,32,400000,$,MS013,R16,02:18:00,,F,3,P235,"6-1,4-6,7-6(8)",S. Pescosolido,F. Clavet,,,ITA,ESP,6-1,4-6,7-6(8),,,02:18:00,,,263,/en/stats/leaderboard?page=serve,,5,52,49,95,71,35,49,59,27,46,67,6,9,15,252,/en/stats/leaderboard?page=serve,6,1,73,68,93,65,44,68,48,12,25,56,5,9,14,65,62,95,40,37,93,53,99,188,60,56,93,35,33,95,47,89,188,A,4,,8,6,,,S. Pescosolido,F. Clavet,P235,C252,ITA,ESP,,
310,1996,Porto,GP,1996-06-10T00:00:00,1996-06-16T00:00:00,Clay,32,400000,$,MS014,R16,01:14:00,,F,2,F164,"6-2,7-5",R. Fromberg,N. Lapentti,,,AUS,ECU,6-2,7-5,,,,01:14:00,,,288,/en/stats/leaderboard?page=serve,False,6,52,28,54,75,21,28,65,17,26,0,0,1,10,225,/en/stats/leaderboard?page=serve,3,2,47,30,64,63,19,30,56,19,34,50,4,8,10,70,38,54,41,26,64,54,64,118,59,38,64,30,16,54,46,54,118,A,,,,,,,R. Fromberg,N. Lapentti,F164,L290,AUS,ECU,,
310,1996,Porto,GP,1996-06-10T00:00:00,1996-06-16T00:00:00,Clay,32,400000,$,MS015,R16,00:53:00,,F,2,R219,"6-1,6-1",C. Ruud,S. Noszaly,,,NOR,HUN,6-1,6-1,,,,00:53:00,,,262,/en/stats/leaderboard?page=serve,,1,65,32,49,75,24,32,53,9,17,,0,,7,162,/en/stats/leaderboard?page=serve,4,3,53,24,45,58,14,24,24,5,21,38,3,8,7,67,33,49,58,26,45,63,59,94,42,19,45,33,16,49,37,35,94,A,3,,,,,,C. Ruud,S. Noszaly,R219,N112,NOR,HUN,,
310,1996,Porto,GP,1996-06-10T00:00:00,1996-06-16T00:00:00,Clay,32,400000,$,MS016,R32,01:21:00,,F,2,M605,"7-6(7),6-2",C. Moya,J. Alonso,,,ESP,ESP,7-6(7),6-2,,,,01:21:00,7,3,235,/en/stats/leaderboard?page=serve,,5,63,50,79,68,34,50,34,10,29,67,6,9,10,195,/en/stats/leaderboard?page=serve,3,1,52,35,67,54,19,35,41,13,32,50,5,10,10,56,44,79,52,35,67,54,79,146,48,32,67,44,35,79,46,67,146,A,5,,,,,,C. Moya,J. Alonso,M605,A272,ESP,ESP,,
310,1996,Porto,GP,1996-06-10T00:00:00,1996-06-16T00:00:00,Clay,32,400000,$,MS017,R32,01:11:00,,F,2,M406,"6-1,6-2",B. Mota,E. Sanchez,,,POR,ESP,6-1,6-2,,,,01:11:00,,,290,/en/stats/leaderboard?page=serve,False,5,52,23,44,70,16,23,76,16,21,0,0,1,8,176,/en/stats/leaderboard?page=serve,,0,63,34,54,50,17,34,35,7,20,38,3,8,7,73,32,44,56,30,54,63,62,98,44,24,54,27,12,44,37,36,98,A,,False,,,,,B. Mota,E. Sanchez,M406,S014,POR,ESP,,
310,1996,Porto,GP,1996-06-10T00:00:00,1996-06-16T00:00:00,Clay,32,400000,$,MS018,R32,01:29:00,,F,2,V167,"6-3,6-3",J. Van Herck,L. Burgsmuller,,,BEL,GER,6-3,6-3,,,,01:29:00,,,258,/en/stats/leaderboard?page=serve,,0,64,42,66,60,25,42,58,14,24,67,4,6,9,189,/en/stats/leaderboard?page=serve,4,4,49,37,75,59,22,37,37,14,38,38,3,8,9,59,39,66,52,39,75,55,78,141,48,36,75,41,27,66,45,63,141,A,1,,,,,,J. Van Herck,L. Burgsmuller,V167,B484,BEL,GER,,
310,1996,Porto,GP,1996-06-10T00:00:00,1996-06-16T00:00:00,Clay,32,400000,$,MS019,R32,01:11:00,,F,2,C009,"6-0,6-3",O. Camporese,F. Dewulf,,,ITA,BEL,6-0,6-3,,,,01:11:00,,,262,/en/stats/leaderboard?page=serve,,8,56,31,55,74,23,31,63,15,24,,0,,8,184,/en/stats/leaderboard?page=serve,3,3,38,20,52,60,12,20,44,14,32,56,5,9,7,69,38,55,50,26,52,60,64,107,50,26,52,31,17,55,40,43,107,A,1,,,,,,O. Camporese,F. Dewulf,C009,D228,ITA,BEL,,
310,1996,Porto,GP,1996-06-10T00:00:00,1996-06-16T00:00:00,Clay,32,400000,$,MS020,R32,01:34:00,,F,3,T166,"6-3,3-6,6-0",M. Tillstrom,A. Berasategui,,,SWE,ESP,6-3,3-6,6-0,,,01:34:00,,,273,/en/stats/leaderboard?page=serve,,4,55,51,92,71,36,51,54,22,41,75,3,4,12,236,/en/stats/leaderboard?page=serve,2,0,78,56,72,63,35,56,31,5,16,20,1,5,12,63,58,92,44,32,72,55,90,164,56,40,72,37,34,92,45,74,164,A,2,,,,,,M. Tillstrom,A. Berasategui,T166,B428,SWE,ESP,,
310,1996,Porto,GP,1996-06-10T00:00:00,1996-06-16T00:00:00,Clay,32,400000,$,MS021,R32,02:00:00,,F,3,M535,"6-2,4-6,6-2",F. Mantilla,G. Blanco,,,ESP,ESP,6-2,4-6,6-2,,,02:00:00,,,261,/en/stats/leaderboard?page=serve,False,4,61,50,82,64,32,50,56,18,32,50,3,6,13,211,/en/stats/leaderboard?page=serve,1,1,63,54,86,57,31,54,38,12,32,63,10,16,13,61,50,82,50,43,86,55,93,168,50,43,86,39,32,82,45,75,168,A,,,,,,,F. Mantilla,G. Blanco,M535,B518,ESP,ESP,,
