event_id,event_year,tourney_name,level,start_date,end_date,surface,singles_draw_size,prize_money,prize_money_currency,match_id,round,match_time_total,match_message,match_status,num_sets,winner_flag_raw,score_string,winner_player_name,loser_player_name,winner_seed,loser_seed,winner_country,loser_country,set1_score,set2_score,set3_score,set4_score,set5_score,match_date,tiebreak_set2_winner,tiebreak_set2_loser,tiebreak_set3_winner,tiebreak_set3_loser,serverating_tot_winner,serveratinglink_tot_winner,doublefaults_tot_winner,aces_tot_winner,firstserve_percent_tot_winner,firstserve_dividend_tot_winner,firstserve_divisor_tot_winner,firstservepointswon_percent_tot_winner,firstservepointswon_dividend_tot_winner,firstservepointswon_divisor_tot_winner,secondservepointswon_percent_tot_winner,secondservepointswon_dividend_tot_winner,secondservepointswon_divisor_tot_winner,breakpointssaved_percent_tot_winner,breakpointssaved_dividend_tot_winner,breakpointssaved_divisor_tot_winner,servicegamesplayed_tot_winner,serverating_tot_loser,serveratinglink_tot_loser,doublefaults_tot_loser,aces_tot_loser,firstserve_percent_tot_loser,firstserve_dividend_tot_loser,firstserve_divisor_tot_loser,firstservepointswon_percent_tot_loser,firstservepointswon_dividend_tot_loser,firstservepointswon_divisor_tot_loser,secondservepointswon_percent_tot_loser,secondservepointswon_dividend_tot_loser,secondservepointswon_divisor_tot_loser,breakpointssaved_percent_tot_loser,breakpointssaved_dividend_tot_loser,breakpointssaved_divisor_tot_loser,servicegamesplayed_tot_loser,totalservicepointswon_percent_tot_winner,totalservicepointswon_dividend_tot_winner,totalservicepointswon_divisor_tot_winner,totalreturnpointswon_percent_tot_winner,totalreturnpointswon_dividend_tot_winner,totalreturnpointswon_divisor_tot_winner,totalpointswon_percent_tot_winner,totalpointswon_dividend_tot_winner,totalpointswon_divisor_tot_winner,totalservicepointswon_percent_tot_loser,totalservicepointswon_dividend_tot_loser,totalservicepointswon_divisor_tot_loser,totalreturnpointswon_percent_tot_loser,totalreturnpointswon_dividend_tot_loser,totalreturnpointswon_divisor_tot_loser,totalpointswon_percent_tot_loser,totalpointswon_dividend_tot_loser,totalpointswon_divisor_tot_loser,winner_flag,tiebreak_set1_winner,tiebreak_set1_loser,tiebreak_set4_winner,tiebreak_set4_loser,player_winner,player_loser,player_id_winner,player_id_loser,country_winner,country_loser,seed_winner,seed_loser
540,2006,Wimbledon,GS,2006-06-26T00:00:00,2006-07-09T00:00:00,Grass,128,8847338,$,MS066,R128,02:32:00,,F,4,M873,"6-7(3),7-5,6-1,6-4",N. Mahut,J. Melzer,,,FRA,AUT,6-7(3),7-5,6-1,6-4,,02:32:00,,,,,340,/en/stats/leaderboard?page=serve,5,19,72,81,112,83,67,81,71,22,31,100,4,4,21,267,/en/stats/leaderboard?page=serve,9,12,63,81,128,70,57,81,51,24,47,43,3,7,20,79,89,112,37,47,128,57,136,240,63,81,128,21,23,112,43,104,240,A,3.0,7.0,,,N. Mahut,J. Melzer,M873,M762,FRA,AUT,,
540,2006,Wimbledon,GS,2006-06-26T00:00:00,2006-07-09T00:00:00,Grass,128,8847338,$,MS067,R128,01:47:00,,F,3,V309,"6-4,7-5,6-2",K. Vliegen,J. Novak,,,BEL,CZE,6-4,7-5,6-2,,,01:47:00,,,,,309,/en/stats/leaderboard?page=serve,3,9,66,61,92,85,52,61,52,16,31,100,3,3,15,264,/en/stats/leaderboard?page=serve,2,8,72,70,97,61,43,70,52,14,27,50,4,8,15,74,68,92,41,40,97,57,108,189,59,57,97,26,24,92,43,81,189,A,,,,,K. Vliegen,J. Novak,V309,N254,BEL,CZE,,
540,2006,Wimbledon,GS,2006-06-26T00:00:00,2006-07-09T00:00:00,Grass,128,8847338,$,MS068,R128,02:00:00,,F,3,H355,"7-6(7),7-5,6-4",T. Haas,J. Vanek,,,GER,CZE,7-6(7),7-5,6-4,,,02:00:00,,,,,295,/en/stats/leaderboard?page=serve,5,9,61,58,95,83,48,58,59,22,37,50,2,4,17,257,/en/stats/leaderboard?page=serve,3,11,70,85,121,72,61,85,31,11,36,81,17,21,17,74,70,95,40,49,121,55,119,216,60,72,121,26,25,95,45,97,216,A,7.0,2.0,,,T. Haas,J. Vanek,H355,V207,GER,CZE,,
540,2006,Wimbledon,GS,2006-06-26T00:00:00,2006-07-09T00:00:00,Grass,128,8847338,$,MS069,R128,01:18:00,,F,3,B977,"6-1,6-2,6-2",R. Bloomfield,C. Berlocq,,,GBR,ARG,6-1,6-2,6-2,,,01:18:00,,,,,314,/en/stats/leaderboard?page=serve,4,10,52,33,64,85,28,33,71,22,31,100,1,1,12,183,/en/stats/leaderboard?page=serve,9,0,51,37,73,54,20,37,42,15,36,57,8,14,11,78,50,64,52,38,73,64,88,137,48,35,73,22,14,64,36,49,137,A,,,,,R. Bloomfield,C. Berlocq,B977,B884,GBR,ARG,,
540,2006,Wimbledon,GS,2006-06-26T00:00:00,2006-07-09T00:00:00,Grass,128,8847338,$,MS070,R128,02:28:00,,F,4,S424,"7-6(7),6-3,3-6,6-1",F. Santoro,W. Arthurs,,,FRA,AUS,7-6(7),6-3,3-6,6-1,,02:28:00,,,,,300,/en/stats/leaderboard?page=serve,2,6,66,73,110,77,56,73,59,22,37,0,0,1,19,271,/en/stats/leaderboard?page=serve,7,17,53,68,128,75,51,68,50,30,60,73,8,11,18,71,78,110,37,47,128,53,125,238,63,81,128,29,32,110,47,113,238,A,7.0,3.0,,,F. Santoro,W. Arthurs,S424,A202,FRA,AUS,,
540,2006,Wimbledon,GS,2006-06-26T00:00:00,2006-07-09T00:00:00,Grass,128,8847338,$,MS071,R128,01:45:00,,F,3,BA47,"6-3,6-4,7-5",T. Berdych,J. Hernych,,,CZE,CZE,6-3,6-4,7-5,,,01:45:00,,,,,292,/en/stats/leaderboard?page=serve,3,13,54,51,95,78,40,51,57,25,44,80,4,5,16,249,/en/stats/leaderboard?page=serve,2,2,69,59,85,69,41,59,38,10,26,33,2,6,15,68,65,95,40,34,85,55,99,180,60,51,85,32,30,95,45,81,180,A,,,,,T. Berdych,J. Hernych,BA47,H442,CZE,CZE,,
540,2006,Wimbledon,GS,2006-06-26T00:00:00,2006-07-09T00:00:00,Grass,128,8847338,$,MS072,R128,02:22:00,,F,4,R419,"6-2,6-2,5-7,7-6(7)",T. Robredo,S. Greul,,,ESP,GER,6-2,6-2,5-7,7-6(7),,02:22:00,,,,,287,/en/stats/leaderboard?page=serve,2,4,76,89,117,74,66,89,50,14,28,57,4,7,20,244,/en/stats/leaderboard?page=serve,4,3,65,86,132,64,55,86,46,21,46,33,3,9,20,68,80,117,42,56,132,55,136,249,58,76,132,32,37,117,45,113,249,A,,,7.0,3.0,T. Robredo,S. Greul,R419,G511,ESP,GER,,
540,2006,Wimbledon,GS,2006-06-26T00:00:00,2006-07-09T00:00:00,Grass,128,8847338,$,MS073,R128,02:04:00,,F,3,D643,"6-3,6-2,7-6(7)",N. Djokovic,P. Goldstein,,,SRB,USA,6-3,6-2,7-6(7),,,02:04:00,,,7.0,3.0,277,/en/stats/leaderboard?page=serve,4,8,60,59,98,78,46,59,49,19,39,67,4,6,15,229,/en/stats/leaderboard?page=serve,5,1,49,43,87,72,31,43,48,21,44,38,3,8,14,66,65,98,40,35,87,54,100,185,60,52,87,34,33,98,46,85,185,A,,,,,N. Djokovic,P. Goldstein,D643,G333,SRB,USA,,
540,2006,Wimbledon,GS,2006-06-26T00:00:00,2006-07-09T00:00:00,Grass,128,8847338,$,MS074,R128,01:15:00,,F,3,Y061,"6-0,6-4,6-1",M. Youzhny,P. Starace,,,RUS,ITA,6-0,6-4,6-1,,,01:15:00,,,,,332,/en/stats/leaderboard?page=serve,1,3,71,40,56,78,31,40,81,13,16,0,0,0,11,189,/en/stats/leaderboard?page=serve,2,1,67,62,93,56,35,62,26,8,31,36,4,11,12,79,44,56,54,50,93,63,94,149,46,43,93,21,12,56,37,55,149,A,,,,,M. Youzhny,P. Starace,Y061,S843,RUS,ITA,,
540,2006,Wimbledon,GS,2006-06-26T00:00:00,2006-07-09T00:00:00,Grass,128,8847338,$,MS075,R128,02:57:00,,F,4,K403,"5-7,7-6(9),6-3,6-4",I. Kunitsyn,G. Monfils,,,RUS,FRA,5-7,7-6(9),6-3,6-4,,02:57:00,9.0,7.0,,,284,/en/stats/leaderboard?page=serve,1,0,73,131,179,63,83,131,63,30,48,85,17,20,22,280,/en/stats/leaderboard?page=serve,1,13,57,70,123,76,53,70,55,29,53,20,1,5,21,63,113,179,33,41,123,51,154,302,67,82,123,37,66,179,49,148,302,A,,,,,I. Kunitsyn,G. Monfils,K403,MC65,RUS,FRA,,
