event_id,event_year,tourney_name,level,start_date,end_date,surface,singles_draw_size,prize_money,prize_money_currency,match_id,round,match_time_total,match_message,match_status,num_sets,winner_flag_raw,score_string,winner_player_name,loser_player_name,winner_seed,loser_seed,winner_country,loser_country,set1_score,set2_score,set3_score,set4_score,set5_score,match_date,tiebreak_set3_winner,tiebreak_set3_loser,serverating_tot_winner,serveratinglink_tot_winner,doublefaults_tot_winner,aces_tot_winner,firstserve_percent_tot_winner,firstserve_dividend_tot_winner,firstserve_divisor_tot_winner,firstservepointswon_percent_tot_winner,firstservepointswon_dividend_tot_winner,firstservepointswon_divisor_tot_winner,secondservepointswon_percent_tot_winner,secondservepointswon_dividend_tot_winner,secondservepointswon_divisor_tot_winner,breakpointssaved_percent_tot_winner,breakpointssaved_dividend_tot_winner,breakpointssaved_divisor_tot_winner,servicegamesplayed_tot_winner,serverating_tot_loser,serveratinglink_tot_loser,doublefaults_tot_loser,aces_tot_loser,firstserve_percent_tot_loser,firstserve_dividend_tot_loser,firstserve_divisor_tot_loser,firstservepointswon_percent_tot_loser,firstservepointswon_dividend_tot_loser,firstservepointswon_divisor_tot_loser,secondservepointswon_percent_tot_loser,secondservepointswon_dividend_tot_loser,secondservepointswon_divisor_tot_loser,breakpointssaved_percent_tot_loser,breakpointssaved_dividend_tot_loser,breakpointssaved_divisor_tot_loser,servicegamesplayed_tot_loser,totalservicepointswon_percent_tot_winner,totalservicepointswon_dividend_tot_winner,totalservicepointswon_divisor_tot_winner,totalreturnpointswon_percent_tot_winner,totalreturnpointswon_dividend_tot_winner,totalreturnpointswon_divisor_tot_winner,totalpointswon_percent_tot_winner,totalpointswon_dividend_tot_winner,totalpointswon_divisor_tot_winner,totalservicepointswon_percent_tot_loser,totalservicepointswon_dividend_tot_loser,totalservicepointswon_divisor_tot_loser,totalreturnpointswon_percent_tot_loser,totalreturnpointswon_dividend_tot_loser,totalreturnpointswon_divisor_tot_loser,totalpointswon_percent_tot_loser,totalpointswon_dividend_tot_loser,totalpointswon_divisor_tot_loser,winner_flag,tiebreak_set2_winner,tiebreak_set2_loser,tiebreak_set1_winner,tiebreak_set1_loser,tiebreak_set4_winner,tiebreak_set4_loser,player_winner,player_loser,player_id_winner,player_id_loser,country_winner,country_loser,seed_winner,seed_loser
540,2004,Wimbledon,GS,2004-06-21T00:00:00,2004-07-04T00:00:00,Grass,128,8328704,$,MS111,R128,02:28:00,,F,4,A385,"6-7(5),6-4,6-3,6-4",M. Ancic,L. Horna,,,CRO,PER,6-7(5),6-4,6-3,6-4,,02:28:00,,,316,/en/stats/leaderboard?page=serve,5,17,69,79,115,87,69,79,53,19,36,75,3,4,21,271,/en/stats/leaderboard?page=serve,5,1,74,100,135,67,67,100,54,19,35,69,9,13,20,77,88,115,36,49,135,55,137,250,64,86,135,23,27,115,45,113,250,A,,,5.0,7.0,,,M. Ancic,L. Horna,A385,H390,CRO,PER,,
540,2004,Wimbledon,GS,2004-06-21T00:00:00,2004-07-04T00:00:00,Grass,128,8328704,$,MS112,R128,02:52:00,,F,5,S636,"4-6,6-3,7-6(7),1-6,6-2",R. Schuettler,R. Soderling,,,GER,SWE,4-6,6-3,7-6(7),1-6,6-2,02:52:00,7.0,5.0,281,/en/stats/leaderboard?page=serve,3,10,68,94,138,72,68,94,55,24,44,38,3,8,24,259,/en/stats/leaderboard?page=serve,6,11,60,94,156,73,69,94,40,25,62,60,6,10,22,67,92,138,40,62,156,52,154,294,60,94,156,33,46,138,48,140,294,A,,,,,,,R. Schuettler,R. Soderling,S636,SA49,GER,SWE,,
540,2004,Wimbledon,GS,2004-06-21T00:00:00,2004-07-04T00:00:00,Grass,128,8328704,$,MS113,R128,01:58:00,,F,4,R237,"7-5,4-6,6-2,6-2",G. Rusedski,D. Sanguinetti,,,GBR,ITA,7-5,4-6,6-2,6-2,,01:58:00,,,319,/en/stats/leaderboard?page=serve,5,20,57,59,103,85,50,59,68,30,44,86,6,7,19,248,/en/stats/leaderboard?page=serve,7,6,65,77,118,70,54,77,41,17,41,50,5,10,19,78,80,103,40,47,118,57,127,221,60,71,118,22,23,103,43,94,221,A,,,,,,,G. Rusedski,D. Sanguinetti,R237,S480,GBR,ITA,,
540,2004,Wimbledon,GS,2004-06-21T00:00:00,2004-07-04T00:00:00,Grass,128,8328704,$,MS114,R128,02:37:00,,F,4,M535,"7-6(7),4-6,7-5,6-1",F. Mantilla,K. Pless,,,ESP,DEN,7-6(7),4-6,7-5,6-1,,02:37:00,,,258,/en/stats/leaderboard?page=serve,8,4,56,77,137,73,56,77,48,29,60,75,9,12,21,245,/en/stats/leaderboard?page=serve,13,19,50,75,150,73,55,75,41,31,75,72,13,18,20,62,85,137,43,64,150,52,149,287,57,86,150,38,52,137,48,138,287,A,,,7.0,5.0,,,F. Mantilla,K. Pless,M535,P491,ESP,DEN,,
540,2004,Wimbledon,GS,2004-06-21T00:00:00,2004-07-04T00:00:00,Grass,128,8328704,$,MS115,R128,01:36:00,,F,3,S544,"6-2,6-4,6-2",V. Spadea,T. Reid,,,USA,AUS,6-2,6-4,6-2,,,01:36:00,,,279,/en/stats/leaderboard?page=serve,6,8,53,48,90,77,37,48,55,23,42,80,4,5,13,224,/en/stats/leaderboard?page=serve,1,2,73,71,97,55,39,71,42,11,26,54,7,13,13,67,60,90,48,47,97,57,107,187,52,50,97,33,30,90,43,80,187,A,,,,,,,V. Spadea,T. Reid,S544,R583,USA,AUS,,
540,2004,Wimbledon,GS,2004-06-21T00:00:00,2004-07-04T00:00:00,Grass,128,8328704,$,MS116,R128,02:06:00,,F,4,C514,"6-4,4-6,6-0,6-2",J. Chela,L. Burgsmuller,,,ARG,GER,6-4,4-6,6-0,6-2,,02:06:00,,,290,/en/stats/leaderboard?page=serve,3,4,71,79,111,71,56,79,59,19,32,78,7,9,17,213,/en/stats/leaderboard?page=serve,3,0,61,65,106,63,41,65,34,14,41,42,5,12,17,68,75,111,48,51,106,58,126,217,52,55,106,32,36,111,42,91,217,A,,,,,,,J. Chela,L. Burgsmuller,C514,B484,ARG,GER,,
540,2004,Wimbledon,GS,2004-06-21T00:00:00,2004-07-04T00:00:00,Grass,128,8328704,$,MS117,R128,02:40:00,,F,4,E113,"4-6,7-6(7),6-4,7-6(7)",T. Enqvist,G. Blanco,,,SWE,ESP,4-6,7-6(7),6-4,7-6(7),,02:40:00,,,290,/en/stats/leaderboard?page=serve,9,16,58,76,132,75,57,76,64,36,56,63,5,8,22,272,/en/stats/leaderboard?page=serve,10,22,50,77,153,74,57,77,50,38,76,50,3,6,22,70,93,132,38,58,153,53,151,285,62,95,153,30,39,132,47,134,285,A,7.0,2.0,,,7.0,1.0,T. Enqvist,G. Blanco,E113,B518,SWE,ESP,,
540,2004,Wimbledon,GS,2004-06-21T00:00:00,2004-07-04T00:00:00,Grass,128,8328704,$,MS118,R128,03:44:00,,F,5,M442,"4-6,6-3,7-6(7),4-6,9-7",T. Martin,G. Canas,,,USA,ARG,4-6,6-3,7-6(7),4-6,9-7,03:44:00,7.0,1.0,305,/en/stats/leaderboard?page=serve,5,18,63,115,183,77,88,115,59,40,68,83,10,12,29,292,/en/stats/leaderboard?page=serve,9,11,68,127,186,71,90,127,59,35,59,80,8,10,28,70,128,183,33,61,186,51,189,369,67,125,186,30,55,183,49,180,369,A,,,,,,,T. Martin,G. Canas,M442,C433,USA,ARG,,
540,2004,Wimbledon,GS,2004-06-21T00:00:00,2004-07-04T00:00:00,Grass,128,8328704,$,MS119,R128,01:18:00,,F,3,S572,"6-2,6-1,6-3",S. Schalken,L. Childs,,,NED,GBR,6-2,6-1,6-3,,,01:18:00,,,331,/en/stats/leaderboard?page=serve,0,6,67,39,58,90,35,39,68,13,19,0,0,0,12,203,/en/stats/leaderboard?page=serve,1,3,55,36,66,56,20,36,40,12,30,25,2,8,12,83,48,58,52,34,66,66,82,124,48,32,66,17,10,58,34,42,124,A,,,,,,,S. Schalken,L. Childs,S572,C627,NED,GBR,,
540,2004,Wimbledon,GS,2004-06-21T00:00:00,2004-07-04T00:00:00,Grass,128,8328704,$,MS120,R128,01:55:00,,F,3,P395,"6-2,6-4,6-4",A. Popp,N. Massu,,,GER,CHI,6-2,6-4,6-4,,,01:55:00,,,299,/en/stats/leaderboard?page=serve,8,2,77,67,87,78,52,67,50,10,20,100,3,3,14,240,/en/stats/leaderboard?page=serve,5,9,54,57,106,68,39,57,43,21,49,76,13,17,14,71,62,87,43,46,106,56,108,193,57,60,106,29,25,87,44,85,193,A,,,,,,,A. Popp,N. Massu,P395,M655,GER,CHI,,
