event_id,event_year,tourney_name,level,start_date,end_date,surface,singles_draw_size,prize_money,prize_money_currency,match_id,round,match_time_total,match_message,match_status,num_sets,winner_flag_raw,score_string,winner_player_name,loser_player_name,winner_seed,loser_seed,winner_country,loser_country,set1_score,set2_score,set3_score,set4_score,set5_score,match_date,tiebreak_set1_winner,tiebreak_set1_loser,tiebreak_set3_winner,tiebreak_set3_loser,serverating_tot_winner,serveratinglink_tot_winner,doublefaults_tot_winner,aces_tot_winner,firstserve_percent_tot_winner,firstserve_dividend_tot_winner,firstserve_divisor_tot_winner,firstservepointswon_percent_tot_winner,firstservepointswon_dividend_tot_winner,firstservepointswon_divisor_tot_winner,secondservepointswon_percent_tot_winner,secondservepointswon_dividend_tot_winner,secondservepointswon_divisor_tot_winner,breakpointssaved_percent_tot_winner,breakpointssaved_dividend_tot_winner,breakpointssaved_divisor_tot_winner,servicegamesplayed_tot_winner,serverating_tot_loser,serveratinglink_tot_loser,doublefaults_tot_loser,aces_tot_loser,firstserve_percent_tot_loser,firstserve_dividend_tot_loser,firstserve_divisor_tot_loser,firstservepointswon_percent_tot_loser,firstservepointswon_dividend_tot_loser,firstservepointswon_divisor_tot_loser,secondservepointswon_percent_tot_loser,secondservepointswon_dividend_tot_loser,secondservepointswon_divisor_tot_loser,breakpointssaved_percent_tot_loser,breakpointssaved_dividend_tot_loser,breakpointssaved_divisor_tot_loser,servicegamesplayed_tot_loser,totalservicepointswon_percent_tot_winner,totalservicepointswon_dividend_tot_winner,totalservicepointswon_divisor_tot_winner,totalreturnpointswon_percent_tot_winner,totalreturnpointswon_dividend_tot_winner,totalreturnpointswon_divisor_tot_winner,totalpointswon_percent_tot_winner,totalpointswon_dividend_tot_winner,totalpointswon_divisor_tot_winner,totalservicepointswon_percent_tot_loser,totalservicepointswon_dividend_tot_loser,totalservicepointswon_divisor_tot_loser,totalreturnpointswon_percent_tot_loser,totalreturnpointswon_dividend_tot_loser,totalreturnpointswon_divisor_tot_loser,totalpointswon_percent_tot_loser,totalpointswon_dividend_tot_loser,totalpointswon_divisor_tot_loser,winner_flag,tiebreak_set2_winner,tiebreak_set2_loser,doublefaults_isstatbetter_tot_winner,doublefaults_isstatbetter_tot_loser,player_winner,player_loser,player_id_winner,player_id_loser,country_winner,country_loser,seed_winner,seed_loser
409,1998,Atlanta,WS,1998-04-27T00:00:00,1998-05-03T00:00:00,Clay,32,315000,$,MS021,R32,01:46:00,,F,3,C361,"4-6,6-2,6-4",A. Calatrava,G. Stafford,,,ESP,RSA,4-6,6-2,6-4,,,01:46:00,,,,,278,/en/stats/leaderboard?page=serve,2,11,72,71,99,65,46,71,54,15,28,75,9,12,14,229,/en/stats/leaderboard?page=serve,2,6,46,36,78,72,26,36,43,18,42,29,2,7,14,62,61,99,44,34,78,54,95,177,56,44,78,38,38,99,46,82,177,A,,,,,A. Calatrava,G. Stafford,C361,S406,ESP,RSA,,
409,1998,Atlanta,WS,1998-04-27T00:00:00,1998-05-03T00:00:00,Clay,32,315000,$,MS022,R32,01:03:00,,F,2,C355,"6-3,6-4",S. Campbell,S. Lareau,,,USA,CAN,6-3,6-4,,,,01:03:00,,,,,286,/en/stats/leaderboard?page=serve,2,4,63,36,57,83,30,36,48,10,21,67,2,3,10,243,/en/stats/leaderboard?page=serve,1,2,59,30,51,60,18,30,57,12,21,50,3,6,9,70,40,57,41,21,51,56,61,108,59,30,51,30,17,57,44,47,108,A,,,,,S. Campbell,S. Lareau,C355,L226,USA,CAN,,
409,1998,Atlanta,WS,1998-04-27T00:00:00,1998-05-03T00:00:00,Clay,32,315000,$,MS023,R32,01:56:00,,F,3,G352,"0-6,7-6(7),7-5",J. Gambill,M. Zabaleta,,,USA,ARG,0-6,7-6(7),7-5,,,01:56:00,,,,,199,/en/stats/leaderboard?page=serve,14,6,41,39,95,77,30,39,36,20,56,50,7,14,15,238,/en/stats/leaderboard?page=serve,5,0,69,66,96,58,38,66,50,15,30,58,7,12,15,53,50,95,45,43,96,49,93,191,55,53,96,47,45,95,51,98,191,A,7,2,,,J. Gambill,M. Zabaleta,G352,Z073,USA,ARG,,
409,1998,Atlanta,WS,1998-04-27T00:00:00,1998-05-03T00:00:00,Clay,32,315000,$,MS024,R32,01:21:00,,F,2,P280,"6-4,6-4",A. Pavel,S. Sargsian,,,ROU,ARM,6-4,6-4,,,,01:21:00,,,,,247,/en/stats/leaderboard?page=serve,1,1,70,48,69,69,33,48,38,8,21,67,6,9,10,203,/en/stats/leaderboard?page=serve,1,1,56,36,64,61,22,36,36,10,28,29,2,7,10,59,41,69,50,32,64,55,73,133,50,32,64,41,28,69,45,60,133,A,,,,,A. Pavel,S. Sargsian,P280,S545,ROU,ARM,,
409,1998,Atlanta,WS,1998-04-27T00:00:00,1998-05-03T00:00:00,Clay,32,315000,$,MS025,R32,01:51:00,,F,3,V201,"4-6,6-3,6-2",J. van Lottum,M. Craca,,,NED,GER,4-6,6-3,6-2,,,01:51:00,,,,,265,/en/stats/leaderboard?page=serve,1,5,51,41,80,83,34,41,49,19,39,57,4,7,14,220,/en/stats/leaderboard?page=serve,5,1,54,51,95,61,31,51,48,21,44,50,5,10,13,66,53,80,45,43,95,55,96,175,55,52,95,34,27,80,45,79,175,A,,,,,J. van Lottum,M. Craca,V201,C439,NED,GER,,
409,1998,Atlanta,WS,1998-04-27T00:00:00,1998-05-03T00:00:00,Clay,32,315000,$,MS026,R32,00:57:00,,F,2,S568,"6-3,6-3",F. Squillari,M. Tillstrom,,,ARG,SWE,6-3,6-3,,,,00:57:00,,,,,226,/en/stats/leaderboard?page=serve,6,1,76,42,55,74,31,42,15,2,13,25,1,4,9,175,/en/stats/leaderboard?page=serve,3,1,66,38,58,53,20,38,25,5,20,40,4,10,9,60,33,55,57,33,58,58,66,113,43,25,58,40,22,55,42,47,113,A,,,,,F. Squillari,M. Tillstrom,S568,T166,ARG,SWE,,
409,1998,Atlanta,WS,1998-04-27T00:00:00,1998-05-03T00:00:00,Clay,32,315000,$,MS027,R32,02:05:00,,F,3,C369,"6-3,2-6,6-4",M. Carlsson,J. Courier,,,BRA,USA,6-3,2-6,6-4,,,02:05:00,,,,,254,/en/stats/leaderboard?page=serve,3,1,69,61,89,57,35,61,61,17,28,64,7,11,13,241,/en/stats/leaderboard?page=serve,2,1,67,66,98,58,38,66,53,17,32,64,9,14,14,58,52,89,44,43,98,51,95,187,56,55,98,42,37,89,49,92,187,A,,,,,M. Carlsson,J. Courier,C369,C243,BRA,USA,,
409,1998,Atlanta,WS,1998-04-27T00:00:00,1998-05-03T00:00:00,Clay,32,315000,$,MS028,R32,01:33:00,,F,3,B499,"4-6,6-2,6-1",W. Black,J. Palmer,,,ZIM,USA,4-6,6-2,6-1,,,01:33:00,,,,,304,/en/stats/leaderboard?page=serve,1,1,73,58,80,71,41,58,68,15,22,80,4,5,13,250,/en/stats/leaderboard?page=serve,,4,55,34,62,68,23,34,57,16,28,20,1,5,12,70,56,80,37,23,62,56,79,142,63,39,62,30,24,80,44,63,142,A,,,,False,W. Black,J. Palmer,B499,P233,ZIM,USA,,
409,1998,Atlanta,WS,1998-04-27T00:00:00,1998-05-03T00:00:00,Clay,32,315000,$,MS029,R32,00:59:00,,F,2,R016,"6-3,6-1",R. Reneberg,A. Hernandez,,,USA,MEX,6-3,6-1,,,,00:59:00,,,,,291,/en/stats/leaderboard?page=serve,,2,55,21,38,76,16,21,71,12,17,0,0,1,8,194,/en/stats/leaderboard?page=serve,1,2,72,41,57,46,19,41,38,6,16,50,5,10,8,74,28,38,56,32,57,63,60,95,44,25,57,26,10,38,37,35,95,A,,,False,,R. Reneberg,A. Hernandez,R016,H346,USA,MEX,,
409,1998,Atlanta,WS,1998-04-27T00:00:00,1998-05-03T00:00:00,Clay,32,315000,$,MS030,R32,00:55:00,,F,2,W124,"6-0,6-0",M. Washington,M. Tebbutt,,,USA,AUS,6-0,6-0,,,,00:55:00,,,,,254,/en/stats/leaderboard?page=serve,1,2,48,19,40,63,12,19,76,16,21,,0,,6,96,/en/stats/leaderboard?page=serve,7,1,36,15,42,33,5,15,33,9,27,14,1,7,6,70,28,40,67,28,42,68,56,82,33,14,42,30,12,40,32,26,82,A,,,,,M. Washington,M. Tebbutt,W124,T195,USA,AUS,,
