event_id,event_year,tourney_name,level,start_date,end_date,surface,singles_draw_size,prize_money,prize_money_currency,match_id,round,match_time_total,match_message,match_status,num_sets,winner_flag_raw,score_string,winner_player_name,loser_player_name,winner_seed,loser_seed,winner_country,loser_country,set1_score,set2_score,set3_score,set4_score,set5_score,match_date,winner_flag,player_winner,player_loser,country_winner,country_loser,seed_winner,seed_loser,tiebreak_set3_winner,tiebreak_set3_loser,serverating_tot_winner,serveratinglink_tot_winner,doublefaults_tot_winner,aces_tot_winner,firstserve_percent_tot_winner,firstserve_dividend_tot_winner,firstserve_divisor_tot_winner,firstservepointswon_percent_tot_winner,firstservepointswon_dividend_tot_winner,firstservepointswon_divisor_tot_winner,secondservepointswon_percent_tot_winner,secondservepointswon_dividend_tot_winner,secondservepointswon_divisor_tot_winner,breakpointssaved_percent_tot_winner,breakpointssaved_dividend_tot_winner,breakpointssaved_divisor_tot_winner,servicegamesplayed_tot_winner,serverating_tot_loser,serveratinglink_tot_loser,doublefaults_tot_loser,aces_tot_loser,firstserve_percent_tot_loser,firstserve_dividend_tot_loser,firstserve_divisor_tot_loser,firstservepointswon_percent_tot_loser,firstservepointswon_dividend_tot_loser,firstservepointswon_divisor_tot_loser,secondservepointswon_percent_tot_loser,secondservepointswon_dividend_tot_loser,secondservepointswon_divisor_tot_loser,breakpointssaved_percent_tot_loser,breakpointssaved_dividend_tot_loser,breakpointssaved_divisor_tot_loser,servicegamesplayed_tot_loser,totalservicepointswon_percent_tot_winner,totalservicepointswon_dividend_tot_winner,totalservicepointswon_divisor_tot_winner,totalreturnpointswon_percent_tot_winner,totalreturnpointswon_dividend_tot_winner,totalreturnpointswon_divisor_tot_winner,totalpointswon_percent_tot_winner,totalpointswon_dividend_tot_winner,totalpointswon_divisor_tot_winner,totalservicepointswon_percent_tot_loser,totalservicepointswon_dividend_tot_loser,totalservicepointswon_divisor_tot_loser,totalreturnpointswon_percent_tot_loser,totalreturnpointswon_dividend_tot_loser,totalreturnpointswon_divisor_tot_loser,totalpointswon_percent_tot_loser,totalpointswon_dividend_tot_loser,totalpointswon_divisor_tot_loser,tiebreak_set1_winner,tiebreak_set1_loser,tiebreak_set2_winner,tiebreak_set2_loser,tiebreak_set4_winner,tiebreak_set4_loser,tiebreak_set5_winner,tiebreak_set5_loser,player_id_winner,player_id_loser
560,2011,US Open,GS,2011-08-29T00:00:00,2011-09-11T00:00:00,Hard,128,10768000,$,MS021,R32,03:09:00,,F,4,MA21,"6-7(3),6-3,6-2,6-3",J. Monaco,T. Haas,,,ARG,GER,6-7(3),6-3,6-2,6-3,,03:09:00,A,J. Monaco,T. Haas,ARG,GER,,,,,290,/en/stats/leaderboard?page=serve,4,6,67,84,125,73,61,84,59,24,41,50,2,4,19,230,/en/stats/leaderboard?page=serve,6,7,58,80,139,71,57,80,37,22,59,59,10,17,19,68,85,125,43,60,139,55,145,264,57,79,139,32,40,125,45,119,264,3.0,7.0,,,,,,,MA21,H355
560,2011,US Open,GS,2011-08-29T00:00:00,2011-09-11T00:00:00,Hard,128,10768000,$,MS022,R32,02:06:00,,F,3,T786,"6-3,7-5,6-4",J. Tsonga,F. Verdasco,,,FRA,ESP,6-3,7-5,6-4,,,02:06:00,A,J. Tsonga,F. Verdasco,FRA,ESP,,,,,287,/en/stats/leaderboard?page=serve,2,11,59,54,91,81,44,54,51,19,37,50,2,4,16,240,/en/stats/leaderboard?page=serve,3,4,80,65,81,68,44,65,25,4,16,38,3,8,15,69,63,91,41,33,81,56,96,172,59,48,81,31,28,91,44,76,172,,,,,,,,,T786,V306
560,2011,US Open,GS,2011-08-29T00:00:00,2011-09-11T00:00:00,Hard,128,10768000,$,MS023,R32,03:20:00,,F,3,F339,"6-4,7-6(7),7-6(7)",M. Fish,K. Anderson,,,USA,RSA,6-4,7-6(7),7-6(7),,,03:20:00,A,M. Fish,K. Anderson,USA,RSA,,,7.0,3.0,282,/en/stats/leaderboard?page=serve,2,12,54,69,127,70,48,69,60,35,58,78,7,9,17,267,/en/stats/leaderboard?page=serve,4,6,62,75,121,60,45,75,61,28,46,77,10,13,17,65,83,127,40,48,121,53,131,248,60,73,121,35,44,127,47,117,248,,,7.0,4.0,,,,,F339,A678
560,2011,US Open,GS,2011-08-29T00:00:00,2011-09-11T00:00:00,Hard,128,10768000,$,MS024,R32,02:33:00,,F,3,I186,"7-6(11),6-4,6-4",J. Isner,A. Bogomolov Jr.,,,USA,RUS,7-6(11),6-4,6-4,,,02:33:00,A,J. Isner,A. Bogomolov Jr.,USA,RUS,,,,,331,/en/stats/leaderboard?page=serve,3,19,71,72,101,85,61,72,59,17,29,100,8,8,16,278,/en/stats/leaderboard?page=serve,6,3,67,76,114,74,56,76,53,20,38,75,6,8,16,77,78,101,33,38,114,54,116,215,67,76,114,23,23,101,46,99,215,11.0,9.0,,,,,,,I186,B842
560,2011,US Open,GS,2011-08-29T00:00:00,2011-09-11T00:00:00,Hard,128,10768000,$,MS025,R32,03:57:00,,F,4,SD32,"4-6,7-6(7),6-2,7-6(7)",G. Simon,J. del Potro,,,FRA,ARG,4-6,7-6(7),6-2,7-6(7),,03:57:00,A,G. Simon,J. del Potro,FRA,ARG,,,,,286,/en/stats/leaderboard?page=serve,4,11,60,90,151,78,70,90,51,31,61,86,12,14,21,265,/en/stats/leaderboard?page=serve,5,3,59,89,152,72,64,89,51,32,63,75,9,12,21,67,101,151,37,56,152,52,157,303,63,96,152,33,50,151,48,146,303,,,7.0,5.0,7.0,3.0,,,SD32,D683
560,2011,US Open,GS,2011-08-29T00:00:00,2011-09-11T00:00:00,Hard,128,10768000,$,MS026,R32,02:15:00,,F,3,Y124,"7-5,6-4,6-3",D. Young,J. Chela,,,USA,ARG,7-5,6-4,6-3,,,02:15:00,A,D. Young,J. Chela,USA,ARG,,,,,296,/en/stats/leaderboard?page=serve,3,4,71,63,89,75,47,63,62,16,26,71,5,7,16,236,/en/stats/leaderboard?page=serve,1,1,60,64,107,59,38,64,51,22,43,50,5,10,15,71,63,89,44,47,107,56,110,196,56,60,107,29,26,89,44,86,196,,,,,,,,,Y124,C514
560,2011,US Open,GS,2011-08-29T00:00:00,2011-09-11T00:00:00,Hard,128,10768000,$,MS027,R32,01:54:00,,F,3,MC10,"6-1,6-4,6-2",A. Murray,F. Lopez,,,GBR,ESP,6-1,6-4,6-2,,,01:54:00,A,A. Murray,F. Lopez,GBR,ESP,,,,,331,/en/stats/leaderboard?page=serve,0,3,74,55,74,75,41,55,79,15,19,100,2,2,13,206,/en/stats/leaderboard?page=serve,8,5,44,36,81,67,24,36,40,18,45,62,8,13,12,76,56,74,48,39,81,61,95,155,52,42,81,24,18,74,39,60,155,,,,,,,,,MC10,L397
560,2011,US Open,GS,2011-08-29T00:00:00,2011-09-11T00:00:00,Hard,128,10768000,$,MS028,R32,01:47:00,,F,3,F401,"6-1,6-2,7-6(7)",D. Ferrer,F. Mayer,,,ESP,GER,6-1,6-2,7-6(7),,,01:47:00,A,D. Ferrer,F. Mayer,ESP,GER,,,7.0,2.0,285,/en/stats/leaderboard?page=serve,4,5,56,52,93,77,40,52,59,24,41,75,3,4,14,233,/en/stats/leaderboard?page=serve,3,6,58,44,76,70,31,44,41,13,32,38,3,8,13,69,64,93,42,32,76,57,96,169,58,44,76,31,29,93,43,73,169,,,,,,,,,F401,MB02
560,2011,US Open,GS,2011-08-29T00:00:00,2011-09-11T00:00:00,Hard,128,10768000,$,MS029,R32,02:08:00,,F,3,R485,"6-1,6-4,7-6(7)",A. Roddick,J. Benneteau,,,USA,FRA,6-1,6-4,7-6(7),,,02:08:00,A,A. Roddick,J. Benneteau,USA,FRA,,,7.0,5.0,337,/en/stats/leaderboard?page=serve,0,21,66,60,91,82,49,60,68,21,31,100,3,3,15,275,/en/stats/leaderboard?page=serve,4,17,62,60,97,73,44,60,49,18,37,75,9,12,14,77,70,91,36,35,97,56,105,188,64,62,97,23,21,91,44,83,188,,,,,,,,,R485,B747
560,2011,US Open,GS,2011-08-29T00:00:00,2011-09-11T00:00:00,Hard,128,10768000,$,MS030,R32,01:55:00,,F,3,MA30,"6-1,6-4,6-4",G. Muller,I. Kunitsyn,,,LUX,RUS,6-1,6-4,6-4,,,01:55:00,A,G. Muller,I. Kunitsyn,LUX,RUS,,,,,316,/en/stats/leaderboard?page=serve,4,22,52,45,86,87,39,45,59,24,41,100,4,4,14,235,/en/stats/leaderboard?page=serve,4,2,47,38,81,74,28,38,47,20,43,56,5,9,13,73,63,86,41,33,81,57,96,167,59,48,81,27,23,86,43,71,167,,,,,,,,,MA30,K403
