event_id,event_year,tourney_name,level,start_date,end_date,surface,singles_draw_size,prize_money,prize_money_currency,match_id,round,match_time_total,match_message,match_status,num_sets,winner_flag_raw,score_string,winner_player_name,loser_player_name,winner_seed,loser_seed,winner_country,loser_country,set1_score,set2_score,set3_score,set4_score,set5_score,match_date,winner_flag,player_winner,player_loser,country_winner,country_loser,seed_winner,seed_loser,serverating_tot_winner,serveratinglink_tot_winner,doublefaults_tot_winner,aces_tot_winner,firstserve_percent_tot_winner,firstserve_dividend_tot_winner,firstserve_divisor_tot_winner,firstservepointswon_percent_tot_winner,firstservepointswon_dividend_tot_winner,firstservepointswon_divisor_tot_winner,secondservepointswon_percent_tot_winner,secondservepointswon_dividend_tot_winner,secondservepointswon_divisor_tot_winner,breakpointssaved_percent_tot_winner,breakpointssaved_dividend_tot_winner,breakpointssaved_divisor_tot_winner,servicegamesplayed_tot_winner,serverating_tot_loser,serveratinglink_tot_loser,doublefaults_tot_loser,aces_tot_loser,firstserve_percent_tot_loser,firstserve_dividend_tot_loser,firstserve_divisor_tot_loser,firstservepointswon_percent_tot_loser,firstservepointswon_dividend_tot_loser,firstservepointswon_divisor_tot_loser,secondservepointswon_percent_tot_loser,secondservepointswon_dividend_tot_loser,secondservepointswon_divisor_tot_loser,breakpointssaved_percent_tot_loser,breakpointssaved_dividend_tot_loser,breakpointssaved_divisor_tot_loser,servicegamesplayed_tot_loser,totalservicepointswon_percent_tot_winner,totalservicepointswon_dividend_tot_winner,totalservicepointswon_divisor_tot_winner,totalreturnpointswon_percent_tot_winner,totalreturnpointswon_dividend_tot_winner,totalreturnpointswon_divisor_tot_winner,totalpointswon_percent_tot_winner,totalpointswon_dividend_tot_winner,totalpointswon_divisor_tot_winner,totalservicepointswon_percent_tot_loser,totalservicepointswon_dividend_tot_loser,totalservicepointswon_divisor_tot_loser,totalreturnpointswon_percent_tot_loser,totalreturnpointswon_dividend_tot_loser,totalreturnpointswon_divisor_tot_loser,totalpointswon_percent_tot_loser,totalpointswon_dividend_tot_loser,totalpointswon_divisor_tot_loser,tiebreak_set3_winner,tiebreak_set3_loser,settime_tot_winner,settime_tot_loser,tiebreak_set1_winner,tiebreak_set1_loser,tiebreak_set2_winner,tiebreak_set2_loser,tiebreak_set4_winner,tiebreak_set4_loser,player_id_winner,player_id_loser
580,2016,Australian Open,GS,2016-01-18T00:00:00,2016-01-31T00:00:00,Hard,128,19703000,A$,MS098,R128,01:57:00,,F,3,KB54,"7-5,6-4,6-4",A. Kuznetsov,R. Harrison,,,RUS,USA,7-5,6-4,6-4,,,01:57:00,A,A. Kuznetsov,R. Harrison,RUS,USA,,,283,/en/stats/leaderboard?page=serve,3,4,56,49,88,80,39,49,59,23,39,71,5,7,16,240,/en/stats/leaderboard?page=serve,5,11,45,48,106,71,34,48,50,29,58,71,12,17,16,70,62,88,41,43,106,54,105,194,59,63,106,30,26,88,46,89,194,,,01:57:00,01:57:00,,,,,,,KB54,H940
580,2016,Australian Open,GS,2016-01-18T00:00:00,2016-01-31T00:00:00,Hard,128,19703000,A$,MS099,R128,04:43:00,,F,5,CA12,"7-5,2-6,6-7(5),6-3,13-11",J. Chardy,E. Gulbis,,,FRA,LAT,7-5,2-6,6-7(5),6-3,13-11,04:43:00,A,J. Chardy,E. Gulbis,FRA,LAT,,,268,/en/stats/leaderboard?page=serve,21,24,59,115,195,83,96,115,39,31,80,71,12,17,32,260,/en/stats/leaderboard?page=serve,18,25,55,128,234,77,98,128,43,46,106,75,21,28,33,65,127,195,38,90,234,51,217,429,62,144,234,35,68,195,49,212,429,5,7,04:43:00,04:43:00,,,,,,,CA12,G858
580,2016,Australian Open,GS,2016-01-18T00:00:00,2016-01-31T00:00:00,Hard,128,19703000,A$,MS100,R128,01:23:00,,F,3,MC65,"6-1,6-3,6-2",G. Monfils,Y. Sugita,,,FRA,JPN,6-1,6-3,6-2,,,01:23:00,A,G. Monfils,Y. Sugita,FRA,JPN,,,334,/en/stats/leaderboard?page=serve,3,12,70,42,60,83,35,42,72,13,18,0,0,0,12,213,/en/stats/leaderboard?page=serve,3,3,61,52,85,50,26,52,52,17,33,63,10,16,12,80,48,60,49,42,85,62,90,145,51,43,85,20,12,60,38,55,145,,,01:23:00,01:23:00,,,,,,,MC65,SE73
580,2016,Australian Open,GS,2016-01-18T00:00:00,2016-01-31T00:00:00,Hard,128,19703000,A$,MS101,R128,02:13:00,,F,4,M873,"4-6,6-2,6-2,6-2",N. Mahut,M. Cecchinato,,,FRA,ITA,4-6,6-2,6-2,6-2,,02:13:00,A,N. Mahut,M. Cecchinato,FRA,ITA,,,304,/en/stats/leaderboard?page=serve,4,8,60,54,90,85,46,54,61,22,36,67,2,3,17,229,/en/stats/leaderboard?page=serve,4,7,58,70,121,71,50,70,33,17,51,40,4,10,17,76,68,90,45,54,121,58,122,211,55,67,121,24,22,90,42,89,211,,,02:13:00,02:13:00,,,,,,,M873,CF01
580,2016,Australian Open,GS,2016-01-18T00:00:00,2016-01-31T00:00:00,Hard,128,19703000,A$,MS102,R128,01:40:00,,F,3,R612,"6-2,6-2,6-2",S. Robert,B. Fratangelo,,,FRA,USA,6-2,6-2,6-2,,,01:40:00,A,S. Robert,B. Fratangelo,FRA,USA,,,298,/en/stats/leaderboard?page=serve,3,8,51,40,79,88,35,40,54,21,39,100,5,5,12,213,/en/stats/leaderboard?page=serve,3,7,61,64,105,52,33,64,46,19,41,57,8,14,12,71,56,79,50,53,105,59,109,184,50,52,105,29,23,79,41,75,184,,,01:40:00,01:40:00,,,,,,,R612,F811
580,2016,Australian Open,GS,2016-01-18T00:00:00,2016-01-31T00:00:00,Hard,128,19703000,A$,MS103,R128,02:49:00,,F,4,R548,"7-6(7),6-7(4),6-3,3-0",R. Ram,K. Anderson,,,USA,RSA,7-6(7),6-7(4),6-3,3-0,,02:49:00,A,R. Ram,K. Anderson,USA,RSA,,,320,/en/stats/leaderboard?page=serve,2,10,69,75,109,84,63,75,59,20,34,100,1,1,18,265,/en/stats/leaderboard?page=serve,11,14,61,82,135,78,64,82,40,21,53,67,6,9,18,76,83,109,37,50,135,55,133,244,63,85,135,24,26,109,45,111,244,,,02:49:00,02:49:00,7,4,4,7,,,R548,A678
580,2016,Australian Open,GS,2016-01-18T00:00:00,2016-01-31T00:00:00,Hard,128,19703000,A$,MS104,R128,01:26:00,,F,3,R975,"6-1,6-4,6-4",M. Raonic,L. Pouille,,,CAN,FRA,6-1,6-4,6-4,,,01:26:00,A,M. Raonic,L. Pouille,CAN,FRA,,,331,/en/stats/leaderboard?page=serve,2,12,64,44,69,89,39,44,68,17,25,0,0,0,14,242,/en/stats/leaderboard?page=serve,4,7,49,34,70,71,24,34,50,18,36,33,2,6,13,81,56,69,40,28,70,60,84,139,60,42,70,19,13,69,40,55,139,,,01:26:00,01:26:00,,,,,,,R975,PF39
580,2016,Australian Open,GS,2016-01-18T00:00:00,2016-01-31T00:00:00,Hard,128,19703000,A$,MS105,R128,04:47:00,,F,5,R419,"7-5,3-6,4-6,7-6(9),8-6",T. Robredo,M. Jaziri,,,ESP,TUN,7-5,3-6,4-6,7-6(9),8-6,04:47:00,A,T. Robredo,M. Jaziri,ESP,TUN,,,279,/en/stats/leaderboard?page=serve,8,20,59,112,190,72,81,112,54,42,78,64,9,14,28,253,/en/stats/leaderboard?page=serve,10,9,54,134,246,72,96,134,46,51,112,83,25,30,29,65,123,190,40,99,246,51,222,436,60,147,246,35,67,190,49,214,436,,,04:47:00,04:47:00,,,,,9,7,R419,J267
580,2016,Australian Open,GS,2016-01-18T00:00:00,2016-01-31T00:00:00,Hard,128,19703000,A$,MS106,R128,01:54:00,,F,4,SF62,"6-1,3-6,6-3,6-2",T. Smyczek,D. Gimeno-Traver,,,USA,ESP,6-1,3-6,6-3,6-2,,01:54:00,A,T. Smyczek,D. Gimeno-Traver,USA,ESP,,,312,/en/stats/leaderboard?page=serve,2,8,62,57,92,79,45,57,71,25,35,80,4,5,17,252,/en/stats/leaderboard?page=serve,3,4,67,60,89,68,41,60,48,14,29,38,3,8,16,76,70,92,38,34,89,57,104,181,62,55,89,24,22,92,43,77,181,,,01:54:00,01:54:00,,,,,,,SF62,G676
580,2016,Australian Open,GS,2016-01-18T00:00:00,2016-01-31T00:00:00,Hard,128,19703000,A$,MS107,R128,03:29:00,,F,5,T840,"4-6,4-6,6-1,7-6(7),6-3",V. Troicki,D. Munoz de la Nava,,,SRB,ESP,4-6,4-6,6-1,7-6(7),6-3,03:29:00,A,V. Troicki,D. Munoz de la Nava,SRB,ESP,,,295,/en/stats/leaderboard?page=serve,5,22,65,99,153,77,76,99,52,28,54,71,10,14,25,253,/en/stats/leaderboard?page=serve,10,12,53,85,159,73,62,85,47,35,74,77,17,22,23,68,104,153,39,62,159,53,166,312,61,97,159,32,49,153,47,146,312,,,03:29:00,03:29:00,,,,,7,4,T840,M915
580,2016,Australian Open,GS,2016-01-18T00:00:00,2016-01-31T00:00:00,Hard,128,19703000,A$,MS108,R128,02:27:00,,F,5,SM25,"6-4,3-6,0-6,6-3,6-4",J. Sock,T. Fritz,,,USA,USA,6-4,3-6,0-6,6-3,6-4,02:27:00,A,J. Sock,T. Fritz,USA,USA,,,268,/en/stats/leaderboard?page=serve,9,16,54,66,122,74,49,66,52,29,56,56,5,9,22,300,/en/stats/leaderboard?page=serve,3,18,61,72,119,76,55,72,62,29,47,67,6,9,22,64,78,122,29,35,119,47,113,241,71,84,119,36,44,122,53,128,241,,,02:27:00,02:27:00,,,,,,,SM25,FB98
