event_id,event_year,tourney_name,level,start_date,end_date,surface,singles_draw_size,prize_money,prize_money_currency,match_id,round,match_time_total,match_message,match_status,num_sets,winner_flag_raw,score_string,winner_player_name,loser_player_name,winner_seed,loser_seed,winner_country,loser_country,set1_score,set2_score,set3_score,set4_score,set5_score,match_date,serverating_tot_winner,serveratinglink_tot_winner,doublefaults_isstatbetter_tot_winner,aces_tot_winner,firstserve_percent_tot_winner,firstserve_dividend_tot_winner,firstserve_divisor_tot_winner,firstservepointswon_percent_tot_winner,firstservepointswon_dividend_tot_winner,firstservepointswon_divisor_tot_winner,secondservepointswon_percent_tot_winner,secondservepointswon_dividend_tot_winner,secondservepointswon_divisor_tot_winner,breakpointssaved_percent_tot_winner,breakpointssaved_dividend_tot_winner,breakpointssaved_divisor_tot_winner,servicegamesplayed_tot_winner,serverating_tot_loser,serveratinglink_tot_loser,doublefaults_isstatbetter_tot_loser,aces_tot_loser,firstserve_percent_tot_loser,firstserve_dividend_tot_loser,firstserve_divisor_tot_loser,firstservepointswon_percent_tot_loser,firstservepointswon_dividend_tot_loser,firstservepointswon_divisor_tot_loser,secondservepointswon_percent_tot_loser,secondservepointswon_dividend_tot_loser,secondservepointswon_divisor_tot_loser,breakpointssaved_percent_tot_loser,breakpointssaved_dividend_tot_loser,breakpointssaved_divisor_tot_loser,servicegamesplayed_tot_loser,totalservicepointswon_percent_tot_winner,totalservicepointswon_dividend_tot_winner,totalservicepointswon_divisor_tot_winner,totalreturnpointswon_percent_tot_winner,totalreturnpointswon_dividend_tot_winner,totalreturnpointswon_divisor_tot_winner,totalpointswon_percent_tot_winner,totalpointswon_dividend_tot_winner,totalpointswon_divisor_tot_winner,totalservicepointswon_percent_tot_loser,totalservicepointswon_dividend_tot_loser,totalservicepointswon_divisor_tot_loser,totalreturnpointswon_percent_tot_loser,totalreturnpointswon_dividend_tot_loser,totalreturnpointswon_divisor_tot_loser,totalpointswon_percent_tot_loser,totalpointswon_dividend_tot_loser,totalpointswon_divisor_tot_loser,winner_flag,doublefaults_tot_winner,doublefaults_tot_loser,tiebreak_set2_winner,tiebreak_set2_loser,tiebreak_set1_winner,tiebreak_set1_loser,tiebreak_set3_winner,tiebreak_set3_loser,player_winner,player_loser,player_id_winner,player_id_loser,country_winner,country_loser,seed_winner,seed_loser
414,1997,ATP Masters 1000 Hamburg,1000,1997-05-05T00:00:00,1997-05-11T00:00:00,Clay,56,2050000,$,MS021,R32,00:52:00,,F,2,G297,"6-3,6-1",O. Gross,C. Costa,,,GER,ESP,6-3,6-1,,,,00:52:00,228,/en/stats/leaderboard?page=serve,False,3,69,27,39,89,24,27,67,8,12,0,0,,8,196,/en/stats/leaderboard?page=serve,,1,45,22,49,59,13,22,44,12,27,56,5,9,8,82,32,39,49,24,49,64,56,88,51,25,49,18,7,39,36,32,88,A,,3,,,,,,,O. Gross,C. Costa,G297,C179,GER,ESP,,
414,1997,ATP Masters 1000 Hamburg,1000,1997-05-05T00:00:00,1997-05-11T00:00:00,Clay,56,2050000,$,MS022,R32,00:46:00,,F,2,B428,"6-1,6-1",A. Berasategui,M. Gustafsson,,,ESP,SWE,6-1,6-1,,,,00:46:00,294,/en/stats/leaderboard?page=serve,False,3,77,33,43,73,24,33,70,7,10,,0,,7,176,/en/stats/leaderboard?page=serve,,0,64,32,50,47,15,32,39,7,18,29,2,7,7,72,31,43,56,28,50,63,59,93,44,22,50,28,12,43,37,34,93,A,,2,,,,,,,A. Berasategui,M. Gustafsson,B428,G182,ESP,SWE,,
414,1997,ATP Masters 1000 Hamburg,1000,1997-05-05T00:00:00,1997-05-11T00:00:00,Clay,56,2050000,$,MS023,R32,01:24:00,,F,2,R286,"6-1,7-5",M. Rios,C. Ruud,,,CHI,NOR,6-1,7-5,,,,01:24:00,246,/en/stats/leaderboard?page=serve,,4,59,42,71,74,31,42,41,12,29,67,6,9,10,180,/en/stats/leaderboard?page=serve,,0,66,43,65,47,20,43,36,8,22,54,7,13,9,61,43,71,57,37,65,59,80,136,43,28,65,39,28,71,41,56,136,A,2,2,,,,,,,M. Rios,C. Ruud,R286,R219,CHI,NOR,,
414,1997,ATP Masters 1000 Hamburg,1000,1997-05-05T00:00:00,1997-05-11T00:00:00,Clay,56,2050000,$,MS024,R32,02:15:00,,F,3,F196,"3-6,7-5,7-5",W. Ferreira,A. Martin,,,RSA,ESP,3-6,7-5,7-5,,,02:15:00,250,/en/stats/leaderboard?page=serve,,7,50,57,115,77,44,57,45,26,58,67,8,12,16,253,/en/stats/leaderboard?page=serve,,1,69,69,100,67,46,69,52,16,31,44,4,9,17,61,70,115,38,38,100,50,108,215,62,62,100,39,45,115,50,107,215,A,4,6,,,,,,,W. Ferreira,A. Martin,F196,M590,RSA,ESP,,
414,1997,ATP Masters 1000 Hamburg,1000,1997-05-05T00:00:00,1997-05-11T00:00:00,Clay,56,2050000,$,MS025,R32,02:01:00,,F,3,B350,"4-6,6-3,6-2",S. Bruguera,J. Tarango,,,ESP,USA,4-6,6-3,6-2,,,02:01:00,232,/en/stats/leaderboard?page=serve,,5,53,51,97,65,33,51,46,21,46,50,5,10,14,206,/en/stats/leaderboard?page=serve,,4,68,61,90,54,33,61,38,11,29,42,5,12,13,56,54,97,51,46,90,53,100,187,49,44,90,44,43,97,47,87,187,A,1,4,,,,,,,S. Bruguera,J. Tarango,B350,T136,ESP,USA,,
414,1997,ATP Masters 1000 Hamburg,1000,1997-05-05T00:00:00,1997-05-11T00:00:00,Clay,56,2050000,$,MS026,R32,02:01:00,,F,3,D291,"6-2,3-6,7-5",J. Diaz,P. Haarhuis,,,ESP,NED,6-2,3-6,7-5,,,02:01:00,250,/en/stats/leaderboard?page=serve,,0,82,75,91,55,41,75,50,8,16,44,4,9,14,212,/en/stats/leaderboard?page=serve,,7,58,59,101,56,33,59,40,17,42,36,4,11,15,54,49,91,50,51,101,52,100,192,50,50,101,46,42,91,48,92,192,A,1,2,,,,,,,J. Diaz,P. Haarhuis,D291,H223,ESP,NED,,
414,1997,ATP Masters 1000 Hamburg,1000,1997-05-05T00:00:00,1997-05-11T00:00:00,Clay,56,2050000,$,MS027,R32,00:43:00,,F,2,M475,"6-1,6-1",A. Medvedev,R. Krajicek,,,UKR,NED,6-1,6-1,,,,00:43:00,227,/en/stats/leaderboard?page=serve,False,3,66,23,35,83,19,23,75,9,12,0,0,,7,172,/en/stats/leaderboard?page=serve,False,2,52,22,42,45,10,22,45,9,20,29,2,7,7,80,28,35,55,23,42,66,51,77,45,19,42,20,7,35,34,26,77,A,,,,,,,,,A. Medvedev,R. Krajicek,M475,K214,UKR,NED,,
414,1997,ATP Masters 1000 Hamburg,1000,1997-05-05T00:00:00,1997-05-11T00:00:00,Clay,56,2050000,$,MS028,R32,01:16:00,,F,2,C378,"6-3,7-6(7)",A. Costa,S. Schalken,,,ESP,NED,6-3,7-6(7),,,,01:16:00,296,/en/stats/leaderboard?page=serve,,4,68,46,68,80,37,46,55,12,22,0,0,1,11,243,/en/stats/leaderboard?page=serve,,1,57,43,75,79,34,43,34,11,32,33,1,3,10,72,49,68,40,30,75,55,79,143,60,45,75,28,19,68,45,64,143,A,1,8,7,3,,,,,A. Costa,S. Schalken,C378,S572,ESP,NED,,
414,1997,ATP Masters 1000 Hamburg,1000,1997-05-05T00:00:00,1997-05-11T00:00:00,Clay,56,2050000,$,MS029,R32,02:43:00,,F,3,C344,"3-6,6-4,7-5",A. Corretja,F. Clavet,,,ESP,ESP,3-6,6-4,7-5,,,02:43:00,231,/en/stats/leaderboard?page=serve,,3,50,54,107,57,31,54,57,30,53,62,8,13,16,244,/en/stats/leaderboard?page=serve,,1,61,60,98,58,35,60,61,23,38,55,6,11,15,57,61,107,41,40,98,49,101,205,59,58,98,43,46,107,51,104,205,A,4,3,,,,,,,A. Corretja,F. Clavet,C344,C252,ESP,ESP,,
414,1997,ATP Masters 1000 Hamburg,1000,1997-05-05T00:00:00,1997-05-11T00:00:00,Clay,56,2050000,$,MS030,R32,01:31:00,,F,2,D198,"7-6(7),6-2",S. Dosedel,M. Stich,,,CZE,GER,7-6(7),6-2,,,,01:31:00,299,/en/stats/leaderboard?page=serve,False,0,83,52,63,63,33,52,73,8,11,67,4,6,10,214,/en/stats/leaderboard?page=serve,,0,53,46,86,52,24,46,53,21,40,73,11,15,10,65,41,63,48,41,86,55,82,149,52,45,86,35,22,63,45,67,149,A,,4,,,7,2,,,S. Dosedel,M. Stich,D198,S351,CZE,GER,,
