event_id,event_year,tourney_name,level,start_date,end_date,surface,singles_draw_size,prize_money,prize_money_currency,match_id,round,match_time_total,match_message,match_status,num_sets,winner_flag_raw,score_string,winner_player_name,loser_player_name,winner_seed,loser_seed,winner_country,loser_country,set1_score,set2_score,set3_score,set4_score,set5_score,match_date,serverating_tot_winner,serveratinglink_tot_winner,doublefaults_tot_winner,aces_tot_winner,firstserve_percent_tot_winner,firstserve_dividend_tot_winner,firstserve_divisor_tot_winner,firstservepointswon_percent_tot_winner,firstservepointswon_dividend_tot_winner,firstservepointswon_divisor_tot_winner,secondservepointswon_percent_tot_winner,secondservepointswon_dividend_tot_winner,secondservepointswon_divisor_tot_winner,breakpointssaved_percent_tot_winner,breakpointssaved_dividend_tot_winner,breakpointssaved_divisor_tot_winner,servicegamesplayed_tot_winner,serverating_tot_loser,serveratinglink_tot_loser,doublefaults_tot_loser,aces_tot_loser,firstserve_percent_tot_loser,firstserve_dividend_tot_loser,firstserve_divisor_tot_loser,firstservepointswon_percent_tot_loser,firstservepointswon_dividend_tot_loser,firstservepointswon_divisor_tot_loser,secondservepointswon_percent_tot_loser,secondservepointswon_dividend_tot_loser,secondservepointswon_divisor_tot_loser,breakpointssaved_percent_tot_loser,breakpointssaved_dividend_tot_loser,breakpointssaved_divisor_tot_loser,servicegamesplayed_tot_loser,totalservicepointswon_percent_tot_winner,totalservicepointswon_dividend_tot_winner,totalservicepointswon_divisor_tot_winner,totalreturnpointswon_percent_tot_winner,totalreturnpointswon_dividend_tot_winner,totalreturnpointswon_divisor_tot_winner,totalpointswon_percent_tot_winner,totalpointswon_dividend_tot_winner,totalpointswon_divisor_tot_winner,totalservicepointswon_percent_tot_loser,totalservicepointswon_dividend_tot_loser,totalservicepointswon_divisor_tot_loser,totalreturnpointswon_percent_tot_loser,totalreturnpointswon_dividend_tot_loser,totalreturnpointswon_divisor_tot_loser,totalpointswon_percent_tot_loser,totalpointswon_dividend_tot_loser,totalpointswon_divisor_tot_loser,winner_flag,tiebreak_set2_winner,tiebreak_set2_loser,tiebreak_set3_winner,tiebreak_set3_loser,tiebreak_set1_winner,tiebreak_set1_loser,tiebreak_set4_winner,tiebreak_set4_loser,doublefaults_isstatbetter_tot_loser,doublefaults_isstatbetter_tot_winner,player_winner,player_loser,player_id_winner,player_id_loser,country_winner,country_loser,seed_winner,seed_loser
580,1997,Australian Open,GS,1997-01-13T00:00:00,1997-01-26T00:00:00,Hard,128,3538866,$,MS037,R64,01:36:00,,F,3,D270,"7-6(7),7-5,6-0",S. Draper,F. Dewulf,,,AUS,BEL,7-6(7),7-5,6-0,,,01:36:00,308,/en/stats/leaderboard?page=serve,3,15,60,61,102,89,54,61,61,25,41,0,0,2,15,229,/en/stats/leaderboard?page=serve,5,5,59,64,108,69,44,64,41,18,44,50,6,12,15,77,79,102,43,46,108,60,125,210,57,62,108,23,23,102,40,85,210,A,,,,,7,5,,,,,S. Draper,F. Dewulf,D270,D228,AUS,BEL,,
580,1997,Australian Open,GS,1997-01-13T00:00:00,1997-01-26T00:00:00,Hard,128,3538866,$,MS038,R64,03:18:00,,F,4,F192,"7-6(7),6-7(3),6-2,7-6(7)",R. Furlan,P. Tramacchi,,,ITA,AUS,7-6(7),6-7(3),6-2,7-6(7),,03:18:00,301,/en/stats/leaderboard?page=serve,1,3,76,107,141,66,71,107,71,24,34,67,6,9,22,273,/en/stats/leaderboard?page=serve,2,9,79,136,173,61,83,136,49,18,37,64,9,14,22,67,95,141,42,72,173,53,167,314,58,101,173,33,46,141,47,147,314,A,3,7,,,7,1,7,4,,,R. Furlan,P. Tramacchi,F192,T156,ITA,AUS,,
580,1997,Australian Open,GS,1997-01-13T00:00:00,1997-01-26T00:00:00,Hard,128,3538866,$,MS039,R64,02:02:00,,F,4,F196,"6-3,3-6,6-2,6-1",W. Ferreira,J. Frana,,,RSA,ARG,6-3,3-6,6-2,6-1,,02:02:00,287,/en/stats/leaderboard?page=serve,1,4,48,52,108,79,41,52,63,35,56,75,3,4,17,225,/en/stats/leaderboard?page=serve,4,3,49,62,127,61,38,62,48,31,65,58,7,12,16,70,76,108,46,58,127,57,134,235,54,69,127,30,32,108,43,101,235,A,,,,,,,,,,,W. Ferreira,J. Frana,F196,F041,RSA,ARG,,
580,1997,Australian Open,GS,1997-01-13T00:00:00,1997-01-26T00:00:00,Hard,128,3538866,$,MS040,R64,01:29:00,,F,3,I034,"6-4,6-2,6-2",G. Ivanisevic,K. Kucera,,,CRO,SVK,6-4,6-2,6-2,,,01:29:00,265,/en/stats/leaderboard?page=serve,2,10,67,63,94,84,53,63,45,14,31,,0,,13,218,/en/stats/leaderboard?page=serve,3,2,65,61,94,66,40,61,27,9,33,62,8,13,13,71,67,94,48,45,94,60,112,188,52,49,94,29,27,94,40,76,188,A,,,,,,,,,,,G. Ivanisevic,K. Kucera,I034,K237,CRO,SVK,,
580,1997,Australian Open,GS,1997-01-13T00:00:00,1997-01-26T00:00:00,Hard,128,3538866,$,MS041,R64,01:49:00,,F,3,W212,"6-2,7-6(8),6-2",C. Woodruff,J. Novak,,,USA,CZE,6-2,7-6(8),6-2,,,01:49:00,263,/en/stats/leaderboard?page=serve,5,5,60,58,97,74,43,58,51,20,39,50,3,6,14,236,/en/stats/leaderboard?page=serve,,6,74,73,99,60,44,73,46,12,26,46,6,13,14,65,63,97,43,43,99,54,106,196,57,56,99,35,34,97,46,90,196,A,8,6,,,,,,,False,,C. Woodruff,J. Novak,W212,N254,USA,CZE,,
580,1997,Australian Open,GS,1997-01-13T00:00:00,1997-01-26T00:00:00,Hard,128,3538866,$,MS042,R64,01:40:00,,F,4,G288,"6-7(5),6-3,6-1,6-0",N. Godwin,G. Kuerten,,,RSA,BRA,6-7(5),6-3,6-1,6-0,,01:40:00,294,/en/stats/leaderboard?page=serve,1,3,67,60,90,85,51,60,47,14,30,50,1,2,15,176,/en/stats/leaderboard?page=serve,2,0,72,68,94,54,37,68,15,4,26,17,2,12,16,72,65,90,56,53,94,64,118,184,44,41,94,28,25,90,36,66,184,A,,,,,5,7,,,,,N. Godwin,G. Kuerten,G288,K293,RSA,BRA,,
580,1997,Australian Open,GS,1997-01-13T00:00:00,1997-01-26T00:00:00,Hard,128,3538866,$,MS043,R64,01:23:00,,F,3,R219,"6-2,6-2,6-2",C. Ruud,L. Paes,,,NOR,IND,6-2,6-2,6-2,,,01:23:00,227,/en/stats/leaderboard?page=serve,1,2,86,60,70,80,48,60,60,6,10,0,0,,12,196,/en/stats/leaderboard?page=serve,3,0,81,59,73,61,36,59,7,1,14,40,4,10,12,77,54,70,49,36,73,63,90,143,51,37,73,23,16,70,37,53,143,A,,,,,,,,,,,C. Ruud,L. Paes,R219,P269,NOR,IND,,
580,1997,Australian Open,GS,1997-01-13T00:00:00,1997-01-26T00:00:00,Hard,128,3538866,$,MS044,R64,03:37:00,,F,5,C243,"4-6,6-2,3-6,6-4,6-4",J. Courier,S. Dosedel,,,USA,CZE,4-6,6-2,3-6,6-4,6-4,03:37:00,250,/en/stats/leaderboard?page=serve,7,6,60,96,160,71,68,96,45,29,64,33,3,9,24,239,/en/stats/leaderboard?page=serve,8,6,62,106,172,71,75,106,39,26,66,68,15,22,23,61,97,160,41,71,172,51,168,332,59,101,172,39,63,160,49,164,332,A,,,,,,,,,,,J. Courier,S. Dosedel,C243,D198,USA,CZE,,
580,1997,Australian Open,GS,1997-01-13T00:00:00,1997-01-26T00:00:00,Hard,128,3538866,$,MS045,R64,01:37:00,,F,3,T136,"6-4,6-1,6-1",J. Tarango,M. Rosset,,,USA,SUI,6-4,6-1,6-1,,,01:37:00,335,/en/stats/leaderboard?page=serve,,0,87,66,76,67,44,66,90,9,10,75,3,4,12,174,/en/stats/leaderboard?page=serve,8,3,46,44,96,61,27,44,31,16,52,59,10,17,12,70,53,76,55,53,96,62,106,172,45,43,96,30,23,76,38,66,172,A,,,,,,,,,,False,J. Tarango,M. Rosset,T136,R214,USA,SUI,,
580,1997,Australian Open,GS,1997-01-13T00:00:00,1997-01-26T00:00:00,Hard,128,3538866,$,MS046,R64,02:15:00,,F,3,K260,"6-2,7-6(7),7-5",J. Knippschild,J. Fleurian,,,GER,FRA,6-2,7-6(7),7-5,,,02:15:00,277,/en/stats/leaderboard?page=serve,1,1,57,58,102,72,42,58,61,27,44,33,1,3,16,250,/en/stats/leaderboard?page=serve,2,1,75,81,108,64,52,81,44,12,27,64,9,14,16,68,69,102,41,44,108,54,113,210,59,64,108,32,33,102,46,97,210,A,7,5,,,,,,,,,J. Knippschild,J. Fleurian,K260,F031,GER,FRA,,
