event_id,event_year,tourney_name,level,start_date,end_date,surface,singles_draw_size,prize_money,prize_money_currency,match_id,round,match_time_total,match_message,match_status,num_sets,winner_flag_raw,score_string,winner_player_name,loser_player_name,winner_seed,loser_seed,winner_country,loser_country,set1_score,set2_score,set3_score,set4_score,set5_score,match_date,winner_flag,player_winner,player_loser,country_winner,country_loser,seed_winner,seed_loser,serverating_tot_winner,serveratinglink_tot_winner,doublefaults_tot_winner,aces_tot_winner,firstserve_percent_tot_winner,firstserve_dividend_tot_winner,firstserve_divisor_tot_winner,firstservepointswon_percent_tot_winner,firstservepointswon_dividend_tot_winner,firstservepointswon_divisor_tot_winner,secondservepointswon_percent_tot_winner,secondservepointswon_dividend_tot_winner,secondservepointswon_divisor_tot_winner,breakpointssaved_percent_tot_winner,breakpointssaved_dividend_tot_winner,breakpointssaved_divisor_tot_winner,servicegamesplayed_tot_winner,serverating_tot_loser,serveratinglink_tot_loser,doublefaults_tot_loser,aces_tot_loser,firstserve_percent_tot_loser,firstserve_dividend_tot_loser,firstserve_divisor_tot_loser,firstservepointswon_percent_tot_loser,firstservepointswon_dividend_tot_loser,firstservepointswon_divisor_tot_loser,secondservepointswon_percent_tot_loser,secondservepointswon_dividend_tot_loser,secondservepointswon_divisor_tot_loser,breakpointssaved_percent_tot_loser,breakpointssaved_dividend_tot_loser,breakpointssaved_divisor_tot_loser,servicegamesplayed_tot_loser,totalservicepointswon_percent_tot_winner,totalservicepointswon_dividend_tot_winner,totalservicepointswon_divisor_tot_winner,totalreturnpointswon_percent_tot_winner,totalreturnpointswon_dividend_tot_winner,totalreturnpointswon_divisor_tot_winner,totalpointswon_percent_tot_winner,totalpointswon_dividend_tot_winner,totalpointswon_divisor_tot_winner,totalservicepointswon_percent_tot_loser,totalservicepointswon_dividend_tot_loser,totalservicepointswon_divisor_tot_loser,totalreturnpointswon_percent_tot_loser,totalreturnpointswon_dividend_tot_loser,totalreturnpointswon_divisor_tot_loser,totalpointswon_percent_tot_loser,totalpointswon_dividend_tot_loser,totalpointswon_divisor_tot_loser,tiebreak_set2_winner,tiebreak_set2_loser,tiebreak_set4_winner,tiebreak_set4_loser,tiebreak_set5_winner,tiebreak_set5_loser,settime_tot_winner,settime_tot_loser,tiebreak_set3_winner,tiebreak_set3_loser,tiebreak_set1_winner,tiebreak_set1_loser,player_id_winner,player_id_loser
520,2025,Roland Garros,GS,2025-05-25T00:00:00,2025-06-08T00:00:00,Clay,128,26334000,€,MS022,R32,02:44:00,,F,3,N771,"6-3,7-6(7),6-2",C. Norrie,J. Fearnley,,,GBR,GBR,6-3,7-6(7),6-2,,,02:44:00,A,C. Norrie,J. Fearnley,GBR,GBR,,,253,/en/stats/leaderboard?page=serve,4,2,57,60,106,68,41,60,57,26,46,64,7,11,15,200,/en/stats/leaderboard?page=serve,13,8,58,61,106,59,36,61,38,17,45,42,5,12,14,63,67,106,50,53,106,57,120,212,50,53,106,37,39,106,43,92,212,7,1,,,,,02:44:00,02:44:00,,,,,N771,F0BY
520,2025,Roland Garros,GS,2025-05-25T00:00:00,2025-06-08T00:00:00,Clay,128,26334000,€,MS023,R32,02:08:00,,F,3,D643,"6-3,6-4,6-2",N. Djokovic,F. Misolic,,,SRB,AUT,6-3,6-4,6-2,,,02:08:00,A,N. Djokovic,F. Misolic,SRB,AUT,,,321,/en/stats/leaderboard?page=serve,0,6,68,51,75,80,41,51,67,16,24,100,1,1,14,241,/en/stats/leaderboard?page=serve,2,6,60,54,90,72,39,54,36,13,36,75,12,16,13,76,57,75,42,38,90,58,95,165,58,52,90,24,18,75,42,70,165,,,,,,,02:08:00,02:08:00,,,,,D643,M0JZ
520,2025,Roland Garros,GS,2025-05-25T00:00:00,2025-06-08T00:00:00,Clay,128,26334000,€,MS024,R32,03:25:00,,F,4,M0EJ,"4-6,6-4,6-3,6-2",L. Musetti,M. Navone,,,ITA,ARG,4-6,6-4,6-3,6-2,,03:25:00,A,L. Musetti,M. Navone,ITA,ARG,,,251,/en/stats/leaderboard?page=serve,4,3,65,75,115,69,52,75,45,18,40,44,4,9,19,230,/en/stats/leaderboard?page=serve,2,1,74,98,132,52,51,98,50,17,34,58,11,19,18,61,70,115,48,64,132,54,134,247,52,68,132,39,45,115,46,113,247,,,,,,,03:25:00,03:25:00,,,,,M0EJ,N0BS
520,2025,Roland Garros,GS,2025-05-25T00:00:00,2025-06-08T00:00:00,Clay,128,26334000,€,MS025,R32,03:19:00,,F,5,R0DG,"4-6,6-2,5-7,7-5,6-2",H. Rune,Q. Halys,,,DEN,FRA,4-6,6-2,5-7,7-5,6-2,03:19:00,A,H. Rune,Q. Halys,DEN,FRA,,,287,/en/stats/leaderboard?page=serve,0,8,73,99,136,79,78,99,43,16,37,64,7,11,25,251,/en/stats/leaderboard?page=serve,10,13,57,81,143,77,62,81,42,26,62,36,4,11,25,69,94,136,38,55,143,53,149,279,62,88,143,31,42,136,47,130,279,,,,,,,03:19:00,03:19:00,,,,,R0DG,HB64
520,2025,Roland Garros,GS,2025-05-25T00:00:00,2025-06-08T00:00:00,Clay,128,26334000,€,MS026,R32,02:25:00,,F,3,TD51,"7-6(8),6-3,6-4",F. Tiafoe,S. Korda,,,USA,USA,7-6(8),6-3,6-4,,,02:25:00,A,F. Tiafoe,S. Korda,USA,USA,,,306,/en/stats/leaderboard?page=serve,5,9,52,52,100,77,40,52,73,35,48,100,2,2,16,273,/en/stats/leaderboard?page=serve,5,11,53,57,107,74,42,57,54,27,50,33,1,3,15,75,75,100,36,38,107,55,113,207,64,69,107,25,25,100,45,94,207,,,,,,,02:25:00,02:25:00,,,8,6,TD51,K0AH
520,2025,Roland Garros,GS,2025-05-25T00:00:00,2025-06-08T00:00:00,Clay,128,26334000,€,MS027,R32,02:48:00,,F,4,AE14,"4-6,6-3,6-3,6-2",D. Altmaier,H. Medjedovic,,,GER,SRB,4-6,6-3,6-3,6-2,,02:48:00,A,D. Altmaier,H. Medjedovic,GER,SRB,,,301,/en/stats/leaderboard?page=serve,4,18,62,64,104,77,49,64,60,24,40,50,2,4,18,224,/en/stats/leaderboard?page=serve,6,4,56,72,128,63,45,72,41,23,56,67,12,18,18,70,73,104,47,60,128,57,133,232,53,68,128,30,31,104,43,99,232,,,,,,,02:48:00,02:48:00,,,,,AE14,M0JF
520,2025,Roland Garros,GS,2025-05-25T00:00:00,2025-06-08T00:00:00,Clay,128,26334000,€,MS028,R32,03:01:00,,F,3,P09Z,"6-4,7-6(13),7-6(7)",A. Popyrin,N. Borges,,,AUS,POR,6-4,7-6(13),7-6(7),,,03:01:00,A,A. Popyrin,N. Borges,AUS,POR,,,296,/en/stats/leaderboard?page=serve,1,13,64,76,118,80,61,76,52,22,42,71,5,7,17,270,/en/stats/leaderboard?page=serve,4,5,76,102,134,70,71,102,41,13,32,73,8,11,17,70,83,118,37,50,134,53,133,252,63,84,134,30,35,118,47,119,252,13,11,,,,,03:01:00,03:01:00,7,5,,,P09Z,BT72
520,2025,Roland Garros,GS,2025-05-25T00:00:00,2025-06-08T00:00:00,Clay,128,26334000,€,MS029,R32,04:07:00,,F,5,PL56,"6-3,3-6,7-6(9),3-6,6-3",T. Paul,K. Khachanov,,,USA,RUS,6-3,3-6,7-6(9),3-6,6-3,04:07:00,A,T. Paul,K. Khachanov,USA,RUS,,,253,/en/stats/leaderboard?page=serve,4,8,63,100,159,69,69,100,42,25,59,60,9,15,24,257,/en/stats/leaderboard?page=serve,3,5,63,104,165,63,66,104,54,33,61,50,6,12,24,59,94,159,40,66,165,49,160,324,60,99,165,41,65,159,51,164,324,,,,,,,04:07:00,04:07:00,9,7,,,PL56,KE29
520,2025,Roland Garros,GS,2025-05-25T00:00:00,2025-06-08T00:00:00,Clay,128,26334000,€,MS030,R32,02:19:00,,F,3,S0S1,"6-3,6-3,6-4",B. Shelton,M. Gigante,,,USA,ITA,6-3,6-3,6-4,,,02:19:00,A,B. Shelton,M. Gigante,USA,ITA,,,288,/en/stats/leaderboard?page=serve,7,10,57,47,82,79,37,47,57,20,35,75,3,4,14,233,/en/stats/leaderboard?page=serve,2,4,58,59,101,64,38,59,45,19,42,55,6,11,14,70,57,82,44,44,101,55,101,183,56,57,101,30,25,82,45,82,183,,,,,,,02:19:00,02:19:00,,,,,S0S1,G0GD
520,2025,Roland Garros,GS,2025-05-25T00:00:00,2025-06-08T00:00:00,Clay,128,26334000,€,MS031,R32,03:14:00,,F,4,A0E2,"6-1,6-3,4-6,6-4",C. Alcaraz,D. Dzumhur,,,ESP,BIH,6-1,6-3,4-6,6-4,,03:14:00,A,C. Alcaraz,D. Dzumhur,ESP,BIH,,,272,/en/stats/leaderboard?page=serve,5,4,70,92,131,64,59,92,56,22,39,75,9,12,18,221,/en/stats/leaderboard?page=serve,6,0,59,74,126,55,41,74,52,27,52,67,14,21,18,62,81,131,46,58,126,54,139,257,54,68,126,38,50,131,46,118,257,,,,,,,03:14:00,03:14:00,,,,,A0E2,D923
