event_id,event_year,tourney_name,level,start_date,end_date,surface,singles_draw_size,prize_money,prize_money_currency,match_id,round,match_time_total,match_message,match_status,num_sets,winner_flag_raw,score_string,winner_player_name,loser_player_name,winner_seed,loser_seed,winner_country,loser_country,set1_score,set2_score,set3_score,set4_score,set5_score,match_date,serverating_tot_winner,serveratinglink_tot_winner,doublefaults_tot_winner,aces_tot_winner,firstserve_percent_tot_winner,firstserve_dividend_tot_winner,firstserve_divisor_tot_winner,firstservepointswon_percent_tot_winner,firstservepointswon_dividend_tot_winner,firstservepointswon_divisor_tot_winner,secondservepointswon_percent_tot_winner,secondservepointswon_dividend_tot_winner,secondservepointswon_divisor_tot_winner,breakpointssaved_percent_tot_winner,breakpointssaved_dividend_tot_winner,breakpointssaved_divisor_tot_winner,servicegamesplayed_tot_winner,serverating_tot_loser,serveratinglink_tot_loser,doublefaults_tot_loser,aces_tot_loser,firstserve_percent_tot_loser,firstserve_dividend_tot_loser,firstserve_divisor_tot_loser,firstservepointswon_percent_tot_loser,firstservepointswon_dividend_tot_loser,firstservepointswon_divisor_tot_loser,secondservepointswon_percent_tot_loser,secondservepointswon_dividend_tot_loser,secondservepointswon_divisor_tot_loser,breakpointssaved_percent_tot_loser,breakpointssaved_dividend_tot_loser,breakpointssaved_divisor_tot_loser,servicegamesplayed_tot_loser,totalservicepointswon_percent_tot_winner,totalservicepointswon_dividend_tot_winner,totalservicepointswon_divisor_tot_winner,totalreturnpointswon_percent_tot_winner,totalreturnpointswon_dividend_tot_winner,totalreturnpointswon_divisor_tot_winner,totalpointswon_percent_tot_winner,totalpointswon_dividend_tot_winner,totalpointswon_divisor_tot_winner,totalservicepointswon_percent_tot_loser,totalservicepointswon_dividend_tot_loser,totalservicepointswon_divisor_tot_loser,totalreturnpointswon_percent_tot_loser,totalreturnpointswon_dividend_tot_loser,totalreturnpointswon_divisor_tot_loser,totalpointswon_percent_tot_loser,totalpointswon_dividend_tot_loser,totalpointswon_divisor_tot_loser,winner_flag,tiebreak_set3_winner,tiebreak_set3_loser,tiebreak_set2_winner,tiebreak_set2_loser,tiebreak_set4_winner,tiebreak_set4_loser,tiebreak_set1_winner,tiebreak_set1_loser,doublefaults_isstatbetter_tot_winner,player_winner,player_loser,player_id_winner,player_id_loser,country_winner,country_loser,seed_winner,seed_loser
540,1996,Wimbledon,GS,1996-06-24T00:00:00,1996-07-07T00:00:00,Grass,128,4736161,$,MS036,R64,02:43:00,,F,4,S351,"7-6(7),6-4,6-7(5),6-1",M. Stich,S. Matsuoka,,,GER,JPN,7-6(7),6-4,6-7(5),6-1,,02:43:00,299,/en/stats/leaderboard?page=serve,7,16,58,90,155,82,74,90,60,39,65,82,9,11,21,266,/en/stats/leaderboard?page=serve,5,12,67,104,156,73,76,104,44,23,52,58,7,12,20,73,113,155,37,57,156,55,170,311,63,99,156,27,42,155,45,141,311,A,5,7,,,,,7,2,,M. Stich,S. Matsuoka,S351,M338,GER,JPN,,
540,1996,Wimbledon,GS,1996-06-24T00:00:00,1996-07-07T00:00:00,Grass,128,4736161,$,MS037,R64,02:14:00,,F,4,S443,"6-2,1-6,7-6(7),6-4",S. Stolle,M. Larsson,,,AUS,SWE,6-2,1-6,7-6(7),6-4,,02:14:00,275,/en/stats/leaderboard?page=serve,12,16,52,73,140,79,58,73,52,35,67,67,4,6,18,268,/en/stats/leaderboard?page=serve,6,11,65,100,154,73,73,100,41,22,54,63,5,8,19,66,93,140,38,59,154,52,152,294,62,95,154,34,47,140,48,142,294,A,7,4,,,,,,,,S. Stolle,M. Larsson,S443,L206,AUS,SWE,,
540,1996,Wimbledon,GS,1996-06-24T00:00:00,1996-07-07T00:00:00,Grass,128,4736161,$,MS038,R64,02:35:00,,F,4,S321,"7-6(9),4-6,7-6(14),6-2",B. Steven,G. Rusedski,,,NZL,GBR,7-6(9),4-6,7-6(14),6-2,,02:35:00,281,/en/stats/leaderboard?page=serve,3,5,74,116,157,79,92,116,41,17,41,63,5,8,21,284,/en/stats/leaderboard?page=serve,10,28,67,116,173,91,106,116,28,16,57,0,0,4,21,69,109,157,29,51,173,48,160,330,71,122,173,31,48,157,52,170,330,A,14,12,,,,,9,7,,B. Steven,G. Rusedski,S321,R237,NZL,GBR,,
540,1996,Wimbledon,GS,1996-06-24T00:00:00,1996-07-07T00:00:00,Grass,128,4736161,$,MS039,R64,01:25:00,,F,3,K214,"6-4,6-3,6-3",R. Krajicek,D. Rostagno,,,NED,USA,6-4,6-3,6-3,,,01:25:00,241,/en/stats/leaderboard?page=serve,,19,66,59,90,95,56,59,61,19,31,0,0,,14,239,/en/stats/leaderboard?page=serve,3,3,57,51,90,75,38,51,36,14,39,60,6,10,14,83,75,90,42,38,90,63,113,180,58,52,90,17,15,90,37,67,180,A,,,,,,,,,False,R. Krajicek,D. Rostagno,K214,R043,NED,USA,,
540,1996,Wimbledon,GS,1996-06-24T00:00:00,1996-07-07T00:00:00,Grass,128,4736161,$,MS040,R64,01:27:00,,F,3,I034,"7-5,6-4,6-4",G. Ivanisevic,P. Bouteyre,,,CRO,FRA,7-5,6-4,6-4,,,01:27:00,228,/en/stats/leaderboard?page=serve,6,21,63,67,106,94,63,67,56,22,39,0,0,,16,270,/en/stats/leaderboard?page=serve,3,6,68,75,111,76,57,75,42,15,36,63,5,8,16,80,85,106,35,39,111,57,124,217,65,72,111,20,21,106,43,93,217,A,,,,,,,,,,G. Ivanisevic,P. Bouteyre,I034,B439,CRO,FRA,,
540,1996,Wimbledon,GS,1996-06-24T00:00:00,1996-07-07T00:00:00,Grass,128,4736161,$,MS041,R64,03:20:00,,F,5,V037,"7-6(7),4-6,4-6,6-3,6-4",A. Volkov,M. Damm,,,RUS,CZE,7-6(7),4-6,4-6,6-3,6-4,03:20:00,261,/en/stats/leaderboard?page=serve,9,12,55,109,200,77,84,109,46,42,91,67,10,15,26,265,/en/stats/leaderboard?page=serve,13,21,51,100,195,88,88,100,38,36,95,62,8,13,25,63,126,200,36,71,195,50,197,395,64,124,195,37,74,200,50,198,395,A,,,,,,,7,4,,A. Volkov,M. Damm,V037,D214,RUS,CZE,,
540,1996,Wimbledon,GS,1996-06-24T00:00:00,1996-07-07T00:00:00,Grass,128,4736161,$,MS042,R64,01:49:00,,F,3,R255,"6-1,7-5,6-4",P. Rafter,G. Pozzi,,,AUS,ITA,6-1,7-5,6-4,,,01:49:00,278,/en/stats/leaderboard?page=serve,3,1,67,59,88,75,44,59,52,15,29,0,0,2,15,210,/en/stats/leaderboard?page=serve,6,3,52,50,97,64,32,50,40,19,47,40,4,10,14,67,59,88,47,46,97,57,105,185,53,51,97,33,29,88,43,80,185,A,,,,,,,,,,P. Rafter,G. Pozzi,R255,P045,AUS,ITA,,
540,1996,Wimbledon,GS,1996-06-24T00:00:00,1996-07-07T00:00:00,Grass,128,4736161,$,MS043,R64,01:46:00,,F,3,R214,"6-3,7-6(7),6-4",M. Rosset,A. Olhovskiy,,,SUI,RUS,6-3,7-6(7),6-4,,,01:46:00,322,/en/stats/leaderboard?page=serve,2,25,69,79,115,85,67,79,72,26,36,,0,,15,268,/en/stats/leaderboard?page=serve,5,9,68,79,117,73,58,79,42,16,38,57,4,7,16,81,93,115,37,43,117,59,136,232,63,74,117,19,22,115,41,96,232,A,,,7,4,,,,,,M. Rosset,A. Olhovskiy,R214,O009,SUI,RUS,,
540,1996,Wimbledon,GS,1996-06-24T00:00:00,1996-07-07T00:00:00,Grass,128,4736161,$,MS044,R64,02:37:00,,F,4,T166,"4-6,6-4,7-6(7),6-4",M. Tillstrom,S. Edberg,,,SWE,SWE,4-6,6-4,7-6(7),6-4,,02:37:00,272,/en/stats/leaderboard?page=serve,3,6,58,92,159,71,65,92,55,37,67,70,7,10,21,253,/en/stats/leaderboard?page=serve,7,4,52,77,147,74,57,77,50,35,70,50,4,8,21,64,102,159,37,55,147,51,157,306,63,92,147,36,57,159,49,149,306,A,7,5,,,,,,,,M. Tillstrom,S. Edberg,T166,E004,SWE,SWE,,
540,1996,Wimbledon,GS,1996-06-24T00:00:00,1996-07-07T00:00:00,Grass,128,4736161,$,MS045,R64,02:40:00,,F,4,H025,"4-6,6-3,6-4,6-4",J. Hlasek,A. Corretja,,,SUI,ESP,4-6,6-3,6-4,6-4,,02:40:00,264,/en/stats/leaderboard?page=serve,5,10,60,95,158,78,74,95,41,26,63,69,9,13,20,235,/en/stats/leaderboard?page=serve,5,7,44,58,131,76,44,58,45,33,73,40,4,10,19,63,100,158,41,54,131,53,154,289,59,77,131,37,58,158,47,135,289,A,,,,,,,,,,J. Hlasek,A. Corretja,H025,C344,SUI,ESP,,
540,1996,Wimbledon,GS,1996-06-24T00:00:00,1996-07-07T00:00:00,Grass,128,4736161,$,MS046,R64,01:35:00,,F,3,S331,"7-6(7),6-1,6-1",J. Stoltenberg,J. Novak,,,AUS,CZE,7-6(7),6-1,6-1,,,01:35:00,271,/en/stats/leaderboard?page=serve,4,7,54,49,90,76,37,49,54,22,41,50,2,4,13,189,/en/stats/leaderboard?page=serve,5,1,70,70,100,50,35,70,27,8,30,50,7,14,13,66,59,90,57,57,100,61,116,190,43,43,100,34,31,90,39,74,190,A,,,,,,,7,5,,J. Stoltenberg,J. Novak,S331,N254,AUS,CZE,,
540,1996,Wimbledon,GS,1996-06-24T00:00:00,1996-07-07T00:00:00,Grass,128,4736161,$,MS047,R64,03:10:00,,F,5,N230,"4-6,7-6(8),3-6,7-5,9-7",M. Navarra,A. Costa,,,ITA,ESP,4-6,7-6(8),3-6,7-5,9-7,03:10:00,273,/en/stats/leaderboard?page=serve,7,5,62,82,133,83,68,82,45,23,51,40,2,5,21,299,/en/stats/leaderboard?page=serve,3,10,64,94,146,78,73,94,60,31,52,71,5,7,22,68,91,133,29,42,146,48,133,279,71,104,146,32,42,133,52,146,279,A,,,8,6,,,,,,M. Navarra,A. Costa,N230,C378,ITA,ESP,,
