event_id,event_year,tourney_name,level,start_date,end_date,surface,singles_draw_size,prize_money,prize_money_currency,match_id,round,match_time_total,match_message,match_status,num_sets,winner_flag_raw,score_string,winner_player_name,loser_player_name,winner_seed,loser_seed,winner_country,loser_country,set1_score,set2_score,set3_score,set4_score,set5_score,match_date,winner_flag,player_winner,player_loser,country_winner,country_loser,seed_winner,seed_loser,serverating_tot_winner,serveratinglink_tot_winner,doublefaults_tot_winner,aces_tot_winner,firstserve_percent_tot_winner,firstserve_dividend_tot_winner,firstserve_divisor_tot_winner,firstservepointswon_percent_tot_winner,firstservepointswon_dividend_tot_winner,firstservepointswon_divisor_tot_winner,secondservepointswon_percent_tot_winner,secondservepointswon_dividend_tot_winner,secondservepointswon_divisor_tot_winner,breakpointssaved_percent_tot_winner,breakpointssaved_dividend_tot_winner,breakpointssaved_divisor_tot_winner,servicegamesplayed_tot_winner,serverating_tot_loser,serveratinglink_tot_loser,doublefaults_tot_loser,aces_tot_loser,firstserve_percent_tot_loser,firstserve_dividend_tot_loser,firstserve_divisor_tot_loser,firstservepointswon_percent_tot_loser,firstservepointswon_dividend_tot_loser,firstservepointswon_divisor_tot_loser,secondservepointswon_percent_tot_loser,secondservepointswon_dividend_tot_loser,secondservepointswon_divisor_tot_loser,breakpointssaved_percent_tot_loser,breakpointssaved_dividend_tot_loser,breakpointssaved_divisor_tot_loser,servicegamesplayed_tot_loser,totalservicepointswon_percent_tot_winner,totalservicepointswon_dividend_tot_winner,totalservicepointswon_divisor_tot_winner,totalreturnpointswon_percent_tot_winner,totalreturnpointswon_dividend_tot_winner,totalreturnpointswon_divisor_tot_winner,totalpointswon_percent_tot_winner,totalpointswon_dividend_tot_winner,totalpointswon_divisor_tot_winner,totalservicepointswon_percent_tot_loser,totalservicepointswon_dividend_tot_loser,totalservicepointswon_divisor_tot_loser,totalreturnpointswon_percent_tot_loser,totalreturnpointswon_dividend_tot_loser,totalreturnpointswon_divisor_tot_loser,totalpointswon_percent_tot_loser,totalpointswon_dividend_tot_loser,totalpointswon_divisor_tot_loser,settime_tot_winner,settime_tot_loser,tiebreak_set3_winner,tiebreak_set3_loser,tiebreak_set1_winner,tiebreak_set2_winner,tiebreak_set2_loser,tiebreak_set1_loser,player_id_winner,player_id_loser
6003,2012,Kuala Lumpur,250,2012-09-24T00:00:00,2012-09-30T00:00:00,Hard,28,850000,$,MS011,R16,01:15:00,,F,2,B747,"7-5,6-2",J. Benneteau,M. Ebden,,,FRA,AUS,7-5,6-2,,,,01:15:00,A,J. Benneteau,M. Ebden,FRA,AUS,,,301,/en/stats/leaderboard?page=serve,0,5,65,36,55,78,28,36,63,12,19,67,2,3,10,227,/en/stats/leaderboard?page=serve,3,4,69,38,55,68,26,38,29,5,17,43,3,7,10,73,40,55,44,24,55,58,64,110,56,31,55,27,15,55,42,46,110,01:15:00,01:15:00,,,,,,,B747,E690
6003,2012,Kuala Lumpur,250,2012-09-24T00:00:00,2012-09-30T00:00:00,Hard,28,850000,$,MS012,R16,01:41:00,,F,2,D402,"7-5,6-4",N. Davydenko,D. Istomin,,,RUS,UZB,7-5,6-4,,,,01:41:00,A,N. Davydenko,D. Istomin,RUS,UZB,,,256,/en/stats/leaderboard?page=serve,6,0,69,54,78,70,38,54,42,10,24,71,5,7,11,237,/en/stats/leaderboard?page=serve,0,5,66,46,70,70,32,46,33,8,24,43,3,7,11,62,48,78,43,30,70,53,78,148,57,40,70,38,30,78,47,70,148,01:41:00,01:41:00,,,,,,,D402,I165
6003,2012,Kuala Lumpur,250,2012-09-24T00:00:00,2012-09-30T00:00:00,Hard,28,850000,$,MS013,R16,02:13:00,,F,3,N552,"6-7(5),6-2,6-1",K. Nishikori,A. Ramos-Vinolas,,,JPN,ESP,6-7(5),6-2,6-1,,,02:13:00,A,K. Nishikori,A. Ramos-Vinolas,JPN,ESP,,,267,/en/stats/leaderboard?page=serve,6,2,47,43,91,72,31,43,60,29,48,75,3,4,14,230,/en/stats/leaderboard?page=serve,2,2,61,45,74,67,30,45,41,12,29,0,0,5,13,66,60,91,43,32,74,56,92,165,57,42,74,34,31,91,44,73,165,02:13:00,02:13:00,,,5,,,7,N552,R772
6003,2012,Kuala Lumpur,250,2012-09-24T00:00:00,2012-09-30T00:00:00,Hard,28,850000,$,MS014,R16,01:50:00,,F,2,PD07,"6-3,7-5",V. Pospisil,M. Yani,,,CAN,USA,6-3,7-5,,,,01:50:00,A,V. Pospisil,M. Yani,CAN,USA,,,298,/en/stats/leaderboard?page=serve,4,9,63,49,78,78,38,49,52,15,29,100,5,5,11,251,/en/stats/leaderboard?page=serve,6,2,62,46,74,70,32,46,43,12,28,85,11,13,10,68,53,78,41,30,74,55,83,152,59,44,74,32,25,78,45,69,152,01:50:00,01:50:00,,,,,,,PD07,Y070
6003,2012,Kuala Lumpur,250,2012-09-24T00:00:00,2012-09-30T00:00:00,Hard,28,850000,$,MS015,R16,01:48:00,,F,2,MA21,"6-4,7-5",J. Monaco,J. Wang,,,ARG,TPE,6-4,7-5,,,,01:48:00,A,J. Monaco,J. Wang,ARG,TPE,,,262,/en/stats/leaderboard?page=serve,1,3,67,41,61,71,29,41,50,10,20,50,3,6,11,214,/en/stats/leaderboard?page=serve,4,0,57,39,69,44,17,39,63,19,30,55,6,11,11,64,39,61,48,33,69,55,72,130,52,36,69,36,22,61,45,58,130,01:48:00,01:48:00,,,,,,,MA21,W373
6003,2012,Kuala Lumpur,250,2012-09-24T00:00:00,2012-09-30T00:00:00,Hard,28,850000,$,MS017,R32,01:07:00,,F,2,B842,"7-5,6-3",A. Bogomolov Jr.,D. Inglot,,,RUS,GBR,7-5,6-3,,,,01:07:00,A,A. Bogomolov Jr.,D. Inglot,RUS,GBR,,,339,/en/stats/leaderboard?page=serve,1,2,81,43,53,77,33,43,80,8,10,0,0,0,10,248,/en/stats/leaderboard?page=serve,4,12,59,41,69,73,30,41,36,10,28,75,9,12,11,77,41,53,42,29,69,57,70,122,58,40,69,23,12,53,43,52,122,01:07:00,01:07:00,,,,,,,B842,I200
6003,2012,Kuala Lumpur,250,2012-09-24T00:00:00,2012-09-30T00:00:00,Hard,28,850000,$,MS018,R32,00:50:00,,F,2,SF36,"6-2,6-1",I. Sijsling,A. Deen Heshaam,,,NED,MAS,6-2,6-1,,,,00:50:00,A,I. Sijsling,A. Deen Heshaam,NED,MAS,,,288,/en/stats/leaderboard?page=serve,1,3,56,20,36,70,14,20,75,12,16,0,0,1,7,157,/en/stats/leaderboard?page=serve,0,1,56,25,45,40,10,25,35,7,20,25,2,8,8,72,26,36,62,28,45,67,54,81,38,17,45,28,10,36,33,27,81,00:50:00,00:50:00,,,,,,,SF36,DA53
6003,2012,Kuala Lumpur,250,2012-09-24T00:00:00,2012-09-30T00:00:00,Hard,28,850000,$,MS019,R32,01:40:00,,F,2,L397,"6-3,7-6(7)",F. Lopez,L. Lacko,,,ESP,SVK,6-3,7-6(7),,,,01:40:00,A,F. Lopez,L. Lacko,ESP,SVK,,,283,/en/stats/leaderboard?page=serve,5,5,56,40,72,78,31,40,59,19,32,83,5,6,10,240,/en/stats/leaderboard?page=serve,3,1,57,40,70,73,29,40,40,12,30,40,2,5,11,69,50,72,41,29,70,56,79,142,59,41,70,31,22,72,44,63,142,01:40:00,01:40:00,,,,7,3,,L397,L797
6003,2012,Kuala Lumpur,250,2012-09-24T00:00:00,2012-09-30T00:00:00,Hard,28,850000,$,MS021,R32,01:22:00,,F,2,F444,"7-6(7),4-2",A. Falla,R. Ram,,,COL,USA,7-6(7),4-2,,,,01:22:00,A,A. Falla,R. Ram,COL,USA,,,301,/en/stats/leaderboard?page=serve,3,8,60,32,53,81,26,32,67,14,21,50,1,2,9,260,/en/stats/leaderboard?page=serve,1,2,60,38,63,74,28,38,48,12,25,33,1,3,9,75,40,53,37,23,63,54,63,116,63,40,63,25,13,53,46,53,116,01:22:00,01:22:00,,,7,,,4,F444,R548
6003,2012,Kuala Lumpur,250,2012-09-24T00:00:00,2012-09-30T00:00:00,Hard,28,850000,$,MS022,R32,01:17:00,,F,2,E690,"6-0,7-6(7)",M. Ebden,P. Davydenko,,,AUS,RUS,6-0,7-6(7),,,,01:17:00,A,M. Ebden,P. Davydenko,AUS,RUS,,,263,/en/stats/leaderboard?page=serve,3,3,64,34,53,85,29,34,37,7,19,33,1,3,9,201,/en/stats/leaderboard?page=serve,3,0,62,40,65,50,20,40,48,12,25,62,8,13,9,68,36,53,51,33,65,58,69,118,49,32,65,32,17,53,42,49,118,01:17:00,01:17:00,,,,7,3,,E690,D908
6003,2012,Kuala Lumpur,250,2012-09-24T00:00:00,2012-09-30T00:00:00,Hard,28,850000,$,MS023,R32,01:31:00,,F,2,B747,"7-6(7),6-3",J. Benneteau,C. Berlocq,,,FRA,ARG,7-6(7),6-3,,,,01:31:00,A,J. Benneteau,C. Berlocq,FRA,ARG,,,276,/en/stats/leaderboard?page=serve,2,4,76,44,58,75,33,44,43,6,14,0,0,2,10,223,/en/stats/leaderboard?page=serve,5,4,52,34,66,62,21,34,47,15,32,20,1,5,11,67,39,58,45,30,66,56,69,124,55,36,66,33,19,58,44,55,124,01:31:00,01:31:00,,,7,,,2,B747,B884
6003,2012,Kuala Lumpur,250,2012-09-24T00:00:00,2012-09-30T00:00:00,Hard,28,850000,$,MS024,R32,01:14:00,,F,2,I165,"6-3,6-2",D. Istomin,P. Andujar,,,UZB,ESP,6-3,6-2,,,,01:14:00,A,D. Istomin,P. Andujar,UZB,ESP,,,280,/en/stats/leaderboard?page=serve,2,6,61,35,57,77,27,35,50,11,22,0,0,1,9,197,/en/stats/leaderboard?page=serve,3,0,47,23,49,61,14,23,42,11,26,50,4,8,8,67,38,57,49,24,49,58,62,106,51,25,49,33,19,57,42,44,106,01:14:00,01:14:00,,,,,,,I165,A596
6003,2012,Kuala Lumpur,250,2012-09-24T00:00:00,2012-09-30T00:00:00,Hard,28,850000,$,MS025,R32,01:44:00,,F,2,D402,"7-5,6-4",N. Davydenko,S. Singh,,,RUS,IND,7-5,6-4,,,,01:44:00,A,N. Davydenko,S. Singh,RUS,IND,,,254,/en/stats/leaderboard?page=serve,6,5,70,44,63,66,29,44,47,9,19,50,3,6,11,213,/en/stats/leaderboard?page=serve,1,0,59,47,79,60,28,47,41,13,32,69,11,16,11,60,38,63,48,38,79,54,76,142,52,41,79,40,25,63,46,66,142,01:44:00,01:44:00,,,,,,,D402,SG33
6003,2012,Kuala Lumpur,250,2012-09-24T00:00:00,2012-09-30T00:00:00,Hard,28,850000,$,MS026,R32,01:09:00,,F,2,R772,"6-1,6-4",A. Ramos-Vinolas,J. Knowle,,,ESP,AUT,6-1,6-4,,,,01:09:00,A,A. Ramos-Vinolas,J. Knowle,ESP,AUT,,,307,/en/stats/leaderboard?page=serve,3,14,65,30,46,80,24,30,63,10,16,50,1,2,9,214,/en/stats/leaderboard?page=serve,0,6,70,39,56,59,23,39,29,5,17,43,3,7,8,74,34,46,50,28,56,61,62,102,50,28,56,26,12,46,39,40,102,01:09:00,01:09:00,,,,,,,R772,K263
6003,2012,Kuala Lumpur,250,2012-09-24T00:00:00,2012-09-30T00:00:00,Hard,28,850000,$,MS028,R32,00:55:00,,F,2,PD07,"6-4,2-0",V. Pospisil,J. Melzer,,,CAN,AUT,6-4,2-0,,,,00:55:00,A,V. Pospisil,J. Melzer,CAN,AUT,,,237,/en/stats/leaderboard?page=serve,3,5,57,20,35,85,17,20,27,4,15,0,0,2,6,195,/en/stats/leaderboard?page=serve,0,0,68,27,40,48,13,27,46,6,13,33,2,6,6,60,21,35,53,21,40,56,42,75,48,19,40,40,14,35,44,33,75,00:55:00,00:55:00,,,,,,,PD07,M762
6003,2012,Kuala Lumpur,250,2012-09-24T00:00:00,2012-09-30T00:00:00,Hard,28,850000,$,MS029,R32,01:42:00,,F,2,Y070,"6-3,7-6(7)",M. Yani,B. Baker,,,USA,USA,6-3,7-6(7),,,,01:42:00,A,M. Yani,B. Baker,USA,USA,,,282,/en/stats/leaderboard?page=serve,0,5,73,48,66,73,35,48,50,9,18,33,1,3,11,239,/en/stats/leaderboard?page=serve,3,1,65,52,80,60,31,52,46,13,28,70,7,10,10,67,44,66,45,36,80,55,80,146,55,44,80,33,22,66,45,66,146,01:42:00,01:42:00,,,,7,4,,Y070,BA23
6003,2012,Kuala Lumpur,250,2012-09-24T00:00:00,2012-09-30T00:00:00,Hard,28,850000,$,MS030,R32,01:27:00,,F,2,W373,"6-3,6-3",J. Wang,R. Ghedin,,,TPE,ITA,6-3,6-3,,,,01:27:00,A,J. Wang,R. Ghedin,TPE,ITA,,,292,/en/stats/leaderboard?page=serve,1,9,69,41,59,66,27,41,61,11,18,67,2,3,9,222,/en/stats/leaderboard?page=serve,1,2,70,48,69,58,28,48,38,8,21,56,5,9,9,64,38,59,48,33,69,55,71,128,52,36,69,36,21,59,45,57,128,01:27:00,01:27:00,,,,,,,W373,G822
