event_id,event_year,tourney_name,level,start_date,end_date,surface,singles_draw_size,prize_money,prize_money_currency,match_id,round,match_time_total,match_message,match_status,num_sets,winner_flag_raw,score_string,winner_player_name,loser_player_name,winner_seed,loser_seed,winner_country,loser_country,set1_score,set2_score,set3_score,set4_score,set5_score,match_date,serverating_tot_winner,serveratinglink_tot_winner,doublefaults_tot_winner,aces_tot_winner,firstserve_percent_tot_winner,firstserve_dividend_tot_winner,firstserve_divisor_tot_winner,firstservepointswon_percent_tot_winner,firstservepointswon_dividend_tot_winner,firstservepointswon_divisor_tot_winner,secondservepointswon_percent_tot_winner,secondservepointswon_dividend_tot_winner,secondservepointswon_divisor_tot_winner,breakpointssaved_dividend_tot_winner,servicegamesplayed_tot_winner,serverating_tot_loser,serveratinglink_tot_loser,doublefaults_tot_loser,aces_tot_loser,firstserve_percent_tot_loser,firstserve_dividend_tot_loser,firstserve_divisor_tot_loser,firstservepointswon_percent_tot_loser,firstservepointswon_dividend_tot_loser,firstservepointswon_divisor_tot_loser,secondservepointswon_percent_tot_loser,secondservepointswon_dividend_tot_loser,secondservepointswon_divisor_tot_loser,breakpointssaved_percent_tot_loser,breakpointssaved_dividend_tot_loser,breakpointssaved_divisor_tot_loser,servicegamesplayed_tot_loser,totalservicepointswon_percent_tot_winner,totalservicepointswon_dividend_tot_winner,totalservicepointswon_divisor_tot_winner,totalreturnpointswon_percent_tot_winner,totalreturnpointswon_dividend_tot_winner,totalreturnpointswon_divisor_tot_winner,totalpointswon_percent_tot_winner,totalpointswon_dividend_tot_winner,totalpointswon_divisor_tot_winner,totalservicepointswon_percent_tot_loser,totalservicepointswon_dividend_tot_loser,totalservicepointswon_divisor_tot_loser,totalreturnpointswon_percent_tot_loser,totalreturnpointswon_dividend_tot_loser,totalreturnpointswon_divisor_tot_loser,totalpointswon_percent_tot_loser,totalpointswon_dividend_tot_loser,totalpointswon_divisor_tot_loser,winner_flag,doublefaults_isstatbetter_tot_winner,breakpointssaved_percent_tot_winner,breakpointssaved_divisor_tot_winner,tiebreak_set2_winner,tiebreak_set2_loser,doublefaults_isstatbetter_tot_loser,tiebreak_set1_winner,tiebreak_set1_loser,tiebreak_set3_winner,tiebreak_set3_loser,player_winner,player_loser,player_id_winner,player_id_loser,country_winner,country_loser,seed_winner,seed_loser
8996,1997,Santiago,GP,1997-11-03T00:00:00,1997-11-09T00:00:00,Clay,32,303000,$,MS021,R32,01:32:00,,F,2,V151,"6-4,7-6(7)",R. Vasek,F. Cabello,,,CZE,ARG,6-4,7-6(7),,,,01:32:00,243,/en/stats/leaderboard?page=serve,8,2,64,51,80,65,33,51,48,14,29,1,11,244,/en/stats/leaderboard?page=serve,2,4,77,56,73,55,31,56,47,8,17,43,3,7,11,59,47,80,47,34,73,53,81,153,53,39,73,41,33,80,47,72,153,A,,25,4,7,3,,,,,,R. Vasek,F. Cabello,V151,C457,CZE,ARG,,
8996,1997,Santiago,GP,1997-11-03T00:00:00,1997-11-09T00:00:00,Clay,32,303000,$,MS022,R32,01:59:00,,F,3,M590,"6-4,5-7,6-4",A. Martin,H. Gamonal,,,ESP,CHI,6-4,5-7,6-4,,,01:59:00,234,/en/stats/leaderboard?page=serve,3,2,67,72,107,57,41,72,49,17,35,9,16,231,/en/stats/leaderboard?page=serve,3,2,75,76,102,55,42,76,46,12,26,36,4,11,16,54,58,107,47,48,102,51,106,209,53,54,102,46,49,107,49,103,209,A,,60,15,,,,,,,,A. Martin,H. Gamonal,M590,G375,ESP,CHI,,
8996,1997,Santiago,GP,1997-11-03T00:00:00,1997-11-09T00:00:00,Clay,32,303000,$,MS023,R32,01:39:00,,F,2,F165,"6-2,7-6(7)",M. Filippini,E. Benfele Alvarez,,,URU,ESP,6-2,7-6(7),,,,01:39:00,286,/en/stats/leaderboard?page=serve,4,0,63,41,65,83,34,41,54,13,24,0,10,256,/en/stats/leaderboard?page=serve,3,8,58,47,81,72,34,47,41,14,34,80,8,10,10,72,47,65,41,33,81,55,80,146,59,48,81,28,18,65,45,66,146,A,,,,7,2,,,,,,M. Filippini,E. Benfele Alvarez,F165,A190,URU,ESP,,
8996,1997,Santiago,GP,1997-11-03T00:00:00,1997-11-09T00:00:00,Clay,32,303000,$,MS024,R32,01:01:00,,F,2,P372,"6-4,6-3",M. Puerta,G. Blanco,,,ARG,ESP,6-4,6-3,,,,01:01:00,303,/en/stats/leaderboard?page=serve,2,5,64,36,56,81,29,36,65,13,20,0,10,270,/en/stats/leaderboard?page=serve,2,6,62,32,52,72,23,32,55,11,20,50,2,4,9,75,42,56,35,18,52,56,60,108,65,34,52,25,14,56,44,48,108,A,,,,,,,,,,,M. Puerta,G. Blanco,P372,B518,ARG,ESP,,
8996,1997,Santiago,GP,1997-11-03T00:00:00,1997-11-09T00:00:00,Clay,32,303000,$,MS025,R32,01:43:00,,F,3,V161,"6-7(4),7-5,6-3",J. Viloca-Puig,N. Massu,,,ESP,CHI,6-7(4),7-5,6-3,,,01:43:00,278,/en/stats/leaderboard?page=serve,6,4,62,77,125,69,53,77,56,27,48,12,16,251,/en/stats/leaderboard?page=serve,4,3,57,73,127,63,46,73,56,30,54,75,12,16,17,64,80,125,40,51,127,52,131,252,60,76,127,36,45,125,48,121,252,A,,92,13,,,,4,7,,,J. Viloca-Puig,N. Massu,V161,M655,ESP,CHI,,
8996,1997,Santiago,GP,1997-11-03T00:00:00,1997-11-09T00:00:00,Clay,32,303000,$,MS026,R32,01:20:00,,F,2,C439,"7-5,6-1",M. Craca,J. Marin,,,GER,CRC,7-5,6-1,,,,01:20:00,281,/en/stats/leaderboard?page=serve,2,2,75,54,72,59,32,54,67,12,18,6,10,211,/en/stats/leaderboard?page=serve,,0,61,30,49,43,13,30,63,12,19,38,3,8,9,61,44,72,49,24,49,56,68,121,51,25,49,39,28,72,44,53,121,A,,75,8,,,False,,,,,M. Craca,J. Marin,C439,M578,GER,CRC,,
8996,1997,Santiago,GP,1997-11-03T00:00:00,1997-11-09T00:00:00,Clay,32,303000,$,MS027,R32,01:50:00,,F,3,A272,"6-4,6-7(1),6-1",J. Alonso,D. Pescariu,,,ESP,ROU,6-4,6-7(1),6-1,,,01:50:00,258,/en/stats/leaderboard?page=serve,6,6,52,63,121,67,42,63,53,31,58,11,15,257,/en/stats/leaderboard?page=serve,5,4,76,67,88,66,44,67,52,11,21,50,5,10,14,60,73,121,38,33,88,51,106,209,63,55,88,40,48,121,49,103,209,A,,85,13,1,7,,,,,,J. Alonso,D. Pescariu,A272,P254,ESP,ROU,,
8996,1997,Santiago,GP,1997-11-03T00:00:00,1997-11-09T00:00:00,Clay,32,303000,$,MS028,R32,01:18:00,,F,2,G297,"7-5,6-2",O. Gross,K. Alami,,,GER,MAR,7-5,6-2,,,,01:18:00,263,/en/stats/leaderboard?page=serve,4,5,63,41,65,73,30,41,46,11,24,3,10,192,/en/stats/leaderboard?page=serve,4,2,42,27,65,52,14,27,50,19,38,38,3,8,10,63,41,65,49,32,65,56,73,130,51,33,65,37,24,65,44,57,130,A,,60,5,,,,,,,,O. Gross,K. Alami,G297,A203,GER,MAR,,
8996,1997,Santiago,GP,1997-11-03T00:00:00,1997-11-09T00:00:00,Clay,32,303000,$,MS029,R32,01:09:00,,F,2,G247,"6-2,6-2",H. Gumy,F. Vicente,,,ARG,ESP,6-2,6-2,,,,01:09:00,250,/en/stats/leaderboard?page=serve,5,1,51,24,47,71,17,24,57,13,23,0,8,160,/en/stats/leaderboard?page=serve,2,1,53,34,64,53,18,34,30,9,30,65,11,17,8,64,30,47,58,37,64,60,67,111,42,27,64,36,17,47,40,44,111,A,,0,2,,,,,,,,H. Gumy,F. Vicente,G247,V195,ARG,ESP,,
8996,1997,Santiago,GP,1997-11-03T00:00:00,1997-11-09T00:00:00,Clay,32,303000,$,MS030,R32,02:44:00,,F,3,B429,"6-4,6-7(8),7-6(10)",J. Burillo,A. Pavel,,,ESP,ROU,6-4,6-7(8),7-6(10),,,02:44:00,186,/en/stats/leaderboard?page=serve,2,14,53,83,156,77,64,83,49,36,73,0,17,294,/en/stats/leaderboard?page=serve,2,6,67,78,117,73,57,78,56,22,39,86,6,7,17,64,100,156,32,38,117,51,138,273,68,79,117,36,56,156,49,135,273,A,,,,8,10,,,,10,8,J. Burillo,A. Pavel,B429,P280,ESP,ROU,,
8996,1997,Santiago,GP,1997-11-03T00:00:00,1997-11-09T00:00:00,Clay,32,303000,$,MS031,R32,01:18:00,,F,2,C252,"7-6(7),6-3",F. Clavet,V. Spadea,,,ESP,USA,7-6(7),6-3,,,,01:18:00,296,/en/stats/leaderboard?page=serve,1,3,79,50,63,72,36,50,62,8,13,1,11,239,/en/stats/leaderboard?page=serve,1,2,50,34,68,68,23,34,50,17,34,57,4,7,10,70,44,63,41,28,68,55,72,131,59,40,68,30,19,63,45,59,131,A,,33,3,,,,7,4,,,F. Clavet,V. Spadea,C252,S544,ESP,USA,,
