event_id,event_year,tourney_name,level,start_date,end_date,surface,singles_draw_size,prize_money,prize_money_currency,match_id,round,match_time_total,match_message,match_status,num_sets,winner_flag_raw,score_string,winner_player_name,loser_player_name,winner_seed,loser_seed,winner_country,loser_country,set1_score,set2_score,set3_score,set4_score,set5_score,match_date,serverating_tot_winner,serveratinglink_tot_winner,doublefaults_isstatbetter_tot_winner,aces_tot_winner,firstserve_percent_tot_winner,firstserve_dividend_tot_winner,firstserve_divisor_tot_winner,firstservepointswon_percent_tot_winner,firstservepointswon_dividend_tot_winner,firstservepointswon_divisor_tot_winner,secondservepointswon_percent_tot_winner,secondservepointswon_dividend_tot_winner,secondservepointswon_divisor_tot_winner,breakpointssaved_dividend_tot_winner,servicegamesplayed_tot_winner,serverating_tot_loser,serveratinglink_tot_loser,doublefaults_isstatbetter_tot_loser,aces_tot_loser,firstserve_percent_tot_loser,firstserve_dividend_tot_loser,firstserve_divisor_tot_loser,firstservepointswon_percent_tot_loser,firstservepointswon_dividend_tot_loser,firstservepointswon_divisor_tot_loser,secondservepointswon_percent_tot_loser,secondservepointswon_dividend_tot_loser,secondservepointswon_divisor_tot_loser,breakpointssaved_percent_tot_loser,breakpointssaved_dividend_tot_loser,breakpointssaved_divisor_tot_loser,servicegamesplayed_tot_loser,totalservicepointswon_percent_tot_winner,totalservicepointswon_dividend_tot_winner,totalservicepointswon_divisor_tot_winner,totalreturnpointswon_percent_tot_winner,totalreturnpointswon_dividend_tot_winner,totalreturnpointswon_divisor_tot_winner,totalpointswon_percent_tot_winner,totalpointswon_dividend_tot_winner,totalpointswon_divisor_tot_winner,totalservicepointswon_percent_tot_loser,totalservicepointswon_dividend_tot_loser,totalservicepointswon_divisor_tot_loser,totalreturnpointswon_percent_tot_loser,totalreturnpointswon_dividend_tot_loser,totalreturnpointswon_divisor_tot_loser,totalpointswon_percent_tot_loser,totalpointswon_dividend_tot_loser,totalpointswon_divisor_tot_loser,winner_flag,breakpointssaved_percent_tot_winner,breakpointssaved_divisor_tot_winner,doublefaults_tot_loser,doublefaults_tot_winner,tiebreak_set2_winner,tiebreak_set2_loser,tiebreak_set1_winner,tiebreak_set1_loser,tiebreak_set3_winner,tiebreak_set3_loser,player_winner,player_loser,player_id_winner,player_id_loser,country_winner,country_loser,seed_winner,seed_loser
418,1998,Washington,CS,1998-07-20T00:00:00,1998-07-26T00:00:00,Hard,56,575000,$,MS022,R32,01:21:00,,F,2,P045,"7-6(7),6-1",G. Pozzi,A. Sa,,,ITA,BRA,7-6(7),6-1,,,,01:21:00,258,/en/stats/leaderboard?page=serve,,5,43,28,65,75,21,28,57,21,37,2,10,208,/en/stats/leaderboard?page=serve,False,3,55,36,65,47,17,36,48,14,29,43,3,7,9,65,42,65,52,34,65,58,76,130,48,31,65,35,23,65,42,54,130,A,50,4,,2,,,7,1,,,G. Pozzi,A. Sa,P045,S604,ITA,BRA,,
418,1998,Washington,CS,1998-07-20T00:00:00,1998-07-26T00:00:00,Hard,56,575000,$,MS023,R32,01:18:00,,F,2,D228,"7-6(7),6-1",F. Dewulf,S. Sargsian,,,BEL,ARM,7-6(7),6-1,,,,01:18:00,294,/en/stats/leaderboard?page=serve,,3,67,42,63,81,34,42,67,14,21,0,10,264,/en/stats/leaderboard?page=serve,False,7,70,49,70,67,33,49,43,9,21,33,1,3,9,76,48,63,40,28,70,57,76,133,60,42,70,24,15,63,43,57,133,A,,,,4,,,7,4,,,F. Dewulf,S. Sargsian,D228,S545,BEL,ARM,,
418,1998,Washington,CS,1998-07-20T00:00:00,1998-07-26T00:00:00,Hard,56,575000,$,MS024,R32,02:11:00,,F,3,S544,"6-4,6-7(4),6-1",V. Spadea,D. Nainkin,,,USA,RSA,6-4,6-7(4),6-1,,,02:11:00,256,/en/stats/leaderboard?page=serve,,2,69,61,88,57,35,61,59,16,27,5,14,196,/en/stats/leaderboard?page=serve,,2,60,61,102,61,37,61,37,15,41,38,5,13,15,58,51,88,49,50,102,53,101,190,51,52,102,42,37,88,47,89,190,A,56,9,10,2,4,7,,,,,V. Spadea,D. Nainkin,S544,N101,USA,RSA,,
418,1998,Washington,CS,1998-07-20T00:00:00,1998-07-26T00:00:00,Hard,56,575000,$,MS025,R32,01:30:00,,F,2,N109,"6-4,6-4",D. Nargiso,R. Schuettler,,,ITA,GER,6-4,6-4,,,,01:30:00,257,/en/stats/leaderboard?page=serve,,6,57,44,77,73,32,44,45,15,33,7,10,246,/en/stats/leaderboard?page=serve,,2,70,42,60,55,23,42,61,11,18,33,2,6,10,61,47,77,43,26,60,53,73,137,57,34,60,39,30,77,47,64,137,A,78,9,2,4,,,,,,,D. Nargiso,R. Schuettler,N109,S636,ITA,GER,,
418,1998,Washington,CS,1998-07-20T00:00:00,1998-07-26T00:00:00,Hard,56,575000,$,MS026,R32,01:43:00,,F,3,C407,"3-6,7-6(7),6-2",D. Caldwell,R. Delgado,,,USA,PAR,3-6,7-6(7),6-2,,,01:43:00,286,/en/stats/leaderboard?page=serve,,4,72,60,83,73,44,60,57,13,23,2,14,277,/en/stats/leaderboard?page=serve,,25,63,62,99,76,47,62,38,14,37,75,9,12,15,69,57,83,38,38,99,52,95,182,62,61,99,31,26,83,48,87,182,A,50,4,5,5,7,4,,,,,D. Caldwell,R. Delgado,C407,D316,USA,PAR,,
418,1998,Washington,CS,1998-07-20T00:00:00,1998-07-26T00:00:00,Hard,56,575000,$,MS027,R32,01:04:00,,F,2,F196,"6-1,6-2",W. Ferreira,J. Arias,,,RSA,USA,6-1,6-2,,,,01:04:00,223,/en/stats/leaderboard?page=serve,,3,45,25,55,80,20,25,60,18,30,0,8,194,/en/stats/leaderboard?page=serve,,2,55,28,51,54,15,28,43,10,23,60,6,10,7,69,38,55,51,26,51,60,64,106,49,25,51,31,17,55,40,42,106,A,,,2,2,,,,,,,W. Ferreira,J. Arias,F196,A031,RSA,USA,,
418,1998,Washington,CS,1998-07-20T00:00:00,1998-07-26T00:00:00,Hard,56,575000,$,MS028,R32,01:56:00,,F,3,R224,"3-6,6-4,6-3",M. Ruah,S. Schalken,,,VEN,NED,3-6,6-4,6-3,,,01:56:00,260,/en/stats/leaderboard?page=serve,,4,57,52,91,67,35,52,56,22,39,9,14,246,/en/stats/leaderboard?page=serve,,7,53,51,96,71,36,51,47,21,45,64,7,11,14,63,57,91,41,39,96,51,96,187,59,57,96,37,34,91,49,91,187,A,75,12,3,2,,,,,,,M. Ruah,S. Schalken,R224,S572,VEN,NED,,
418,1998,Washington,CS,1998-07-20T00:00:00,1998-07-26T00:00:00,Hard,56,575000,$,MS029,R32,01:21:00,,F,2,L226,"7-6(7),6-2",S. Lareau,J. Tarango,,,CAN,USA,7-6(7),6-2,,,,01:21:00,275,/en/stats/leaderboard?page=serve,,15,64,39,61,92,36,39,27,6,22,3,10,235,/en/stats/leaderboard?page=serve,,5,54,37,68,65,24,37,55,17,31,33,2,6,10,69,42,61,40,27,68,53,69,129,60,41,68,31,19,61,47,60,129,A,60,5,4,3,,,7,4,,,S. Lareau,J. Tarango,L226,T136,CAN,USA,,
418,1998,Washington,CS,1998-07-20T00:00:00,1998-07-26T00:00:00,Hard,56,575000,$,MS030,R32,01:42:00,,F,3,V170,"6-7(5),6-3,6-3",C. Van Garsse,D. Nestor,,,BEL,CAN,6-7(5),6-3,6-3,,,01:42:00,269,/en/stats/leaderboard?page=serve,,11,60,59,98,78,46,59,46,18,39,3,15,235,/en/stats/leaderboard?page=serve,,19,54,46,85,83,38,46,33,13,39,25,2,8,15,65,64,98,40,34,85,54,98,183,60,51,85,35,34,98,46,85,183,A,50,6,14,6,,,5,7,,,C. Van Garsse,D. Nestor,V170,N210,BEL,CAN,,
418,1998,Washington,CS,1998-07-20T00:00:00,1998-07-26T00:00:00,Hard,56,575000,$,MS031,R32,01:19:00,,F,2,A092,"6-4,6-2",A. Agassi,D. Wheaton,,,USA,USA,6-4,6-2,,,,01:19:00,259,/en/stats/leaderboard?page=serve,,6,64,38,59,79,30,38,57,12,21,0,9,234,/en/stats/leaderboard?page=serve,,11,53,34,64,68,23,34,43,13,30,50,3,6,9,71,42,59,44,28,64,57,70,123,56,36,64,29,17,59,43,53,123,A,,,7,2,,,,,,,A. Agassi,D. Wheaton,A092,W123,USA,USA,,
