event_id,event_year,tourney_name,level,start_date,end_date,surface,singles_draw_size,prize_money,prize_money_currency,match_id,round,match_time_total,match_message,match_status,num_sets,winner_flag_raw,score_string,winner_player_name,loser_player_name,winner_seed,loser_seed,winner_country,loser_country,set1_score,set2_score,set3_score,set4_score,set5_score,match_date,tiebreak_set1_winner,tiebreak_set1_loser,tiebreak_set3_winner,tiebreak_set3_loser,tiebreak_set5_winner,tiebreak_set5_loser,serverating_tot_winner,serveratinglink_tot_winner,doublefaults_tot_winner,aces_tot_winner,firstserve_percent_tot_winner,firstserve_dividend_tot_winner,firstserve_divisor_tot_winner,firstservepointswon_percent_tot_winner,firstservepointswon_dividend_tot_winner,firstservepointswon_divisor_tot_winner,secondservepointswon_percent_tot_winner,secondservepointswon_dividend_tot_winner,secondservepointswon_divisor_tot_winner,breakpointssaved_percent_tot_winner,breakpointssaved_dividend_tot_winner,breakpointssaved_divisor_tot_winner,servicegamesplayed_tot_winner,serverating_tot_loser,serveratinglink_tot_loser,doublefaults_tot_loser,aces_tot_loser,firstserve_percent_tot_loser,firstserve_dividend_tot_loser,firstserve_divisor_tot_loser,firstservepointswon_percent_tot_loser,firstservepointswon_dividend_tot_loser,firstservepointswon_divisor_tot_loser,secondservepointswon_percent_tot_loser,secondservepointswon_dividend_tot_loser,secondservepointswon_divisor_tot_loser,breakpointssaved_percent_tot_loser,breakpointssaved_dividend_tot_loser,breakpointssaved_divisor_tot_loser,servicegamesplayed_tot_loser,totalservicepointswon_percent_tot_winner,totalservicepointswon_dividend_tot_winner,totalservicepointswon_divisor_tot_winner,totalreturnpointswon_percent_tot_winner,totalreturnpointswon_dividend_tot_winner,totalreturnpointswon_divisor_tot_winner,totalpointswon_percent_tot_winner,totalpointswon_dividend_tot_winner,totalpointswon_divisor_tot_winner,totalservicepointswon_percent_tot_loser,totalservicepointswon_dividend_tot_loser,totalservicepointswon_divisor_tot_loser,totalreturnpointswon_percent_tot_loser,totalreturnpointswon_dividend_tot_loser,totalreturnpointswon_divisor_tot_loser,totalpointswon_percent_tot_loser,totalpointswon_dividend_tot_loser,totalpointswon_divisor_tot_loser,winner_flag,tiebreak_set4_winner,tiebreak_set4_loser,tiebreak_set2_winner,tiebreak_set2_loser,player_winner,player_loser,player_id_winner,player_id_loser,country_winner,country_loser,seed_winner,seed_loser
540,2019,Wimbledon,GS,2019-07-01T00:00:00,2019-07-14T00:00:00,Grass,128,17769000,£,MS021,R32,01:42:00,,F,3,R975,"7-6(7),6-2,6-1",M. Raonic,R. Opelka,,,CAN,USA,7-6(7),6-2,6-1,,,01:42:00,7,1,,,,,340,/en/stats/leaderboard?page=serve,2,13,75,55,73,93,51,55,61,11,18,100,3,3,14,253,/en/stats/leaderboard?page=serve,5,13,68,60,88,58,35,60,50,14,28,60,6,10,13,85,62,73,44,39,88,63,101,161,56,49,88,15,11,73,37,60,161,A,,,,,M. Raonic,R. Opelka,R975,O522,CAN,USA,,
540,2019,Wimbledon,GS,2019-07-01T00:00:00,2019-07-14T00:00:00,Grass,128,17769000,£,MS022,R32,01:53:00,,F,3,BD06,"6-3,7-6(7),6-1",R. Bautista Agut,K. Khachanov,,,ESP,RUS,6-3,7-6(7),6-1,,,01:53:00,,,,,,,331,/en/stats/leaderboard?page=serve,0,4,69,56,81,82,46,56,76,19,25,0,0,0,15,271,/en/stats/leaderboard?page=serve,2,9,64,54,84,67,36,54,57,17,30,73,8,11,13,80,65,81,37,31,84,58,96,165,63,53,84,20,16,81,42,69,165,A,,,7,3,R. Bautista Agut,K. Khachanov,BD06,KE29,ESP,RUS,,
540,2019,Wimbledon,GS,2019-07-01T00:00:00,2019-07-14T00:00:00,Grass,128,17769000,£,MS023,R32,02:45:00,,F,4,PD31,"5-7,7-6(7),6-3,7-6(7)",B. Paire,J. Vesely,,,FRA,CZE,5-7,7-6(7),6-3,7-6(7),,02:45:00,,,,,,,312,/en/stats/leaderboard?page=serve,5,19,57,80,140,83,66,80,63,38,60,75,3,4,23,317,/en/stats/leaderboard?page=serve,3,18,77,105,137,77,81,105,53,17,32,89,8,9,22,74,104,140,28,39,137,52,143,277,72,98,137,26,36,140,48,134,277,A,7,2,7,5,B. Paire,J. Vesely,PD31,V708,FRA,CZE,,
540,2019,Wimbledon,GS,2019-07-01T00:00:00,2019-07-14T00:00:00,Grass,128,17769000,£,MS024,R32,01:53:00,,F,3,Q927,"7-6(7),7-6(10),6-3",S. Querrey,J. Millman,,,USA,AUS,7-6(7),7-6(10),6-3,,,01:53:00,7,3,,,,,316,/en/stats/leaderboard?page=serve,6,27,66,67,102,85,57,67,51,18,35,0,0,1,16,285,/en/stats/leaderboard?page=serve,3,4,67,68,101,71,48,68,64,21,33,50,3,6,17,74,75,102,32,32,101,53,107,203,68,69,101,26,27,102,47,96,203,A,,,10,8,S. Querrey,J. Millman,Q927,MH30,USA,AUS,,
540,2019,Wimbledon,GS,2019-07-01T00:00:00,2019-07-14T00:00:00,Grass,128,17769000,£,MS025,R32,02:28:00,,F,3,SL08,"6-3,7-6(14),6-3",T. Sandgren,F. Fognini,,,USA,ITA,6-3,7-6(14),6-3,,,02:28:00,,,,,,,298,/en/stats/leaderboard?page=serve,3,13,63,72,115,68,49,72,70,30,43,71,5,7,16,255,/en/stats/leaderboard?page=serve,6,5,67,74,111,64,47,74,54,20,37,60,6,10,14,69,79,115,40,44,111,54,123,226,60,67,111,31,36,115,46,103,226,A,,,14,12,T. Sandgren,F. Fognini,SL08,F510,USA,ITA,,
540,2019,Wimbledon,GS,2019-07-01T00:00:00,2019-07-14T00:00:00,Grass,128,17769000,£,MS026,R32,03:56:00,,F,5,SH90,"4-6,6-4,7-5,4-6,6-4",J. Sousa,D. Evans,,,POR,GBR,4-6,6-4,7-5,4-6,6-4,03:56:00,,,,,,,256,/en/stats/leaderboard?page=serve,1,5,65,119,183,64,76,119,50,32,64,71,17,24,26,250,/en/stats/leaderboard?page=serve,6,5,63,94,150,67,63,94,52,29,56,50,8,16,26,59,108,183,39,58,150,50,166,333,61,92,150,41,75,183,50,167,333,A,,,,,J. Sousa,D. Evans,SH90,E687,POR,GBR,,
540,2019,Wimbledon,GS,2019-07-01T00:00:00,2019-07-14T00:00:00,Grass,128,17769000,£,MS027,R32,01:48:00,,F,3,N409,"6-2,6-3,6-2",R. Nadal,J. Tsonga,,,ESP,FRA,6-2,6-3,6-2,,,01:48:00,,,,,,,343,/en/stats/leaderboard?page=serve,1,11,70,44,63,89,39,44,74,14,19,0,0,0,13,226,/en/stats/leaderboard?page=serve,4,11,56,45,81,69,31,45,36,13,36,55,6,11,12,84,53,63,46,37,81,63,90,144,54,44,81,16,10,63,38,54,144,A,,,,,R. Nadal,J. Tsonga,N409,T786,ESP,FRA,,
540,2019,Wimbledon,GS,2019-07-01T00:00:00,2019-07-14T00:00:00,Grass,128,17769000,£,MS028,R32,01:50:00,,F,3,N552,"6-4,6-3,6-2",K. Nishikori,S. Johnson,,,JPN,USA,6-4,6-3,6-2,,,01:50:00,,,,,,,308,/en/stats/leaderboard?page=serve,2,2,75,47,63,85,40,47,56,9,16,0,0,1,13,215,/en/stats/leaderboard?page=serve,5,6,62,70,113,67,47,70,28,12,43,57,8,14,14,78,49,63,48,54,113,59,103,176,52,59,113,22,14,63,41,73,176,A,,,,,K. Nishikori,S. Johnson,N552,J386,JPN,USA,,
540,2019,Wimbledon,GS,2019-07-01T00:00:00,2019-07-14T00:00:00,Grass,128,17769000,£,MS029,R32,03:18:00,,F,4,K926,"6-3,7-6(7),4-6,7-5",M. Kukushkin,J. Struff,,,KAZ,GER,6-3,7-6(7),4-6,7-5,,03:18:00,,,,,,,289,/en/stats/leaderboard?page=serve,0,7,70,117,166,67,78,117,55,27,49,87,13,15,22,284,/en/stats/leaderboard?page=serve,7,26,52,74,143,82,61,74,46,32,69,77,10,13,21,63,105,166,35,50,143,50,155,309,65,93,143,37,61,166,50,154,309,A,,,7,5,M. Kukushkin,J. Struff,K926,SL28,KAZ,GER,,
540,2019,Wimbledon,GS,2019-07-01T00:00:00,2019-07-14T00:00:00,Grass,128,17769000,£,MS030,R32,04:19:00,,F,5,BK40,"6-7(5),7-6(7),4-6,7-6(7),6-3",M. Berrettini,D. Schwartzman,,,ITA,ARG,6-7(5),7-6(7),4-6,7-6(7),6-3,04:19:00,5,7,,,,,297,/en/stats/leaderboard?page=serve,7,22,60,121,201,80,97,121,50,40,80,87,13,15,28,299,/en/stats/leaderboard?page=serve,3,2,66,115,173,73,84,115,69,40,58,78,7,9,27,68,137,201,28,49,173,50,186,374,72,124,173,32,64,201,50,188,374,A,7,5,7,2,M. Berrettini,D. Schwartzman,BK40,SM37,ITA,ARG,,
