event_id,event_year,tourney_name,level,start_date,end_date,surface,singles_draw_size,prize_money,prize_money_currency,match_id,round,match_time_total,match_message,match_status,num_sets,winner_flag_raw,score_string,winner_player_name,loser_player_name,winner_seed,loser_seed,winner_country,loser_country,set1_score,set2_score,set3_score,set4_score,set5_score,match_date,serverating_tot_winner,serveratinglink_tot_winner,doublefaults_tot_winner,aces_tot_winner,firstserve_percent_tot_winner,firstserve_dividend_tot_winner,firstserve_divisor_tot_winner,firstservepointswon_percent_tot_winner,firstservepointswon_dividend_tot_winner,firstservepointswon_divisor_tot_winner,secondservepointswon_percent_tot_winner,secondservepointswon_dividend_tot_winner,secondservepointswon_divisor_tot_winner,breakpointssaved_percent_tot_winner,breakpointssaved_dividend_tot_winner,breakpointssaved_divisor_tot_winner,servicegamesplayed_tot_winner,serverating_tot_loser,serveratinglink_tot_loser,doublefaults_tot_loser,aces_tot_loser,firstserve_percent_tot_loser,firstserve_dividend_tot_loser,firstserve_divisor_tot_loser,firstservepointswon_percent_tot_loser,firstservepointswon_dividend_tot_loser,firstservepointswon_divisor_tot_loser,secondservepointswon_percent_tot_loser,secondservepointswon_dividend_tot_loser,secondservepointswon_divisor_tot_loser,breakpointssaved_percent_tot_loser,breakpointssaved_dividend_tot_loser,breakpointssaved_divisor_tot_loser,servicegamesplayed_tot_loser,totalservicepointswon_percent_tot_winner,totalservicepointswon_dividend_tot_winner,totalservicepointswon_divisor_tot_winner,totalreturnpointswon_percent_tot_winner,totalreturnpointswon_dividend_tot_winner,totalreturnpointswon_divisor_tot_winner,totalpointswon_percent_tot_winner,totalpointswon_dividend_tot_winner,totalpointswon_divisor_tot_winner,totalservicepointswon_percent_tot_loser,totalservicepointswon_dividend_tot_loser,totalservicepointswon_divisor_tot_loser,totalreturnpointswon_percent_tot_loser,totalreturnpointswon_dividend_tot_loser,totalreturnpointswon_divisor_tot_loser,totalpointswon_percent_tot_loser,totalpointswon_dividend_tot_loser,totalpointswon_divisor_tot_loser,winner_flag,tiebreak_set1_winner,tiebreak_set1_loser,tiebreak_set3_winner,tiebreak_set3_loser,tiebreak_set2_winner,tiebreak_set2_loser,tiebreak_set4_winner,tiebreak_set4_loser,tiebreak_set5_winner,tiebreak_set5_loser,player_winner,player_loser,player_id_winner,player_id_loser,country_winner,country_loser,seed_winner,seed_loser
560,2000,US Open,GS,2000-08-28T00:00:00,2000-09-10T00:00:00,Hard,128,6467000,$,MS021,R32,02:21:00,,F,4,L311,"6-2,3-6,6-4,6-4",H. Lee,R. Schuettler,,,KOR,GER,6-2,3-6,6-4,6-4,,02:21:00,253,/en/stats/leaderboard?page=serve,5,5,56,60,108,72,43,60,52,25,48,44,4,9,19,240,/en/stats/leaderboard?page=serve,1,4,64,67,104,58,39,67,54,20,37,42,5,12,18,63,68,108,43,45,104,53,113,212,57,59,104,37,40,108,47,99,212,A,,,,,,,,,,,H. Lee,R. Schuettler,L311,S636,KOR,GER,,
560,2000,US Open,GS,2000-08-28T00:00:00,2000-09-10T00:00:00,Hard,128,6467000,$,MS022,R32,03:17:00,,F,5,K214,"6-4,3-6,4-6,7-5,7-5",R. Krajicek,T. Henman,,,NED,GBR,6-4,3-6,4-6,7-5,7-5,03:17:00,305,/en/stats/leaderboard?page=serve,7,24,59,93,157,78,73,93,59,38,64,82,9,11,26,264,/en/stats/leaderboard?page=serve,17,4,63,103,164,80,82,103,46,28,61,73,8,11,27,71,111,157,33,54,164,51,165,321,67,110,164,29,46,157,49,156,321,A,,,,,,,,,,,R. Krajicek,T. Henman,K214,H336,NED,GBR,,
560,2000,US Open,GS,2000-08-28T00:00:00,2000-09-10T00:00:00,Hard,128,6467000,$,MS023,R32,01:54:00,,F,3,H377,"6-4,7-6(7),6-1",D. Hrbaty,Y. Kafelnikov,,,SVK,RUS,6-4,7-6(7),6-1,,,01:54:00,272,/en/stats/leaderboard?page=serve,4,12,55,53,97,72,38,53,52,23,44,60,3,5,14,217,/en/stats/leaderboard?page=serve,7,6,58,64,110,67,43,64,33,15,46,57,8,14,15,63,61,97,47,52,110,55,113,207,53,58,110,37,36,97,45,94,207,A,,,,,7,5,,,,,D. Hrbaty,Y. Kafelnikov,H377,K267,SVK,RUS,,
560,2000,US Open,GS,2000-08-28T00:00:00,2000-09-10T00:00:00,Hard,128,6467000,$,MS024,R32,03:25:00,,F,5,S741,"6-4,7-6(7),1-6,3-6,7-6(7)",M. Safin,S. Grosjean,,,RUS,FRA,6-4,7-6(7),1-6,3-6,7-6(7),03:25:00,281,/en/stats/leaderboard?page=serve,4,25,53,94,179,79,74,94,48,41,85,62,8,13,25,297,/en/stats/leaderboard?page=serve,3,10,60,88,147,85,75,88,53,31,59,75,6,8,25,64,115,179,28,41,147,48,156,326,72,106,147,36,64,179,52,170,326,A,,,,,7,3,,,7,5,M. Safin,S. Grosjean,S741,G379,RUS,FRA,,
560,2000,US Open,GS,2000-08-28T00:00:00,2000-09-10T00:00:00,Hard,128,6467000,$,MS025,R32,02:53:00,,F,4,F316,"7-5,7-6(8),1-6,7-6(8)",J. Ferrero,R. Federer,,,ESP,SUI,7-5,7-6(8),1-6,7-6(8),,02:53:00,239,/en/stats/leaderboard?page=serve,10,4,54,81,151,68,55,81,51,36,70,33,3,9,22,273,/en/stats/leaderboard?page=serve,7,14,56,75,135,80,60,75,50,30,60,67,8,12,21,60,91,151,33,45,135,48,136,286,67,90,135,40,60,151,52,150,286,A,,,,,8,6,8,6,,,J. Ferrero,R. Federer,F316,F324,ESP,SUI,,
560,2000,US Open,GS,2000-08-28T00:00:00,2000-09-10T00:00:00,Hard,128,6467000,$,MS026,R32,02:08:00,,F,3,K316,"7-5,6-3,6-4",N. Kiefer,S. Schalken,,,GER,NED,7-5,6-3,6-4,,,02:08:00,323,/en/stats/leaderboard?page=serve,1,5,62,51,82,86,44,51,71,22,31,100,2,2,16,272,/en/stats/leaderboard?page=serve,6,11,59,55,93,73,40,55,55,21,38,73,8,11,15,80,66,82,34,32,93,56,98,175,66,61,93,20,16,82,44,77,175,A,,,,,,,,,,,N. Kiefer,S. Schalken,K316,S572,GER,NED,,
560,2000,US Open,GS,2000-08-28T00:00:00,2000-09-10T00:00:00,Hard,128,6467000,$,MS027,R32,04:06:00,,F,5,N250,"3-6,4-6,7-6(7),6-4,7-6(11)",M. Norman,M. Mirnyi,,,SWE,BLR,3-6,4-6,7-6(7),6-4,7-6(11),04:06:00,288,/en/stats/leaderboard?page=serve,1,5,74,124,167,72,89,124,58,25,43,55,6,11,26,293,/en/stats/leaderboard?page=serve,6,25,62,116,186,81,94,116,46,32,70,69,9,13,27,68,114,167,32,60,186,49,174,353,68,126,186,32,53,167,51,179,353,A,,,7,5,,,,,11,9,M. Norman,M. Mirnyi,N250,M595,SWE,BLR,,
560,2000,US Open,GS,2000-08-28T00:00:00,2000-09-10T00:00:00,Hard,128,6467000,$,MS028,R32,03:09:00,,F,4,M605,"7-6(7),6-3,4-6,6-4",C. Moya,A. Corretja,,,ESP,ESP,7-6(7),6-3,4-6,6-4,,03:09:00,277,/en/stats/leaderboard?page=serve,5,8,58,74,127,73,54,74,58,31,53,57,4,7,21,253,/en/stats/leaderboard?page=serve,5,8,50,67,135,70,47,67,50,34,68,60,6,10,20,67,85,127,40,54,135,53,139,262,60,81,135,33,42,127,47,123,262,A,7,4,,,,,,,,,C. Moya,A. Corretja,M605,C344,ESP,ESP,,
560,2000,US Open,GS,2000-08-28T00:00:00,2000-09-10T00:00:00,Hard,128,6467000,$,MS029,R32,01:56:00,,F,3,M442,"7-6(7),6-3,6-2",T. Martin,C. Pioline,,,USA,FRA,7-6(7),6-3,6-2,,,01:56:00,319,/en/stats/leaderboard?page=serve,1,17,67,63,94,81,51,63,55,17,31,100,4,4,15,254,/en/stats/leaderboard?page=serve,2,6,56,52,93,75,39,52,41,17,41,75,9,12,14,72,68,94,40,37,93,56,105,187,60,56,93,28,26,94,44,82,187,A,7,5,,,,,,,,,T. Martin,C. Pioline,M442,P226,USA,FRA,,
560,2000,US Open,GS,2000-08-28T00:00:00,2000-09-10T00:00:00,Hard,128,6467000,$,MS030,R32,02:54:00,,F,4,J129,"3-6,6-3,7-6(7),7-6(7)",T. Johansson,J. Gambill,,,SWE,USA,3-6,6-3,7-6(7),7-6(7),,02:54:00,282,/en/stats/leaderboard?page=serve,6,12,50,73,147,81,59,73,55,41,74,80,8,10,21,295,/en/stats/leaderboard?page=serve,9,26,55,69,126,84,58,69,49,28,57,67,4,6,21,68,100,147,32,40,126,51,140,273,68,86,126,32,47,147,49,133,273,A,,,7,5,,,7,1,,,T. Johansson,J. Gambill,J129,G352,SWE,USA,,
