event_id,event_year,tourney_name,level,start_date,end_date,surface,singles_draw_size,prize_money,prize_money_currency,match_id,round,match_time_total,match_message,match_status,num_sets,winner_flag_raw,score_string,winner_player_name,loser_player_name,winner_seed,loser_seed,winner_country,loser_country,set1_score,set2_score,set3_score,set4_score,set5_score,match_date,serverating_tot_winner,serveratinglink_tot_winner,doublefaults_tot_winner,aces_tot_winner,firstserve_percent_tot_winner,firstserve_dividend_tot_winner,firstserve_divisor_tot_winner,firstservepointswon_percent_tot_winner,firstservepointswon_dividend_tot_winner,firstservepointswon_divisor_tot_winner,secondservepointswon_percent_tot_winner,secondservepointswon_dividend_tot_winner,secondservepointswon_divisor_tot_winner,breakpointssaved_dividend_tot_winner,servicegamesplayed_tot_winner,serverating_tot_loser,serveratinglink_tot_loser,doublefaults_tot_loser,aces_tot_loser,firstserve_percent_tot_loser,firstserve_dividend_tot_loser,firstserve_divisor_tot_loser,firstservepointswon_percent_tot_loser,firstservepointswon_dividend_tot_loser,firstservepointswon_divisor_tot_loser,secondservepointswon_percent_tot_loser,secondservepointswon_dividend_tot_loser,secondservepointswon_divisor_tot_loser,breakpointssaved_percent_tot_loser,breakpointssaved_dividend_tot_loser,breakpointssaved_divisor_tot_loser,servicegamesplayed_tot_loser,totalservicepointswon_percent_tot_winner,totalservicepointswon_dividend_tot_winner,totalservicepointswon_divisor_tot_winner,totalreturnpointswon_percent_tot_winner,totalreturnpointswon_dividend_tot_winner,totalreturnpointswon_divisor_tot_winner,totalpointswon_percent_tot_winner,totalpointswon_dividend_tot_winner,totalpointswon_divisor_tot_winner,totalservicepointswon_percent_tot_loser,totalservicepointswon_dividend_tot_loser,totalservicepointswon_divisor_tot_loser,totalreturnpointswon_percent_tot_loser,totalreturnpointswon_dividend_tot_loser,totalreturnpointswon_divisor_tot_loser,totalpointswon_percent_tot_loser,totalpointswon_dividend_tot_loser,totalpointswon_divisor_tot_loser,winner_flag,tiebreak_set2_winner,tiebreak_set2_loser,tiebreak_set3_winner,tiebreak_set3_loser,breakpointssaved_percent_tot_winner,breakpointssaved_divisor_tot_winner,tiebreak_set1_winner,tiebreak_set1_loser,doublefaults_isstatbetter_tot_loser,doublefaults_isstatbetter_tot_winner,player_winner,player_loser,player_id_winner,player_id_loser,country_winner,country_loser,seed_winner,seed_loser
359,1997,Bogota,GP,1997-10-27T00:00:00,1997-11-02T00:00:00,Clay,32,303000,$,MS021,R32,01:25:00,,F,2,V161,"6-4,6-4",J. Viloca-Puig,M. Craca,,,ESP,GER,6-4,6-4,,,,01:25:00,250,/en/stats/leaderboard?page=serve,1,0,82,62,76,52,32,62,57,8,14,6,10,245,/en/stats/leaderboard?page=serve,1,0,84,57,68,40,23,57,82,9,11,50,6,12,10,53,40,76,53,36,68,53,76,144,47,32,68,47,36,76,47,68,144,A,,,,,60,10,,,,,J. Viloca-Puig,M. Craca,V161,C439,ESP,GER,,
359,1997,Bogota,GP,1997-10-27T00:00:00,1997-11-02T00:00:00,Clay,32,303000,$,MS022,R32,01:30:00,,F,2,B429,"7-5,6-1",J. Burillo,D. Scala,,,ESP,ITA,7-5,6-1,,,,01:30:00,302,/en/stats/leaderboard?page=serve,1,6,71,35,49,74,26,35,64,9,14,2,9,203,/en/stats/leaderboard?page=serve,6,4,65,47,72,62,29,47,28,7,25,55,6,11,10,71,35,49,50,36,72,59,71,121,50,36,72,29,14,49,41,50,121,A,,,,,67,3,,,,,J. Burillo,D. Scala,B429,S465,ESP,ITA,,
359,1997,Bogota,GP,1997-10-27T00:00:00,1997-11-02T00:00:00,Clay,32,303000,$,MS023,R32,01:46:00,,F,3,H346,"7-6(7),5-7,6-4",A. Hernandez,K. Alami,,,MEX,MAR,7-6(7),5-7,6-4,,,01:46:00,258,/en/stats/leaderboard?page=serve,7,0,63,70,111,74,52,70,46,19,41,7,17,261,/en/stats/leaderboard?page=serve,11,10,49,51,104,84,43,51,47,25,53,63,5,8,17,64,71,111,35,36,104,50,107,215,65,68,104,36,40,111,50,108,215,A,,,,,70,10,7,2,,,A. Hernandez,K. Alami,H346,A203,MEX,MAR,,
359,1997,Bogota,GP,1997-10-27T00:00:00,1997-11-02T00:00:00,Clay,32,303000,$,MS024,R32,00:57:00,,F,2,C179,"6-0,6-4",C. Costa,L. Tieleman,,,ESP,ITA,6-0,6-4,,,,00:57:00,265,/en/stats/leaderboard?page=serve,2,3,59,33,56,73,24,33,57,13,23,0,8,191,/en/stats/leaderboard?page=serve,9,2,49,25,51,64,16,25,35,9,26,20,1,5,8,66,37,56,51,26,51,59,63,107,49,25,51,34,19,56,41,44,107,A,,,,,,,,,,,C. Costa,L. Tieleman,C179,T168,ESP,ITA,,
359,1997,Bogota,GP,1997-10-27T00:00:00,1997-11-02T00:00:00,Clay,32,303000,$,MS025,R32,01:39:00,,F,3,T133,"5-7,6-3,6-2",M. Tobon,O. Ogorodov,,,COL,UZB,5-7,6-3,6-2,,,01:39:00,282,/en/stats/leaderboard?page=serve,2,7,48,42,87,81,34,42,62,28,45,4,15,241,/en/stats/leaderboard?page=serve,7,5,57,50,87,72,36,50,43,16,37,56,5,9,14,71,62,87,40,35,87,56,97,174,60,52,87,29,25,87,44,77,174,A,,,,,67,6,,,,,M. Tobon,O. Ogorodov,T133,O127,COL,UZB,,
359,1997,Bogota,GP,1997-10-27T00:00:00,1997-11-02T00:00:00,Clay,32,303000,$,MS026,R32,00:54:00,,F,2,L290,"6-2,6-2",N. Lapentti,A. Pavel,,,ECU,ROU,6-2,6-2,,,,00:54:00,219,/en/stats/leaderboard?page=serve,1,4,54,21,39,95,20,21,67,12,18,0,8,205,/en/stats/leaderboard?page=serve,2,1,67,38,57,63,24,38,26,5,19,50,4,8,8,82,32,39,49,28,57,63,60,96,51,29,57,18,7,39,38,36,96,A,,,,,0,,,,,,N. Lapentti,A. Pavel,L290,P280,ECU,ROU,,
359,1997,Bogota,GP,1997-10-27T00:00:00,1997-11-02T00:00:00,Clay,32,303000,$,MS027,R32,01:23:00,,F,2,R159,"6-1,7-6(7)",M. Rincon,M. Filippini,,,COL,URU,6-1,7-6(7),,,,01:23:00,279,/en/stats/leaderboard?page=serve,6,7,57,38,67,79,30,38,52,15,29,2,10,219,/en/stats/leaderboard?page=serve,6,0,58,34,59,65,22,34,36,9,25,63,5,8,9,67,45,67,47,28,59,58,73,126,53,31,59,33,22,67,42,53,126,A,7,1,,,67,3,,,,,M. Rincon,M. Filippini,R159,F165,COL,URU,,
359,1997,Bogota,GP,1997-10-27T00:00:00,1997-11-02T00:00:00,Clay,32,303000,$,MS028,R32,01:37:00,,F,3,M443,"6-3,3-6,6-1",F. Meligeni,M. Ruah,,,BRA,VEN,6-3,3-6,6-1,,,01:37:00,263,/en/stats/leaderboard?page=serve,2,3,48,36,75,81,29,36,49,19,39,0,13,234,/en/stats/leaderboard?page=serve,2,6,54,49,91,65,32,49,45,19,42,73,11,15,12,64,48,75,44,40,91,53,88,166,56,51,91,36,27,75,47,78,166,A,,,,,0,2,,,,,F. Meligeni,M. Ruah,M443,R224,BRA,VEN,,
359,1997,Bogota,GP,1997-10-27T00:00:00,1997-11-02T00:00:00,Clay,32,303000,$,MS029,R32,01:19:00,,F,2,V151,"7-5,6-1",R. Vasek,J. Marin,,,CZE,CRC,7-5,6-1,,,,01:19:00,256,/en/stats/leaderboard?page=serve,8,3,53,32,60,78,25,32,50,14,28,2,10,207,/en/stats/leaderboard?page=serve,1,0,69,49,71,45,22,49,50,11,22,58,7,12,9,65,39,60,54,38,71,59,77,131,46,33,71,35,21,60,41,54,131,A,,,,,50,4,,,,,R. Vasek,J. Marin,V151,M578,CZE,CRC,,
359,1997,Bogota,GP,1997-10-27T00:00:00,1997-11-02T00:00:00,Clay,32,303000,$,MS030,R32,01:04:00,,F,2,S544,"6-1,6-1",V. Spadea,E. Rincon,,,USA,COL,6-1,6-1,,,,01:04:00,262,/en/stats/leaderboard?page=serve,3,4,50,27,54,74,20,27,52,14,27,3,7,128,/en/stats/leaderboard?page=serve,5,0,49,24,49,46,11,24,24,6,25,33,3,9,7,63,34,54,65,32,49,64,66,103,35,17,49,37,20,54,36,37,103,A,,,,,75,4,,,,,V. Spadea,E. Rincon,S544,R294,USA,COL,,
359,1997,Bogota,GP,1997-10-27T00:00:00,1997-11-02T00:00:00,Clay,32,303000,$,MS031,R32,01:19:00,,F,2,A272,"6-3,6-3",J. Alonso,G. Etlis,,,ESP,ARG,6-3,6-3,,,,01:19:00,252,/en/stats/leaderboard?page=serve,5,7,42,27,65,78,21,27,53,20,38,1,9,172,/en/stats/leaderboard?page=serve,8,0,42,25,60,60,15,25,34,12,35,44,4,9,9,63,41,65,55,33,60,59,74,125,45,27,60,37,24,65,41,51,125,A,,,,,33,3,,,,,J. Alonso,G. Etlis,A272,E138,ESP,ARG,,
