event_id,event_year,tourney_name,level,start_date,end_date,surface,singles_draw_size,prize_money,prize_money_currency,match_id,round,match_time_total,match_message,match_status,num_sets,winner_flag_raw,score_string,winner_player_name,loser_player_name,winner_seed,loser_seed,winner_country,loser_country,set1_score,set2_score,set3_score,set4_score,set5_score,match_date,winner_flag,player_winner,player_loser,country_winner,country_loser,seed_winner,seed_loser,serverating_tot_winner,serveratinglink_tot_winner,doublefaults_tot_winner,aces_tot_winner,firstserve_percent_tot_winner,firstserve_dividend_tot_winner,firstserve_divisor_tot_winner,firstservepointswon_percent_tot_winner,firstservepointswon_dividend_tot_winner,firstservepointswon_divisor_tot_winner,secondservepointswon_percent_tot_winner,secondservepointswon_dividend_tot_winner,secondservepointswon_divisor_tot_winner,breakpointssaved_percent_tot_winner,breakpointssaved_dividend_tot_winner,breakpointssaved_divisor_tot_winner,servicegamesplayed_tot_winner,serverating_tot_loser,serveratinglink_tot_loser,doublefaults_tot_loser,aces_tot_loser,firstserve_percent_tot_loser,firstserve_dividend_tot_loser,firstserve_divisor_tot_loser,firstservepointswon_percent_tot_loser,firstservepointswon_dividend_tot_loser,firstservepointswon_divisor_tot_loser,secondservepointswon_percent_tot_loser,secondservepointswon_dividend_tot_loser,secondservepointswon_divisor_tot_loser,breakpointssaved_percent_tot_loser,breakpointssaved_dividend_tot_loser,breakpointssaved_divisor_tot_loser,servicegamesplayed_tot_loser,totalservicepointswon_percent_tot_winner,totalservicepointswon_dividend_tot_winner,totalservicepointswon_divisor_tot_winner,totalreturnpointswon_percent_tot_winner,totalreturnpointswon_dividend_tot_winner,totalreturnpointswon_divisor_tot_winner,totalpointswon_percent_tot_winner,totalpointswon_dividend_tot_winner,totalpointswon_divisor_tot_winner,totalservicepointswon_percent_tot_loser,totalservicepointswon_dividend_tot_loser,totalservicepointswon_divisor_tot_loser,totalreturnpointswon_percent_tot_loser,totalreturnpointswon_dividend_tot_loser,totalreturnpointswon_divisor_tot_loser,totalpointswon_percent_tot_loser,totalpointswon_dividend_tot_loser,totalpointswon_divisor_tot_loser,tiebreak_set2_winner,tiebreak_set2_loser,tiebreak_set1_winner,tiebreak_set1_loser,tiebreak_set3_winner,tiebreak_set3_loser,tiebreak_set4_winner,tiebreak_set4_loser,player_id_winner,player_id_loser
540,2010,Wimbledon,GS,2010-06-21T00:00:00,2010-07-04T00:00:00,Grass,128,6196000,£,MS024,R32,02:21:00,,F,4,B747,"6-4,6-1,4-6,6-3",J. Benneteau,F. Fognini,,,FRA,ITA,6-4,6-1,4-6,6-3,,02:21:00,A,J. Benneteau,F. Fognini,FRA,ITA,,,274,/en/stats/leaderboard?page=serve,4,10,68,75,110,69,52,75,54,19,35,50,4,8,18,217,/en/stats/leaderboard?page=serve,7,7,61,76,124,68,52,76,33,16,48,58,11,19,18,65,71,110,45,56,124,54,127,234,55,68,124,35,39,110,46,107,234,,,,,,,,,B747,F510
540,2010,Wimbledon,GS,2010-06-21T00:00:00,2010-07-04T00:00:00,Grass,128,6196000,£,MS025,R32,01:37:00,,F,3,T786,"6-1,6-4,7-6(7)",J. Tsonga,T. Kamke,,,FRA,GER,6-1,6-4,7-6(7),,,01:37:00,A,J. Tsonga,T. Kamke,FRA,GER,,,330,/en/stats/leaderboard?page=serve,1,19,57,47,83,91,43,47,64,23,36,100,4,4,15,251,/en/stats/leaderboard?page=serve,7,2,65,54,83,72,39,54,41,12,29,0,0,3,14,80,66,83,39,32,83,59,98,166,61,51,83,20,17,83,41,68,166,,,,,7.0,1.0,,,T786,K839
540,2010,Wimbledon,GS,2010-06-21T00:00:00,2010-07-04T00:00:00,Grass,128,6196000,£,MS026,R32,03:47:00,,F,5,Q927,"6-7(4),6-4,6-2,5-7,9-7",S. Querrey,X. Malisse,,,USA,BEL,6-7(4),6-4,6-2,5-7,9-7,03:47:00,A,S. Querrey,X. Malisse,USA,BEL,,,299,/en/stats/leaderboard?page=serve,6,23,61,110,181,77,85,110,55,39,71,73,8,11,29,280,/en/stats/leaderboard?page=serve,1,14,62,119,192,74,88,119,52,38,73,70,14,20,29,69,124,181,34,66,192,51,190,373,66,126,192,31,57,181,49,183,373,,,4.0,7.0,,,,,Q927,M680
540,2010,Wimbledon,GS,2010-06-21T00:00:00,2010-07-04T00:00:00,Grass,128,6196000,£,MS027,R32,01:50:00,,F,3,MC10,"6-1,6-4,6-4",A. Murray,G. Simon,,,GBR,FRA,6-1,6-4,6-4,,,01:50:00,A,A. Murray,G. Simon,GBR,FRA,,,334,/en/stats/leaderboard?page=serve,1,15,65,47,72,83,39,47,72,18,25,0,0,0,14,233,/en/stats/leaderboard?page=serve,2,2,54,49,91,65,32,49,45,19,42,56,5,9,13,79,57,72,44,40,91,60,97,163,56,51,91,21,15,72,40,66,163,,,,,,,,,MC10,SD32
540,2010,Wimbledon,GS,2010-06-21T00:00:00,2010-07-04T00:00:00,Grass,128,6196000,£,MS028,R32,01:54:00,,F,3,SA49,"6-4,6-2,7-5",R. Soderling,T. Bellucci,,,SWE,BRA,6-4,6-2,7-5,,,01:54:00,A,R. Soderling,T. Bellucci,SWE,BRA,,,316,/en/stats/leaderboard?page=serve,5,15,61,52,85,90,47,52,55,18,33,100,3,3,15,250,/en/stats/leaderboard?page=serve,3,9,61,60,99,72,43,60,38,15,39,43,3,7,15,76,65,85,41,41,99,58,106,184,59,58,99,24,20,85,42,78,184,,,,,,,,,SA49,BD20
540,2010,Wimbledon,GS,2010-06-21T00:00:00,2010-07-04T00:00:00,Grass,128,6196000,£,MS029,R32,03:04:00,,F,5,F401,"7-5,6-3,4-6,3-6,7-5",D. Ferrer,J. Chardy,,,ESP,FRA,7-5,6-3,4-6,3-6,7-5,03:04:00,A,D. Ferrer,J. Chardy,ESP,FRA,,,279,/en/stats/leaderboard?page=serve,3,13,65,98,150,72,71,98,52,27,52,69,11,16,26,265,/en/stats/leaderboard?page=serve,10,21,59,86,146,79,68,86,40,24,60,67,12,18,26,65,98,150,37,54,146,51,152,296,63,92,146,35,52,150,49,144,296,,,,,,,,,F401,CA12
540,2010,Wimbledon,GS,2010-06-21T00:00:00,2010-07-04T00:00:00,Grass,128,6196000,£,MS030,R32,03:15:00,,F,4,M850,"7-6(7),7-6(8),6-7(8),6-4",P. Mathieu,T. de Bakker,,,FRA,NED,7-6(7),7-6(8),6-7(8),6-4,,03:15:00,A,P. Mathieu,T. de Bakker,FRA,NED,,,315,/en/stats/leaderboard?page=serve,6,16,55,83,150,87,72,83,63,42,67,100,1,1,23,319,/en/stats/leaderboard?page=serve,5,32,62,99,159,85,84,99,50,30,60,83,5,6,23,76,114,150,28,45,159,51,159,309,72,114,159,24,36,150,49,150,309,8.0,6.0,7.0,5.0,8.0,10.0,,,M850,D776
540,2010,Wimbledon,GS,2010-06-21T00:00:00,2010-07-04T00:00:00,Grass,128,6196000,£,MS031,R32,03:45:00,,F,5,N409,"6-4,4-6,6-7(5),6-2,6-3",R. Nadal,P. Petzschner,,,ESP,GER,6-4,4-6,6-7(5),6-2,6-3,03:45:00,A,R. Nadal,P. Petzschner,ESP,GER,,,316,/en/stats/leaderboard?page=serve,1,12,68,96,142,80,77,96,61,28,46,50,1,2,25,286,/en/stats/leaderboard?page=serve,3,25,60,101,168,78,79,101,43,29,67,71,10,14,24,74,105,142,36,60,168,53,165,310,64,108,168,26,37,142,47,145,310,,,,,5.0,7.0,,,N409,P624
540,2010,Wimbledon,GS,2010-06-21T00:00:00,2010-07-04T00:00:00,Grass,128,6196000,£,MS032,R64,02:46:00,,F,4,F324,"6-3,6-7(4),6-4,7-6(7)",R. Federer,I. Bozoljac,,,SUI,SRB,6-3,6-7(4),6-4,7-6(7),,02:46:00,A,R. Federer,I. Bozoljac,SUI,SRB,,,333,/en/stats/leaderboard?page=serve,1,16,70,94,135,77,72,94,71,29,41,100,4,4,21,309,/en/stats/leaderboard?page=serve,6,31,64,90,140,78,70,90,56,28,50,77,10,13,22,75,101,135,30,42,140,52,143,275,70,98,140,25,34,135,48,132,275,4.0,7.0,,,,,7.0,5.0,F324,BA57
540,2010,Wimbledon,GS,2010-06-21T00:00:00,2010-07-04T00:00:00,Grass,128,6196000,£,MS033,R64,02:55:00,,F,4,C487,"6-7(4),6-3,6-3,6-4",A. Clement,P. Luczak,,,FRA,AUS,6-7(4),6-3,6-3,6-4,,02:55:00,A,A. Clement,P. Luczak,FRA,AUS,,,325,/en/stats/leaderboard?page=serve,1,17,70,86,123,77,66,86,62,23,37,100,3,3,20,272,/en/stats/leaderboard?page=serve,5,14,59,77,130,73,56,77,51,27,53,50,4,8,20,72,89,123,36,47,130,54,136,253,64,83,130,28,34,123,46,117,253,,,4.0,7.0,,,,,C487,L515
540,2010,Wimbledon,GS,2010-06-21T00:00:00,2010-07-04T00:00:00,Grass,128,6196000,£,MS034,R64,02:27:00,,F,4,L397,"7-5,4-6,6-3,6-4",F. Lopez,R. Berankis,,,ESP,LTU,7-5,4-6,6-3,6-4,,02:27:00,A,F. Lopez,R. Berankis,ESP,LTU,,,323,/en/stats/leaderboard?page=serve,3,25,54,60,112,90,54,60,62,32,52,50,1,2,21,295,/en/stats/leaderboard?page=serve,4,19,63,74,118,73,54,74,59,26,44,63,5,8,20,77,86,112,32,38,118,54,124,230,68,80,118,23,26,112,46,106,230,,,,,,,,,L397,BE90
