event_id,event_year,tourney_name,level,start_date,end_date,surface,singles_draw_size,prize_money,prize_money_currency,match_id,round,match_time_total,match_message,match_status,num_sets,winner_flag_raw,score_string,winner_player_name,loser_player_name,winner_seed,loser_seed,winner_country,loser_country,set1_score,set2_score,set3_score,set4_score,set5_score,match_date,serverating_tot_winner,serveratinglink_tot_winner,doublefaults_tot_winner,aces_tot_winner,firstserve_percent_tot_winner,firstserve_dividend_tot_winner,firstserve_divisor_tot_winner,firstservepointswon_percent_tot_winner,firstservepointswon_dividend_tot_winner,firstservepointswon_divisor_tot_winner,secondservepointswon_percent_tot_winner,secondservepointswon_dividend_tot_winner,secondservepointswon_divisor_tot_winner,breakpointssaved_dividend_tot_winner,servicegamesplayed_tot_winner,serverating_tot_loser,serveratinglink_tot_loser,doublefaults_tot_loser,aces_tot_loser,firstserve_percent_tot_loser,firstserve_dividend_tot_loser,firstserve_divisor_tot_loser,firstservepointswon_percent_tot_loser,firstservepointswon_dividend_tot_loser,firstservepointswon_divisor_tot_loser,secondservepointswon_percent_tot_loser,secondservepointswon_dividend_tot_loser,secondservepointswon_divisor_tot_loser,breakpointssaved_percent_tot_loser,breakpointssaved_dividend_tot_loser,breakpointssaved_divisor_tot_loser,servicegamesplayed_tot_loser,totalservicepointswon_percent_tot_winner,totalservicepointswon_dividend_tot_winner,totalservicepointswon_divisor_tot_winner,totalreturnpointswon_percent_tot_winner,totalreturnpointswon_dividend_tot_winner,totalreturnpointswon_divisor_tot_winner,totalpointswon_percent_tot_winner,totalpointswon_dividend_tot_winner,totalpointswon_divisor_tot_winner,totalservicepointswon_percent_tot_loser,totalservicepointswon_dividend_tot_loser,totalservicepointswon_divisor_tot_loser,totalreturnpointswon_percent_tot_loser,totalreturnpointswon_dividend_tot_loser,totalreturnpointswon_divisor_tot_loser,totalpointswon_percent_tot_loser,totalpointswon_dividend_tot_loser,totalpointswon_divisor_tot_loser,winner_flag,breakpointssaved_percent_tot_winner,breakpointssaved_divisor_tot_winner,tiebreak_set2_winner,tiebreak_set2_loser,tiebreak_set3_winner,tiebreak_set3_loser,tiebreak_set1_winner,tiebreak_set1_loser,player_winner,player_loser,player_id_winner,player_id_loser,country_winner,country_loser,seed_winner,seed_loser
440,1996,Rosmalen,GP,1996-06-10T00:00:00,1996-06-16T00:00:00,Grass,32,475000,$,MS021,R32,01:22:00,,F,2,D170,"7-5,6-3",H. Davids,D. Prinosil,,,NED,GER,7-5,6-3,,,,01:22:00,277,/en/stats/leaderboard?page=serve,2,2,65,42,65,74,31,42,48,11,23,5,10,213,/en/stats/leaderboard?page=serve,7,1,31,21,68,76,16,21,49,23,47,60,6,10,11,65,42,65,43,29,68,53,71,133,57,39,68,35,23,65,47,62,133,A,83,6,,,,,,,H. Davids,D. Prinosil,D170,P273,NED,GER,,
440,1996,Rosmalen,GP,1996-06-10T00:00:00,1996-06-16T00:00:00,Grass,32,475000,$,MS022,R32,01:15:00,,F,2,C328,"7-5,6-2",K. Carlsen,H. Leconte,,,DEN,FRA,7-5,6-2,,,,01:15:00,282,/en/stats/leaderboard?page=serve,2,4,57,35,61,83,29,35,50,13,26,2,10,217,/en/stats/leaderboard?page=serve,6,4,48,31,65,61,19,31,50,17,34,69,9,13,10,69,42,61,45,29,65,56,71,126,55,36,65,31,19,61,44,55,126,A,67,3,,,,,,,K. Carlsen,H. Leconte,C328,L014,DEN,FRA,,
440,1996,Rosmalen,GP,1996-06-10T00:00:00,1996-06-16T00:00:00,Grass,32,475000,$,MS023,R32,01:21:00,,F,3,H223,"6-2,3-6,6-1",P. Haarhuis,K. Thorne,,,NED,USA,6-2,3-6,6-1,,,01:21:00,275,/en/stats/leaderboard?page=serve,3,2,55,36,66,78,28,36,60,18,30,3,12,217,/en/stats/leaderboard?page=serve,5,0,57,35,61,69,24,35,38,10,26,29,2,7,12,70,46,66,44,27,61,57,73,127,56,34,61,30,20,66,43,54,127,A,60,5,,,,,,,P. Haarhuis,K. Thorne,H223,T125,NED,USA,,
440,1996,Rosmalen,GP,1996-06-10T00:00:00,1996-06-16T00:00:00,Grass,32,475000,$,MS024,R32,01:16:00,,F,2,S381,"6-2,6-4",J. Siemerink,B. Karbacher,,,NED,GER,6-2,6-4,,,,01:16:00,222,/en/stats/leaderboard?page=serve,6,7,59,38,64,79,30,38,50,13,26,0,9,231,/en/stats/leaderboard?page=serve,2,1,56,38,68,63,24,38,47,14,30,73,8,11,9,67,43,64,44,30,68,55,73,132,56,38,68,33,21,64,45,59,132,A,,,,,,,,,J. Siemerink,B. Karbacher,S381,K190,NED,GER,,
440,1996,Rosmalen,GP,1996-06-10T00:00:00,1996-06-16T00:00:00,Grass,32,475000,$,MS025,R32,01:19:00,,F,2,S321,"6-2,7-5",B. Steven,M. Mirnyi,,,NZL,BLR,6-2,7-5,,,,01:19:00,304,/en/stats/leaderboard?page=serve,3,4,70,37,53,84,31,37,69,11,16,0,10,240,/en/stats/leaderboard?page=serve,2,1,58,44,76,66,29,44,47,15,32,73,8,11,10,79,42,53,42,32,76,57,74,129,58,44,76,21,11,53,43,55,129,A,,,,,,,,,B. Steven,M. Mirnyi,S321,M595,NZL,BLR,,
440,1996,Rosmalen,GP,1996-06-10T00:00:00,1996-06-16T00:00:00,Grass,32,475000,$,MS026,R32,01:02:00,,F,2,B446,"6-2,6-3",J. Bjorkman,P. Wessels,,,SWE,NED,6-2,6-3,,,,01:02:00,269,/en/stats/leaderboard?page=serve,2,2,57,28,49,82,23,28,43,9,21,2,8,192,/en/stats/leaderboard?page=serve,5,5,55,36,66,56,20,36,37,11,30,62,8,13,9,65,32,49,53,35,66,58,67,115,47,31,66,35,17,49,42,48,115,A,67,3,,,,,,,J. Bjorkman,P. Wessels,B446,W254,SWE,NED,,
440,1996,Rosmalen,GP,1996-06-10T00:00:00,1996-06-16T00:00:00,Grass,32,475000,$,MS027,R32,01:23:00,,F,2,S572,"6-3,7-5(7)",S. Schalken,B. Black,,,NED,ZIM,6-3,7-5(7),,,,01:23:00,252,/en/stats/leaderboard?page=serve,5,6,58,32,55,75,24,32,48,11,23,1,10,196,/en/stats/leaderboard?page=serve,5,0,48,39,81,54,21,39,45,19,42,64,9,14,11,64,35,55,51,41,81,56,76,136,49,40,81,36,20,55,44,60,136,A,25,4,7,1,,,,,S. Schalken,B. Black,S572,B397,NED,ZIM,,
440,1996,Rosmalen,GP,1996-06-10T00:00:00,1996-06-16T00:00:00,Grass,32,475000,$,MS028,R32,01:23:00,,F,2,R016,"7-6(8),6-3",R. Reneberg,A. Jarryd,,,USA,SWE,7-6(8),6-3,,,,01:23:00,280,/en/stats/leaderboard?page=serve,6,7,53,37,70,81,30,37,73,24,33,0,11,279,/en/stats/leaderboard?page=serve,4,1,59,41,70,85,35,41,48,14,29,75,3,4,10,77,54,70,30,21,70,54,75,140,70,49,70,23,16,70,46,65,140,A,,,,,,,8,6,R. Reneberg,A. Jarryd,R016,J006,USA,SWE,,
440,1996,Rosmalen,GP,1996-06-10T00:00:00,1996-06-16T00:00:00,Grass,32,475000,$,MS029,R32,01:22:00,,F,2,H025,"6-2,7-6(7)",J. Hlasek,R. Sluiter,,,SUI,NED,6-2,7-6(7),,,,01:22:00,265,/en/stats/leaderboard?page=serve,7,9,53,39,73,77,30,39,53,18,34,5,10,212,/en/stats/leaderboard?page=serve,9,0,53,35,66,66,23,35,42,13,31,60,6,10,10,66,48,73,45,30,66,56,78,139,55,36,66,34,25,73,44,61,139,A,71,7,7,5,,,,,J. Hlasek,R. Sluiter,H025,S693,SUI,NED,,
440,1996,Rosmalen,GP,1996-06-10T00:00:00,1996-06-16T00:00:00,Grass,32,475000,$,MS030,R32,01:31:00,,F,2,F206,"7-6(7),6-4",F. Fetterlein,S. Groen,,,DEN,NED,7-6(7),6-4,,,,01:31:00,262,/en/stats/leaderboard?page=serve,10,2,58,46,79,80,37,46,42,14,33,5,11,266,/en/stats/leaderboard?page=serve,2,5,60,46,77,61,28,46,61,19,31,67,4,6,11,65,51,79,39,30,77,52,81,156,61,47,77,35,28,79,48,75,156,A,83,6,,,,,7,4,F. Fetterlein,S. Groen,F206,G235,DEN,NED,,
440,1996,Rosmalen,GP,1996-06-10T00:00:00,1996-06-16T00:00:00,Grass,32,475000,$,MS031,R32,01:46:00,,F,3,A226,"1-6,7-6(7),7-6(9)",H. Arazi,A. Costa,,,MAR,ESP,1-6,7-6(7),7-6(9),,,01:46:00,259,/en/stats/leaderboard?page=serve,4,8,59,58,99,67,39,58,56,23,41,6,15,277,/en/stats/leaderboard?page=serve,4,5,58,65,112,69,45,65,62,29,47,78,7,9,16,63,62,99,34,38,112,47,100,211,66,74,112,37,37,99,53,111,211,A,60,10,7,5,9,7,,,H. Arazi,A. Costa,A226,C378,MAR,ESP,,
