event_id,event_year,tourney_name,level,start_date,end_date,surface,singles_draw_size,prize_money,prize_money_currency,match_id,round,match_time_total,match_message,match_status,num_sets,winner_flag_raw,score_string,winner_player_name,loser_player_name,winner_seed,loser_seed,winner_country,loser_country,set1_score,set2_score,set3_score,set4_score,set5_score,match_date,tiebreak_set1_winner,tiebreak_set1_loser,serverating_tot_winner,serveratinglink_tot_winner,doublefaults_tot_winner,aces_tot_winner,firstserve_percent_tot_winner,firstserve_dividend_tot_winner,firstserve_divisor_tot_winner,firstservepointswon_percent_tot_winner,firstservepointswon_dividend_tot_winner,firstservepointswon_divisor_tot_winner,secondservepointswon_percent_tot_winner,secondservepointswon_dividend_tot_winner,secondservepointswon_divisor_tot_winner,breakpointssaved_percent_tot_winner,breakpointssaved_dividend_tot_winner,breakpointssaved_divisor_tot_winner,servicegamesplayed_tot_winner,serverating_tot_loser,serveratinglink_tot_loser,doublefaults_tot_loser,aces_tot_loser,firstserve_percent_tot_loser,firstserve_dividend_tot_loser,firstserve_divisor_tot_loser,firstservepointswon_percent_tot_loser,firstservepointswon_dividend_tot_loser,firstservepointswon_divisor_tot_loser,secondservepointswon_percent_tot_loser,secondservepointswon_dividend_tot_loser,secondservepointswon_divisor_tot_loser,breakpointssaved_percent_tot_loser,breakpointssaved_dividend_tot_loser,breakpointssaved_divisor_tot_loser,servicegamesplayed_tot_loser,totalservicepointswon_percent_tot_winner,totalservicepointswon_dividend_tot_winner,totalservicepointswon_divisor_tot_winner,totalreturnpointswon_percent_tot_winner,totalreturnpointswon_dividend_tot_winner,totalreturnpointswon_divisor_tot_winner,totalpointswon_percent_tot_winner,totalpointswon_dividend_tot_winner,totalpointswon_divisor_tot_winner,totalservicepointswon_percent_tot_loser,totalservicepointswon_dividend_tot_loser,totalservicepointswon_divisor_tot_loser,totalreturnpointswon_percent_tot_loser,totalreturnpointswon_dividend_tot_loser,totalreturnpointswon_divisor_tot_loser,totalpointswon_percent_tot_loser,totalpointswon_dividend_tot_loser,totalpointswon_divisor_tot_loser,winner_flag,tiebreak_set2_winner,tiebreak_set2_loser,player_winner,player_loser,player_id_winner,player_id_loser,country_winner,country_loser,seed_winner,seed_loser
741,2000,Nottingham,WS,2000-06-19T00:00:00,2000-06-25T00:00:00,Grass,32,350000,$,MS011,R16,02:30:00,,F,3,P045,"4-6,7-6(7),6-1",G. Pozzi,A. Clement,,,ITA,FRA,4-6,7-6(7),6-1,,,02:30:00,,,284,/en/stats/leaderboard?page=serve,3,11,48,53,110,81,43,53,54,31,57,83,5,6,15,268,/en/stats/leaderboard?page=serve,3,5,65,66,102,74,49,66,42,15,36,67,4,6,14,67,74,110,37,38,102,53,112,212,63,64,102,33,36,110,47,100,212,A,7,0,G. Pozzi,A. Clement,P045,C487,ITA,FRA,,
741,2000,Nottingham,WS,2000-06-19T00:00:00,2000-06-25T00:00:00,Grass,32,350000,$,MS012,R16,00:43:00,,F,2,F196,"6-1,6-2",W. Ferreira,M. Rosset,,,RSA,SUI,6-1,6-2,,,,00:43:00,,,330,/en/stats/leaderboard?page=serve,1,6,58,23,40,91,21,23,76,13,17,100,1,1,8,181,/en/stats/leaderboard?page=serve,7,3,41,16,39,63,10,16,39,9,23,0,0,4,7,85,34,40,51,20,39,68,54,79,49,19,39,15,6,40,32,25,79,A,,,W. Ferreira,M. Rosset,F196,R214,RSA,SUI,,
741,2000,Nottingham,WS,2000-06-19T00:00:00,2000-06-25T00:00:00,Grass,32,350000,$,MS013,R16,01:41:00,,F,2,G379,"7-6(7),7-6(13)",S. Grosjean,W. Arthurs,,,FRA,AUS,7-6(7),7-6(13),,,,01:41:00,7,4,318,/en/stats/leaderboard?page=serve,3,8,64,56,88,86,48,56,63,20,32,100,3,3,12,308,/en/stats/leaderboard?page=serve,8,18,61,56,92,79,44,56,58,21,36,100,3,3,12,77,68,88,29,27,92,53,95,180,71,65,92,23,20,88,47,85,180,A,13,11,S. Grosjean,W. Arthurs,G379,A202,FRA,AUS,,
741,2000,Nottingham,WS,2000-06-19T00:00:00,2000-06-25T00:00:00,Grass,32,350000,$,MS014,R16,01:58:00,,F,3,F164,"6-7(4),6-3,6-3",R. Fromberg,N. Massu,,,AUS,CHI,6-7(4),6-3,6-3,,,01:58:00,4,7,313,/en/stats/leaderboard?page=serve,6,20,56,54,97,87,47,54,56,24,43,100,2,2,15,275,/en/stats/leaderboard?page=serve,5,11,60,58,97,78,45,58,51,20,39,50,3,6,15,73,71,97,33,32,97,53,103,194,67,65,97,27,26,97,47,91,194,A,,,R. Fromberg,N. Massu,F164,M655,AUS,CHI,,
741,2000,Nottingham,WS,2000-06-19T00:00:00,2000-06-25T00:00:00,Grass,32,350000,$,MS015,R16,01:14:00,,F,2,B446,"6-4,6-4",J. Bjorkman,M. Mirnyi,,,SWE,BLR,6-4,6-4,,,,01:14:00,,,310,/en/stats/leaderboard?page=serve,1,2,75,52,69,69,36,52,65,11,17,100,2,2,10,270,/en/stats/leaderboard?page=serve,0,8,67,43,64,77,33,43,38,8,21,50,2,4,10,68,47,69,36,23,64,53,70,133,64,41,64,32,22,69,47,63,133,A,,,J. Bjorkman,M. Mirnyi,B446,M595,SWE,BLR,,
741,2000,Nottingham,WS,2000-06-19T00:00:00,2000-06-25T00:00:00,Grass,32,350000,$,MS016,R32,01:29:00,,F,2,P398,"7-5,7-6(7)",A. Parmar,C. Pioline,,,GBR,FRA,7-5,7-6(7),,,,01:29:00,,,322,/en/stats/leaderboard?page=serve,0,13,63,39,62,90,35,39,65,15,23,75,3,4,12,260,/en/stats/leaderboard?page=serve,8,13,48,39,81,79,31,39,45,19,42,60,3,5,12,81,50,62,38,31,81,57,81,143,62,50,81,19,12,62,43,62,143,A,7,3,A. Parmar,C. Pioline,P398,P226,GBR,FRA,,
741,2000,Nottingham,WS,2000-06-19T00:00:00,2000-06-25T00:00:00,Grass,32,350000,$,MS017,R32,02:08:00,,F,3,C387,"3-6,7-6(7),6-4",B. Cowan,G. Bastl,,,GBR,SUI,3-6,7-6(7),6-4,,,02:08:00,,,294,/en/stats/leaderboard?page=serve,2,9,74,73,98,75,55,73,52,13,25,75,6,8,15,295,/en/stats/leaderboard?page=serve,4,14,67,70,104,69,48,70,62,21,34,67,4,6,16,69,68,98,34,35,104,51,103,202,66,69,104,31,30,98,49,99,202,A,7,4,B. Cowan,G. Bastl,C387,B503,GBR,SUI,,
741,2000,Nottingham,WS,2000-06-19T00:00:00,2000-06-25T00:00:00,Grass,32,350000,$,MS018,R32,01:33:00,,F,3,B397,"6-1,6-7(3),6-1",B. Black,A. Sa,,,ZIM,BRA,6-1,6-7(3),6-1,,,01:33:00,,,300,/en/stats/leaderboard?page=serve,1,11,63,53,84,74,39,53,61,19,31,75,3,4,14,236,/en/stats/leaderboard?page=serve,1,4,70,57,82,61,35,57,44,11,25,62,8,13,12,69,58,84,44,36,82,57,94,166,56,46,82,31,26,84,43,72,166,A,3,7,B. Black,A. Sa,B397,S604,ZIM,BRA,,
741,2000,Nottingham,WS,2000-06-19T00:00:00,2000-06-25T00:00:00,Grass,32,350000,$,MS019,R32,01:40:00,,F,3,S545,"6-7(5),6-2,5-0",S. Sargsian,A. Ilie,,,ARM,AUS,6-7(5),6-2,5-0,,,01:40:00,5,7,294,/en/stats/leaderboard?page=serve,2,6,57,43,76,74,32,43,67,22,33,0,0,1,13,218,/en/stats/leaderboard?page=serve,7,7,46,38,83,71,27,38,40,18,45,55,6,11,13,71,54,76,46,38,83,58,92,159,54,45,83,29,22,76,42,67,159,A,,,S. Sargsian,A. Ilie,S545,I052,ARM,AUS,,
741,2000,Nottingham,WS,2000-06-19T00:00:00,2000-06-25T00:00:00,Grass,32,350000,$,MS020,R32,02:12:00,,F,3,S424,"3-6,7-6(7),6-4",F. Santoro,J. Palmer,,,FRA,USA,3-6,7-6(7),6-4,,,02:12:00,,,287,/en/stats/leaderboard?page=serve,1,4,66,69,105,65,45,69,67,24,36,75,6,8,15,272,/en/stats/leaderboard?page=serve,3,5,61,75,123,68,51,75,54,26,48,78,7,9,16,66,69,105,37,46,123,50,115,228,63,77,123,34,36,105,50,113,228,A,7,5,F. Santoro,J. Palmer,S424,P233,FRA,USA,,
741,2000,Nottingham,WS,2000-06-19T00:00:00,2000-06-25T00:00:00,Grass,32,350000,$,MS021,R32,01:06:00,,F,2,G352,"6-3,6-3",J. Gambill,M. Lee,,,USA,GBR,6-3,6-3,,,,01:06:00,,,319,/en/stats/leaderboard?page=serve,0,11,62,36,58,78,28,36,68,15,22,100,3,3,10,261,/en/stats/leaderboard?page=serve,0,7,49,27,55,67,18,27,61,17,28,33,1,3,9,74,43,58,36,20,55,56,63,113,64,35,55,26,15,58,44,50,113,A,,,J. Gambill,M. Lee,G352,L333,USA,GBR,,
741,2000,Nottingham,WS,2000-06-19T00:00:00,2000-06-25T00:00:00,Grass,32,350000,$,MS022,R32,01:46:00,,F,2,P045,"7-5,6-4",G. Pozzi,D. Sanguinetti,,,ITA,ITA,7-5,6-4,,,,01:46:00,,,267,/en/stats/leaderboard?page=serve,1,5,49,33,68,82,27,33,51,18,35,60,3,5,11,231,/en/stats/leaderboard?page=serve,1,6,57,52,91,62,32,52,44,17,39,71,10,14,11,66,45,68,46,42,91,55,87,159,54,49,91,34,23,68,45,72,159,A,,,G. Pozzi,D. Sanguinetti,P045,S480,ITA,ITA,,
741,2000,Nottingham,WS,2000-06-19T00:00:00,2000-06-25T00:00:00,Grass,32,350000,$,MS023,R32,01:52:00,,F,3,C487,"3-6,7-6(7),6-3",A. Clement,S. Koubek,,,FRA,AUT,3-6,7-6(7),6-3,,,01:52:00,,,264,/en/stats/leaderboard?page=serve,4,9,53,52,98,71,37,52,57,26,46,70,7,10,14,261,/en/stats/leaderboard?page=serve,6,6,61,59,97,75,44,59,50,19,38,33,2,6,16,64,63,98,35,34,97,50,97,195,65,63,97,36,35,98,50,98,195,A,7,5,A. Clement,S. Koubek,C487,K310,FRA,AUT,,
741,2000,Nottingham,WS,2000-06-19T00:00:00,2000-06-25T00:00:00,Grass,32,350000,$,MS024,R32,01:01:00,,F,2,R214,"6-4,6-4",M. Rosset,J. Chela,,,SUI,ARG,6-4,6-4,,,,01:01:00,,,314,/en/stats/leaderboard?page=serve,5,8,60,32,53,84,27,32,67,14,21,100,1,1,10,269,/en/stats/leaderboard?page=serve,2,11,57,40,70,73,29,40,50,15,30,75,6,8,10,77,41,53,37,26,70,54,67,123,63,44,70,23,12,53,46,56,123,A,,,M. Rosset,J. Chela,R214,C514,SUI,ARG,,
741,2000,Nottingham,WS,2000-06-19T00:00:00,2000-06-25T00:00:00,Grass,32,350000,$,MS025,R32,02:21:00,,F,3,F196,"7-5,6-7(6),6-3",W. Ferreira,J. Gimelstob,,,RSA,USA,7-5,6-7(6),6-3,,,02:21:00,,,273,/en/stats/leaderboard?page=serve,10,13,50,60,120,80,48,60,52,31,60,88,14,16,17,256,/en/stats/leaderboard?page=serve,2,8,58,67,116,70,47,67,47,23,49,69,9,13,16,66,79,120,40,46,116,53,125,236,60,70,116,34,41,120,47,111,236,A,6,8,W. Ferreira,J. Gimelstob,F196,G354,RSA,USA,,
