event_id,event_year,tourney_name,level,start_date,end_date,surface,singles_draw_size,prize_money,prize_money_currency,match_id,round,match_time_total,match_message,match_status,num_sets,winner_flag_raw,score_string,winner_player_name,loser_player_name,winner_seed,loser_seed,winner_country,loser_country,set1_score,set2_score,set3_score,set4_score,set5_score,match_date,tiebreak_set2_winner,tiebreak_set2_loser,tiebreak_set3_winner,tiebreak_set3_loser,serverating_tot_winner,serveratinglink_tot_winner,doublefaults_isstatbetter_tot_winner,aces_tot_winner,firstserve_percent_tot_winner,firstserve_dividend_tot_winner,firstserve_divisor_tot_winner,firstservepointswon_percent_tot_winner,firstservepointswon_dividend_tot_winner,firstservepointswon_divisor_tot_winner,secondservepointswon_percent_tot_winner,secondservepointswon_dividend_tot_winner,secondservepointswon_divisor_tot_winner,breakpointssaved_dividend_tot_winner,servicegamesplayed_tot_winner,serverating_tot_loser,serveratinglink_tot_loser,doublefaults_tot_loser,aces_tot_loser,firstserve_percent_tot_loser,firstserve_dividend_tot_loser,firstserve_divisor_tot_loser,firstservepointswon_percent_tot_loser,firstservepointswon_dividend_tot_loser,firstservepointswon_divisor_tot_loser,secondservepointswon_percent_tot_loser,secondservepointswon_dividend_tot_loser,secondservepointswon_divisor_tot_loser,breakpointssaved_percent_tot_loser,breakpointssaved_dividend_tot_loser,breakpointssaved_divisor_tot_loser,servicegamesplayed_tot_loser,totalservicepointswon_percent_tot_winner,totalservicepointswon_dividend_tot_winner,totalservicepointswon_divisor_tot_winner,totalreturnpointswon_percent_tot_winner,totalreturnpointswon_dividend_tot_winner,totalreturnpointswon_divisor_tot_winner,totalpointswon_percent_tot_winner,totalpointswon_dividend_tot_winner,totalpointswon_divisor_tot_winner,totalservicepointswon_percent_tot_loser,totalservicepointswon_dividend_tot_loser,totalservicepointswon_divisor_tot_loser,totalreturnpointswon_percent_tot_loser,totalreturnpointswon_dividend_tot_loser,totalreturnpointswon_divisor_tot_loser,totalpointswon_percent_tot_loser,totalpointswon_dividend_tot_loser,totalpointswon_divisor_tot_loser,winner_flag,tiebreak_set1_winner,tiebreak_set1_loser,doublefaults_tot_winner,breakpointssaved_percent_tot_winner,breakpointssaved_divisor_tot_winner,doublefaults_isstatbetter_tot_loser,player_winner,player_loser,player_id_winner,player_id_loser,country_winner,country_loser,seed_winner,seed_loser
404,1998,ATP Masters 1000 Indian Wells,1000,1998-03-09T00:00:00,1998-03-15T00:00:00,Hard,56,2200000,$,MS011,R16,01:02:00,,F,2,R237,"6-3,7-5",G. Rusedski,C. Moya,,,GBR,ESP,6-3,7-5,,,,01:02:00,,,,,212,/en/stats/leaderboard?page=serve,,12,49,30,61,80,24,30,74,23,31,0,11,257,/en/stats/leaderboard?page=serve,3,4,49,28,57,75,21,28,52,15,29,33,1,3,10,77,47,61,37,21,57,58,68,118,63,36,57,23,14,61,42,50,118,A,,,3,0,,,G. Rusedski,C. Moya,R237,M605,GBR,ESP,,
404,1998,ATP Masters 1000 Indian Wells,1000,1998-03-09T00:00:00,1998-03-15T00:00:00,Hard,56,2200000,$,MS012,R16,01:06:00,,F,2,G352,"6-2,6-4",J. Gambill,J. Courier,,,USA,USA,6-2,6-4,,,,01:06:00,,,,,231,/en/stats/leaderboard?page=serve,,8,64,28,44,86,24,28,75,12,16,0,9,235,/en/stats/leaderboard?page=serve,1,8,69,41,59,71,29,41,22,4,18,57,4,7,9,82,36,44,44,26,59,60,62,103,56,33,59,18,8,44,40,41,103,A,,,2,0,,,J. Gambill,J. Courier,G352,C243,USA,USA,,
404,1998,ATP Masters 1000 Indian Wells,1000,1998-03-09T00:00:00,1998-03-15T00:00:00,Hard,56,2200000,$,MS013,R16,01:43:00,,F,3,A092,"6-3,3-6,6-2",A. Agassi,P. Rafter,,,USA,AUS,6-3,3-6,6-2,,,01:43:00,,,,,261,/en/stats/leaderboard?page=serve,,6,69,52,75,71,37,52,43,10,23,2,13,231,/en/stats/leaderboard?page=serve,7,14,64,50,78,70,35,50,29,8,28,0,0,5,13,63,47,75,45,35,78,54,82,153,55,43,78,37,28,75,46,71,153,A,,,4,40,5,,A. Agassi,P. Rafter,A092,R255,USA,AUS,,
404,1998,ATP Masters 1000 Indian Wells,1000,1998-03-09T00:00:00,1998-03-15T00:00:00,Hard,56,2200000,$,MS014,R16,01:13:00,,F,2,R286,"6-4,6-3",M. Rios,N. Kiefer,,,CHI,GER,6-4,6-3,,,,01:13:00,,,,,281,/en/stats/leaderboard?page=serve,,4,69,38,55,79,30,38,53,9,17,0,9,236,/en/stats/leaderboard?page=serve,5,3,52,32,61,75,24,32,41,12,29,50,3,6,10,71,39,55,41,25,61,55,64,116,59,36,61,29,16,55,45,52,116,A,,,1,,,,M. Rios,N. Kiefer,R286,K316,CHI,GER,,
404,1998,ATP Masters 1000 Indian Wells,1000,1998-03-09T00:00:00,1998-03-15T00:00:00,Hard,56,2200000,$,MS015,R16,01:22:00,,F,2,K148,"7-6(8),6-2",P. Korda,T. Haas,,,CZE,GER,7-6(8),6-2,,,,01:22:00,,,,,265,/en/stats/leaderboard?page=serve,,6,51,30,59,70,21,30,62,18,29,5,10,210,/en/stats/leaderboard?page=serve,7,3,60,43,72,60,26,43,34,10,29,50,4,8,10,66,39,59,50,36,72,57,75,131,50,36,72,34,20,59,43,56,131,A,8,6,4,71,7,,P. Korda,T. Haas,K148,H355,CZE,GER,,
404,1998,ATP Masters 1000 Indian Wells,1000,1998-03-09T00:00:00,1998-03-15T00:00:00,Hard,56,2200000,$,MS016,R32,01:04:00,,F,2,S402,"6-1,7-5",P. Sampras,T. Martin,,,USA,USA,6-1,7-5,,,,01:04:00,,,,,306,/en/stats/leaderboard?page=serve,,16,59,29,49,93,27,29,50,10,20,2,10,220,/en/stats/leaderboard?page=serve,1,7,49,27,55,74,20,27,36,10,28,20,1,5,9,76,37,49,45,25,55,60,62,104,55,30,55,24,12,49,40,42,104,A,,,2,67,3,,P. Sampras,T. Martin,S402,M442,USA,USA,,
404,1998,ATP Masters 1000 Indian Wells,1000,1998-03-09T00:00:00,1998-03-15T00:00:00,Hard,56,2200000,$,MS017,R32,01:52:00,,F,3,M099,"4-6,6-3,6-4",T. Muster,C. Pioline,,,AUT,FRA,4-6,6-3,6-4,,,01:52:00,,,,,259,/en/stats/leaderboard?page=serve,,4,58,60,104,70,42,60,48,21,44,9,15,264,/en/stats/leaderboard?page=serve,1,11,64,50,78,76,38,50,43,12,28,50,4,8,14,61,63,104,36,28,78,50,91,182,64,50,78,39,41,104,50,91,182,A,,,1,75,12,,T. Muster,C. Pioline,M099,P226,AUT,FRA,,
404,1998,ATP Masters 1000 Indian Wells,1000,1998-03-09T00:00:00,1998-03-15T00:00:00,Hard,56,2200000,$,MS018,R32,01:58:00,,F,3,M475,"6-7(6),6-1,6-2",A. Medvedev,M. Norman,,,UKR,SWE,6-7(6),6-1,6-2,,,01:58:00,,,,,269,/en/stats/leaderboard?page=serve,,13,53,50,95,86,43,50,53,24,45,0,14,230,/en/stats/leaderboard?page=serve,5,7,41,41,101,68,28,41,50,30,60,43,3,7,13,71,67,95,43,43,101,56,110,196,57,58,101,29,28,95,44,86,196,A,6,8,7,,,,A. Medvedev,M. Norman,M475,N250,UKR,SWE,,
404,1998,ATP Masters 1000 Indian Wells,1000,1998-03-09T00:00:00,1998-03-15T00:00:00,Hard,56,2200000,$,MS019,R32,01:22:00,,F,3,L290,"1-6,6-3,6-0",N. Lapentti,W. Black,,,ECU,ZIM,1-6,6-3,6-0,,,01:22:00,,,,,242,/en/stats/leaderboard?page=serve,False,4,67,38,57,71,27,38,37,7,19,0,11,196,/en/stats/leaderboard?page=serve,3,2,52,33,64,48,16,33,52,16,31,57,8,14,11,60,34,57,50,32,64,55,66,121,50,32,64,40,23,57,45,55,121,A,,,,0,4,,N. Lapentti,W. Black,L290,B499,ECU,ZIM,,
404,1998,ATP Masters 1000 Indian Wells,1000,1998-03-09T00:00:00,1998-03-15T00:00:00,Hard,56,2200000,$,MS020,R32,00:57:00,,F,2,U032,"6-3,6-3",B. Ulihrach,Y. Kafelnikov,,,CZE,RUS,6-3,6-3,,,,00:57:00,,,,,281,/en/stats/leaderboard?page=serve,,4,66,41,62,66,27,41,62,13,21,4,9,212,/en/stats/leaderboard?page=serve,2,2,59,32,54,66,21,32,32,7,22,20,1,5,9,65,40,62,48,26,54,57,66,116,52,28,54,35,22,62,43,50,116,A,,,5,80,5,,B. Ulihrach,Y. Kafelnikov,U032,K267,CZE,RUS,,
