event_id,event_year,tourney_name,level,start_date,end_date,surface,singles_draw_size,prize_money,prize_money_currency,match_id,round,match_time_total,match_message,match_status,num_sets,winner_flag_raw,score_string,winner_player_name,loser_player_name,winner_seed,loser_seed,winner_country,loser_country,set1_score,set2_score,set3_score,set4_score,set5_score,match_date,tiebreak_set1_winner,tiebreak_set1_loser,serverating_tot_winner,serveratinglink_tot_winner,doublefaults_tot_winner,aces_tot_winner,firstserve_percent_tot_winner,firstserve_dividend_tot_winner,firstserve_divisor_tot_winner,firstservepointswon_percent_tot_winner,firstservepointswon_dividend_tot_winner,firstservepointswon_divisor_tot_winner,secondservepointswon_percent_tot_winner,secondservepointswon_dividend_tot_winner,secondservepointswon_divisor_tot_winner,breakpointssaved_percent_tot_winner,breakpointssaved_dividend_tot_winner,breakpointssaved_divisor_tot_winner,servicegamesplayed_tot_winner,serverating_tot_loser,serveratinglink_tot_loser,doublefaults_tot_loser,aces_tot_loser,firstserve_percent_tot_loser,firstserve_dividend_tot_loser,firstserve_divisor_tot_loser,firstservepointswon_percent_tot_loser,firstservepointswon_dividend_tot_loser,firstservepointswon_divisor_tot_loser,secondservepointswon_percent_tot_loser,secondservepointswon_dividend_tot_loser,secondservepointswon_divisor_tot_loser,breakpointssaved_percent_tot_loser,breakpointssaved_dividend_tot_loser,breakpointssaved_divisor_tot_loser,servicegamesplayed_tot_loser,totalservicepointswon_percent_tot_winner,totalservicepointswon_dividend_tot_winner,totalservicepointswon_divisor_tot_winner,totalreturnpointswon_percent_tot_winner,totalreturnpointswon_dividend_tot_winner,totalreturnpointswon_divisor_tot_winner,totalpointswon_percent_tot_winner,totalpointswon_dividend_tot_winner,totalpointswon_divisor_tot_winner,totalservicepointswon_percent_tot_loser,totalservicepointswon_dividend_tot_loser,totalservicepointswon_divisor_tot_loser,totalreturnpointswon_percent_tot_loser,totalreturnpointswon_dividend_tot_loser,totalreturnpointswon_divisor_tot_loser,totalpointswon_percent_tot_loser,totalpointswon_dividend_tot_loser,totalpointswon_divisor_tot_loser,winner_flag,doublefaults_isstatbetter_tot_winner,doublefaults_isstatbetter_tot_loser,tiebreak_set2_winner,tiebreak_set2_loser,player_winner,player_loser,player_id_winner,player_id_loser,country_winner,country_loser,seed_winner,seed_loser
409,1997,Atlanta,GP,1997-04-28T00:00:00,1997-05-04T00:00:00,Clay,32,303000,$,MS011,R16,01:46:00,,F,3,K148,"6-4,1-6,6-3",P. Korda,J. Van Herck,,,CZE,BEL,6-4,1-6,6-3,,,01:46:00,,,247,/en/stats/leaderboard?page=serve,5,4,62,61,98,75,46,61,35,13,37,77,10,13,13,262,/en/stats/leaderboard?page=serve,5,3,68,57,84,61,35,57,59,16,27,63,5,8,13,60,59,98,39,33,84,51,92,182,61,51,84,40,39,98,49,90,182,A,,,,,P. Korda,J. Van Herck,K148,V167,CZE,BEL,,
409,1997,Atlanta,GP,1997-04-28T00:00:00,1997-05-04T00:00:00,Clay,32,303000,$,MS012,R16,01:53:00,,F,2,F165,"7-6(8),6-4",M. Filippini,A. O'Brien,,,URU,USA,7-6(8),6-4,,,,01:53:00,8,6,282,/en/stats/leaderboard?page=serve,,1,65,49,75,61,30,49,65,17,26,86,6,7,11,260,/en/stats/leaderboard?page=serve,3,4,63,52,82,65,34,52,50,15,30,71,5,7,11,63,47,75,40,33,82,51,80,157,60,49,82,37,28,75,49,77,157,A,False,,,,M. Filippini,A. O'Brien,F165,O099,URU,USA,,
409,1997,Atlanta,GP,1997-04-28T00:00:00,1997-05-04T00:00:00,Clay,32,303000,$,MS013,R16,01:53:00,,F,3,S315,"6-3,4-6,6-1",G. Schaller,S. Campbell,,,AUT,USA,6-3,4-6,6-1,,,01:53:00,,,266,/en/stats/leaderboard?page=serve,6,0,75,66,88,62,41,66,59,13,22,63,5,8,13,207,/en/stats/leaderboard?page=serve,4,4,58,49,84,65,32,49,31,11,35,57,8,14,13,61,54,88,49,41,84,55,95,172,51,43,84,39,34,88,45,77,172,A,,,,,G. Schaller,S. Campbell,S315,C355,AUT,USA,,
409,1997,Atlanta,GP,1997-04-28T00:00:00,1997-05-04T00:00:00,Clay,32,303000,$,MS014,R16,01:19:00,,F,2,W212,"7-6(7),6-2",C. Woodruff,J. Frana,,,USA,ARG,7-6(7),6-2,,,,01:19:00,7,2,296,/en/stats/leaderboard?page=serve,1,7,66,45,68,73,33,45,61,14,23,86,6,7,10,245,/en/stats/leaderboard?page=serve,1,8,66,43,65,70,30,43,32,7,22,75,9,12,10,69,47,68,43,28,65,56,75,133,57,37,65,31,21,68,44,58,133,A,,,,,C. Woodruff,J. Frana,W212,F041,USA,ARG,,
409,1997,Atlanta,GP,1997-04-28T00:00:00,1997-05-04T00:00:00,Clay,32,303000,$,MS015,R16,01:47:00,,F,3,S443,"4-6,7-6(7),6-2",S. Stolle,J. Bjorkman,,,AUS,SWE,4-6,7-6(7),6-2,,,01:47:00,,,251,/en/stats/leaderboard?page=serve,5,13,58,53,91,75,40,53,37,14,38,33,2,6,15,240,/en/stats/leaderboard?page=serve,3,7,56,50,89,68,34,50,46,18,39,44,4,9,15,59,54,91,42,37,89,51,91,180,58,52,89,41,37,91,49,89,180,A,,,7,2,S. Stolle,J. Bjorkman,S443,B446,AUS,SWE,,
409,1997,Atlanta,GP,1997-04-28T00:00:00,1997-05-04T00:00:00,Clay,32,303000,$,MS016,R32,02:01:00,,F,3,M443,"2-6,6-3,6-4",F. Meligeni,M. Chang,,,BRA,USA,2-6,6-3,6-4,,,02:01:00,,,269,/en/stats/leaderboard?page=serve,3,4,69,80,116,61,49,80,53,19,36,82,9,11,14,281,/en/stats/leaderboard?page=serve,2,4,67,50,75,76,38,50,52,13,25,0,0,2,13,59,68,116,32,24,75,48,92,191,68,51,75,41,48,116,52,99,191,A,,,,,F. Meligeni,M. Chang,M443,C274,BRA,USA,,
409,1997,Atlanta,GP,1997-04-28T00:00:00,1997-05-04T00:00:00,Clay,32,303000,$,MS017,R32,01:05:00,,F,2,S559,"6-3,6-3",D. van Scheppingen,N. Kulti,,,NED,SWE,6-3,6-3,,,,01:05:00,,,183,/en/stats/leaderboard?page=serve,3,3,52,33,64,73,24,33,58,18,31,0,0,,9,248,/en/stats/leaderboard?page=serve,1,7,58,28,48,68,19,28,50,10,20,40,2,5,9,66,42,64,40,19,48,54,61,112,60,29,48,34,22,64,46,51,112,A,,,,,D. van Scheppingen,N. Kulti,S559,K181,NED,SWE,,
409,1997,Atlanta,GP,1997-04-28T00:00:00,1997-05-04T00:00:00,Clay,32,303000,$,MS018,R32,00:17:00,,F,2,V161,"6-3,6-2",J. Viloca-Puig,M. Zabaleta,,,ESP,ARG,6-3,6-2,,,,00:17:00,,,278,/en/stats/leaderboard?page=serve,2,0,82,50,61,68,34,50,64,7,11,,0,,9,255,/en/stats/leaderboard?page=serve,1,1,70,31,44,61,19,31,62,8,13,63,5,8,8,67,41,61,39,17,44,55,58,105,61,27,44,33,20,61,45,47,105,A,,,,,J. Viloca-Puig,M. Zabaleta,V161,Z073,ESP,ARG,,
409,1997,Atlanta,GP,1997-04-28T00:00:00,1997-05-04T00:00:00,Clay,32,303000,$,MS019,R32,00:08:00,,F,3,S331,"2-6,6-3,6-4",J. Stoltenberg,B. Black,,,AUS,ZIM,2-6,6-3,6-4,,,00:08:00,,,272,/en/stats/leaderboard?page=serve,6,14,74,76,103,72,55,76,33,9,27,86,12,14,14,300,/en/stats/leaderboard?page=serve,1,3,80,75,94,60,45,75,74,14,19,75,6,8,13,62,64,103,37,35,94,50,99,197,63,59,94,38,39,103,50,98,197,A,,,,,J. Stoltenberg,B. Black,S331,B397,AUS,ZIM,,
409,1997,Atlanta,GP,1997-04-28T00:00:00,1997-05-04T00:00:00,Clay,32,303000,$,MS020,R32,00:50:00,,F,2,A092,"6-3,6-2",A. Agassi,J. Oncins,,,USA,BRA,6-3,6-2,,,,00:50:00,,,302,/en/stats/leaderboard?page=serve,1,3,68,30,44,80,24,30,64,9,14,0,0,1,9,203,/en/stats/leaderboard?page=serve,6,1,57,25,44,64,16,25,37,7,19,20,1,5,8,75,33,44,48,21,44,61,54,88,52,23,44,25,11,44,39,34,88,A,,,,,A. Agassi,J. Oncins,A092,O076,USA,BRA,,
409,1997,Atlanta,GP,1997-04-28T00:00:00,1997-05-04T00:00:00,Clay,32,303000,$,MS021,R32,01:03:00,,F,2,N250,"6-3,6-0",M. Norman,P. Fredriksson,,,SWE,SWE,6-3,6-0,,,,01:03:00,,,214,/en/stats/leaderboard?page=serve,1,10,45,28,62,82,23,28,53,18,34,,0,,8,184,/en/stats/leaderboard?page=serve,5,0,66,29,44,48,14,29,33,5,15,33,2,6,7,66,41,62,57,25,44,62,66,106,43,19,44,34,21,62,38,40,106,A,,,,,M. Norman,P. Fredriksson,N250,F278,SWE,SWE,,
409,1997,Atlanta,GP,1997-04-28T00:00:00,1997-05-04T00:00:00,Clay,32,303000,$,MS022,R32,01:25:00,,F,2,V167,"6-3,7-5",J. Van Herck,G. Stafford,,,BEL,RSA,6-3,7-5,,,,01:25:00,,,270,/en/stats/leaderboard?page=serve,1,8,61,44,72,68,30,44,64,18,28,,0,,10,262,/en/stats/leaderboard?page=serve,,5,59,38,64,61,23,38,65,17,26,57,4,7,11,67,48,72,38,24,64,53,72,136,63,40,64,33,24,72,47,64,136,A,,False,,,J. Van Herck,G. Stafford,V167,S406,BEL,RSA,,
409,1997,Atlanta,GP,1997-04-28T00:00:00,1997-05-04T00:00:00,Clay,32,303000,$,MS023,R32,01:14:00,,F,2,K148,"7-5,6-2",P. Korda,A. Hernandez,,,CZE,MEX,7-5,6-2,,,,01:14:00,,,252,/en/stats/leaderboard?page=serve,3,6,56,35,62,60,21,35,63,17,27,57,4,7,10,196,/en/stats/leaderboard?page=serve,4,1,70,43,61,56,24,43,33,6,18,50,6,12,10,61,38,62,51,31,61,56,69,123,49,30,61,39,24,62,44,54,123,A,,,,,P. Korda,A. Hernandez,K148,H346,CZE,MEX,,
409,1997,Atlanta,GP,1997-04-28T00:00:00,1997-05-04T00:00:00,Clay,32,303000,$,MS024,R32,00:14:00,,F,3,O099,"7-5,3-6,6-3",A. O'Brien,B. Shelton,,,USA,USA,7-5,3-6,6-3,,,00:14:00,,,277,/en/stats/leaderboard?page=serve,2,10,75,61,81,79,48,61,35,7,20,25,1,4,15,249,/en/stats/leaderboard?page=serve,7,9,55,52,94,81,42,52,38,16,42,43,3,7,15,68,55,81,38,36,94,52,91,175,62,58,94,32,26,81,48,84,175,A,,,,,A. O'Brien,B. Shelton,O099,S380,USA,USA,,
409,1997,Atlanta,GP,1997-04-28T00:00:00,1997-05-04T00:00:00,Clay,32,303000,$,MS025,R32,00:10:00,,F,2,F165,"6-4,7-6(7)",M. Filippini,V. Spadea,,,URU,USA,6-4,7-6(7),,,,00:10:00,,,292,/en/stats/leaderboard?page=serve,3,1,87,62,71,73,45,62,44,4,9,67,2,3,11,273,/en/stats/leaderboard?page=serve,2,2,81,72,89,58,42,72,53,9,17,80,8,10,11,69,49,71,43,38,89,54,87,160,57,51,89,31,22,71,46,73,160,A,,,7,3,M. Filippini,V. Spadea,F165,S544,URU,USA,,
409,1997,Atlanta,GP,1997-04-28T00:00:00,1997-05-04T00:00:00,Clay,32,303000,$,MS026,R32,00:04:00,,F,2,S315,"6-0,6-3",G. Schaller,S. Humphries,,,AUT,USA,6-0,6-3,,,,00:04:00,,,275,/en/stats/leaderboard?page=serve,3,4,67,29,43,72,21,29,50,7,14,67,2,3,7,161,/en/stats/leaderboard?page=serve,7,1,69,31,45,52,16,31,21,3,14,40,4,10,8,65,28,43,58,26,45,61,54,88,42,19,45,35,15,43,39,34,88,A,,,,,G. Schaller,S. Humphries,S315,H344,AUT,USA,,
409,1997,Atlanta,GP,1997-04-28T00:00:00,1997-05-04T00:00:00,Clay,32,303000,$,MS027,R32,01:46:00,,F,3,C355,"2-6,6-4,6-3",S. Campbell,J. Courier,,,USA,USA,2-6,6-4,6-3,,,01:46:00,,,255,/en/stats/leaderboard?page=serve,5,5,61,62,102,60,37,62,58,23,40,57,4,7,13,253,/en/stats/leaderboard?page=serve,3,6,67,53,79,70,37,53,42,11,26,60,6,10,14,59,60,102,39,31,79,50,91,181,61,48,79,41,42,102,50,90,181,A,,,,,S. Campbell,J. Courier,C355,C243,USA,USA,,
409,1997,Atlanta,GP,1997-04-28T00:00:00,1997-05-04T00:00:00,Clay,32,303000,$,MS028,R32,01:04:00,,F,2,W212,"6-2,6-2",C. Woodruff,K. Carlsen,,,USA,DEN,6-2,6-2,,,,01:04:00,,,215,/en/stats/leaderboard?page=serve,1,4,63,27,43,74,20,27,75,12,16,0,0,,8,206,/en/stats/leaderboard?page=serve,1,1,67,36,54,67,24,36,22,4,18,50,4,8,8,74,32,43,48,26,54,60,58,97,52,28,54,26,11,43,40,39,97,A,,,,,C. Woodruff,K. Carlsen,W212,C328,USA,DEN,,
409,1997,Atlanta,GP,1997-04-28T00:00:00,1997-05-04T00:00:00,Clay,32,303000,$,MS029,R32,00:50:00,,F,2,F041,"6-1,6-2",J. Frana,K. Goossens,,,ARG,BEL,6-1,6-2,,,,00:50:00,,,299,/en/stats/leaderboard?page=serve,,4,73,30,41,80,24,30,55,6,11,50,1,2,8,154,/en/stats/leaderboard?page=serve,13,1,57,31,54,55,17,31,26,6,23,58,7,12,7,73,30,41,57,31,54,64,61,95,43,23,54,27,11,41,36,34,95,A,False,,,,J. Frana,K. Goossens,F041,G285,ARG,BEL,,
409,1997,Atlanta,GP,1997-04-28T00:00:00,1997-05-04T00:00:00,Clay,32,303000,$,MS030,R32,01:05:00,,F,2,S443,"6-3,6-2",S. Stolle,J. Hanquez,,,AUS,FRA,6-3,6-2,,,,01:05:00,,,277,/en/stats/leaderboard?page=serve,6,8,62,33,53,85,28,33,40,8,20,67,2,3,9,195,/en/stats/leaderboard?page=serve,3,3,47,26,55,46,12,26,52,15,29,60,6,10,8,68,36,53,51,28,55,59,64,108,49,27,55,32,17,53,41,44,108,A,,,,,S. Stolle,J. Hanquez,S443,H335,AUS,FRA,,
409,1997,Atlanta,GP,1997-04-28T00:00:00,1997-05-04T00:00:00,Clay,32,303000,$,MS031,R32,00:13:00,,F,3,B446,"3-6,6-3,6-4",J. Bjorkman,S. Sargsian,,,SWE,ARM,3-6,6-3,6-4,,,00:13:00,,,254,/en/stats/leaderboard?page=serve,1,5,49,45,91,71,32,45,52,24,46,67,6,9,14,263,/en/stats/leaderboard?page=serve,,7,71,61,86,66,40,61,48,12,25,50,4,8,14,62,56,91,40,34,86,51,90,177,60,52,86,38,35,91,49,87,177,A,,False,,,J. Bjorkman,S. Sargsian,B446,S545,SWE,ARM,,
