event_id,event_year,tourney_name,level,start_date,end_date,surface,singles_draw_size,prize_money,prize_money_currency,match_id,round,match_time_total,match_message,match_status,num_sets,winner_flag_raw,score_string,winner_player_name,loser_player_name,winner_seed,loser_seed,winner_country,loser_country,set1_score,set2_score,set3_score,set4_score,set5_score,match_date,serverating_tot_winner,serveratinglink_tot_winner,doublefaults_tot_winner,aces_tot_winner,firstserve_percent_tot_winner,firstserve_dividend_tot_winner,firstserve_divisor_tot_winner,firstservepointswon_percent_tot_winner,firstservepointswon_dividend_tot_winner,firstservepointswon_divisor_tot_winner,secondservepointswon_percent_tot_winner,secondservepointswon_dividend_tot_winner,secondservepointswon_divisor_tot_winner,breakpointssaved_percent_tot_winner,breakpointssaved_dividend_tot_winner,breakpointssaved_divisor_tot_winner,servicegamesplayed_tot_winner,serverating_tot_loser,serveratinglink_tot_loser,doublefaults_tot_loser,aces_tot_loser,firstserve_percent_tot_loser,firstserve_dividend_tot_loser,firstserve_divisor_tot_loser,firstservepointswon_percent_tot_loser,firstservepointswon_dividend_tot_loser,firstservepointswon_divisor_tot_loser,secondservepointswon_percent_tot_loser,secondservepointswon_dividend_tot_loser,secondservepointswon_divisor_tot_loser,breakpointssaved_percent_tot_loser,breakpointssaved_dividend_tot_loser,breakpointssaved_divisor_tot_loser,servicegamesplayed_tot_loser,totalservicepointswon_percent_tot_winner,totalservicepointswon_dividend_tot_winner,totalservicepointswon_divisor_tot_winner,totalreturnpointswon_percent_tot_winner,totalreturnpointswon_dividend_tot_winner,totalreturnpointswon_divisor_tot_winner,totalpointswon_percent_tot_winner,totalpointswon_dividend_tot_winner,totalpointswon_divisor_tot_winner,totalservicepointswon_percent_tot_loser,totalservicepointswon_dividend_tot_loser,totalservicepointswon_divisor_tot_loser,totalreturnpointswon_percent_tot_loser,totalreturnpointswon_dividend_tot_loser,totalreturnpointswon_divisor_tot_loser,totalpointswon_percent_tot_loser,totalpointswon_dividend_tot_loser,totalpointswon_divisor_tot_loser,winner_flag,tiebreak_set3_winner,tiebreak_set3_loser,doublefaults_isstatbetter_tot_winner,tiebreak_set1_winner,tiebreak_set1_loser,player_winner,player_loser,player_id_winner,player_id_loser,country_winner,country_loser,seed_winner,seed_loser
325,1998,Palermo,WS,1998-10-05T00:00:00,1998-10-11T00:00:00,Clay,32,315000,$,MS022,R32,01:21:00,,F,2,P372,"7-6(10),6-1",M. Puerta,J. Marin,,,ARG,CRC,7-6(10),6-1,,,,01:21:00,307,/en/stats/leaderboard?page=serve,2,4,73,43,59,79,34,43,63,10,16,0,0,1,10,225,/en/stats/leaderboard?page=serve,3,5,43,29,67,72,21,29,42,16,38,25,1,4,9,75,44,59,45,30,67,59,74,126,55,37,67,25,15,59,41,52,126,A,,,,10,8,M. Puerta,J. Marin,P372,M578,ARG,CRC,,
325,1998,Palermo,WS,1998-10-05T00:00:00,1998-10-11T00:00:00,Clay,32,315000,$,MS023,R32,00:54:00,,F,2,C252,"6-2,6-2",F. Clavet,A. Medvedev,,,ESP,UKR,6-2,6-2,,,,00:54:00,277,/en/stats/leaderboard?page=serve,2,2,57,27,47,70,19,27,75,15,20,,0,,8,206,/en/stats/leaderboard?page=serve,2,2,49,24,49,67,16,24,40,10,25,33,2,6,8,72,34,47,47,23,49,59,57,96,53,26,49,28,13,47,41,39,96,A,,,,,,F. Clavet,A. Medvedev,C252,M475,ESP,UKR,,
325,1998,Palermo,WS,1998-10-05T00:00:00,1998-10-11T00:00:00,Clay,32,315000,$,MS024,R32,01:04:00,,F,2,H377,"6-3,6-4",D. Hrbaty,O. Gross,,,SVK,GER,6-3,6-4,,,,01:04:00,260,/en/stats/leaderboard?page=serve,4,3,50,29,58,76,22,29,55,16,29,50,2,4,10,205,/en/stats/leaderboard?page=serve,3,3,56,32,57,50,16,32,44,11,25,43,3,7,9,66,38,58,53,30,57,59,68,115,47,27,57,34,20,58,41,47,115,A,,,,,,D. Hrbaty,O. Gross,H377,G297,SVK,GER,,
325,1998,Palermo,WS,1998-10-05T00:00:00,1998-10-11T00:00:00,Clay,32,315000,$,MS025,R32,01:05:00,,F,2,S568,"6-2,6-3",F. Squillari,F. Luzzi,,,ARG,ITA,6-2,6-3,,,,01:05:00,270,/en/stats/leaderboard?page=serve,,1,48,27,56,78,21,27,66,19,29,,0,,9,229,/en/stats/leaderboard?page=serve,1,0,56,28,50,57,16,28,55,12,22,25,1,4,8,71,40,56,44,22,50,58,62,106,56,28,50,29,16,56,42,44,106,A,,,False,,,F. Squillari,F. Luzzi,S568,L395,ARG,ITA,,
325,1998,Palermo,WS,1998-10-05T00:00:00,1998-10-11T00:00:00,Clay,32,315000,$,MS026,R32,02:10:00,,F,3,Z073,"6-2,4-6,7-6(7)",M. Zabaleta,O. Serrano,,,ARG,ESP,6-2,4-6,7-6(7),,,02:10:00,267,/en/stats/leaderboard?page=serve,6,8,45,44,97,77,34,44,57,30,53,71,5,7,15,248,/en/stats/leaderboard?page=serve,6,1,59,64,109,72,46,64,42,19,45,77,10,13,15,66,64,97,40,44,109,52,108,206,60,65,109,34,33,97,48,98,206,A,7,3,,,,M. Zabaleta,O. Serrano,Z073,S676,ARG,ESP,,
325,1998,Palermo,WS,1998-10-05T00:00:00,1998-10-11T00:00:00,Clay,32,315000,$,MS027,R32,01:45:00,,F,2,M543,"7-6(7),6-3",M. Martelli,F. Mantilla,,,ITA,ESP,7-6(7),6-3,,,,01:45:00,260,/en/stats/leaderboard?page=serve,3,11,48,39,82,77,30,39,47,20,43,71,5,7,10,235,/en/stats/leaderboard?page=serve,2,7,55,44,80,59,26,44,53,19,36,43,3,7,11,61,50,82,44,35,80,52,85,162,56,45,80,39,32,82,48,77,162,A,,,,7,5,M. Martelli,F. Mantilla,M543,M535,ITA,ESP,,
325,1998,Palermo,WS,1998-10-05T00:00:00,1998-10-11T00:00:00,Clay,32,315000,$,MS028,R32,01:10:00,,F,2,B518,"6-3,6-2",G. Blanco,D. Sanguinetti,,,ESP,ITA,6-3,6-2,,,,01:10:00,257,/en/stats/leaderboard?page=serve,4,1,45,30,67,73,22,30,54,20,37,80,4,5,9,196,/en/stats/leaderboard?page=serve,5,2,38,20,52,70,14,20,41,13,32,64,7,11,8,63,42,67,48,25,52,56,67,119,52,27,52,37,25,67,44,52,119,A,,,,,,G. Blanco,D. Sanguinetti,B518,S480,ESP,ITA,,
325,1998,Palermo,WS,1998-10-05T00:00:00,1998-10-11T00:00:00,Clay,32,315000,$,MS029,R32,00:53:00,,F,2,P389,"6-2,6-2",J. Perlant,A. Calatrava,,,FRA,ESP,6-2,6-2,,,,00:53:00,220,/en/stats/leaderboard?page=serve,2,7,70,30,43,83,25,30,62,8,13,0,0,,8,205,/en/stats/leaderboard?page=serve,1,0,70,28,40,61,17,28,25,3,12,0,0,4,8,77,33,43,50,20,40,64,53,83,50,20,40,23,10,43,36,30,83,A,,,,,,J. Perlant,A. Calatrava,P389,C361,FRA,ESP,,
325,1998,Palermo,WS,1998-10-05T00:00:00,1998-10-11T00:00:00,Clay,32,315000,$,MS030,R32,00:56:00,,F,2,D357,"6-3,3-1",A. Di Pasquale,L. Arnold Ker,,,FRA,ARG,6-3,3-1,,,,00:56:00,261,/en/stats/leaderboard?page=serve,1,3,67,28,42,71,20,28,79,11,14,,0,,7,226,/en/stats/leaderboard?page=serve,4,1,51,20,39,70,14,20,37,7,19,0,0,2,7,74,31,42,46,18,39,60,49,81,54,21,39,26,11,42,40,32,81,A,,,,,,A. Di Pasquale,L. Arnold Ker,D357,A228,FRA,ARG,,
325,1998,Palermo,WS,1998-10-05T00:00:00,1998-10-11T00:00:00,Clay,32,315000,$,MS031,R32,00:50:00,,F,2,S015,"6-4,6-1",J. Sanchez,A. Berasategui,,,ESP,ESP,6-4,6-1,,,,00:50:00,291,/en/stats/leaderboard?page=serve,2,1,75,30,40,80,24,30,50,5,10,50,1,2,8,190,/en/stats/leaderboard?page=serve,3,1,53,31,58,58,18,31,37,10,27,55,6,11,9,73,29,40,52,30,58,60,59,98,48,28,58,28,11,40,40,39,98,A,,,,,,J. Sanchez,A. Berasategui,S015,B428,ESP,ESP,,
