Tournament Name,Tournament Title,Level,Year,Start Date,End Date,Surface,indoor_outdoor,City,Country,Singles Draw Size,Doubles Draw Size,Prize Money,Prize Money Currency,Tournament ID,Match ID,Date,Round Name,Set 1 Score,Set 2 Score,Set 3 Score,Home Player,Home Country,Home Seed,Away Player,Away Country,Away Seed,ScoreString,WinnerFlag,winner_flag,winner_player_name,loser_player_name,winner_seed,loser_seed,winner_country,loser_country,PlayerCountryA,PlayerCountryB,PlayerIDA,PlayerIDB,ScoreSet1A,ScoreSet1B,ScoreSet2A,ScoreSet2B,ScoreSet3A,ScoreSet3B,ScoreSet4A,ScoreSet4B,ScoreSet5A,ScoreSet5B,ScoreTbSet1,ScoreTbSet2,ScoreTbSet3,ScoreTbSet4,SeedA,SeedB
AUSTRALIAN OPEN,"Australian Open - Melbourne, AUS",Grand Slam,2026,2026-01-18,2026-02-01,Hard,O,MELBOURNE,AUSTRALIA,128,64,,USD,901,LS67664796,2026-01-24T01:10:00+00:00,3,1-6,4-6,,Peyton Stearns,USA,,Amanda Anisimova,USA,4,"1-6,4-6",3,B,Amanda Anisimova,Peyton Stearns,4,,USA,USA,USA,USA,327573,326384,1,6,4,6,,,,,,,,,,,,4
AUSTRALIAN OPEN,"Australian Open - Melbourne, AUS",Grand Slam,2026,2026-01-18,2026-02-01,Hard,O,MELBOURNE,AUSTRALIA,128,64,,USD,901,LS67664786,2026-01-23T23:30:00+00:00,3,6-3,6-2,,Jessica Pegula,USA,6,Oksana Selekhmeteva,,,"6-3,6-2",2,A,Jessica Pegula,Oksana Selekhmeteva,6,,USA,,USA,,316956,329199,6,3,6,2,,,,,,,,,,,6,
AUSTRALIAN OPEN,"Australian Open - Melbourne, AUS",Grand Slam,2026,2026-01-18,2026-02-01,Hard,O,MELBOURNE,AUSTRALIA,128,64,,USD,901,LS67664800,2026-01-23T23:30:00+00:00,3,3-6,3-6,,Karolina Pliskova,CZE,,Madison Keys,USA,9,"3-6,3-6",3,B,Madison Keys,Karolina Pliskova,9,,USA,CZE,CZE,USA,313974,316959,3,6,3,6,,,,,,,,,,,,9
AUSTRALIAN OPEN,"Australian Open - Melbourne, AUS",Grand Slam,2026,2026-01-18,2026-02-01,Hard,O,MELBOURNE,AUSTRALIA,128,64,,USD,901,LS67664788,2026-01-23T11:20:00+00:00,3,3-6,4-6,,Elena-Gabriela Ruse,ROU,,Mirra Andreeva,,8,"3-6,4-6",3,B,Mirra Andreeva,Elena-Gabriela Ruse,8,,,ROU,ROU,,320408,331809,3,6,4,6,,,,,,,,,,,,8
AUSTRALIAN OPEN,"Australian Open - Melbourne, AUS",Grand Slam,2026,2026-01-18,2026-02-01,Hard,O,MELBOURNE,AUSTRALIA,128,64,,USD,901,LS67664790,2026-01-23T08:10:00+00:00,3,7-6(4),6-3,,Elina Svitolina,UKR,12,Diana Shnaider,,23,"7-6(7),6-3",2,A,Elina Svitolina,Diana Shnaider,12,23,UKR,,UKR,,316738,330482,7,6,6,3,,,,,,,4,,,,12,23
AUSTRALIAN OPEN,"Australian Open - Melbourne, AUS",Grand Slam,2026,2026-01-18,2026-02-01,Hard,O,MELBOURNE,AUSTRALIA,128,64,,USD,901,LS67664780,2026-01-23T06:05:00+00:00,3,6-2,7-6(3),,Iva Jovic,USA,29,Jasmine Paolini,ITA,7,"6-2,7-6(7)",2,A,Iva Jovic,Jasmine Paolini,29,7,USA,ITA,USA,ITA,332285,319280,6,2,7,6,,,,,,,,3,,,29,7
AUSTRALIAN OPEN,"Australian Open - Melbourne, AUS",Grand Slam,2026,2026-01-18,2026-02-01,Hard,O,MELBOURNE,AUSTRALIA,128,64,,USD,901,LS67664792,2026-01-23T05:25:00+00:00,3,6-1,6-1,,Karolina Muchova,CZE,19,Magda Linette,POL,,"6-1,6-1",2,A,Karolina Muchova,Magda Linette,19,,CZE,POL,CZE,POL,322191,315130,6,1,6,1,,,,,,,,,,,19,
AUSTRALIAN OPEN,"Australian Open - Melbourne, AUS",Grand Slam,2026,2026-01-18,2026-02-01,Hard,O,MELBOURNE,AUSTRALIA,128,64,,USD,901,LS67664778,2026-01-23T04:45:00+00:00,3,3-6,6-0,6-3,Coco Gauff,USA,3,Hailey Baptiste,USA,,"3-6,6-0,6-3",2,A,Coco Gauff,Hailey Baptiste,3,,USA,USA,USA,USA,328560,327101,3,6,6,0,6,3,,,,,,,,,3,
AUSTRALIAN OPEN,"Australian Open - Melbourne, AUS",Grand Slam,2026,2026-01-18,2026-02-01,Hard,O,MELBOURNE,AUSTRALIA,128,64,,USD,901,LS67664782,2026-01-23T02:35:00+00:00,3,3-6,7-6(3),3-6,Zeynep Sonmez,TUR,,Yulia Putintseva,KAZ,,"3-6,7-6(7),3-6",3,B,Yulia Putintseva,Zeynep Sonmez,,,KAZ,TUR,TUR,KAZ,326907,317683,3,6,7,6,3,6,,,,,,3,,,,
AUSTRALIAN OPEN,"Australian Open - Melbourne, AUS",Grand Slam,2026,2026-01-18,2026-02-01,Hard,O,MELBOURNE,AUSTRALIA,128,64,,USD,901,LS67664770,2026-01-23T00:30:00+00:00,3,7-6(4),7-6(7),,Aryna Sabalenka,,1,Anastasia Potapova,AUT,,"7-6(7),7-6(9)",2,A,Aryna Sabalenka,Anastasia Potapova,1,,,AUT,,AUT,320760,325601,7,6,7,6,,,,,,,4,7,,,1,
AUSTRALIAN OPEN,"Australian Open - Melbourne, AUS",Grand Slam,2026,2026-01-18,2026-02-01,Hard,O,MELBOURNE,AUSTRALIA,128,64,,USD,901,LS67664784,2026-01-23T00:00:00+00:00,3,7-6(5),5-7,6-3,Victoria Mboko,CAN,17,Clara Tauson,DNK,14,"7-6(7),5-7,6-3",2,A,Victoria Mboko,Clara Tauson,17,14,CAN,DNK,CAN,DNK,331006,327793,7,6,5,7,6,3,,,,,5,,,,17,14
AUSTRALIAN OPEN,"Australian Open - Melbourne, AUS",Grand Slam,2026,2026-01-18,2026-02-01,Hard,O,MELBOURNE,AUSTRALIA,128,64,,USD,901,LS67664818,2026-01-22T10:30:00+00:00,2,7-5,6-2,,Elena Rybakina,KAZ,5,Varvara Gracheva,FRA,,"7-5,6-2",2,A,Elena Rybakina,Varvara Gracheva,5,,KAZ,FRA,KAZ,FRA,324166,325836,7,5,6,2,,,,,,,,,,,5,
AUSTRALIAN OPEN,"Australian Open - Melbourne, AUS",Grand Slam,2026,2026-01-18,2026-02-01,Hard,O,MELBOURNE,AUSTRALIA,128,64,,USD,901,LS67664828,2026-01-22T09:30:00+00:00,2,6-3,0-6,6-4,Nikola Bartunkova,CZE,,Belinda Bencic,CHE,10,"6-3,0-6,6-4",2,A,Nikola Bartunkova,Belinda Bencic,,10,CZE,CHE,CZE,CHE,721779,319001,6,3,0,6,6,4,,,,,,,,,,10
AUSTRALIAN OPEN,"Australian Open - Melbourne, AUS",Grand Slam,2026,2026-01-18,2026-02-01,Hard,O,MELBOURNE,AUSTRALIA,128,64,,USD,901,LS67664826,2026-01-22T08:10:00+00:00,2,6-3,4-6,6-2,Naomi Osaka,JPN,16,Sorana Cirstea,ROU,,"6-3,4-6,6-2",2,A,Naomi Osaka,Sorana Cirstea,16,,JPN,ROU,JPN,ROU,319998,312469,6,3,4,6,6,2,,,,,,,,,16,
AUSTRALIAN OPEN,"Australian Open - Melbourne, AUS",Grand Slam,2026,2026-01-18,2026-02-01,Hard,O,MELBOURNE,AUSTRALIA,128,64,,USD,901,LS67664772,2026-01-22T06:05:00+00:00,2,2-6,3-6,,Marie Bouzkova,CZE,,Iga Swiatek,POL,2,"2-6,3-6",3,B,Iga Swiatek,Marie Bouzkova,2,,POL,CZE,CZE,POL,320983,326408,2,6,3,6,,,,,,,,,,,,2
AUSTRALIAN OPEN,"Australian Open - Melbourne, AUS",Grand Slam,2026,2026-01-18,2026-02-01,Hard,O,MELBOURNE,AUSTRALIA,128,64,,USD,901,LS67664832,2026-01-22T06:05:00+00:00,2,5-7,6-2,3-6,Linda Fruhvirtova,CZE,,Tereza Valentova,CZE,,"5-7,6-2,3-6",3,B,Tereza Valentova,Linda Fruhvirtova,,,CZE,CZE,CZE,CZE,329627,330808,5,7,6,2,3,6,,,,,,,,,,
AUSTRALIAN OPEN,"Australian Open - Melbourne, AUS",Grand Slam,2026,2026-01-18,2026-02-01,Hard,O,MELBOURNE,AUSTRALIA,128,64,,USD,901,LS67664830,2026-01-22T04:30:00+00:00,2,6-3,6-1,,Elise Mertens,BEL,21,Moyuka Uchijima,JPN,,"6-3,6-1",2,A,Elise Mertens,Moyuka Uchijima,21,,BEL,JPN,BEL,JPN,317964,327241,6,3,6,1,,,,,,,,,,,21,
AUSTRALIAN OPEN,"Australian Open - Melbourne, AUS",Grand Slam,2026,2026-01-18,2026-02-01,Hard,O,MELBOURNE,AUSTRALIA,128,64,,USD,901,LS67664820,2026-01-22T03:50:00+00:00,2,1-6,4-6,,Katerina Siniakova,CZE,,Amanda Anisimova,USA,4,"1-6,4-6",3,B,Amanda Anisimova,Katerina Siniakova,4,,USA,CZE,CZE,USA,320301,326384,1,6,4,6,,,,,,,,,,,,4
AUSTRALIAN OPEN,"Australian Open - Melbourne, AUS",Grand Slam,2026,2026-01-18,2026-02-01,Hard,O,MELBOURNE,AUSTRALIA,128,64,,USD,901,LS67664810,2026-01-22T03:00:00+00:00,2,6-2,4-6,6-2,Linda Noskova,CZE,13,Taylah Preston,AUS,,"6-2,4-6,6-2",2,A,Linda Noskova,Taylah Preston,13,,CZE,AUS,CZE,AUS,329668,330291,6,2,4,6,6,2,,,,,,,,,13,
AUSTRALIAN OPEN,"Australian Open - Melbourne, AUS",Grand Slam,2026,2026-01-18,2026-02-01,Hard,O,MELBOURNE,AUSTRALIA,128,64,,USD,901,LS67664822,2026-01-22T03:00:00+00:00,2,6-2,7-5,,Peyton Stearns,USA,,Petra Marcinko,HRV,,"6-2,7-5",2,A,Peyton Stearns,Petra Marcinko,,,USA,HRV,USA,HRV,327573,330799,6,2,7,5,,,,,,,,,,,,
AUSTRALIAN OPEN,"Australian Open - Melbourne, AUS",Grand Slam,2026,2026-01-18,2026-02-01,Hard,O,MELBOURNE,AUSTRALIA,128,64,,USD,901,LS67664824,2026-01-22T02:45:00+00:00,2,4-6,6-4,6-4,Xinyu Wang,CHN,,Jelena Ostapenko,LVA,24,"4-6,6-4,6-4",2,A,Xinyu Wang,Jelena Ostapenko,,24,CHN,LVA,CHN,LVA,326376,319939,4,6,6,4,6,4,,,,,,,,,,24
