event_id,event_year,tourney_name,level,start_date,end_date,surface,singles_draw_size,prize_money,prize_money_currency,match_id,round,match_time_total,match_message,match_status,num_sets,winner_flag_raw,score_string,winner_player_name,loser_player_name,winner_seed,loser_seed,winner_country,loser_country,set1_score,set2_score,set3_score,set4_score,set5_score,match_date,tiebreak_set2_winner,tiebreak_set2_loser,serverating_tot_winner,serveratinglink_tot_winner,doublefaults_tot_winner,aces_tot_winner,firstserve_percent_tot_winner,firstserve_dividend_tot_winner,firstserve_divisor_tot_winner,firstservepointswon_percent_tot_winner,firstservepointswon_dividend_tot_winner,firstservepointswon_divisor_tot_winner,secondservepointswon_percent_tot_winner,secondservepointswon_dividend_tot_winner,secondservepointswon_divisor_tot_winner,breakpointssaved_dividend_tot_winner,servicegamesplayed_tot_winner,serverating_tot_loser,serveratinglink_tot_loser,doublefaults_tot_loser,aces_tot_loser,firstserve_percent_tot_loser,firstserve_dividend_tot_loser,firstserve_divisor_tot_loser,firstservepointswon_percent_tot_loser,firstservepointswon_dividend_tot_loser,firstservepointswon_divisor_tot_loser,secondservepointswon_percent_tot_loser,secondservepointswon_dividend_tot_loser,secondservepointswon_divisor_tot_loser,breakpointssaved_percent_tot_loser,breakpointssaved_dividend_tot_loser,breakpointssaved_divisor_tot_loser,servicegamesplayed_tot_loser,totalservicepointswon_percent_tot_winner,totalservicepointswon_dividend_tot_winner,totalservicepointswon_divisor_tot_winner,totalreturnpointswon_percent_tot_winner,totalreturnpointswon_dividend_tot_winner,totalreturnpointswon_divisor_tot_winner,totalpointswon_percent_tot_winner,totalpointswon_dividend_tot_winner,totalpointswon_divisor_tot_winner,totalservicepointswon_percent_tot_loser,totalservicepointswon_dividend_tot_loser,totalservicepointswon_divisor_tot_loser,totalreturnpointswon_percent_tot_loser,totalreturnpointswon_dividend_tot_loser,totalreturnpointswon_divisor_tot_loser,totalpointswon_percent_tot_loser,totalpointswon_dividend_tot_loser,totalpointswon_divisor_tot_loser,winner_flag,breakpointssaved_percent_tot_winner,breakpointssaved_divisor_tot_winner,tiebreak_set1_winner,tiebreak_set1_loser,tiebreak_set3_winner,tiebreak_set3_loser,doublefaults_isstatbetter_tot_winner,doublefaults_isstatbetter_tot_loser,player_winner,player_loser,player_id_winner,player_id_loser,country_winner,country_loser,seed_winner,seed_loser
408,1996,Milan,GP,1996-02-26T00:00:00,1996-03-03T00:00:00,Carpet,32,689250,$,MS022,R32,01:20:00,,F,3,V141,"6-3,1-6,6-1",D. Vacek,D. Nargiso,,,CZE,ITA,6-3,1-6,6-1,,,01:20:00,,,249,/en/stats/leaderboard?page=serve,13,7,51,42,82,76,32,42,45,18,40,9,12,258,/en/stats/leaderboard?page=serve,3,3,63,37,59,68,25,37,55,12,22,63,5,8,11,61,50,82,37,22,59,51,72,141,63,37,59,39,32,82,49,69,141,A,82,11,,,,,,,D. Vacek,D. Nargiso,V141,N109,CZE,ITA,,
408,1996,Milan,GP,1996-02-26T00:00:00,1996-03-03T00:00:00,Carpet,32,689250,$,MS023,R32,00:46:00,,F,2,K214,"6-4,6-0",R. Krajicek,A. Berasategui,,,NED,ESP,6-4,6-0,,,,00:46:00,,,232,/en/stats/leaderboard?page=serve,1,12,65,26,40,85,22,26,71,10,14,0,8,230,/en/stats/leaderboard?page=serve,1,1,77,43,56,49,21,43,54,7,13,56,5,9,8,80,32,40,50,28,56,63,60,96,50,28,56,20,8,40,38,36,96,A,0,,,,,,,,R. Krajicek,A. Berasategui,K214,B428,NED,ESP,,
408,1996,Milan,GP,1996-02-26T00:00:00,1996-03-03T00:00:00,Carpet,32,689250,$,MS024,R32,00:57:00,,F,2,S381,"6-3,6-2",J. Siemerink,S. Bruguera,,,NED,ESP,6-3,6-2,,,,00:57:00,,,281,/en/stats/leaderboard?page=serve,3,4,54,29,54,90,26,29,48,12,25,4,9,210,/en/stats/leaderboard?page=serve,2,3,57,28,49,54,15,28,48,10,21,50,4,8,8,70,38,54,49,24,49,60,62,103,51,25,49,30,16,54,40,41,103,A,80,5,,,,,,,J. Siemerink,S. Bruguera,S381,B350,NED,ESP,,
408,1996,Milan,GP,1996-02-26T00:00:00,1996-03-03T00:00:00,Carpet,32,689250,$,MS025,R32,01:44:00,,F,3,V166,"6-2,5-7,6-3",A. Voinea,J. Sanchez,,,ROU,ESP,6-2,5-7,6-3,,,01:44:00,,,235,/en/stats/leaderboard?page=serve,4,6,46,43,94,72,31,43,49,25,51,6,15,200,/en/stats/leaderboard?page=serve,5,0,61,54,89,57,31,54,37,13,35,46,6,13,14,60,56,94,51,45,89,55,101,183,49,44,89,40,38,94,45,82,183,A,55,11,,,,,,,A. Voinea,J. Sanchez,V166,S015,ROU,ESP,,
408,1996,Milan,GP,1996-02-26T00:00:00,1996-03-03T00:00:00,Carpet,32,689250,$,MS026,R32,01:14:00,,F,2,C252,"6-0,7-6(7)",F. Clavet,R. Agenor,,,ESP,HAI,6-0,7-6(7),,,,01:14:00,7,2,276,/en/stats/leaderboard?page=serve,1,2,46,23,50,78,18,23,63,17,27,0,9,218,/en/stats/leaderboard?page=serve,2,3,71,41,58,56,23,41,35,6,17,64,7,11,9,70,35,50,50,29,58,59,64,108,50,29,58,30,15,50,41,44,108,A,0,1,,,,,,,F. Clavet,R. Agenor,C252,A006,ESP,HAI,,
408,1996,Milan,GP,1996-02-26T00:00:00,1996-03-03T00:00:00,Carpet,32,689250,$,MS027,R32,01:06:00,,F,2,I034,"7-6(7),6-3",G. Ivanisevic,M. Sinner,,,CRO,GER,7-6(7),6-3,,,,01:06:00,,,343,/en/stats/leaderboard?page=serve,1,19,68,40,59,88,35,40,79,15,19,0,11,272,/en/stats/leaderboard?page=serve,5,1,52,33,64,73,24,33,61,19,31,67,2,3,10,85,50,59,33,21,64,58,71,123,67,43,64,15,9,59,42,52,123,A,,,7,5,,,,,G. Ivanisevic,M. Sinner,I034,S367,CRO,GER,,
408,1996,Milan,GP,1996-02-26T00:00:00,1996-03-03T00:00:00,Carpet,32,689250,$,MS028,R32,01:26:00,,F,2,S351,"6-3,6-4",M. Stich,A. Volkov,,,GER,RUS,6-3,6-4,,,,01:26:00,,,241,/en/stats/leaderboard?page=serve,2,11,43,34,80,82,28,34,37,17,46,8,10,185,/en/stats/leaderboard?page=serve,6,5,42,28,66,61,17,28,39,15,38,62,8,13,9,56,45,80,52,34,66,54,79,146,48,32,66,44,35,80,46,67,146,A,73,11,,,,,,,M. Stich,A. Volkov,S351,V037,GER,RUS,,
408,1996,Milan,GP,1996-02-26T00:00:00,1996-03-03T00:00:00,Carpet,32,689250,$,MS029,R32,01:31:00,,F,2,F035,"6-3,6-4",G. Forget,J. Hanquez,,,FRA,FRA,6-3,6-4,,,,01:31:00,,,292,/en/stats/leaderboard?page=serve,1,9,44,22,50,95,21,22,57,16,28,3,9,204,/en/stats/leaderboard?page=serve,9,0,44,37,85,65,24,37,44,21,48,81,17,21,10,74,37,50,47,40,85,57,77,135,53,45,85,26,13,50,43,58,135,A,75,4,,,,,,,G. Forget,J. Hanquez,F035,H335,FRA,FRA,,
408,1996,Milan,GP,1996-02-26T00:00:00,1996-03-03T00:00:00,Carpet,32,689250,$,MS030,R32,01:28:00,,F,2,M475,"7-6(7),7-5",A. Medvedev,D. Prinosil,,,UKR,GER,7-6(7),7-5,,,,01:28:00,,,275,/en/stats/leaderboard?page=serve,4,7,65,49,75,86,42,49,38,10,26,4,12,252,/en/stats/leaderboard?page=serve,3,5,59,49,83,69,34,49,47,16,34,67,6,9,12,69,52,75,40,33,83,54,85,158,60,50,83,31,23,75,46,73,158,A,67,6,7,1,,,,,A. Medvedev,D. Prinosil,M475,P273,UKR,GER,,
408,1996,Milan,GP,1996-02-26T00:00:00,1996-03-03T00:00:00,Carpet,32,689250,$,MS031,R32,01:04:00,,F,2,U032,"6-4,6-2",B. Ulihrach,B. Becker,,,CZE,GER,6-4,6-2,,,,01:04:00,,,276,/en/stats/leaderboard?page=serve,1,3,54,31,57,74,23,31,58,15,26,0,9,238,/en/stats/leaderboard?page=serve,4,6,46,22,48,82,18,22,42,11,26,63,5,8,9,67,38,57,40,19,48,54,57,105,60,29,48,33,19,57,46,48,105,A,,,,,,,,,B. Ulihrach,B. Becker,U032,B028,CZE,GER,,
