event_id,event_year,tourney_name,level,start_date,end_date,surface,singles_draw_size,prize_money,prize_money_currency,match_id,round,match_time_total,match_message,match_status,num_sets,winner_flag_raw,score_string,winner_player_name,loser_player_name,winner_seed,loser_seed,winner_country,loser_country,set1_score,set2_score,set3_score,set4_score,set5_score,match_date,serverating_tot_winner,serveratinglink_tot_winner,doublefaults_isstatbetter_tot_winner,aces_tot_winner,firstserve_percent_tot_winner,firstserve_dividend_tot_winner,firstserve_divisor_tot_winner,firstservepointswon_percent_tot_winner,firstservepointswon_dividend_tot_winner,firstservepointswon_divisor_tot_winner,secondservepointswon_percent_tot_winner,secondservepointswon_dividend_tot_winner,secondservepointswon_divisor_tot_winner,breakpointssaved_percent_tot_winner,breakpointssaved_dividend_tot_winner,breakpointssaved_divisor_tot_winner,servicegamesplayed_tot_winner,serverating_tot_loser,serveratinglink_tot_loser,doublefaults_tot_loser,aces_tot_loser,firstserve_percent_tot_loser,firstserve_dividend_tot_loser,firstserve_divisor_tot_loser,firstservepointswon_percent_tot_loser,firstservepointswon_dividend_tot_loser,firstservepointswon_divisor_tot_loser,secondservepointswon_percent_tot_loser,secondservepointswon_dividend_tot_loser,secondservepointswon_divisor_tot_loser,breakpointssaved_percent_tot_loser,breakpointssaved_dividend_tot_loser,breakpointssaved_divisor_tot_loser,servicegamesplayed_tot_loser,totalservicepointswon_percent_tot_winner,totalservicepointswon_dividend_tot_winner,totalservicepointswon_divisor_tot_winner,totalreturnpointswon_percent_tot_winner,totalreturnpointswon_dividend_tot_winner,totalreturnpointswon_divisor_tot_winner,totalpointswon_percent_tot_winner,totalpointswon_dividend_tot_winner,totalpointswon_divisor_tot_winner,totalservicepointswon_percent_tot_loser,totalservicepointswon_dividend_tot_loser,totalservicepointswon_divisor_tot_loser,totalreturnpointswon_percent_tot_loser,totalreturnpointswon_dividend_tot_loser,totalreturnpointswon_divisor_tot_loser,totalpointswon_percent_tot_loser,totalpointswon_dividend_tot_loser,totalpointswon_divisor_tot_loser,winner_flag,doublefaults_tot_winner,doublefaults_isstatbetter_tot_loser,tiebreak_set1_winner,tiebreak_set1_loser,tiebreak_set2_winner,tiebreak_set2_loser,tiebreak_set3_winner,tiebreak_set3_loser,player_winner,player_loser,player_id_winner,player_id_loser,country_winner,country_loser,seed_winner,seed_loser
416,1998,ATP Masters 1000 Rome,1000,1998-05-11T00:00:00,1998-05-17T00:00:00,Clay,64,2200000,$,MS022,R32,01:14:00,,F,2,B428,"6-3,7-6(7)",A. Berasategui,W. Ferreira,,,ESP,RSA,6-3,7-6(7),,,,01:14:00,276,/en/stats/leaderboard?page=serve,,2,71,46,65,72,33,46,53,10,19,33,1,3,11,238,/en/stats/leaderboard?page=serve,3,6,63,39,62,67,26,39,35,8,23,50,3,6,10,66,43,65,45,28,62,56,71,127,55,34,62,34,22,65,44,56,127,A,3,,,,7,1,,,A. Berasategui,W. Ferreira,B428,F196,ESP,RSA,,
416,1998,ATP Masters 1000 Rome,1000,1998-05-11T00:00:00,1998-05-17T00:00:00,Clay,64,2200000,$,MS023,R32,01:14:00,,F,2,U032,"6-2,6-2",B. Ulihrach,J. Golmard,,,CZE,FRA,6-2,6-2,,,,01:14:00,236,/en/stats/leaderboard?page=serve,False,1,75,30,40,80,24,30,80,8,10,0,0,,8,213,/en/stats/leaderboard?page=serve,1,1,68,40,59,53,21,40,42,8,19,64,7,11,8,80,32,40,51,30,59,63,62,99,49,29,59,20,8,40,37,37,99,A,,,,,,,,,B. Ulihrach,J. Golmard,U032,G319,CZE,FRA,,
416,1998,ATP Masters 1000 Rome,1000,1998-05-11T00:00:00,1998-05-17T00:00:00,Clay,64,2200000,$,MS024,R32,01:51:00,,F,3,K267,"1-6,7-6(7),6-3",Y. Kafelnikov,T. Martin,,,RUS,USA,1-6,7-6(7),6-3,,,01:51:00,261,/en/stats/leaderboard?page=serve,False,1,64,62,97,69,43,62,54,19,35,56,5,9,15,289,/en/stats/leaderboard?page=serve,3,11,63,50,79,68,34,50,66,19,29,67,4,6,13,64,62,97,33,26,79,50,88,176,67,53,79,36,35,97,50,88,176,A,,,,,7,4,,,Y. Kafelnikov,T. Martin,K267,M442,RUS,USA,,
416,1998,ATP Masters 1000 Rome,1000,1998-05-11T00:00:00,1998-05-17T00:00:00,Clay,64,2200000,$,MS025,R32,01:16:00,,F,2,K214,"6-3,6-3",R. Krajicek,N. Escude,,,NED,FRA,6-3,6-3,,,,01:16:00,279,/en/stats/leaderboard?page=serve,,10,53,31,59,87,27,31,43,12,28,75,3,4,9,224,/en/stats/leaderboard?page=serve,3,3,67,48,72,56,27,48,46,11,24,64,7,11,9,66,39,59,47,34,72,56,73,131,53,38,72,34,20,59,44,58,131,A,2,,,,,,,,R. Krajicek,N. Escude,K214,E140,NED,FRA,,
416,1998,ATP Masters 1000 Rome,1000,1998-05-11T00:00:00,1998-05-17T00:00:00,Clay,64,2200000,$,MS026,R32,02:07:00,,F,3,M099,"6-4,3-6,6-4",T. Muster,F. Mantilla,,,AUT,ESP,6-4,3-6,6-4,,,02:07:00,228,/en/stats/leaderboard?page=serve,,7,55,52,94,63,33,52,45,19,42,25,2,8,15,223,/en/stats/leaderboard?page=serve,2,2,67,67,100,57,38,67,42,14,33,63,10,16,14,55,52,94,48,48,100,52,100,194,52,52,100,45,42,94,48,94,194,A,2,,,,,,,,T. Muster,F. Mantilla,M099,M535,AUT,ESP,,
416,1998,ATP Masters 1000 Rome,1000,1998-05-11T00:00:00,1998-05-17T00:00:00,Clay,64,2200000,$,MS027,R32,00:55:00,,F,2,R286,"6-3,6-1",M. Rios,T. Henman,,,CHI,GBR,6-3,6-1,,,,00:55:00,300,/en/stats/leaderboard?page=serve,False,3,57,24,42,92,22,24,61,11,18,,0,,8,199,/en/stats/leaderboard?page=serve,3,2,53,25,47,56,14,25,41,9,22,33,2,6,8,79,33,42,51,24,47,64,57,89,49,23,47,21,9,42,36,32,89,A,,,,,,,,,M. Rios,T. Henman,R286,H336,CHI,GBR,,
416,1998,ATP Masters 1000 Rome,1000,1998-05-11T00:00:00,1998-05-17T00:00:00,Clay,64,2200000,$,MS028,R32,01:12:00,,F,2,K293,"6-0,7-5",G. Kuerten,N. Lapentti,,,BRA,ECU,6-0,7-5,,,,01:12:00,272,/en/stats/leaderboard?page=serve,,3,52,35,67,71,25,35,59,19,32,88,7,8,9,196,/en/stats/leaderboard?page=serve,5,3,55,32,58,53,17,32,46,12,26,38,3,8,9,66,44,67,50,29,58,58,73,125,50,29,58,34,23,67,42,52,125,A,1,,,,,,,,G. Kuerten,N. Lapentti,K293,L290,BRA,ECU,,
416,1998,ATP Masters 1000 Rome,1000,1998-05-11T00:00:00,1998-05-17T00:00:00,Clay,64,2200000,$,MS029,R32,01:03:00,,F,2,H355,"6-2,6-1",T. Haas,V. Santopadre,,,GER,ITA,6-2,6-1,,,,01:03:00,279,/en/stats/leaderboard?page=serve,,1,67,34,51,79,27,34,47,8,17,,0,,8,178,/en/stats/leaderboard?page=serve,1,5,34,17,50,59,10,17,39,13,33,50,4,8,7,69,35,51,54,27,50,61,62,101,46,23,50,31,16,51,39,39,101,A,2,,,,,,,,T. Haas,V. Santopadre,H355,S413,GER,ITA,,
416,1998,ATP Masters 1000 Rome,1000,1998-05-11T00:00:00,1998-05-17T00:00:00,Clay,64,2200000,$,MS030,R32,01:15:00,,F,2,S480,"6-4,6-2",D. Sanguinetti,C. Pioline,,,ITA,FRA,6-4,6-2,,,,01:15:00,279,/en/stats/leaderboard?page=serve,,7,53,32,60,78,25,32,54,15,28,75,3,4,9,216,/en/stats/leaderboard?page=serve,2,1,55,30,55,63,19,30,44,11,25,60,6,10,9,67,40,60,45,25,55,57,65,115,55,30,55,33,20,60,43,50,115,A,1,,,,,,,,D. Sanguinetti,C. Pioline,S480,P226,ITA,FRA,,
416,1998,ATP Masters 1000 Rome,1000,1998-05-11T00:00:00,1998-05-17T00:00:00,Clay,64,2200000,$,MS031,R32,01:42:00,,F,3,V195,"3-6,6-3,6-2",F. Vicente,H. Arazi,,,ESP,MAR,3-6,6-3,6-2,,,01:42:00,264,/en/stats/leaderboard?page=serve,,4,63,51,81,67,34,51,57,17,30,50,3,6,13,222,/en/stats/leaderboard?page=serve,2,5,51,49,97,57,28,49,50,24,48,50,5,10,13,63,51,81,46,45,97,54,96,178,54,52,97,37,30,81,46,82,178,A,3,,,,,,,,F. Vicente,H. Arazi,V195,A226,ESP,MAR,,
