event_id,event_year,tourney_name,level,start_date,end_date,surface,singles_draw_size,prize_money,prize_money_currency,match_id,round,match_time_total,match_message,match_status,num_sets,winner_flag_raw,score_string,winner_player_name,loser_player_name,winner_seed,loser_seed,winner_country,loser_country,set1_score,set2_score,set3_score,set4_score,set5_score,match_date,tiebreak_set1_winner,tiebreak_set1_loser,serverating_tot_winner,serveratinglink_tot_winner,doublefaults_tot_winner,aces_tot_winner,firstserve_percent_tot_winner,firstserve_dividend_tot_winner,firstserve_divisor_tot_winner,firstservepointswon_percent_tot_winner,firstservepointswon_dividend_tot_winner,firstservepointswon_divisor_tot_winner,secondservepointswon_percent_tot_winner,secondservepointswon_dividend_tot_winner,secondservepointswon_divisor_tot_winner,breakpointssaved_percent_tot_winner,breakpointssaved_dividend_tot_winner,breakpointssaved_divisor_tot_winner,servicegamesplayed_tot_winner,serverating_tot_loser,serveratinglink_tot_loser,doublefaults_tot_loser,aces_tot_loser,firstserve_percent_tot_loser,firstserve_dividend_tot_loser,firstserve_divisor_tot_loser,firstservepointswon_percent_tot_loser,firstservepointswon_dividend_tot_loser,firstservepointswon_divisor_tot_loser,secondservepointswon_percent_tot_loser,secondservepointswon_dividend_tot_loser,secondservepointswon_divisor_tot_loser,breakpointssaved_percent_tot_loser,breakpointssaved_dividend_tot_loser,breakpointssaved_divisor_tot_loser,servicegamesplayed_tot_loser,totalservicepointswon_percent_tot_winner,totalservicepointswon_dividend_tot_winner,totalservicepointswon_divisor_tot_winner,totalreturnpointswon_percent_tot_winner,totalreturnpointswon_dividend_tot_winner,totalreturnpointswon_divisor_tot_winner,totalpointswon_percent_tot_winner,totalpointswon_dividend_tot_winner,totalpointswon_divisor_tot_winner,totalservicepointswon_percent_tot_loser,totalservicepointswon_dividend_tot_loser,totalservicepointswon_divisor_tot_loser,totalreturnpointswon_percent_tot_loser,totalreturnpointswon_dividend_tot_loser,totalreturnpointswon_divisor_tot_loser,totalpointswon_percent_tot_loser,totalpointswon_dividend_tot_loser,totalpointswon_divisor_tot_loser,winner_flag,doublefaults_isstatbetter_tot_loser,tiebreak_set2_winner,tiebreak_set2_loser,doublefaults_isstatbetter_tot_winner,player_winner,player_loser,player_id_winner,player_id_loser,country_winner,country_loser,seed_winner,seed_loser
308,1997,Munich,GP,1997-04-28T00:00:00,1997-05-04T00:00:00,Clay,32,400000,$,MS021,R32,01:37:00,,F,2,F206,"7-6(7),6-4",F. Fetterlein,R. Carretero,,,DEN,ESP,7-6(7),6-4,,,,01:37:00,7,4,273,/en/stats/leaderboard?page=serve,4,7,76,58,76,69,40,58,44,8,18,71,5,7,11,255,/en/stats/leaderboard?page=serve,1,0,86,66,77,62,41,66,36,4,11,63,5,8.0,11,63,48,76,42,32,77,52,80,153,58,45,77,37,28,76,48,73,153,A,,,,,F. Fetterlein,R. Carretero,F206,C383,DEN,ESP,,
308,1997,Munich,GP,1997-04-28T00:00:00,1997-05-04T00:00:00,Clay,32,400000,$,MS022,R32,01:06:00,,F,2,D198,"6-4,6-1",S. Dosedel,J. Knippschild,,,CZE,GER,6-4,6-1,,,,01:06:00,,,206,/en/stats/leaderboard?page=serve,,0,73,38,52,76,29,38,57,8,14,0,0,,9,225,/en/stats/leaderboard?page=serve,,3,56,36,64,58,21,36,46,13,28,70,7,10.0,8,71,37,52,47,30,64,58,67,116,53,34,64,29,15,52,42,49,116,A,False,,,False,S. Dosedel,J. Knippschild,D198,K260,CZE,GER,,
308,1997,Munich,GP,1997-04-28T00:00:00,1997-05-04T00:00:00,Clay,32,400000,$,MS023,R32,01:43:00,,F,3,B428,"6-7(6),6-1,6-4",A. Berasategui,G. Canas,,,ESP,ARG,6-7(6),6-1,6-4,,,01:43:00,6,8,291,/en/stats/leaderboard?page=serve,5,3,68,64,94,72,46,64,60,18,30,50,1,2,15,265,/en/stats/leaderboard?page=serve,1,7,67,62,93,69,43,62,52,16,31,56,5,9.0,14,68,64,94,37,34,93,52,98,187,63,59,93,32,30,94,48,89,187,A,,,,,A. Berasategui,G. Canas,B428,C433,ESP,ARG,,
308,1997,Munich,GP,1997-04-28T00:00:00,1997-05-04T00:00:00,Clay,32,400000,$,MS024,R32,01:11:00,,F,2,C344,"6-1,6-3",A. Corretja,O. Camporese,,,ESP,ITA,6-1,6-3,,,,01:11:00,,,292,/en/stats/leaderboard?page=serve,1,4,59,23,39,87,20,23,56,9,16,0,0,1,8,187,/en/stats/leaderboard?page=serve,3,3,54,31,57,65,20,31,31,8,26,55,6,11.0,8,74,29,39,51,29,57,60,58,96,49,28,57,26,10,39,40,38,96,A,,,,,A. Corretja,O. Camporese,C344,C009,ESP,ITA,,
308,1997,Munich,GP,1997-04-28T00:00:00,1997-05-04T00:00:00,Clay,32,400000,$,MS025,R32,01:11:00,,F,2,M475,"6-4,6-4",A. Medvedev,D. Elsner,,,UKR,GER,6-4,6-4,,,,01:11:00,,,298,/en/stats/leaderboard?page=serve,1,9,64,38,59,74,28,38,62,13,21,75,3,4,10,236,/en/stats/leaderboard?page=serve,1,1,59,41,70,73,30,41,34,10,29,67,6,9.0,10,69,41,59,43,30,70,55,71,129,57,40,70,31,18,59,45,58,129,A,,,,,A. Medvedev,D. Elsner,M475,E155,UKR,GER,,
308,1997,Munich,GP,1997-04-28T00:00:00,1997-05-04T00:00:00,Clay,32,400000,$,MS026,R32,01:56:00,,F,3,C375,"4-6,6-4,6-3",M. Charpentier,S. Draper,,,ARG,AUS,4-6,6-4,6-3,,,01:56:00,,,240,/en/stats/leaderboard?page=serve,5,3,88,71,81,63,45,71,20,2,10,20,1,5,14,237,/en/stats/leaderboard?page=serve,3,5,79,77,97,56,43,77,40,8,20,60,9,15.0,15,58,47,81,47,46,97,52,93,178,53,51,97,42,34,81,48,85,178,A,,,,,M. Charpentier,S. Draper,C375,D270,ARG,AUS,,
308,1997,Munich,GP,1997-04-28T00:00:00,1997-05-04T00:00:00,Clay,32,400000,$,MS027,R32,01:42:00,,F,3,S367,"5-7,6-4,4-0",M. Sinner,F. Mantilla,,,GER,ESP,5-7,6-4,4-0,,,01:42:00,,,259,/en/stats/leaderboard?page=serve,5,4,53,47,89,74,35,47,48,20,42,60,3,5,14,263,/en/stats/leaderboard?page=serve,,3,69,51,74,65,33,51,57,13,23,33,2,6.0,13,62,55,89,38,28,74,51,83,163,62,46,74,38,34,89,49,80,163,A,False,,,,M. Sinner,F. Mantilla,S367,M535,GER,ESP,,
308,1997,Munich,GP,1997-04-28T00:00:00,1997-05-04T00:00:00,Clay,32,400000,$,MS028,R32,01:52:00,,F,3,R214,"2-6,6-3,6-2",M. Rosset,D. Prinosil,,,SUI,GER,2-6,6-3,6-2,,,01:52:00,,,255,/en/stats/leaderboard?page=serve,4,3,58,47,81,77,36,47,38,13,34,60,3,5,12,231,/en/stats/leaderboard?page=serve,2,2,48,43,90,63,27,43,51,24,47,50,4,8.0,13,60,49,81,43,39,90,51,88,171,57,51,90,40,32,81,49,83,171,A,,,,,M. Rosset,D. Prinosil,R214,P273,SUI,GER,,
308,1997,Munich,GP,1997-04-28T00:00:00,1997-05-04T00:00:00,Clay,32,400000,$,MS029,R32,01:34:00,,F,2,A203,"7-5,6-4",K. Alami,L. Arnold Ker,,,MAR,ARG,7-5,6-4,,,,01:34:00,,,265,/en/stats/leaderboard?page=serve,2,4,59,42,71,71,30,42,52,15,29,60,3,5,11,224,/en/stats/leaderboard?page=serve,5,3,55,45,82,62,28,45,46,17,37,56,5,9.0,11,63,45,71,45,37,82,54,82,153,55,45,82,37,26,71,46,71,153,A,,,,,K. Alami,L. Arnold Ker,A203,A228,MAR,ARG,,
308,1997,Munich,GP,1997-04-28T00:00:00,1997-05-04T00:00:00,Clay,32,400000,$,MS030,R32,02:03:00,,F,3,F192,"2-6,6-4,6-1",R. Furlan,O. Ogorodov,,,ITA,UZB,2-6,6-4,6-1,,,02:03:00,,,268,/en/stats/leaderboard?page=serve,,4,61,48,79,69,33,48,58,18,31,50,3,6,13,227,/en/stats/leaderboard?page=serve,3,2,59,50,85,60,30,50,43,15,35,69,9,13.0,12,65,51,79,47,40,85,55,91,164,53,45,85,35,28,79,45,73,164,A,,,,False,R. Furlan,O. Ogorodov,F192,O127,ITA,UZB,,
308,1997,Munich,GP,1997-04-28T00:00:00,1997-05-04T00:00:00,Clay,32,400000,$,MS031,R32,01:33:00,,F,3,M605,"6-1,4-6,6-4",C. Moya,A. Olhovskiy,,,ESP,RUS,6-1,4-6,6-4,,,01:33:00,,,257,/en/stats/leaderboard?page=serve,1,0,83,59,71,64,38,59,42,5,12,43,3,7,13,201,/en/stats/leaderboard?page=serve,12,10,63,66,104,58,38,66,32,12,38,59,10,17.0,14,61,43,71,52,54,104,55,97,175,48,50,104,39,28,71,45,78,175,A,,,,,C. Moya,A. Olhovskiy,M605,O009,ESP,RUS,,
