event_id,event_year,tourney_name,level,start_date,end_date,surface,singles_draw_size,prize_money,prize_money_currency,match_id,round,match_time_total,match_message,match_status,num_sets,winner_flag_raw,score_string,winner_player_name,loser_player_name,winner_seed,loser_seed,winner_country,loser_country,set1_score,set2_score,set3_score,set4_score,set5_score,match_date,tiebreak_set1_winner,tiebreak_set1_loser,serverating_tot_winner,serveratinglink_tot_winner,doublefaults_tot_winner,aces_tot_winner,firstserve_percent_tot_winner,firstserve_dividend_tot_winner,firstserve_divisor_tot_winner,firstservepointswon_percent_tot_winner,firstservepointswon_dividend_tot_winner,firstservepointswon_divisor_tot_winner,secondservepointswon_percent_tot_winner,secondservepointswon_dividend_tot_winner,secondservepointswon_divisor_tot_winner,breakpointssaved_percent_tot_winner,breakpointssaved_dividend_tot_winner,breakpointssaved_divisor_tot_winner,servicegamesplayed_tot_winner,serverating_tot_loser,serveratinglink_tot_loser,doublefaults_tot_loser,aces_tot_loser,firstserve_percent_tot_loser,firstserve_dividend_tot_loser,firstserve_divisor_tot_loser,firstservepointswon_percent_tot_loser,firstservepointswon_dividend_tot_loser,firstservepointswon_divisor_tot_loser,secondservepointswon_percent_tot_loser,secondservepointswon_dividend_tot_loser,secondservepointswon_divisor_tot_loser,breakpointssaved_percent_tot_loser,breakpointssaved_dividend_tot_loser,breakpointssaved_divisor_tot_loser,servicegamesplayed_tot_loser,totalservicepointswon_percent_tot_winner,totalservicepointswon_dividend_tot_winner,totalservicepointswon_divisor_tot_winner,totalreturnpointswon_percent_tot_winner,totalreturnpointswon_dividend_tot_winner,totalreturnpointswon_divisor_tot_winner,totalpointswon_percent_tot_winner,totalpointswon_dividend_tot_winner,totalpointswon_divisor_tot_winner,totalservicepointswon_percent_tot_loser,totalservicepointswon_dividend_tot_loser,totalservicepointswon_divisor_tot_loser,totalreturnpointswon_percent_tot_loser,totalreturnpointswon_dividend_tot_loser,totalreturnpointswon_divisor_tot_loser,totalpointswon_percent_tot_loser,totalpointswon_dividend_tot_loser,totalpointswon_divisor_tot_loser,winner_flag,tiebreak_set2_winner,tiebreak_set2_loser,tiebreak_set3_winner,tiebreak_set3_loser,player_winner,player_loser,player_id_winner,player_id_loser,country_winner,country_loser,seed_winner,seed_loser
315,2000,Newport,WS,2000-07-10T00:00:00,2000-07-16T00:00:00,Grass,32,350000,$,MS012,R16,01:15:00,,F,2,S331,"6-3,6-2",J. Stoltenberg,D. Petrovic,,,AUS,SRB,6-3,6-2,,,,01:15:00,,,296,/en/stats/leaderboard?page=serve,2,4,54,32,59,81,26,32,59,16,27,100,2,2,9,225,/en/stats/leaderboard?page=serve,3,3,56,36,64,64,23,36,43,12,28,57,4,7,8,71,42,59,45,29,64,58,71,123,55,35,64,29,17,59,42,52,123,A,,,,,J. Stoltenberg,D. Petrovic,S331,P387,AUS,SRB,,
315,2000,Newport,WS,2000-07-10T00:00:00,2000-07-16T00:00:00,Grass,32,350000,$,MS013,R16,00:59:00,,F,2,G333,"6-3,6-1",P. Goldstein,T. Ketola,,,USA,FIN,6-3,6-1,,,,00:59:00,,,264,/en/stats/leaderboard?page=serve,1,4,60,28,47,68,19,28,58,11,19,71,5,7,8,156,/en/stats/leaderboard?page=serve,3,2,43,21,49,57,12,21,32,9,28,33,3,9,8,64,30,47,57,28,49,60,58,96,43,21,49,36,17,47,40,38,96,A,,,,,P. Goldstein,T. Ketola,G333,K297,USA,FIN,,
315,2000,Newport,WS,2000-07-10T00:00:00,2000-07-16T00:00:00,Grass,32,350000,$,MS014,R16,01:03:00,,F,2,K260,"7-6(7),6-3",J. Knippschild,L. Tieleman,,,GER,ITA,7-6(7),6-3,,,,01:03:00,7,4,312,/en/stats/leaderboard?page=serve,3,9,63,43,68,79,34,43,64,16,25,100,2,2,11,275,/en/stats/leaderboard?page=serve,7,8,47,27,58,89,24,27,48,15,31,0,0,1,10,74,50,68,33,19,58,55,69,126,67,39,58,26,18,68,45,57,126,A,,,,,J. Knippschild,L. Tieleman,K260,T168,GER,ITA,,
315,2000,Newport,WS,2000-07-10T00:00:00,2000-07-16T00:00:00,Grass,32,350000,$,MS015,R16,01:05:00,,F,2,D270,"6-4,6-4",S. Draper,G. Pozzi,,,AUS,ITA,6-4,6-4,,,,01:05:00,,,277,/en/stats/leaderboard?page=serve,2,4,56,28,50,89,25,28,50,11,22,50,2,4,10,212,/en/stats/leaderboard?page=serve,2,0,46,26,56,58,15,26,50,15,30,33,2,6,10,72,36,50,46,26,56,58,62,106,54,30,56,28,14,50,42,44,106,A,,,,,S. Draper,G. Pozzi,D270,P045,AUS,ITA,,
315,2000,Newport,WS,2000-07-10T00:00:00,2000-07-16T00:00:00,Grass,32,350000,$,MS016,R32,00:50:00,,F,2,W212,"6-1,6-2",C. Woodruff,M. Russell,,,USA,USA,6-1,6-2,,,,00:50:00,,,314,/en/stats/leaderboard?page=serve,4,2,61,25,41,80,20,25,75,12,16,0,0,0,8,175,/en/stats/leaderboard?page=serve,7,0,45,21,47,57,12,21,38,10,26,20,1,5,7,78,32,41,53,25,47,65,57,88,47,22,47,22,9,41,35,31,88,A,,,,,C. Woodruff,M. Russell,W212,R368,USA,USA,,
315,2000,Newport,WS,2000-07-10T00:00:00,2000-07-16T00:00:00,Grass,32,350000,$,MS017,R32,02:00:00,,F,3,F339,"6-7(2),6-3,6-2",M. Fish,C. Caratti,,,USA,ITA,6-7(2),6-3,6-2,,,02:00:00,2,7,272,/en/stats/leaderboard?page=serve,5,5,59,65,111,74,48,65,52,24,46,87,13,15,16,261,/en/stats/leaderboard?page=serve,3,5,66,64,97,72,46,64,48,16,33,56,5,9,15,65,72,111,36,35,97,51,107,208,64,62,97,35,39,111,49,101,208,A,,,,,M. Fish,C. Caratti,F339,C270,USA,ITA,,
315,2000,Newport,WS,2000-07-10T00:00:00,2000-07-16T00:00:00,Grass,32,350000,$,MS018,R32,01:20:00,,F,2,B588,"7-5,6-2",B. Bryan,J. Thomas,,,USA,USA,7-5,6-2,,,,01:20:00,,,289,/en/stats/leaderboard?page=serve,3,11,56,34,61,76,26,34,59,16,27,80,4,5,10,232,/en/stats/leaderboard?page=serve,2,4,57,34,60,59,20,34,54,14,26,33,2,6,10,69,42,61,43,26,60,56,68,121,57,34,60,31,19,61,44,53,121,A,,,,,B. Bryan,J. Thomas,B588,T213,USA,USA,,
315,2000,Newport,WS,2000-07-10T00:00:00,2000-07-16T00:00:00,Grass,32,350000,$,MS019,R32,00:55:00,,F,2,A202,"6-2,6-2",W. Arthurs,J. Sekulov,,,AUS,AUS,6-2,6-2,,,,00:55:00,,,314,/en/stats/leaderboard?page=serve,4,10,48,19,40,84,16,19,76,16,21,0,0,0,8,190,/en/stats/leaderboard?page=serve,7,2,43,20,47,65,13,20,37,10,27,33,2,6,8,80,32,40,51,24,47,64,56,87,49,23,47,20,8,40,36,31,87,A,,,,,W. Arthurs,J. Sekulov,A202,S626,AUS,AUS,,
315,2000,Newport,WS,2000-07-10T00:00:00,2000-07-16T00:00:00,Grass,32,350000,$,MS020,R32,01:40:00,,F,3,B446,"4-6,6-3,6-2",J. Bjorkman,A. Pretzsch,,,SWE,GER,4-6,6-3,6-2,,,01:40:00,,,275,/en/stats/leaderboard?page=serve,3,6,57,39,69,74,29,39,63,19,30,40,2,5,14,214,/en/stats/leaderboard?page=serve,8,5,40,33,83,76,25,33,40,20,50,55,6,11,13,70,48,69,46,38,83,57,86,152,54,45,83,30,21,69,43,66,152,A,,,,,J. Bjorkman,A. Pretzsch,B446,P353,SWE,GER,,
315,2000,Newport,WS,2000-07-10T00:00:00,2000-07-16T00:00:00,Grass,32,350000,$,MS021,R32,00:52:00,,F,2,V175,"6-1,6-2",C. Vinck,J. Morrison,,,GER,USA,6-1,6-2,,,,00:52:00,,,310,/en/stats/leaderboard?page=serve,2,1,73,32,44,88,28,32,50,6,12,100,1,1,8,192,/en/stats/leaderboard?page=serve,8,9,53,27,51,63,17,27,33,8,24,60,6,10,7,77,34,44,51,26,51,63,60,95,49,25,51,23,10,44,37,35,95,A,,,,,C. Vinck,J. Morrison,V175,M805,GER,USA,,
315,2000,Newport,WS,2000-07-10T00:00:00,2000-07-16T00:00:00,Grass,32,350000,$,MS022,R32,01:29:00,,F,2,W254,"6-7(2),7-5",P. Wessels,D. Nestor,,,NED,CAN,6-7(2),7-5,,,,01:29:00,2,7,295,/en/stats/leaderboard?page=serve,5,14,64,52,81,75,39,52,55,16,29,83,5,6,13,272,/en/stats/leaderboard?page=serve,2,2,65,55,84,69,38,55,55,16,29,71,5,7,12,68,55,81,36,30,84,52,85,165,64,54,84,32,26,81,48,80,165,A,,,,,P. Wessels,D. Nestor,W254,N210,NED,CAN,,
315,2000,Newport,WS,2000-07-10T00:00:00,2000-07-16T00:00:00,Grass,32,350000,$,MS023,R32,02:05:00,,F,3,P273,"7-6(7),3-6,6-3",D. Prinosil,H. Levy,,,GER,ISR,7-6(7),3-6,6-3,,,02:05:00,7,5,274,/en/stats/leaderboard?page=serve,17,10,43,44,103,91,40,44,54,32,59,83,5,6,15,264,/en/stats/leaderboard?page=serve,8,6,40,50,124,82,41,50,51,38,74,91,10,11,15,70,72,103,36,45,124,52,117,227,64,79,124,30,31,103,48,110,227,A,,,,,D. Prinosil,H. Levy,P273,L336,GER,ISR,,
315,2000,Newport,WS,2000-07-10T00:00:00,2000-07-16T00:00:00,Grass,32,350000,$,MS024,R32,02:09:00,,F,3,S331,"4-6,6-3,7-6(8)",J. Stoltenberg,N. Godwin,,,AUS,RSA,4-6,6-3,7-6(8),,,02:09:00,,,258,/en/stats/leaderboard?page=serve,3,7,46,41,89,85,35,41,48,23,48,20,1,5,16,226,/en/stats/leaderboard?page=serve,12,1,48,51,107,71,36,51,45,25,56,69,9,13,15,65,58,89,43,46,107,53,104,196,57,61,107,35,31,89,47,92,196,A,,,8,6,J. Stoltenberg,N. Godwin,S331,G288,AUS,RSA,,
