event_id,event_year,tourney_name,level,start_date,end_date,surface,singles_draw_size,prize_money,prize_money_currency,match_id,round,match_time_total,match_message,match_status,num_sets,winner_flag_raw,score_string,winner_player_name,loser_player_name,winner_seed,loser_seed,winner_country,loser_country,set1_score,set2_score,set3_score,set4_score,set5_score,match_date,tiebreak_set1_winner,tiebreak_set1_loser,serverating_tot_winner,serveratinglink_tot_winner,doublefaults_isstatbetter_tot_winner,aces_tot_winner,firstserve_percent_tot_winner,firstserve_dividend_tot_winner,firstserve_divisor_tot_winner,firstservepointswon_percent_tot_winner,firstservepointswon_dividend_tot_winner,firstservepointswon_divisor_tot_winner,secondservepointswon_percent_tot_winner,secondservepointswon_dividend_tot_winner,secondservepointswon_divisor_tot_winner,breakpointssaved_percent_tot_winner,breakpointssaved_dividend_tot_winner,breakpointssaved_divisor_tot_winner,servicegamesplayed_tot_winner,serverating_tot_loser,serveratinglink_tot_loser,doublefaults_tot_loser,aces_tot_loser,firstserve_percent_tot_loser,firstserve_dividend_tot_loser,firstserve_divisor_tot_loser,firstservepointswon_percent_tot_loser,firstservepointswon_dividend_tot_loser,firstservepointswon_divisor_tot_loser,secondservepointswon_percent_tot_loser,secondservepointswon_dividend_tot_loser,secondservepointswon_divisor_tot_loser,breakpointssaved_percent_tot_loser,breakpointssaved_dividend_tot_loser,breakpointssaved_divisor_tot_loser,servicegamesplayed_tot_loser,totalservicepointswon_percent_tot_winner,totalservicepointswon_dividend_tot_winner,totalservicepointswon_divisor_tot_winner,totalreturnpointswon_percent_tot_winner,totalreturnpointswon_dividend_tot_winner,totalreturnpointswon_divisor_tot_winner,totalpointswon_percent_tot_winner,totalpointswon_dividend_tot_winner,totalpointswon_divisor_tot_winner,totalservicepointswon_percent_tot_loser,totalservicepointswon_dividend_tot_loser,totalservicepointswon_divisor_tot_loser,totalreturnpointswon_percent_tot_loser,totalreturnpointswon_dividend_tot_loser,totalreturnpointswon_divisor_tot_loser,totalpointswon_percent_tot_loser,totalpointswon_dividend_tot_loser,totalpointswon_divisor_tot_loser,winner_flag,doublefaults_tot_winner,tiebreak_set2_winner,tiebreak_set2_loser,tiebreak_set3_winner,tiebreak_set3_loser,doublefaults_isstatbetter_tot_loser,player_winner,player_loser,player_id_winner,player_id_loser,country_winner,country_loser,seed_winner,seed_loser
422,1996,ATP Masters 1000 Cincinnati,1000,1996-08-05T00:00:00,1996-08-11T00:00:00,Hard,56,1950000,$,MS011,R16,01:37:00,,F,3,I034,"3-6,6-3,6-3",G. Ivanisevic,B. Karbacher,,,CRO,GER,3-6,6-3,6-3,,,01:37:00,,,293,/en/stats/leaderboard?page=serve,,22,46,36,79,89,32,36,49,21,43,83,5,6,13,268,/en/stats/leaderboard?page=serve,2,13,54,49,90,76,37,49,49,20,41,40,2,5,14,67,53,79,37,33,90,51,86,169,63,57,90,33,26,79,49,83,169,A,5,,,,,,G. Ivanisevic,B. Karbacher,I034,K190,CRO,GER,,
422,1996,ATP Masters 1000 Cincinnati,1000,1996-08-05T00:00:00,1996-08-11T00:00:00,Hard,56,1950000,$,MS012,R16,01:43:00,,F,3,A092,"6-7(5),6-3,6-0",A. Agassi,A. O'Brien,,,USA,USA,6-7(5),6-3,6-0,,,01:43:00,5,7,294,/en/stats/leaderboard?page=serve,,12,57,49,86,80,39,49,59,22,37,75,3,4,14,244,/en/stats/leaderboard?page=serve,4,10,67,63,94,65,41,63,45,14,31,38,3,8,13,71,61,86,41,39,94,56,100,180,59,55,94,29,25,86,44,80,180,A,6,,,,,,A. Agassi,A. O'Brien,A092,O099,USA,USA,,
422,1996,ATP Masters 1000 Cincinnati,1000,1996-08-05T00:00:00,1996-08-11T00:00:00,Hard,56,1950000,$,MS013,R16,02:06:00,,F,3,K267,"6-7(5),6-4,7-5",Y. Kafelnikov,C. Woodruff,,,RUS,USA,6-7(5),6-4,7-5,,,02:06:00,5,7,304,/en/stats/leaderboard?page=serve,,20,62,61,99,82,50,61,55,21,38,71,5,7,17,266,/en/stats/leaderboard?page=serve,3,11,65,74,114,69,51,74,48,19,40,60,6,10,17,72,71,99,39,44,114,54,115,213,61,70,114,28,28,99,46,98,213,A,3,,,,,,Y. Kafelnikov,C. Woodruff,K267,W212,RUS,USA,,
422,1996,ATP Masters 1000 Cincinnati,1000,1996-08-05T00:00:00,1996-08-11T00:00:00,Hard,56,1950000,$,MS014,R16,02:43:00,,F,3,F196,"7-6(11),6-7(4),6-2",W. Ferreira,J. Courier,,,RSA,USA,7-6(11),6-7(4),6-2,,,02:43:00,11,9,290,/en/stats/leaderboard?page=serve,,15,60,67,112,79,53,67,47,21,45,83,5,6,16,261,/en/stats/leaderboard?page=serve,7,3,59,63,106,67,42,63,58,25,43,63,5,8,16,66,74,112,37,39,106,52,113,218,63,67,106,34,38,112,48,105,218,A,4,4,7,,,,W. Ferreira,J. Courier,F196,C243,RSA,USA,,
422,1996,ATP Masters 1000 Cincinnati,1000,1996-08-05T00:00:00,1996-08-11T00:00:00,Hard,56,1950000,$,MS015,R16,00:54:00,,F,2,M099,"6-2,6-2",T. Muster,J. Stoltenberg,,,AUT,AUS,6-2,6-2,,,,00:54:00,,,203,/en/stats/leaderboard?page=serve,False,0,46,19,41,84,16,19,73,16,22,0,0,,8,203,/en/stats/leaderboard?page=serve,3,2,42,19,45,74,14,19,38,10,26,50,4,8,8,78,32,41,47,21,45,62,53,86,53,24,45,22,9,41,38,33,86,A,,,,,,,T. Muster,J. Stoltenberg,M099,S331,AUT,AUS,,
422,1996,ATP Masters 1000 Cincinnati,1000,1996-08-05T00:00:00,1996-08-11T00:00:00,Hard,56,1950000,$,MS016,R32,00:57:00,,F,2,S402,"6-3,6-4",P. Sampras,J. Hlasek,,,USA,SUI,6-3,6-4,,,,00:57:00,,,223,/en/stats/leaderboard?page=serve,,12,50,25,50,100,25,25,64,16,25,0,0,,10,266,/en/stats/leaderboard?page=serve,2,6,60,29,48,83,24,29,42,8,19,50,2,4,9,82,41,50,33,16,48,58,57,98,67,32,48,,0,,,0,,A,3,,,,,,P. Sampras,J. Hlasek,S402,H025,USA,SUI,,
422,1996,ATP Masters 1000 Cincinnati,1000,1996-08-05T00:00:00,1996-08-11T00:00:00,Hard,56,1950000,$,MS017,R32,01:45:00,,F,3,W035,"4-6,6-2,6-2",M. Woodforde,P. Korda,,,AUS,CZE,4-6,6-2,6-2,,,01:45:00,,,256,/en/stats/leaderboard?page=serve,,5,66,57,87,74,42,57,40,12,30,67,6,9,13,207,/en/stats/leaderboard?page=serve,2,1,53,41,77,63,26,41,39,14,36,33,3,9,13,62,54,87,48,37,77,55,91,164,52,40,77,38,33,87,45,73,164,A,5,,,,,,M. Woodforde,P. Korda,W035,K148,AUS,CZE,,
422,1996,ATP Masters 1000 Cincinnati,1000,1996-08-05T00:00:00,1996-08-11T00:00:00,Hard,56,1950000,$,MS018,R32,01:35:00,,F,2,E113,"6-3,7-6(7)",T. Enqvist,P. Rafter,,,SWE,AUS,6-3,7-6(7),,,,01:35:00,,,250,/en/stats/leaderboard?page=serve,,6,56,47,84,81,38,47,41,15,37,70,7,10,11,234,/en/stats/leaderboard?page=serve,2,7,55,38,69,66,25,38,48,15,31,43,3,7,10,63,53,84,42,29,69,54,82,153,58,40,69,37,31,84,46,71,153,A,6,7,4,,,,T. Enqvist,P. Rafter,E113,R255,SWE,AUS,,
422,1996,ATP Masters 1000 Cincinnati,1000,1996-08-05T00:00:00,1996-08-11T00:00:00,Hard,56,1950000,$,MS019,R32,01:35:00,,F,2,K214,"7-6(10),7-5",R. Krajicek,V. Spadea,,,NED,USA,7-6(10),7-5,,,,01:35:00,10,8,309,/en/stats/leaderboard?page=serve,,13,61,45,74,84,38,45,62,18,29,,0,,12,301,/en/stats/leaderboard?page=serve,2,5,68,54,80,74,40,54,65,17,26,50,1,2,12,76,56,74,29,23,80,51,79,154,71,57,80,24,18,74,49,75,154,A,2,,,,,,R. Krajicek,V. Spadea,K214,S544,NED,USA,,
422,1996,ATP Masters 1000 Cincinnati,1000,1996-08-05T00:00:00,1996-08-11T00:00:00,Hard,56,1950000,$,MS020,R32,01:54:00,,F,3,C274,"6-2,4-6,6-3",M. Chang,A. Medvedev,,,USA,UKR,6-2,4-6,6-3,,,01:54:00,,,252,/en/stats/leaderboard?page=serve,,4,43,37,86,84,31,37,49,24,49,63,5,8,14,221,/en/stats/leaderboard?page=serve,5,2,49,43,88,63,27,43,51,23,45,58,7,12,13,64,55,86,43,38,88,53,93,174,57,50,88,36,31,86,47,81,174,A,6,,,,,,M. Chang,A. Medvedev,C274,M475,USA,UKR,,
