event_id,event_year,tourney_name,level,start_date,end_date,surface,singles_draw_size,prize_money,prize_money_currency,match_id,round,match_time_total,match_message,match_status,num_sets,winner_flag_raw,score_string,winner_player_name,loser_player_name,winner_seed,loser_seed,winner_country,loser_country,set1_score,set2_score,set3_score,set4_score,set5_score,match_date,serverating_tot_winner,serveratinglink_tot_winner,doublefaults_isstatbetter_tot_winner,aces_tot_winner,firstserve_percent_tot_winner,firstserve_dividend_tot_winner,firstserve_divisor_tot_winner,firstservepointswon_percent_tot_winner,firstservepointswon_dividend_tot_winner,firstservepointswon_divisor_tot_winner,secondservepointswon_percent_tot_winner,secondservepointswon_dividend_tot_winner,secondservepointswon_divisor_tot_winner,breakpointssaved_percent_tot_winner,breakpointssaved_dividend_tot_winner,breakpointssaved_divisor_tot_winner,servicegamesplayed_tot_winner,serverating_tot_loser,serveratinglink_tot_loser,doublefaults_tot_loser,aces_tot_loser,firstserve_percent_tot_loser,firstserve_dividend_tot_loser,firstserve_divisor_tot_loser,firstservepointswon_percent_tot_loser,firstservepointswon_dividend_tot_loser,firstservepointswon_divisor_tot_loser,secondservepointswon_percent_tot_loser,secondservepointswon_dividend_tot_loser,secondservepointswon_divisor_tot_loser,breakpointssaved_percent_tot_loser,breakpointssaved_dividend_tot_loser,breakpointssaved_divisor_tot_loser,servicegamesplayed_tot_loser,totalservicepointswon_percent_tot_winner,totalservicepointswon_dividend_tot_winner,totalservicepointswon_divisor_tot_winner,totalreturnpointswon_percent_tot_winner,totalreturnpointswon_dividend_tot_winner,totalreturnpointswon_divisor_tot_winner,totalpointswon_percent_tot_winner,totalpointswon_dividend_tot_winner,totalpointswon_divisor_tot_winner,totalservicepointswon_percent_tot_loser,totalservicepointswon_dividend_tot_loser,totalservicepointswon_divisor_tot_loser,totalreturnpointswon_percent_tot_loser,totalreturnpointswon_dividend_tot_loser,totalreturnpointswon_divisor_tot_loser,totalpointswon_percent_tot_loser,totalpointswon_dividend_tot_loser,totalpointswon_divisor_tot_loser,winner_flag,doublefaults_isstatbetter_tot_loser,doublefaults_tot_winner,tiebreak_set3_winner,tiebreak_set3_loser,tiebreak_set1_winner,tiebreak_set1_loser,tiebreak_set2_winner,tiebreak_set2_loser,player_winner,player_loser,player_id_winner,player_id_loser,country_winner,country_loser,seed_winner,seed_loser
321,1997,Stuttgart-1,GP,1997-07-14T00:00:00,1997-07-20T00:00:00,Clay,48,915000,$,MS011,R16,01:16:00,,F,2,K237,"6-4,6-4",K. Kucera,M. Rios,,,SVK,CHI,6-4,6-4,,,,01:16:00,283,/en/stats/leaderboard?page=serve,,4,49,31,63,74,23,31,69,22,32,67,2,3,10,250,/en/stats/leaderboard?page=serve,1,1,68,45,66,60,27,45,52,11,21,63,5,8,10,71,45,63,42,28,66,57,73,129,58,38,66,29,18,63,43,56,129,A,,3,,,,,,,K. Kucera,M. Rios,K237,R286,SVK,CHI,,
321,1997,Stuttgart-1,GP,1997-07-14T00:00:00,1997-07-20T00:00:00,Clay,48,915000,$,MS012,R16,01:06:00,,F,2,B428,"7-5,7-5",A. Berasategui,G. Blanco,,,ESP,ESP,7-5,7-5,,,,01:06:00,280,/en/stats/leaderboard?page=serve,,4,85,51,60,73,37,51,44,4,9,0,0,3,12,215,/en/stats/leaderboard?page=serve,5,1,60,43,72,63,27,43,38,11,29,29,2,7,12,68,41,60,47,34,72,57,75,132,53,38,72,32,19,60,43,57,132,A,,1,,,,,,,A. Berasategui,G. Blanco,B428,B518,ESP,ESP,,
321,1997,Stuttgart-1,GP,1997-07-14T00:00:00,1997-07-20T00:00:00,Clay,48,915000,$,MS013,R16,01:24:00,,F,2,C344,"7-6(7),6-4",A. Corretja,M. Larsson,,,ESP,SWE,7-6(7),6-4,,,,01:24:00,305,/en/stats/leaderboard?page=serve,False,5,60,39,65,85,33,39,65,17,26,,0,,11,288,/en/stats/leaderboard?page=serve,1,5,69,47,68,77,36,47,48,10,21,67,2,3,11,77,50,65,32,22,68,54,72,133,68,46,68,23,15,65,46,61,133,A,,,,,7,4,,,A. Corretja,M. Larsson,C344,L206,ESP,SWE,,
321,1997,Stuttgart-1,GP,1997-07-14T00:00:00,1997-07-20T00:00:00,Clay,48,915000,$,MS015,R16,01:41:00,,F,3,K267,"4-6,6-3,6-2",Y. Kafelnikov,F. Clavet,,,RUS,ESP,4-6,6-3,6-2,,,01:41:00,268,/en/stats/leaderboard?page=serve,,2,50,40,80,75,30,40,60,24,40,33,1,3,14,249,/en/stats/leaderboard?page=serve,3,9,63,53,84,66,35,53,45,14,31,64,7,11,13,68,54,80,42,35,84,54,89,164,58,49,84,33,26,80,46,75,164,A,,4,,,,,,,Y. Kafelnikov,F. Clavet,K267,C252,RUS,ESP,,
321,1997,Stuttgart-1,GP,1997-07-14T00:00:00,1997-07-20T00:00:00,Clay,48,915000,$,MS016,R32,01:17:00,,F,2,P305,"6-4,7-5",A. Portas,T. Muster,,,ESP,AUT,6-4,7-5,,,,01:17:00,307,/en/stats/leaderboard?page=serve,,4,67,38,57,79,30,38,68,13,19,0,0,1,11,250,/en/stats/leaderboard?page=serve,3,3,55,41,75,76,31,41,47,16,34,57,4,7,11,75,43,57,37,28,75,54,71,132,63,47,75,25,14,57,46,61,132,A,,1,,,,,,,A. Portas,T. Muster,P305,M099,ESP,AUT,,
321,1997,Stuttgart-1,GP,1997-07-14T00:00:00,1997-07-20T00:00:00,Clay,48,915000,$,MS017,R32,01:40:00,,F,2,G247,"7-5,6-2",H. Gumy,B. Ulihrach,,,ARG,CZE,7-5,6-2,,,,01:40:00,260,/en/stats/leaderboard?page=serve,,5,60,41,68,71,29,41,48,13,27,75,6,8,10,194,/en/stats/leaderboard?page=serve,5,1,46,39,85,69,27,39,33,15,46,69,11,16,10,62,42,68,51,43,85,56,85,153,49,42,85,38,26,68,44,68,153,A,,4,,,,,,,H. Gumy,B. Ulihrach,G247,U032,ARG,CZE,,
321,1997,Stuttgart-1,GP,1997-07-14T00:00:00,1997-07-20T00:00:00,Clay,48,915000,$,MS018,R32,01:20:00,,F,2,M535,"6-4,6-4",F. Mantilla,F. Meligeni,,,ESP,BRA,6-4,6-4,,,,01:20:00,258,/en/stats/leaderboard?page=serve,,2,65,35,54,69,24,35,53,10,19,40,2,5,10,195,/en/stats/leaderboard?page=serve,3,3,49,33,67,58,19,33,38,13,34,44,4,9,10,63,34,54,52,35,67,57,69,121,48,32,67,37,20,54,43,52,121,A,,1,,,,,,,F. Mantilla,F. Meligeni,M535,M443,ESP,BRA,,
321,1997,Stuttgart-1,GP,1997-07-14T00:00:00,1997-07-20T00:00:00,Clay,48,915000,$,MS019,R32,02:02:00,,F,3,K293,"6-7(4),6-4,6-4",G. Kuerten,J. Knippschild,,,BRA,GER,6-7(4),6-4,6-4,,,02:02:00,279,/en/stats/leaderboard?page=serve,,10,55,59,107,71,42,59,58,28,48,60,3,5,16,262,/en/stats/leaderboard?page=serve,2,15,47,51,108,73,37,51,54,31,57,50,4,8,16,65,70,107,37,40,108,51,110,215,63,68,108,35,37,107,49,105,215,A,,2,,,4,7,,,G. Kuerten,J. Knippschild,K293,K260,BRA,GER,,
321,1997,Stuttgart-1,GP,1997-07-14T00:00:00,1997-07-20T00:00:00,Clay,48,915000,$,MS020,R32,01:40:00,,F,3,B350,"7-6(7),3-6,6-1",S. Bruguera,F. Dewulf,,,ESP,BEL,7-6(7),3-6,6-1,,,01:40:00,285,/en/stats/leaderboard?page=serve,,4,49,38,77,84,32,38,64,25,39,50,2,4,14,261,/en/stats/leaderboard?page=serve,4,6,53,47,88,79,37,47,49,20,41,57,4,7,14,74,57,77,35,31,88,53,88,165,65,57,88,26,20,77,47,77,165,A,,1,,,7,5,,,S. Bruguera,F. Dewulf,B350,D228,ESP,BEL,,
321,1997,Stuttgart-1,GP,1997-07-14T00:00:00,1997-07-20T00:00:00,Clay,48,915000,$,MS021,R32,01:24:00,,F,3,F196,"3-6,6-0,6-4",W. Ferreira,M. Sinner,,,RSA,GER,3-6,6-0,6-4,,,01:24:00,280,/en/stats/leaderboard?page=serve,,6,47,33,70,76,25,33,62,23,37,50,1,2,12,243,/en/stats/leaderboard?page=serve,4,4,59,44,75,73,32,44,42,13,31,43,3,7,13,69,48,70,40,30,75,54,78,145,60,45,75,31,22,70,46,67,145,A,,2,,,,,,,W. Ferreira,M. Sinner,F196,S367,RSA,GER,,
321,1997,Stuttgart-1,GP,1997-07-14T00:00:00,1997-07-20T00:00:00,Clay,48,915000,$,MS022,R32,01:04:00,,F,2,K237,"6-2,6-4",K. Kucera,A. Medvedev,,,SVK,UKR,6-2,6-4,,,,01:04:00,210,/en/stats/leaderboard?page=serve,,2,61,31,51,84,26,31,65,13,20,0,0,,9,229,/en/stats/leaderboard?page=serve,5,2,55,35,64,63,22,35,48,14,29,70,7,10,9,76,39,51,44,28,64,58,67,115,56,36,64,24,12,51,42,48,115,A,,2,,,,,,,K. Kucera,A. Medvedev,K237,M475,SVK,UKR,,
321,1997,Stuttgart-1,GP,1997-07-14T00:00:00,1997-07-20T00:00:00,Clay,48,915000,$,MS023,R32,00:53:00,,F,2,R286,"6-2,6-3",M. Rios,J. Sanchez,,,CHI,ESP,6-2,6-3,,,,00:53:00,306,/en/stats/leaderboard?page=serve,,5,65,28,43,82,23,28,67,10,15,0,0,1,9,217,/en/stats/leaderboard?page=serve,2,5,69,33,48,55,18,33,40,6,15,43,3,7,8,77,33,43,50,24,48,63,57,91,50,24,48,23,10,43,37,34,91,A,,1,,,,,,,M. Rios,J. Sanchez,R286,S015,CHI,ESP,,
321,1997,Stuttgart-1,GP,1997-07-14T00:00:00,1997-07-20T00:00:00,Clay,48,915000,$,MS024,R32,02:12:00,,F,3,B518,"4-6,7-6(7),7-5",G. Blanco,C. Moya,,,ESP,ESP,4-6,7-6(7),7-5,,,02:12:00,263,/en/stats/leaderboard?page=serve,,2,56,65,117,72,47,65,54,28,52,73,8,11,17,276,/en/stats/leaderboard?page=serve,2,12,61,67,110,72,48,67,51,22,43,57,4,7,17,64,75,117,36,40,110,51,115,227,64,70,110,36,42,117,49,112,227,A,,3,,,,,7,3,G. Blanco,C. Moya,B518,M605,ESP,ESP,,
321,1997,Stuttgart-1,GP,1997-07-14T00:00:00,1997-07-20T00:00:00,Clay,48,915000,$,MS025,R32,01:02:00,,F,2,B428,"6-4,6-2",A. Berasategui,F. Vicente,,,ESP,ESP,6-4,6-2,,,,01:02:00,281,/en/stats/leaderboard?page=serve,,1,81,48,59,67,32,48,45,5,11,80,4,5,9,236,/en/stats/leaderboard?page=serve,,0,75,43,57,49,21,43,57,8,14,20,1,5,9,63,37,59,49,28,57,56,65,116,51,29,57,37,22,59,44,51,116,A,False,1,,,,,,,A. Berasategui,F. Vicente,B428,V195,ESP,ESP,,
