event_id,event_year,tourney_name,level,start_date,end_date,surface,singles_draw_size,prize_money,prize_money_currency,match_id,round,match_time_total,match_message,match_status,num_sets,winner_flag_raw,score_string,winner_player_name,loser_player_name,winner_seed,loser_seed,winner_country,loser_country,set1_score,set2_score,set3_score,set4_score,set5_score,match_date,winner_flag,player_winner,player_loser,country_winner,country_loser,seed_winner,seed_loser,serverating_tot_winner,serveratinglink_tot_winner,doublefaults_tot_winner,aces_tot_winner,firstserve_percent_tot_winner,firstserve_dividend_tot_winner,firstserve_divisor_tot_winner,firstservepointswon_percent_tot_winner,firstservepointswon_dividend_tot_winner,firstservepointswon_divisor_tot_winner,secondservepointswon_percent_tot_winner,secondservepointswon_dividend_tot_winner,secondservepointswon_divisor_tot_winner,breakpointssaved_percent_tot_winner,breakpointssaved_dividend_tot_winner,breakpointssaved_divisor_tot_winner,servicegamesplayed_tot_winner,serverating_tot_loser,serveratinglink_tot_loser,doublefaults_tot_loser,aces_tot_loser,firstserve_percent_tot_loser,firstserve_dividend_tot_loser,firstserve_divisor_tot_loser,firstservepointswon_percent_tot_loser,firstservepointswon_dividend_tot_loser,firstservepointswon_divisor_tot_loser,secondservepointswon_percent_tot_loser,secondservepointswon_dividend_tot_loser,secondservepointswon_divisor_tot_loser,breakpointssaved_percent_tot_loser,breakpointssaved_dividend_tot_loser,breakpointssaved_divisor_tot_loser,servicegamesplayed_tot_loser,totalservicepointswon_percent_tot_winner,totalservicepointswon_dividend_tot_winner,totalservicepointswon_divisor_tot_winner,totalreturnpointswon_percent_tot_winner,totalreturnpointswon_dividend_tot_winner,totalreturnpointswon_divisor_tot_winner,totalpointswon_percent_tot_winner,totalpointswon_dividend_tot_winner,totalpointswon_divisor_tot_winner,totalservicepointswon_percent_tot_loser,totalservicepointswon_dividend_tot_loser,totalservicepointswon_divisor_tot_loser,totalreturnpointswon_percent_tot_loser,totalreturnpointswon_dividend_tot_loser,totalreturnpointswon_divisor_tot_loser,totalpointswon_percent_tot_loser,totalpointswon_dividend_tot_loser,totalpointswon_divisor_tot_loser,tiebreak_set1_winner,tiebreak_set1_loser,tiebreak_set2_winner,tiebreak_set2_loser,settime_tot_winner,settime_tot_loser,tiebreak_set4_winner,tiebreak_set4_loser,tiebreak_set3_winner,tiebreak_set3_loser,player_id_winner,player_id_loser
580,2013,Australian Open,GS,2013-01-14T00:00:00,2013-01-27T00:00:00,Hard,128,13803160,A$,MS021,R32,02:06:00,,F,3,N552,"7-6(7),6-2,6-3",K. Nishikori,E. Donskoy,,,JPN,RUS,7-6(7),6-2,6-3,,,02:06:00,A,K. Nishikori,E. Donskoy,JPN,RUS,,,309,/en/stats/leaderboard?page=serve,1,7,68,66,97,77,51,66,65,20,31,75,3,4,15,240,/en/stats/leaderboard?page=serve,1,5,55,51,92,69,35,51,41,17,41,43,3,7,14,73,71,97,43,40,92,59,111,189,57,52,92,27,26,97,41,78,189,7,3,,,02:06:00,02:06:00,,,,,N552,D864
580,2013,Australian Open,GS,2013-01-14T00:00:00,2013-01-27T00:00:00,Hard,128,13803160,A$,MS022,R32,02:05:00,,F,3,A479,"7-6(7),7-6(7),6-1",N. Almagro,J. Janowicz,,,ESP,POL,7-6(7),7-6(7),6-1,,,02:05:00,A,N. Almagro,J. Janowicz,ESP,POL,,,333,/en/stats/leaderboard?page=serve,0,18,56,51,91,86,44,51,73,29,40,0,0,0,16,287,/en/stats/leaderboard?page=serve,2,11,69,66,96,80,53,66,43,13,30,78,7,9,15,80,73,91,31,30,96,55,103,187,69,66,96,20,18,91,45,84,187,7,3,7,4,02:05:00,02:05:00,,,,,A479,J397
580,2013,Australian Open,GS,2013-01-14T00:00:00,2013-01-27T00:00:00,Hard,128,13803160,A$,MS023,R32,03:29:00,,F,5,T742,"3-6,6-4,2-6,6-4,6-3",J. Tipsarevic,J. Benneteau,,,SRB,FRA,3-6,6-4,2-6,6-4,6-3,03:29:00,A,J. Tipsarevic,J. Benneteau,SRB,FRA,,,288,/en/stats/leaderboard?page=serve,1,13,53,68,129,68,46,68,69,42,61,25,1,4,23,284,/en/stats/leaderboard?page=serve,3,12,63,92,145,73,67,92,53,28,53,70,7,10,23,68,88,129,34,50,145,50,138,274,66,95,145,32,41,129,50,136,274,,,,,03:29:00,03:29:00,,,,,T742,B747
580,2013,Australian Open,GS,2013-01-14T00:00:00,2013-01-27T00:00:00,Hard,128,13803160,A$,MS024,R32,03:45:00,,F,5,CA12,"6-3,6-3,6-7(3),3-6,6-3",J. Chardy,J. del Potro,,,FRA,ARG,6-3,6-3,6-7(3),3-6,6-3,03:45:00,A,J. Chardy,J. del Potro,FRA,ARG,,,291,/en/stats/leaderboard?page=serve,7,19,58,93,159,78,73,93,52,34,66,71,5,7,24,281,/en/stats/leaderboard?page=serve,3,13,67,100,149,74,74,100,51,25,49,71,12,17,24,67,107,159,34,50,149,51,157,308,66,99,149,33,52,159,49,151,308,,,,,03:45:00,03:45:00,,,3,7,CA12,D683
580,2013,Australian Open,GS,2013-01-14T00:00:00,2013-01-27T00:00:00,Hard,128,13803160,A$,MS025,R32,03:38:00,,F,5,SA93,"6-7(2),6-3,2-6,6-4,6-2",A. Seppi,M. Cilic,,,ITA,CRO,6-7(2),6-3,2-6,6-4,6-2,03:38:00,A,A. Seppi,M. Cilic,ITA,CRO,,,240,/en/stats/leaderboard?page=serve,5,5,56,90,162,71,64,90,43,31,72,63,12,19,24,234,/en/stats/leaderboard?page=serve,5,13,50,68,136,75,51,68,41,28,68,47,8,17,23,59,95,162,42,57,136,51,152,298,58,79,136,41,67,162,49,146,298,2,7,,,03:38:00,03:38:00,,,,,SA93,C977
580,2013,Australian Open,GS,2013-01-14T00:00:00,2013-01-27T00:00:00,Hard,128,13803160,A$,MS026,R32,04:43:00,,F,5,SD32,"6-4,6-4,4-6,1-6,8-6",G. Simon,G. Monfils,,,FRA,FRA,6-4,6-4,4-6,1-6,8-6,04:43:00,A,G. Simon,G. Monfils,FRA,FRA,,,240,/en/stats/leaderboard?page=serve,4,0,69,125,182,56,70,125,54,31,57,64,16,25,26,243,/en/stats/leaderboard?page=serve,11,9,67,111,166,68,75,111,42,23,55,68,17,25,25,55,101,182,41,68,166,49,169,348,59,98,166,45,81,182,51,179,348,,,,,04:43:00,04:43:00,,,,,SD32,MC65
580,2013,Australian Open,GS,2013-01-14T00:00:00,2013-01-27T00:00:00,Hard,128,13803160,A$,MS027,R32,02:12:00,,F,3,MC10,"6-3,6-4,7-5",A. Murray,R. Berankis,,,GBR,LTU,6-3,6-4,7-5,,,02:12:00,A,A. Murray,R. Berankis,GBR,LTU,,,273,/en/stats/leaderboard?page=serve,0,15,68,77,114,71,55,77,38,14,37,75,9,12,16,223,/en/stats/leaderboard?page=serve,3,6,57,50,87,62,31,50,41,15,37,54,7,13,15,61,69,114,47,41,87,55,110,201,53,46,87,39,45,114,45,91,201,,,,,02:12:00,02:12:00,,,,,MC10,BE90
580,2013,Australian Open,GS,2013-01-14T00:00:00,2013-01-27T00:00:00,Hard,128,13803160,A$,MS028,R32,01:19:00,,F,3,T786,"6-2,6-1,6-4",J. Tsonga,B. Kavcic,,,FRA,SLO,6-2,6-1,6-4,,,01:19:00,A,J. Tsonga,B. Kavcic,FRA,SLO,,,310,/en/stats/leaderboard?page=serve,0,7,71,49,69,76,37,49,65,13,20,80,4,5,12,211,/en/stats/leaderboard?page=serve,4,1,68,50,74,42,21,50,58,14,24,22,2,9,13,72,50,69,53,39,74,62,89,143,47,35,74,28,19,69,38,54,143,,,,,01:19:00,01:19:00,,,,,T786,K834
580,2013,Australian Open,GS,2013-01-14T00:00:00,2013-01-27T00:00:00,Hard,128,13803160,A$,MS029,R32,02:25:00,,F,4,G628,"4-6,6-3,7-6(7),6-0",R. Gasquet,I. Dodig,,,FRA,CRO,4-6,6-3,7-6(7),6-0,,02:25:00,A,R. Gasquet,I. Dodig,FRA,CRO,,,291,/en/stats/leaderboard?page=serve,1,11,56,63,112,87,55,63,49,24,49,60,3,5,19,247,/en/stats/leaderboard?page=serve,3,9,55,63,114,67,42,63,47,24,51,62,8,13,18,71,79,112,42,48,114,56,127,226,58,66,114,29,33,112,44,99,226,,,,,02:25:00,02:25:00,,,7,2,G628,D646
580,2013,Australian Open,GS,2013-01-14T00:00:00,2013-01-27T00:00:00,Hard,128,13803160,A$,MS030,R32,01:52:00,,F,3,R975,"7-6(7),6-3,6-4",M. Raonic,P. Kohlschreiber,,,CAN,GER,7-6(7),6-3,6-4,,,01:52:00,A,M. Raonic,P. Kohlschreiber,CAN,GER,,,346,/en/stats/leaderboard?page=serve,1,23,65,56,86,82,46,56,77,23,30,0,0,0,16,275,/en/stats/leaderboard?page=serve,3,5,51,48,94,71,34,48,65,30,46,50,2,4,15,80,69,86,32,30,94,55,99,180,68,64,94,20,17,86,45,81,180,7,4,,,01:52:00,01:52:00,,,,,R975,K435
