event_id,event_year,tourney_name,level,start_date,end_date,surface,singles_draw_size,prize_money,prize_money_currency,match_id,round,match_time_total,match_message,match_status,num_sets,winner_flag_raw,score_string,winner_player_name,loser_player_name,winner_seed,loser_seed,winner_country,loser_country,set1_score,set2_score,set3_score,set4_score,set5_score,match_date,serverating_tot_winner,serveratinglink_tot_winner,doublefaults_isstatbetter_tot_winner,aces_tot_winner,firstserve_percent_tot_winner,firstserve_dividend_tot_winner,firstserve_divisor_tot_winner,firstservepointswon_percent_tot_winner,firstservepointswon_dividend_tot_winner,firstservepointswon_divisor_tot_winner,secondservepointswon_percent_tot_winner,secondservepointswon_dividend_tot_winner,secondservepointswon_divisor_tot_winner,breakpointssaved_dividend_tot_winner,servicegamesplayed_tot_winner,serverating_tot_loser,serveratinglink_tot_loser,doublefaults_tot_loser,aces_tot_loser,firstserve_percent_tot_loser,firstserve_dividend_tot_loser,firstserve_divisor_tot_loser,firstservepointswon_percent_tot_loser,firstservepointswon_dividend_tot_loser,firstservepointswon_divisor_tot_loser,secondservepointswon_percent_tot_loser,secondservepointswon_dividend_tot_loser,secondservepointswon_divisor_tot_loser,breakpointssaved_percent_tot_loser,breakpointssaved_dividend_tot_loser,breakpointssaved_divisor_tot_loser,servicegamesplayed_tot_loser,totalservicepointswon_percent_tot_winner,totalservicepointswon_dividend_tot_winner,totalservicepointswon_divisor_tot_winner,totalreturnpointswon_percent_tot_winner,totalreturnpointswon_dividend_tot_winner,totalreturnpointswon_divisor_tot_winner,totalpointswon_percent_tot_winner,totalpointswon_dividend_tot_winner,totalpointswon_divisor_tot_winner,totalservicepointswon_percent_tot_loser,totalservicepointswon_dividend_tot_loser,totalservicepointswon_divisor_tot_loser,totalreturnpointswon_percent_tot_loser,totalreturnpointswon_dividend_tot_loser,totalreturnpointswon_divisor_tot_loser,totalpointswon_percent_tot_loser,totalpointswon_dividend_tot_loser,totalpointswon_divisor_tot_loser,winner_flag,doublefaults_tot_winner,breakpointssaved_percent_tot_winner,breakpointssaved_divisor_tot_winner,tiebreak_set2_winner,tiebreak_set2_loser,tiebreak_set1_winner,tiebreak_set1_loser,doublefaults_isstatbetter_tot_loser,tiebreak_set3_winner,tiebreak_set3_loser,player_winner,player_loser,player_id_winner,player_id_loser,country_winner,country_loser,seed_winner,seed_loser
314,1997,Gstaad,GP,1997-07-07T00:00:00,1997-07-13T00:00:00,Clay,32,525000,$,MS021,R32,01:24:00,,F,3,S015,"3-6,6-3,6-3",J. Sanchez,B. Madsen,,,ESP,HAI,3-6,6-3,6-3,,,01:24:00,316,/en/stats/leaderboard?page=serve,,7,57,37,65,84,31,37,79,22,28,2,13,267,/en/stats/leaderboard?page=serve,3,9,45,32,71,84,27,32,54,21,39,40,2,5,14,82,53,65,32,23,71,56,76,136,68,48,71,18,12,65,44,60,136,A,3,67,3,,,,,,,,J. Sanchez,B. Madsen,S015,M451,ESP,HAI,,
314,1997,Gstaad,GP,1997-07-07T00:00:00,1997-07-13T00:00:00,Clay,32,525000,$,MS022,R32,00:59:00,,F,2,B518,"6-3,6-2",G. Blanco,B. Ulihrach,,,ESP,CZE,6-3,6-2,,,,00:59:00,227,/en/stats/leaderboard?page=serve,,5,53,31,59,84,26,31,64,18,28,0,9,220,/en/stats/leaderboard?page=serve,7,4,45,26,58,69,18,26,47,15,32,57,4,7,8,75,44,59,43,25,58,59,69,117,57,33,58,25,15,59,41,48,117,A,1,,,,,,,,,,G. Blanco,B. Ulihrach,B518,U032,ESP,CZE,,
314,1997,Gstaad,GP,1997-07-07T00:00:00,1997-07-13T00:00:00,Clay,32,525000,$,MS023,R32,01:05:00,,F,2,M535,"7-5,6-1",F. Mantilla,L. Arnold Ker,,,ESP,ARG,7-5,6-1,,,,01:05:00,242,/en/stats/leaderboard?page=serve,,1,66,39,59,64,25,39,45,9,20,1,10,162,/en/stats/leaderboard?page=serve,6,2,49,26,53,65,17,26,19,5,27,54,7,13,9,58,34,59,58,31,53,58,65,112,42,22,53,42,25,59,42,47,112,A,4,25,4,,,,,,,,F. Mantilla,L. Arnold Ker,M535,A228,ESP,ARG,,
314,1997,Gstaad,GP,1997-07-07T00:00:00,1997-07-13T00:00:00,Clay,32,525000,$,MS024,R32,01:27:00,,F,3,R016,"6-2,1-6,6-4",R. Reneberg,A. Costa,,,USA,ESP,6-2,1-6,6-4,,,01:27:00,252,/en/stats/leaderboard?page=serve,,12,49,43,87,86,37,43,36,16,44,3,13,266,/en/stats/leaderboard?page=serve,4,2,67,48,72,63,30,48,63,15,24,40,2,5,12,61,53,87,38,27,72,50,80,159,63,45,72,39,34,87,50,79,159,A,7,50,6,,,,,,,,R. Reneberg,A. Costa,R016,C378,USA,ESP,,
314,1997,Gstaad,GP,1997-07-07T00:00:00,1997-07-13T00:00:00,Clay,32,525000,$,MS025,R32,02:04:00,,F,3,K316,"2-6,7-6(7),6-4",N. Kiefer,T. Champion,,,GER,FRA,2-6,7-6(7),6-4,,,02:04:00,242,/en/stats/leaderboard?page=serve,,6,47,45,96,76,34,45,47,24,51,6,15,255,/en/stats/leaderboard?page=serve,1,2,50,45,90,64,29,45,60,27,45,63,5,8,15,60,58,96,38,34,90,49,92,186,62,56,90,40,38,96,51,94,186,A,7,60,10,7,0,,,,,,N. Kiefer,T. Champion,K316,C028,GER,FRA,,
314,1997,Gstaad,GP,1997-07-07T00:00:00,1997-07-13T00:00:00,Clay,32,525000,$,MS026,R32,01:23:00,,F,2,V161,"6-3,6-4",J. Viloca-Puig,I. Heuberger,,,ESP,SUI,6-3,6-4,,,,01:23:00,251,/en/stats/leaderboard?page=serve,,4,62,41,66,76,31,41,60,15,25,0,10,253,/en/stats/leaderboard?page=serve,6,12,52,32,62,78,25,32,40,12,30,33,1,3,9,70,46,66,40,25,62,55,71,128,60,37,62,30,20,66,45,57,128,A,1,,,,,,,,,,J. Viloca-Puig,I. Heuberger,V161,H380,ESP,SUI,,
314,1997,Gstaad,GP,1997-07-07T00:00:00,1997-07-13T00:00:00,Clay,32,525000,$,MS027,R32,01:11:00,,F,2,R286,"6-4,6-2",M. Rios,J. Oncins,,,CHI,BRA,6-4,6-2,,,,01:11:00,253,/en/stats/leaderboard?page=serve,,5,55,32,58,66,21,32,54,14,26,4,9,195,/en/stats/leaderboard?page=serve,6,4,52,32,61,63,20,32,38,11,29,62,8,13,9,60,35,58,49,30,61,55,65,119,51,31,61,40,23,58,45,54,119,A,4,67,6,,,,,,,,M. Rios,J. Oncins,R286,O076,CHI,BRA,,
314,1997,Gstaad,GP,1997-07-07T00:00:00,1997-07-13T00:00:00,Clay,32,525000,$,MS028,R32,01:03:00,,F,2,B428,"6-3,6-4",A. Berasategui,D. Vacek,,,ESP,CZE,6-3,6-4,,,,01:03:00,286,/en/stats/leaderboard?page=serve,,1,72,46,64,74,34,46,56,10,18,6,10,235,/en/stats/leaderboard?page=serve,7,3,61,38,62,66,25,38,46,11,24,63,5,8,9,69,44,64,42,26,62,56,70,126,58,36,62,31,20,64,44,56,126,A,7,86,7,,,,,,,,A. Berasategui,D. Vacek,B428,V141,ESP,CZE,,
314,1997,Gstaad,GP,1997-07-07T00:00:00,1997-07-13T00:00:00,Clay,32,525000,$,MS029,R32,01:49:00,,F,3,F192,"5-7,6-0,6-4",R. Furlan,M. Goellner,,,ITA,GER,5-7,6-0,6-4,,,01:49:00,293,/en/stats/leaderboard?page=serve,,7,62,55,89,73,40,55,62,21,34,6,14,238,/en/stats/leaderboard?page=serve,14,14,48,49,103,73,36,49,46,25,54,67,8,12,14,69,61,89,41,42,103,54,103,192,59,61,103,31,28,89,46,89,192,A,3,86,7,,,,,,,,R. Furlan,M. Goellner,F192,G252,ITA,GER,,
314,1997,Gstaad,GP,1997-07-07T00:00:00,1997-07-13T00:00:00,Clay,32,525000,$,MS030,R32,02:13:00,,F,3,P226,"3-6,6-2,7-6(9)",C. Pioline,F. Santoro,,,FRA,FRA,3-6,6-2,7-6(9),,,02:13:00,274,/en/stats/leaderboard?page=serve,,5,68,66,97,73,48,66,52,16,31,4,14,246,/en/stats/leaderboard?page=serve,6,8,48,55,115,80,44,55,43,26,60,60,6,10,15,66,64,97,39,45,115,51,109,212,61,70,115,34,33,97,49,103,212,A,2,57,7,,,,,,9,7,C. Pioline,F. Santoro,P226,S424,FRA,FRA,,
314,1997,Gstaad,GP,1997-07-07T00:00:00,1997-07-13T00:00:00,Clay,32,525000,$,MS031,R32,01:14:00,,F,2,C344,"6-3,7-5",A. Corretja,J. Novak,,,ESP,CZE,6-3,7-5,,,,01:14:00,269,/en/stats/leaderboard?page=serve,,3,49,27,55,85,23,27,54,15,28,1,11,222,/en/stats/leaderboard?page=serve,4,2,58,37,64,76,28,37,30,8,27,60,6,10,10,69,38,55,44,28,64,55,66,119,56,36,64,31,17,55,45,53,119,A,3,33,3,,,,,,,,A. Corretja,J. Novak,C344,N254,ESP,CZE,,
