event_id,event_year,tourney_name,level,start_date,end_date,surface,singles_draw_size,prize_money,prize_money_currency,match_id,round,match_time_total,match_message,match_status,num_sets,winner_flag_raw,score_string,winner_player_name,loser_player_name,winner_seed,loser_seed,winner_country,loser_country,set1_score,set2_score,set3_score,set4_score,set5_score,match_date,winner_flag,player_winner,player_loser,country_winner,country_loser,seed_winner,seed_loser,tiebreak_set1_winner,tiebreak_set1_loser,tiebreak_set2_winner,tiebreak_set2_loser,serverating_tot_winner,serveratinglink_tot_winner,doublefaults_tot_winner,aces_tot_winner,firstserve_percent_tot_winner,firstserve_dividend_tot_winner,firstserve_divisor_tot_winner,firstservepointswon_percent_tot_winner,firstservepointswon_dividend_tot_winner,firstservepointswon_divisor_tot_winner,secondservepointswon_percent_tot_winner,secondservepointswon_dividend_tot_winner,secondservepointswon_divisor_tot_winner,breakpointssaved_percent_tot_winner,breakpointssaved_dividend_tot_winner,breakpointssaved_divisor_tot_winner,servicegamesplayed_tot_winner,serverating_tot_loser,serveratinglink_tot_loser,doublefaults_tot_loser,aces_tot_loser,firstserve_percent_tot_loser,firstserve_dividend_tot_loser,firstserve_divisor_tot_loser,firstservepointswon_percent_tot_loser,firstservepointswon_dividend_tot_loser,firstservepointswon_divisor_tot_loser,secondservepointswon_percent_tot_loser,secondservepointswon_dividend_tot_loser,secondservepointswon_divisor_tot_loser,breakpointssaved_percent_tot_loser,breakpointssaved_dividend_tot_loser,breakpointssaved_divisor_tot_loser,servicegamesplayed_tot_loser,totalservicepointswon_percent_tot_winner,totalservicepointswon_dividend_tot_winner,totalservicepointswon_divisor_tot_winner,totalreturnpointswon_percent_tot_winner,totalreturnpointswon_dividend_tot_winner,totalreturnpointswon_divisor_tot_winner,totalpointswon_percent_tot_winner,totalpointswon_dividend_tot_winner,totalpointswon_divisor_tot_winner,totalservicepointswon_percent_tot_loser,totalservicepointswon_dividend_tot_loser,totalservicepointswon_divisor_tot_loser,totalreturnpointswon_percent_tot_loser,totalreturnpointswon_dividend_tot_loser,totalreturnpointswon_divisor_tot_loser,totalpointswon_percent_tot_loser,totalpointswon_dividend_tot_loser,totalpointswon_divisor_tot_loser,tiebreak_set3_winner,tiebreak_set3_loser,player_id_winner,player_id_loser
422,2010,ATP Masters 1000 Cincinnati,1000,2010-08-15T00:00:00,2010-08-22T00:00:00,Hard,56,2430000,$,MS046,R64,02:35:00,,F,3,G569,"6-7(3),7-6(7),6-2",R. Ginepri,S. Devvarman,,,USA,IND,6-7(3),7-6(7),6-2,,,02:35:00,A,R. Ginepri,S. Devvarman,USA,IND,,,3.0,7.0,7.0,4.0,269,/en/stats/leaderboard?page=serve,3,3,65,74,113,64,47,74,59,23,39,73,8,11,16,238,/en/stats/leaderboard?page=serve,3,6,57,64,113,75,48,64,35,17,49,62,8,13,16,62,70,113,42,48,113,52,118,226,58,65,113,38,43,113,48,108,226,,,G569,D616
422,2010,ATP Masters 1000 Cincinnati,1000,2010-08-15T00:00:00,2010-08-22T00:00:00,Hard,56,2430000,$,MS049,R64,01:44:00,,F,2,F339,"7-6(7),7-5",M. Fish,G. Simon,,,USA,FRA,7-6(7),7-5,,,,01:44:00,A,M. Fish,G. Simon,USA,FRA,,,7.0,4.0,,,293,/en/stats/leaderboard?page=serve,2,12,56,43,77,86,37,43,50,17,34,67,2,3,12,285,/en/stats/leaderboard?page=serve,1,10,59,40,68,80,32,40,54,15,28,33,1,3,12,70,54,77,31,21,68,52,75,145,69,47,68,30,23,77,48,70,145,,,F339,SD32
422,2010,ATP Masters 1000 Cincinnati,1000,2010-08-15T00:00:00,2010-08-22T00:00:00,Hard,56,2430000,$,MS050,R64,02:28:00,,F,3,B678,"6-7(4),6-4,7-6(10)",M. Berrer,T. Robredo,,,GER,ESP,6-7(4),6-4,7-6(10),,,02:28:00,A,M. Berrer,T. Robredo,GER,ESP,,,4.0,7.0,,,288,/en/stats/leaderboard?page=serve,3,11,62,66,106,80,53,66,50,20,40,33,1,3,17,291,/en/stats/leaderboard?page=serve,4,7,70,79,113,65,51,79,71,24,34,63,5,8,17,69,73,106,34,38,113,51,111,219,66,75,113,31,33,106,49,108,219,10.0,8.0,B678,R419
422,2010,ATP Masters 1000 Cincinnati,1000,2010-08-15T00:00:00,2010-08-22T00:00:00,Hard,56,2430000,$,MS051,R64,01:45:00,,F,3,G628,"2-6,6-4,6-1",R. Gasquet,M. Youzhny,,,FRA,RUS,2-6,6-4,6-1,,,01:45:00,A,R. Gasquet,M. Youzhny,FRA,RUS,,,,,,,293,/en/stats/leaderboard?page=serve,0,8,63,44,70,73,32,44,65,17,26,60,3,5,13,254,/en/stats/leaderboard?page=serve,2,2,63,44,70,66,29,44,50,13,26,40,2,5,12,70,49,70,40,28,70,55,77,140,60,42,70,30,21,70,45,63,140,,,G628,Y061
422,2010,ATP Masters 1000 Cincinnati,1000,2010-08-15T00:00:00,2010-08-22T00:00:00,Hard,56,2430000,$,MS052,R64,00:58:00,,F,2,M762,"6-1,6-4",J. Melzer,S. Giraldo,,,AUT,COL,6-1,6-4,,,,00:58:00,A,J. Melzer,S. Giraldo,AUT,COL,,,,,,,302,/en/stats/leaderboard?page=serve,1,9,62,31,50,81,25,31,63,12,19,75,3,4,9,198,/en/stats/leaderboard?page=serve,4,4,58,30,52,63,19,30,27,6,22,43,3,7,8,74,37,50,52,27,52,63,64,102,48,25,52,26,13,50,37,38,102,,,M762,G725
422,2010,ATP Masters 1000 Cincinnati,1000,2010-08-15T00:00:00,2010-08-22T00:00:00,Hard,56,2430000,$,MS053,R64,01:22:00,,F,2,G858,"7-6(7),6-4",E. Gulbis,D. Young,,,LAT,USA,7-6(7),6-4,,,,01:22:00,A,E. Gulbis,D. Young,LAT,USA,,,7.0,5.0,,,290,/en/stats/leaderboard?page=serve,4,11,63,40,64,85,34,40,54,13,24,33,1,3,11,260,/en/stats/leaderboard?page=serve,7,6,61,40,66,70,28,40,58,15,26,0,0,3,11,73,47,64,35,23,66,54,70,130,65,43,66,27,17,64,46,60,130,,,G858,Y124
422,2010,ATP Masters 1000 Cincinnati,1000,2010-08-15T00:00:00,2010-08-22T00:00:00,Hard,56,2430000,$,MS054,R64,01:19:00,,F,2,CA12,"6-2,7-6(7)",J. Chardy,F. Mayer,,,FRA,GER,6-2,7-6(7),,,,01:19:00,A,J. Chardy,F. Mayer,FRA,GER,,,,,7.0,4.0,289,/en/stats/leaderboard?page=serve,5,11,60,37,62,81,30,37,52,13,25,67,2,3,10,241,/en/stats/leaderboard?page=serve,0,6,57,41,72,63,26,41,45,14,31,40,2,5,10,69,43,62,44,32,72,56,75,134,56,40,72,31,19,62,44,59,134,,,CA12,MB02
422,2010,ATP Masters 1000 Cincinnati,1000,2010-08-15T00:00:00,2010-08-22T00:00:00,Hard,56,2430000,$,MS057,R64,01:13:00,,F,2,H432,"6-4,4-0",L. Hewitt,Y. Lu,,,AUS,TPE,6-4,4-0,,,,01:13:00,A,L. Hewitt,Y. Lu,AUS,TPE,,,,,,,304,/en/stats/leaderboard?page=serve,0,7,71,34,48,76,26,34,50,7,14,100,1,1,7,217,/en/stats/leaderboard?page=serve,0,3,61,28,46,57,16,28,39,7,18,40,2,5,7,69,33,48,50,23,46,60,56,94,50,23,46,31,15,48,40,38,94,,,H432,L575
422,2010,ATP Masters 1000 Cincinnati,1000,2010-08-15T00:00:00,2010-08-22T00:00:00,Hard,56,2430000,$,MS058,R64,02:24:00,,F,3,D776,"6-4,6-7(5),6-3",T. de Bakker,J. Monaco,,,NED,ARG,6-4,6-7(5),6-3,,,02:24:00,A,T. de Bakker,J. Monaco,NED,ARG,,,,,5.0,7.0,284,/en/stats/leaderboard?page=serve,2,11,56,56,100,66,37,56,66,29,44,60,3,5,16,256,/en/stats/leaderboard?page=serve,1,5,66,65,98,68,44,65,45,15,33,20,1,5,15,66,66,100,40,39,98,53,105,198,60,59,98,34,34,100,47,93,198,,,D776,MA21
422,2010,ATP Masters 1000 Cincinnati,1000,2010-08-15T00:00:00,2010-08-22T00:00:00,Hard,56,2430000,$,MS059,R64,02:15:00,,F,3,R485,"6-4,6-7(5),6-1",A. Roddick,S. Stakhovsky,,,USA,UKR,6-4,6-7(5),6-1,,,02:15:00,A,A. Roddick,S. Stakhovsky,USA,UKR,,,,,5.0,7.0,320,/en/stats/leaderboard?page=serve,1,10,63,57,90,81,46,57,67,22,33,100,3,3,15,256,/en/stats/leaderboard?page=serve,4,8,57,66,116,77,51,66,40,20,50,75,9,12,14,76,68,90,39,45,116,55,113,206,61,71,116,24,22,90,45,93,206,,,R485,SC77
422,2010,ATP Masters 1000 Cincinnati,1000,2010-08-15T00:00:00,2010-08-22T00:00:00,Hard,56,2430000,$,MS060,R64,01:01:00,,F,2,N301,"7-5,6-0",D. Nalbandian,I. Ljubicic,,,ARG,CRO,7-5,6-0,,,,01:01:00,A,D. Nalbandian,I. Ljubicic,ARG,CRO,,,,,,,304,/en/stats/leaderboard?page=serve,0,2,59,26,44,77,20,26,78,14,18,0,0,1,9,190,/en/stats/leaderboard?page=serve,7,9,60,29,48,79,23,29,5,1,19,17,1,6,9,77,34,44,50,24,48,63,58,92,50,24,48,23,10,44,37,34,92,,,N301,L360
422,2010,ATP Masters 1000 Cincinnati,1000,2010-08-15T00:00:00,2010-08-22T00:00:00,Hard,56,2430000,$,MS061,R64,00:59:00,,F,2,I186,"6-2,6-3",J. Isner,L. Kubot,,,USA,POL,6-2,6-3,,,,00:59:00,A,J. Isner,L. Kubot,USA,POL,,,,,,,333,/en/stats/leaderboard?page=serve,0,11,70,32,46,81,26,32,71,10,14,0,0,0,9,228,/en/stats/leaderboard?page=serve,2,1,78,39,50,62,24,39,27,3,11,50,3,6,8,78,36,46,46,23,50,61,59,96,54,27,50,22,10,46,39,37,96,,,I186,K540
422,2010,ATP Masters 1000 Cincinnati,1000,2010-08-15T00:00:00,2010-08-22T00:00:00,Hard,56,2430000,$,MS062,R64,01:00:00,,F,2,T840,"7-5,6-1",V. Troicki,R. Stepanek,,,SRB,CZE,7-5,6-1,,,,01:00:00,A,V. Troicki,R. Stepanek,SRB,CZE,,,,,,,330,/en/stats/leaderboard?page=serve,2,10,59,29,49,83,24,29,80,16,20,0,0,0,10,238,/en/stats/leaderboard?page=serve,3,3,55,26,47,69,18,26,48,10,21,0,0,3,9,82,40,49,40,19,47,61,59,96,60,28,47,18,9,49,39,37,96,,,T840,S694
