event_id,event_year,tourney_name,level,start_date,end_date,surface,singles_draw_size,prize_money,prize_money_currency,match_id,round,match_time_total,match_message,match_status,num_sets,winner_flag_raw,score_string,winner_player_name,loser_player_name,winner_seed,loser_seed,winner_country,loser_country,set1_score,set2_score,set3_score,set4_score,set5_score,match_date,tiebreak_set1_winner,tiebreak_set1_loser,serverating_tot_winner,serveratinglink_tot_winner,doublefaults_tot_winner,aces_tot_winner,firstserve_percent_tot_winner,firstserve_dividend_tot_winner,firstserve_divisor_tot_winner,firstservepointswon_percent_tot_winner,firstservepointswon_dividend_tot_winner,firstservepointswon_divisor_tot_winner,secondservepointswon_percent_tot_winner,secondservepointswon_dividend_tot_winner,secondservepointswon_divisor_tot_winner,breakpointssaved_percent_tot_winner,breakpointssaved_dividend_tot_winner,breakpointssaved_divisor_tot_winner,servicegamesplayed_tot_winner,serverating_tot_loser,serveratinglink_tot_loser,doublefaults_tot_loser,aces_tot_loser,firstserve_percent_tot_loser,firstserve_dividend_tot_loser,firstserve_divisor_tot_loser,firstservepointswon_percent_tot_loser,firstservepointswon_dividend_tot_loser,firstservepointswon_divisor_tot_loser,secondservepointswon_percent_tot_loser,secondservepointswon_dividend_tot_loser,secondservepointswon_divisor_tot_loser,breakpointssaved_percent_tot_loser,breakpointssaved_dividend_tot_loser,breakpointssaved_divisor_tot_loser,servicegamesplayed_tot_loser,totalservicepointswon_percent_tot_winner,totalservicepointswon_dividend_tot_winner,totalservicepointswon_divisor_tot_winner,totalreturnpointswon_percent_tot_winner,totalreturnpointswon_dividend_tot_winner,totalreturnpointswon_divisor_tot_winner,totalpointswon_percent_tot_winner,totalpointswon_dividend_tot_winner,totalpointswon_divisor_tot_winner,totalservicepointswon_percent_tot_loser,totalservicepointswon_dividend_tot_loser,totalservicepointswon_divisor_tot_loser,totalreturnpointswon_percent_tot_loser,totalreturnpointswon_dividend_tot_loser,totalreturnpointswon_divisor_tot_loser,totalpointswon_percent_tot_loser,totalpointswon_dividend_tot_loser,totalpointswon_divisor_tot_loser,winner_flag,tiebreak_set3_winner,tiebreak_set3_loser,doublefaults_isstatbetter_tot_loser,tiebreak_set2_winner,tiebreak_set2_loser,doublefaults_isstatbetter_tot_winner,player_winner,player_loser,player_id_winner,player_id_loser,country_winner,country_loser,seed_winner,seed_loser
319,1997,Kitzbuhel,GP,1997-07-21T00:00:00,1997-07-27T00:00:00,Clay,48,500000,$,MS022,R32,01:15:00,,F,2,K190,"6-3,6-4",B. Karbacher,J. Novak,,,GER,CZE,6-3,6-4,,,,01:15:00,,,273,/en/stats/leaderboard?page=serve,,2,47,31,66,68,21,31,66,23,35,75,3,4,10,231,/en/stats/leaderboard?page=serve,2,5,54,30,56,70,21,30,38,10,26,40,2,5,9,67,44,66,45,25,56,57,69,122,55,31,56,33,22,66,43,53,122,A,,,,,,False,B. Karbacher,J. Novak,K190,N254,GER,CZE,,
319,1997,Kitzbuhel,GP,1997-07-21T00:00:00,1997-07-27T00:00:00,Clay,48,500000,$,MS023,R32,00:52:00,,F,2,A272,"6-2,6-3",J. Alonso,B. Ulihrach,,,ESP,CZE,6-2,6-3,,,,00:52:00,,,278,/en/stats/leaderboard?page=serve,1,1,45,23,51,70,16,23,75,21,28,80,4,5,9,206,/en/stats/leaderboard?page=serve,3,1,56,28,50,57,16,28,45,10,22,43,3,7,8,73,37,51,48,24,50,60,61,101,52,26,50,27,14,51,40,40,101,A,,,,,,,J. Alonso,B. Ulihrach,A272,U032,ESP,CZE,,
319,1997,Kitzbuhel,GP,1997-07-21T00:00:00,1997-07-27T00:00:00,Clay,48,500000,$,MS024,R32,00:59:00,,F,2,K310,"6-2,6-3",S. Koubek,A. Berasategui,,,AUT,ESP,6-2,6-3,,,,00:59:00,,,253,/en/stats/leaderboard?page=serve,3,2,62,40,65,63,25,40,52,13,25,71,5,7,9,191,/en/stats/leaderboard?page=serve,1,1,71,37,52,43,16,37,40,6,15,29,2,7,8,58,38,65,58,30,52,58,68,117,42,22,52,42,27,65,42,49,117,A,,,,,,,S. Koubek,A. Berasategui,K310,B428,AUT,ESP,,
319,1997,Kitzbuhel,GP,1997-07-21T00:00:00,1997-07-27T00:00:00,Clay,48,500000,$,MS025,R32,01:55:00,,F,3,L290,"6-3,3-6,6-1",N. Lapentti,J. Tarango,,,ECU,USA,6-3,3-6,6-1,,,01:55:00,,,262,/en/stats/leaderboard?page=serve,2,9,64,62,97,61,38,62,54,19,35,82,14,17,13,213,/en/stats/leaderboard?page=serve,1,0,44,32,73,63,20,32,49,20,41,58,7,12,12,59,57,97,45,33,73,53,90,170,55,40,73,41,40,97,47,80,170,A,,,,,,,N. Lapentti,J. Tarango,L290,T136,ECU,USA,,
319,1997,Kitzbuhel,GP,1997-07-21T00:00:00,1997-07-27T00:00:00,Clay,48,500000,$,MS026,R32,01:12:00,,F,2,B518,"6-3,6-2",G. Blanco,F. Squillari,,,ESP,ARG,6-3,6-2,,,,01:12:00,,,263,/en/stats/leaderboard?page=serve,4,2,48,30,62,67,20,30,63,20,32,90,9,10,8,187,/en/stats/leaderboard?page=serve,5,1,55,37,67,65,24,37,27,8,30,55,6,11,9,65,40,62,52,35,67,58,75,129,48,32,67,35,22,62,42,54,129,A,,,,,,,G. Blanco,F. Squillari,B518,S568,ESP,ARG,,
319,1997,Kitzbuhel,GP,1997-07-21T00:00:00,1997-07-27T00:00:00,Clay,48,500000,$,MS027,R32,02:20:00,,F,3,C344,"6-2,6-7(8),6-4",A. Corretja,L. Arnold Ker,,,ESP,ARG,6-2,6-7(8),6-4,,,02:20:00,,,289,/en/stats/leaderboard?page=serve,3,4,49,44,89,77,34,44,69,31,45,67,2,3,15,247,/en/stats/leaderboard?page=serve,5,1,61,62,101,66,41,62,51,20,39,56,5,9,15,73,65,89,40,40,101,55,105,190,60,61,101,27,24,89,45,85,190,A,,,,8,10,,A. Corretja,L. Arnold Ker,C344,A228,ESP,ARG,,
319,1997,Kitzbuhel,GP,1997-07-21T00:00:00,1997-07-27T00:00:00,Clay,48,500000,$,MS028,R32,00:48:00,,F,2,V161,"6-2,6-0",J. Viloca-Puig,O. Ogorodov,,,ESP,UZB,6-2,6-0,,,,00:48:00,,,220,/en/stats/leaderboard?page=serve,1,2,57,20,35,75,15,20,87,13,15,0,0,,7,155,/en/stats/leaderboard?page=serve,8,1,42,21,50,71,15,21,21,6,29,44,4,9,7,80,28,35,58,29,50,67,57,85,42,21,50,20,7,35,33,28,85,A,,,,,,,J. Viloca-Puig,O. Ogorodov,V161,O127,ESP,UZB,,
319,1997,Kitzbuhel,GP,1997-07-21T00:00:00,1997-07-27T00:00:00,Clay,48,500000,$,MS029,R32,00:53:00,,F,2,D228,"6-1,6-0",F. Dewulf,M. Sinner,,,BEL,GER,6-1,6-0,,,,00:53:00,,,237,/en/stats/leaderboard?page=serve,4,1,43,19,44,68,13,19,72,18,25,,0,,7,149,/en/stats/leaderboard?page=serve,6,2,57,26,46,50,13,26,30,6,20,62,8,13,6,70,31,44,59,27,46,64,58,90,41,19,46,30,13,44,36,32,90,A,,,,,,,F. Dewulf,M. Sinner,D228,S367,BEL,GER,,
319,1997,Kitzbuhel,GP,1997-07-21T00:00:00,1997-07-27T00:00:00,Clay,48,500000,$,MS030,R32,01:15:00,,F,2,F192,"6-2,6-4",R. Furlan,M. Gorriz,,,ITA,ESP,6-2,6-4,,,,01:15:00,,,290,/en/stats/leaderboard?page=serve,4,4,47,24,51,92,22,24,63,17,27,,0,,9,232,/en/stats/leaderboard?page=serve,,3,47,28,59,71,20,28,45,14,31,40,2,5,9,76,39,51,42,25,59,58,64,110,58,34,59,24,12,51,42,46,110,A,,,False,,,,R. Furlan,M. Gorriz,F192,G028,ITA,ESP,,
319,1997,Kitzbuhel,GP,1997-07-21T00:00:00,1997-07-27T00:00:00,Clay,48,500000,$,MS031,R32,01:10:00,,F,2,K267,"6-1,6-3",Y. Kafelnikov,F. Meligeni,,,RUS,BRA,6-1,6-3,,,,01:10:00,,,266,/en/stats/leaderboard?page=serve,3,5,46,30,65,80,24,30,51,18,35,,0,,8,209,/en/stats/leaderboard?page=serve,2,1,63,34,54,62,21,34,35,7,20,50,4,8,8,65,42,65,48,26,54,57,68,119,52,28,54,35,23,65,43,51,119,A,,,,,,,Y. Kafelnikov,F. Meligeni,K267,M443,RUS,BRA,,
