event_id,event_year,tourney_name,level,start_date,end_date,surface,singles_draw_size,prize_money,prize_money_currency,match_id,round,match_time_total,match_message,match_status,num_sets,winner_flag_raw,score_string,winner_player_name,loser_player_name,winner_seed,loser_seed,winner_country,loser_country,set1_score,set2_score,set3_score,set4_score,set5_score,match_date,tiebreak_set2_winner,tiebreak_set2_loser,serverating_tot_winner,serveratinglink_tot_winner,doublefaults_tot_winner,aces_tot_winner,firstserve_percent_tot_winner,firstserve_dividend_tot_winner,firstserve_divisor_tot_winner,firstservepointswon_percent_tot_winner,firstservepointswon_dividend_tot_winner,firstservepointswon_divisor_tot_winner,secondservepointswon_percent_tot_winner,secondservepointswon_dividend_tot_winner,secondservepointswon_divisor_tot_winner,breakpointssaved_percent_tot_winner,breakpointssaved_dividend_tot_winner,breakpointssaved_divisor_tot_winner,servicegamesplayed_tot_winner,serverating_tot_loser,serveratinglink_tot_loser,doublefaults_tot_loser,aces_tot_loser,firstserve_percent_tot_loser,firstserve_dividend_tot_loser,firstserve_divisor_tot_loser,firstservepointswon_percent_tot_loser,firstservepointswon_dividend_tot_loser,firstservepointswon_divisor_tot_loser,secondservepointswon_percent_tot_loser,secondservepointswon_dividend_tot_loser,secondservepointswon_divisor_tot_loser,breakpointssaved_percent_tot_loser,breakpointssaved_dividend_tot_loser,breakpointssaved_divisor_tot_loser,servicegamesplayed_tot_loser,totalservicepointswon_percent_tot_winner,totalservicepointswon_dividend_tot_winner,totalservicepointswon_divisor_tot_winner,totalreturnpointswon_percent_tot_winner,totalreturnpointswon_dividend_tot_winner,totalreturnpointswon_divisor_tot_winner,totalpointswon_percent_tot_winner,totalpointswon_dividend_tot_winner,totalpointswon_divisor_tot_winner,totalservicepointswon_percent_tot_loser,totalservicepointswon_dividend_tot_loser,totalservicepointswon_divisor_tot_loser,totalreturnpointswon_percent_tot_loser,totalreturnpointswon_dividend_tot_loser,totalreturnpointswon_divisor_tot_loser,totalpointswon_percent_tot_loser,totalpointswon_dividend_tot_loser,totalpointswon_divisor_tot_loser,winner_flag,tiebreak_set1_winner,tiebreak_set1_loser,doublefaults_isstatbetter_tot_loser,doublefaults_isstatbetter_tot_winner,tiebreak_set3_winner,tiebreak_set3_loser,player_winner,player_loser,player_id_winner,player_id_loser,country_winner,country_loser,seed_winner,seed_loser
890,1997,Shanghai,GP,1997-01-27T00:00:00,1997-02-02T00:00:00,Carpet,32,305000,$,MS021,R32,01:57:00,,F,2,S321,"7-6(7),7-6(7)",B. Steven,M. Knowles,,,NZL,BAH,7-6(7),7-6(7),,,,01:57:00,7,5,275,/en/stats/leaderboard?page=serve,3,3,63,52,83,71,37,52,58,18,31,71,5,7,12,257,/en/stats/leaderboard?page=serve,6,8,58,57,98,63,36,57,51,21,41,78,7,9,12,66,55,83,42,41,98,53,96,181,58,57,98,34,28,83,47,85,181,A,7,4,,,,,B. Steven,M. Knowles,S321,K171,NZL,BAH,,
890,1997,Shanghai,GP,1997-01-27T00:00:00,1997-02-02T00:00:00,Carpet,32,305000,$,MS022,R32,01:56:00,,F,3,G354,"7-6(7),1-6,6-2",J. Gimelstob,M. Mirnyi,,,USA,BLR,7-6(7),1-6,6-2,,,01:56:00,,,271,/en/stats/leaderboard?page=serve,4,8,71,70,98,64,45,70,54,15,28,77,10,13,14,290,/en/stats/leaderboard?page=serve,4,12,69,59,85,71,42,59,58,15,26,33,1,3,13,61,60,98,33,28,85,48,88,183,67,57,85,39,38,98,52,95,183,A,7,5,,,,,J. Gimelstob,M. Mirnyi,G354,M595,USA,BLR,,
890,1997,Shanghai,GP,1997-01-27T00:00:00,1997-02-02T00:00:00,Carpet,32,305000,$,MS023,R32,01:58:00,,F,3,S523,"6-7(5),7-6(8),6-3",G. Solves,M. Joyce,,,FRA,USA,6-7(5),7-6(8),6-3,,,01:58:00,8,6,268,/en/stats/leaderboard?page=serve,2,5,67,83,124,70,58,83,46,19,41,40,2,5,17,263,/en/stats/leaderboard?page=serve,3,7,63,62,98,77,48,62,44,16,36,20,1,5,16,62,77,124,35,34,98,50,111,222,65,64,98,38,47,124,50,111,222,A,5,7,,,,,G. Solves,M. Joyce,S523,J100,FRA,USA,,
890,1997,Shanghai,GP,1997-01-27T00:00:00,1997-02-02T00:00:00,Carpet,32,305000,$,MS024,R32,01:16:00,,F,2,P269,"7-6(7),6-4",L. Paes,S. Sargsian,,,IND,ARM,7-6(7),6-4,,,,01:16:00,,,225,/en/stats/leaderboard?page=serve,1,3,72,44,61,86,38,44,65,11,17,0,0,,11,288,/en/stats/leaderboard?page=serve,2,1,64,39,61,85,33,39,50,11,22,75,3,4,11,80,49,61,28,17,61,54,66,122,72,44,61,20,12,61,46,56,122,A,7,2,,,,,L. Paes,S. Sargsian,P269,S545,IND,ARM,,
890,1997,Shanghai,GP,1997-01-27T00:00:00,1997-02-02T00:00:00,Carpet,32,305000,$,MS025,R32,02:10:00,,F,3,N099,"5-7,6-4,7-6(7)",T. Nydahl,M. Sinner,,,SWE,GER,5-7,6-4,7-6(7),,,02:10:00,,,290,/en/stats/leaderboard?page=serve,6,8,66,62,94,87,54,62,47,15,32,33,1,3,17,271,/en/stats/leaderboard?page=serve,10,10,46,49,107,78,38,49,59,34,58,67,4,6,17,73,69,94,33,35,107,52,104,201,67,72,107,27,25,94,48,97,201,A,,,,,7,3,T. Nydahl,M. Sinner,N099,S367,SWE,GER,,
890,1997,Shanghai,GP,1997-01-27T00:00:00,1997-02-02T00:00:00,Carpet,32,305000,$,MS026,R32,01:45:00,,F,3,J084,"7-6(7),4-6,6-3",L. Jonsson,D. Nestor,,,SWE,CAN,7-6(7),4-6,6-3,,,01:45:00,,,297,/en/stats/leaderboard?page=serve,2,10,60,61,102,80,49,61,56,23,41,67,2,3,16,296,/en/stats/leaderboard?page=serve,7,16,55,50,91,80,40,50,59,24,41,75,3,4,15,71,72,102,30,27,91,51,99,193,70,64,91,29,30,102,49,94,193,A,7,3,,,,,L. Jonsson,D. Nestor,J084,N210,SWE,CAN,,
890,1997,Shanghai,GP,1997-01-27T00:00:00,1997-02-02T00:00:00,Carpet,32,305000,$,MS027,R32,01:07:00,,F,2,T136,"6-3,6-4",J. Tarango,S. Iwabuchi,,,USA,JPN,6-3,6-4,,,,01:07:00,,,273,/en/stats/leaderboard?page=serve,2,9,61,41,67,73,30,41,62,16,26,,0,,10,253,/en/stats/leaderboard?page=serve,3,2,72,44,61,70,31,44,35,6,17,60,3,5,9,69,46,67,39,24,61,55,70,128,61,37,61,31,21,67,45,58,128,A,,,,,,,J. Tarango,S. Iwabuchi,T136,I054,USA,JPN,,
890,1997,Shanghai,GP,1997-01-27T00:00:00,1997-02-02T00:00:00,Carpet,32,305000,$,MS028,R32,01:07:00,,F,2,K296,"6-4,6-1",J. Kroslak,F. Messori,,,SVK,ITA,6-4,6-1,,,,01:07:00,,,263,/en/stats/leaderboard?page=serve,2,2,58,29,50,52,15,29,76,16,21,60,3,5,9,180,/en/stats/leaderboard?page=serve,1,2,49,35,71,51,18,35,42,15,36,67,10,15,8,62,31,50,54,38,71,57,69,121,46,33,71,38,19,50,43,52,121,A,,,,,,,J. Kroslak,F. Messori,K296,M511,SVK,ITA,,
890,1997,Shanghai,GP,1997-01-27T00:00:00,1997-02-02T00:00:00,Carpet,32,305000,$,MS029,R32,02:19:00,,F,3,O127,"7-6(7),1-6,7-5",O. Ogorodov,A. Cherkasov,,,UZB,RUS,7-6(7),1-6,7-5,,,02:19:00,,,278,/en/stats/leaderboard?page=serve,1,10,66,67,102,69,46,67,54,19,35,40,2,5,15,291,/en/stats/leaderboard?page=serve,1,3,66,67,102,67,45,67,69,24,35,78,7,9,16,64,65,102,32,33,102,48,98,204,68,69,102,36,37,102,52,106,204,A,7,5,,,,,O. Ogorodov,A. Cherkasov,O127,C260,UZB,RUS,,
890,1997,Shanghai,GP,1997-01-27T00:00:00,1997-02-02T00:00:00,Carpet,32,305000,$,MS030,R32,01:17:00,,F,2,G319,"7-5,6-3",J. Golmard,B. Pan,,,FRA,CHN,7-5,6-3,,,,01:17:00,,,284,/en/stats/leaderboard?page=serve,,3,66,44,67,64,28,44,70,16,23,50,2,4,11,227,/en/stats/leaderboard?page=serve,1,6,46,25,54,68,17,25,48,14,29,20,1,5,10,66,44,67,43,23,54,55,67,121,57,31,54,34,23,67,45,54,121,A,,,,False,,,J. Golmard,B. Pan,G319,P263,FRA,CHN,,
890,1997,Shanghai,GP,1997-01-27T00:00:00,1997-02-02T00:00:00,Carpet,32,305000,$,MS031,R32,01:23:00,,F,2,C028,"6-3,7-6(7)",T. Champion,A. Olhovskiy,,,FRA,RUS,6-3,7-6(7),,,,01:23:00,7,3,262,/en/stats/leaderboard?page=serve,,1,66,53,80,74,39,53,67,18,27,,0,,11,289,/en/stats/leaderboard?page=serve,4,9,57,36,63,81,29,36,56,15,27,75,3,4,10,71,57,80,30,19,63,53,76,143,70,44,63,29,23,80,47,67,143,A,,,,False,,,T. Champion,A. Olhovskiy,C028,O009,FRA,RUS,,
