event_id,event_year,tourney_name,level,start_date,end_date,surface,singles_draw_size,prize_money,prize_money_currency,match_id,round,match_time_total,match_message,match_status,num_sets,winner_flag_raw,score_string,winner_player_name,loser_player_name,winner_seed,loser_seed,winner_country,loser_country,set1_score,set2_score,set3_score,set4_score,set5_score,match_date,serverating_tot_winner,serveratinglink_tot_winner,doublefaults_tot_winner,aces_tot_winner,firstserve_percent_tot_winner,firstserve_dividend_tot_winner,firstserve_divisor_tot_winner,firstservepointswon_percent_tot_winner,firstservepointswon_dividend_tot_winner,firstservepointswon_divisor_tot_winner,secondservepointswon_percent_tot_winner,secondservepointswon_dividend_tot_winner,secondservepointswon_divisor_tot_winner,breakpointssaved_percent_tot_winner,breakpointssaved_dividend_tot_winner,breakpointssaved_divisor_tot_winner,servicegamesplayed_tot_winner,serverating_tot_loser,serveratinglink_tot_loser,doublefaults_tot_loser,aces_tot_loser,firstserve_percent_tot_loser,firstserve_dividend_tot_loser,firstserve_divisor_tot_loser,firstservepointswon_percent_tot_loser,firstservepointswon_dividend_tot_loser,firstservepointswon_divisor_tot_loser,secondservepointswon_percent_tot_loser,secondservepointswon_dividend_tot_loser,secondservepointswon_divisor_tot_loser,breakpointssaved_percent_tot_loser,breakpointssaved_dividend_tot_loser,breakpointssaved_divisor_tot_loser,servicegamesplayed_tot_loser,totalservicepointswon_percent_tot_winner,totalservicepointswon_dividend_tot_winner,totalservicepointswon_divisor_tot_winner,totalreturnpointswon_percent_tot_winner,totalreturnpointswon_dividend_tot_winner,totalreturnpointswon_divisor_tot_winner,totalpointswon_percent_tot_winner,totalpointswon_dividend_tot_winner,totalpointswon_divisor_tot_winner,totalservicepointswon_percent_tot_loser,totalservicepointswon_dividend_tot_loser,totalservicepointswon_divisor_tot_loser,totalreturnpointswon_percent_tot_loser,totalreturnpointswon_dividend_tot_loser,totalreturnpointswon_divisor_tot_loser,totalpointswon_percent_tot_loser,totalpointswon_dividend_tot_loser,totalpointswon_divisor_tot_loser,winner_flag,tiebreak_set3_winner,tiebreak_set3_loser,doublefaults_isstatbetter_tot_winner,tiebreak_set2_winner,tiebreak_set2_loser,tiebreak_set1_winner,tiebreak_set1_loser,doublefaults_isstatbetter_tot_loser,tiebreak_set4_winner,tiebreak_set4_loser,player_winner,player_loser,player_id_winner,player_id_loser,country_winner,country_loser,seed_winner,seed_loser
580,1996,Australian Open,GS,1996-01-15T00:00:00,1996-01-28T00:00:00,Hard,128,3180318,$,MS073,R128,00:06:00,,F,5,L226,"4-6,4-6,6-3,6-4,7-5",S. Lareau,K. Carlsen,,,CAN,DEN,4-6,4-6,6-3,6-4,7-5,00:06:00,273,/en/stats/leaderboard?page=serve,3,10,60,104,174,72,75,104,54,38,70,62,8,13,26,285,/en/stats/leaderboard?page=serve,1,15,70,114,163,70,80,114,55,27,49,40,4,10,25,65,113,174,34,56,163,50,169,337,66,107,163,35,61,174,50,168,337,A,,,,,,,,,,,S. Lareau,K. Carlsen,L226,C328,CAN,DEN,,
580,1996,Australian Open,GS,1996-01-15T00:00:00,1996-01-28T00:00:00,Hard,128,3180318,$,MS074,R128,00:07:00,,F,4,C378,"4-6,4-6,7-5,3-0",A. Costa,F. Meligeni,,,ESP,BRA,4-6,4-6,7-5,3-0,,00:07:00,250,/en/stats/leaderboard?page=serve,2,2,71,98,139,68,67,98,34,14,41,78,14,18,18,241,/en/stats/leaderboard?page=serve,5,7,65,100,154,72,72,100,30,16,54,74,14,19,18,58,81,139,43,66,154,50,147,293,57,88,154,42,58,139,50,146,293,A,,,,,,,,,,,A. Costa,F. Meligeni,C378,M443,ESP,BRA,,
580,1996,Australian Open,GS,1996-01-15T00:00:00,1996-01-28T00:00:00,Hard,128,3180318,$,MS076,R128,00:02:00,,F,3,W123,"6-2,6-4,7-5",D. Wheaton,J. Morgan,,,USA,AUS,6-2,6-4,7-5,,,00:02:00,316,/en/stats/leaderboard?page=serve,2,8,68,59,87,81,48,59,68,19,28,0,0,1,15,246,/en/stats/leaderboard?page=serve,3,8,60,59,99,75,44,59,40,16,40,17,1,6,15,77,67,87,39,39,99,57,106,186,61,60,99,23,20,87,43,80,186,A,,,,,,,,,,,D. Wheaton,J. Morgan,W123,M408,USA,AUS,,
580,1996,Australian Open,GS,1996-01-15T00:00:00,1996-01-28T00:00:00,Hard,128,3180318,$,MS077,R128,00:05:00,,F,4,G247,"4-6,6-2,6-0,6-1",H. Gumy,K. Alami,,,ARG,MAR,4-6,6-2,6-0,6-1,,00:05:00,295,/en/stats/leaderboard?page=serve,2,1,68,64,94,78,50,64,57,17,30,80,4,5,16,203,/en/stats/leaderboard?page=serve,6,4,52,64,123,59,38,64,41,24,59,56,9,16,15,71,67,94,50,61,123,59,128,217,50,62,123,29,27,94,41,89,217,A,,,,,,,,,,,H. Gumy,K. Alami,G247,A203,ARG,MAR,,
580,1996,Australian Open,GS,1996-01-15T00:00:00,1996-01-28T00:00:00,Hard,128,3180318,$,MS078,R128,00:05:00,,F,5,V166,"7-6(8),6-7(2),3-6,6-1,7-5",A. Voinea,L. Roux,,,ROU,FRA,7-6(8),6-7(2),3-6,6-1,7-5,00:05:00,306,/en/stats/leaderboard?page=serve,1,9,66,104,157,78,81,104,66,35,53,40,2,5,26,258,/en/stats/leaderboard?page=serve,6,4,62,117,190,71,83,117,47,34,73,50,5,10,26,74,116,157,38,73,190,54,189,347,62,117,190,26,41,157,46,158,347,A,,,,2,7,8,6,,,,A. Voinea,L. Roux,V166,R280,ROU,FRA,,
580,1996,Australian Open,GS,1996-01-15T00:00:00,1996-01-28T00:00:00,Hard,128,3180318,$,MS079,R128,00:02:00,,F,3,E113,"6-3,6-2,6-4",T. Enqvist,M. Goellner,,,SWE,GER,6-3,6-2,6-4,,,00:02:00,278,/en/stats/leaderboard?page=serve,5,5,59,59,100,73,43,59,54,22,41,80,4,5,14,239,/en/stats/leaderboard?page=serve,4,14,56,55,98,84,46,55,28,12,43,50,5,10,13,65,65,100,41,40,98,53,105,198,59,58,98,35,35,100,47,93,198,A,,,,,,,,,,,T. Enqvist,M. Goellner,E113,G252,SWE,GER,,
580,1996,Australian Open,GS,1996-01-15T00:00:00,1996-01-28T00:00:00,Hard,128,3180318,$,MS080,R128,00:04:00,,F,5,B028,"6-4,3-6,4-6,6-3,6-3",B. Becker,G. Rusedski,,,GER,GBR,6-4,3-6,4-6,6-3,6-3,00:04:00,265,/en/stats/leaderboard?page=serve,8,9,56,83,149,78,65,83,48,32,66,33,2,6,23,262,/en/stats/leaderboard?page=serve,3,12,60,98,162,77,75,98,41,26,64,57,8,14,24,65,97,149,38,61,162,51,158,311,62,101,162,35,52,149,49,153,311,A,,,,,,,,,,,B. Becker,G. Rusedski,B028,R237,GER,GBR,,
580,1996,Australian Open,GS,1996-01-15T00:00:00,1996-01-28T00:00:00,Hard,128,3180318,$,MS081,R128,00:01:00,,F,3,J129,"6-4,6-3,6-1",T. Johansson,J. Eltingh,,,SWE,NED,6-4,6-3,6-1,,,00:01:00,276,/en/stats/leaderboard?page=serve,5,7,55,45,82,89,40,45,54,20,37,,0,,13,234,/en/stats/leaderboard?page=serve,5,10,60,63,105,70,44,63,38,16,42,55,6,11,13,73,60,82,43,45,105,56,105,187,57,60,105,27,22,82,44,82,187,A,,,,,,,,,,,T. Johansson,J. Eltingh,J129,E106,SWE,NED,,
580,1996,Australian Open,GS,1996-01-15T00:00:00,1996-01-28T00:00:00,Hard,128,3180318,$,MS082,R128,00:02:00,,F,3,B397,"6-3,6-2,6-4",B. Black,H. Holm,,,ZIM,SWE,6-3,6-2,6-4,,,00:02:00,277,/en/stats/leaderboard?page=serve,3,1,63,50,80,74,37,50,57,17,30,33,1,3,14,201,/en/stats/leaderboard?page=serve,12,8,52,47,91,68,32,47,32,14,44,40,4,10,13,68,54,80,49,45,91,58,99,171,51,46,91,33,26,80,42,72,171,A,,,,,,,,,,,B. Black,H. Holm,B397,H191,ZIM,SWE,,
580,1996,Australian Open,GS,1996-01-15T00:00:00,1996-01-28T00:00:00,Hard,128,3180318,$,MS083,R128,00:04:00,,F,4,L206,"6-7(1),6-3,7-6(7),6-3",M. Larsson,N. Lapentti,,,SWE,ECU,6-7(1),6-3,7-6(7),6-3,,00:04:00,290,/en/stats/leaderboard?page=serve,4,9,66,101,154,74,75,101,55,29,53,78,7,9,22,260,/en/stats/leaderboard?page=serve,7,9,56,83,148,76,63,83,46,30,65,69,9,13,20,68,104,154,37,55,148,53,159,302,63,93,148,32,50,154,47,143,302,A,7,3,,,,1,7,,,,M. Larsson,N. Lapentti,L206,L290,SWE,ECU,,
