event_id,event_year,tourney_name,level,start_date,end_date,surface,singles_draw_size,prize_money,prize_money_currency,match_id,round,match_time_total,match_message,match_status,num_sets,winner_flag_raw,score_string,winner_player_name,loser_player_name,winner_seed,loser_seed,winner_country,loser_country,set1_score,set2_score,set3_score,set4_score,set5_score,match_date,tiebreak_set1_winner,tiebreak_set1_loser,serverating_tot_winner,serveratinglink_tot_winner,doublefaults_tot_winner,aces_tot_winner,firstserve_percent_tot_winner,firstserve_dividend_tot_winner,firstserve_divisor_tot_winner,firstservepointswon_percent_tot_winner,firstservepointswon_dividend_tot_winner,firstservepointswon_divisor_tot_winner,secondservepointswon_percent_tot_winner,secondservepointswon_dividend_tot_winner,secondservepointswon_divisor_tot_winner,breakpointssaved_percent_tot_winner,breakpointssaved_dividend_tot_winner,breakpointssaved_divisor_tot_winner,servicegamesplayed_tot_winner,serverating_tot_loser,serveratinglink_tot_loser,doublefaults_tot_loser,aces_tot_loser,firstserve_percent_tot_loser,firstserve_dividend_tot_loser,firstserve_divisor_tot_loser,firstservepointswon_percent_tot_loser,firstservepointswon_dividend_tot_loser,firstservepointswon_divisor_tot_loser,secondservepointswon_percent_tot_loser,secondservepointswon_dividend_tot_loser,secondservepointswon_divisor_tot_loser,breakpointssaved_percent_tot_loser,breakpointssaved_dividend_tot_loser,breakpointssaved_divisor_tot_loser,servicegamesplayed_tot_loser,totalservicepointswon_percent_tot_winner,totalservicepointswon_dividend_tot_winner,totalservicepointswon_divisor_tot_winner,totalreturnpointswon_percent_tot_winner,totalreturnpointswon_dividend_tot_winner,totalreturnpointswon_divisor_tot_winner,totalpointswon_percent_tot_winner,totalpointswon_dividend_tot_winner,totalpointswon_divisor_tot_winner,totalservicepointswon_percent_tot_loser,totalservicepointswon_dividend_tot_loser,totalservicepointswon_divisor_tot_loser,totalreturnpointswon_percent_tot_loser,totalreturnpointswon_dividend_tot_loser,totalreturnpointswon_divisor_tot_loser,totalpointswon_percent_tot_loser,totalpointswon_dividend_tot_loser,totalpointswon_divisor_tot_loser,winner_flag,tiebreak_set2_winner,tiebreak_set2_loser,tiebreak_set3_winner,tiebreak_set3_loser,doublefaults_isstatbetter_tot_loser,player_winner,player_loser,player_id_winner,player_id_loser,country_winner,country_loser,seed_winner,seed_loser
315,1997,Newport,GP,1997-07-07T00:00:00,1997-07-13T00:00:00,Grass,32,255000,$,MS021,R32,00:53:00,,F,2,U024,"6-1,6-3",K. Ullyett,M. Jensen,,,ZIM,USA,6-1,6-3,,,,00:53:00,,,293,/en/stats/leaderboard?page=serve,1,8,62,26,42,81,21,26,56,9,16,50,1,2,8,181,/en/stats/leaderboard?page=serve,5,4,54,27,50,56,15,27,35,8,23,0,0,5,8,71,30,42,54,27,50,62,57,92,46,23,50,29,12,42,38,35,92,A,,,,,,K. Ullyett,M. Jensen,U024,J082,ZIM,USA,,
315,1997,Newport,GP,1997-07-07T00:00:00,1997-07-13T00:00:00,Grass,32,255000,$,MS022,R32,02:10:00,,F,3,D191,"7-6(7),3-6,7-6(7)",D. Dilucia,A. Olhovskiy,,,USA,RUS,7-6(7),3-6,7-6(7),,,02:10:00,7,5,287,/en/stats/leaderboard?page=serve,4,9,59,64,109,77,49,64,58,26,45,71,5,7,17,230,/en/stats/leaderboard?page=serve,9,13,45,54,121,76,41,54,55,37,67,,0,,16,69,75,109,36,43,121,51,118,230,64,78,121,31,34,109,49,112,230,A,,,7,3,,D. Dilucia,A. Olhovskiy,D191,O009,USA,RUS,,
315,1997,Newport,GP,1997-07-07T00:00:00,1997-07-13T00:00:00,Grass,32,255000,$,MS023,R32,01:27:00,,F,2,S545,"7-6(7),7-5",S. Sargsian,D. Nestor,,,ARM,CAN,7-6(7),7-5,,,,01:27:00,7,3,288,/en/stats/leaderboard?page=serve,1,6,55,38,69,84,32,38,61,19,31,0,0,2,12,253,/en/stats/leaderboard?page=serve,6,4,58,43,74,74,32,43,48,15,31,40,2,5,12,74,51,69,36,27,74,55,78,143,64,47,74,26,18,69,45,65,143,A,,,,,,S. Sargsian,D. Nestor,S545,N210,ARM,CAN,,
315,1997,Newport,GP,1997-07-07T00:00:00,1997-07-13T00:00:00,Grass,32,255000,$,MS024,R32,02:09:00,,F,3,W123,"4-6,6-4,6-2",D. Wheaton,M. Martelli,,,USA,ITA,4-6,6-4,6-2,,,02:09:00,,,281,/en/stats/leaderboard?page=serve,5,4,72,71,99,75,53,71,43,12,28,90,9,10,14,241,/en/stats/leaderboard?page=serve,5,8,37,44,118,68,30,44,55,41,74,77,10,13,14,66,65,99,40,47,118,52,112,217,60,71,118,34,34,99,48,105,217,A,,,,,,D. Wheaton,M. Martelli,W123,M543,USA,ITA,,
315,1997,Newport,GP,1997-07-07T00:00:00,1997-07-13T00:00:00,Grass,32,255000,$,MS025,R32,00:54:00,,F,2,J100,"6-0,6-2",M. Joyce,J. Gimelstob,,,USA,USA,6-0,6-2,,,,00:54:00,,,264,/en/stats/leaderboard?page=serve,3,3,52,29,56,79,23,29,48,13,27,,0,,7,155,/en/stats/leaderboard?page=serve,5,3,33,11,33,73,8,11,23,5,22,17,1,6,7,64,36,56,61,20,33,63,56,89,39,13,33,36,20,56,37,33,89,A,,,,,,M. Joyce,J. Gimelstob,J100,G354,USA,USA,,
315,1997,Newport,GP,1997-07-07T00:00:00,1997-07-13T00:00:00,Grass,32,255000,$,MS027,R32,01:30:00,,F,2,S406,"7-5,6-3",G. Stafford,J. Salzenstein,,,RSA,USA,7-5,6-3,,,,01:30:00,,,257,/en/stats/leaderboard?page=serve,4,1,44,35,79,74,26,35,52,23,44,67,2,3,11,247,/en/stats/leaderboard?page=serve,6,8,63,42,67,64,27,42,48,12,25,50,3,6,10,62,49,79,42,28,67,53,77,146,58,39,67,38,30,79,47,69,146,A,,,,,,G. Stafford,J. Salzenstein,S406,S564,RSA,USA,,
315,1997,Newport,GP,1997-07-07T00:00:00,1997-07-13T00:00:00,Grass,32,255000,$,MS028,R32,01:00:00,,F,2,S321,"6-3,6-2",B. Steven,L. Herrera,,,NZL,MEX,6-3,6-2,,,,01:00:00,,,285,/en/stats/leaderboard?page=serve,2,3,70,38,54,74,28,38,63,10,16,,0,,9,229,/en/stats/leaderboard?page=serve,,2,66,37,56,62,23,37,37,7,19,50,3,6,8,70,38,54,46,26,56,58,64,110,54,30,56,30,16,54,42,46,110,A,,,,,False,B. Steven,L. Herrera,S321,H228,NZL,MEX,,
315,1997,Newport,GP,1997-07-07T00:00:00,1997-07-13T00:00:00,Grass,32,255000,$,MS029,R32,01:22:00,,F,2,S380,"7-6(7),6-4",B. Shelton,G. Grant,,,USA,USA,7-6(7),6-4,,,,01:22:00,7,3,299,/en/stats/leaderboard?page=serve,3,18,64,50,78,80,40,50,50,14,28,86,6,7,11,267,/en/stats/leaderboard?page=serve,2,8,60,46,77,72,33,46,48,15,31,67,4,6,11,69,54,78,38,29,77,54,83,155,62,48,77,31,24,78,46,72,155,A,,,,,,B. Shelton,G. Grant,S380,G300,USA,USA,,
315,1997,Newport,GP,1997-07-07T00:00:00,1997-07-13T00:00:00,Grass,32,255000,$,MS030,R32,02:09:00,,F,3,F191,"5-7,6-3,7-6(7)",D. Flach,D. Norman,,,USA,BEL,5-7,6-3,7-6(7),,,02:09:00,,,264,/en/stats/leaderboard?page=serve,6,6,59,70,119,64,45,70,59,29,49,75,9,12,17,266,/en/stats/leaderboard?page=serve,9,19,57,61,107,70,43,61,48,22,46,25,1,4,16,62,74,119,39,42,107,51,116,226,61,65,107,38,45,119,49,110,226,A,,,7,5,,D. Flach,D. Norman,F191,N233,USA,BEL,,
315,1997,Newport,GP,1997-07-07T00:00:00,1997-07-13T00:00:00,Grass,32,255000,$,MS031,R32,02:13:00,,F,3,W035,"3-6,7-6(7),7-5",M. Woodforde,S. Bryan,,,AUS,USA,3-6,7-6(7),7-5,,,02:13:00,,,254,/en/stats/leaderboard?page=serve,6,13,52,57,110,82,47,57,38,20,53,50,4,8,16,257,/en/stats/leaderboard?page=serve,6,11,61,65,106,69,45,65,46,19,41,33,2,6,17,61,67,110,40,42,106,50,109,216,60,64,106,39,43,110,50,107,216,A,7,4,,,,M. Woodforde,S. Bryan,W035,B401,AUS,USA,,
