event_id,event_year,tourney_name,level,start_date,end_date,surface,singles_draw_size,prize_money,prize_money_currency,match_id,round,match_time_total,match_message,match_status,num_sets,winner_flag_raw,score_string,winner_player_name,loser_player_name,winner_seed,loser_seed,winner_country,loser_country,set1_score,set2_score,set3_score,set4_score,set5_score,match_date,serverating_tot_winner,serveratinglink_tot_winner,doublefaults_tot_winner,aces_tot_winner,firstserve_percent_tot_winner,firstserve_dividend_tot_winner,firstserve_divisor_tot_winner,firstservepointswon_percent_tot_winner,firstservepointswon_dividend_tot_winner,firstservepointswon_divisor_tot_winner,secondservepointswon_percent_tot_winner,secondservepointswon_dividend_tot_winner,secondservepointswon_divisor_tot_winner,breakpointssaved_percent_tot_winner,breakpointssaved_dividend_tot_winner,breakpointssaved_divisor_tot_winner,servicegamesplayed_tot_winner,serverating_tot_loser,serveratinglink_tot_loser,doublefaults_tot_loser,aces_tot_loser,firstserve_percent_tot_loser,firstserve_dividend_tot_loser,firstserve_divisor_tot_loser,firstservepointswon_percent_tot_loser,firstservepointswon_dividend_tot_loser,firstservepointswon_divisor_tot_loser,secondservepointswon_percent_tot_loser,secondservepointswon_dividend_tot_loser,secondservepointswon_divisor_tot_loser,breakpointssaved_percent_tot_loser,breakpointssaved_dividend_tot_loser,breakpointssaved_divisor_tot_loser,servicegamesplayed_tot_loser,totalservicepointswon_percent_tot_winner,totalservicepointswon_dividend_tot_winner,totalservicepointswon_divisor_tot_winner,totalreturnpointswon_percent_tot_winner,totalreturnpointswon_dividend_tot_winner,totalreturnpointswon_divisor_tot_winner,totalpointswon_percent_tot_winner,totalpointswon_dividend_tot_winner,totalpointswon_divisor_tot_winner,totalservicepointswon_percent_tot_loser,totalservicepointswon_dividend_tot_loser,totalservicepointswon_divisor_tot_loser,totalreturnpointswon_percent_tot_loser,totalreturnpointswon_dividend_tot_loser,totalreturnpointswon_divisor_tot_loser,totalpointswon_percent_tot_loser,totalpointswon_dividend_tot_loser,totalpointswon_divisor_tot_loser,winner_flag,tiebreak_set3_winner,tiebreak_set3_loser,doublefaults_isstatbetter_tot_loser,tiebreak_set1_winner,tiebreak_set1_loser,doublefaults_isstatbetter_tot_winner,tiebreak_set2_winner,tiebreak_set2_loser,player_winner,player_loser,player_id_winner,player_id_loser,country_winner,country_loser,seed_winner,seed_loser
410,1998,ATP Masters 1000 Monte-Carlo,1000,1998-04-20T00:00:00,1998-04-26T00:00:00,Clay,56,2200000,$,MS021,R32,01:41:00,,F,2,P338,"6-4,6-3",M. Philippoussis,M. Norman,,,AUS,SWE,6-4,6-3,,,,01:41:00,246,/en/stats/leaderboard?page=serve,,6,57,36,63,72,26,36,67,18,27,,0,,9,232,/en/stats/leaderboard?page=serve,4,6,51,47,93,66,31,47,43,20,46,82,14,17,10,70,44,63,45,42,93,55,86,156,55,51,93,30,19,63,45,70,156,A,,,,,,False,,,M. Philippoussis,M. Norman,P338,N250,AUS,SWE,,
410,1998,ATP Masters 1000 Monte-Carlo,1000,1998-04-20T00:00:00,1998-04-26T00:00:00,Clay,56,2200000,$,MS022,R32,00:58:00,,F,2,B428,"6-0,7-6(7)",A. Berasategui,D. Vacek,,,ESP,CZE,6-0,7-6(7),,,,00:58:00,311,/en/stats/leaderboard?page=serve,,3,75,38,51,76,29,38,69,9,13,0,0,1,9,208,/en/stats/leaderboard?page=serve,5,2,66,44,67,55,24,44,35,8,23,67,8,12,9,75,38,51,52,35,67,62,73,118,48,32,67,25,13,51,38,45,118,A,,,,,,False,7,1,A. Berasategui,D. Vacek,B428,V141,ESP,CZE,,
410,1998,ATP Masters 1000 Monte-Carlo,1000,1998-04-20T00:00:00,1998-04-26T00:00:00,Clay,56,2200000,$,MS023,R32,00:49:00,,F,2,D198,"6-1,6-0",S. Dosedel,J. Bjorkman,,,CZE,SWE,6-1,6-0,,,,00:49:00,269,/en/stats/leaderboard?page=serve,2,0,73,30,41,77,23,30,36,4,11,50,1,2,7,112,/en/stats/leaderboard?page=serve,4,0,53,25,47,40,10,25,23,5,22,50,6,12,6,66,27,41,68,32,47,67,59,88,32,15,47,34,14,41,33,29,88,A,,,,,,,,,S. Dosedel,J. Bjorkman,D198,B446,CZE,SWE,,
410,1998,ATP Masters 1000 Monte-Carlo,1000,1998-04-20T00:00:00,1998-04-26T00:00:00,Clay,56,2200000,$,MS024,R32,01:38:00,,F,2,C344,"7-6(7),6-4",A. Corretja,A. Medvedev,,,ESP,UKR,7-6(7),6-4,,,,01:38:00,227,/en/stats/leaderboard?page=serve,3,1,53,42,79,62,26,42,51,19,37,67,8,12,11,202,/en/stats/leaderboard?page=serve,7,4,49,35,71,63,22,35,39,14,36,17,1,6,11,57,45,79,49,35,71,53,80,150,51,36,71,43,34,79,47,70,150,A,,,,7,4,,,,A. Corretja,A. Medvedev,C344,M475,ESP,UKR,,
410,1998,ATP Masters 1000 Monte-Carlo,1000,1998-04-20T00:00:00,1998-04-26T00:00:00,Clay,56,2200000,$,MS025,R32,01:55:00,,F,3,G254,"6-4,4-6,6-3",A. Gaudenzi,G. Blanco,,,ITA,ESP,6-4,4-6,6-3,,,01:55:00,264,/en/stats/leaderboard?page=serve,2,6,60,50,83,74,37,50,48,16,33,40,2,5,14,231,/en/stats/leaderboard?page=serve,3,1,54,56,104,59,33,56,54,26,48,58,7,12,15,64,53,83,43,45,104,52,98,187,57,59,104,36,30,83,48,89,187,A,,,,,,,,,A. Gaudenzi,G. Blanco,G254,B518,ITA,ESP,,
410,1998,ATP Masters 1000 Monte-Carlo,1000,1998-04-20T00:00:00,1998-04-26T00:00:00,Clay,56,2200000,$,MS026,R32,00:53:00,,F,2,M605,"6-1,6-1",C. Moya,H. Arazi,,,ESP,MAR,6-1,6-1,,,,00:53:00,285,/en/stats/leaderboard?page=serve,3,4,46,19,41,89,17,19,64,14,22,,0,,7,162,/en/stats/leaderboard?page=serve,2,2,47,27,58,52,14,27,35,11,31,64,9,14,7,76,31,41,57,33,58,65,64,99,43,25,58,24,10,41,35,35,99,A,,,,,,,,,C. Moya,H. Arazi,M605,A226,ESP,MAR,,
410,1998,ATP Masters 1000 Monte-Carlo,1000,1998-04-20T00:00:00,1998-04-26T00:00:00,Clay,56,2200000,$,MS027,R32,02:01:00,,F,3,K267,"4-6,6-2,6-2",Y. Kafelnikov,M. Woodforde,,,RUS,AUS,4-6,6-2,6-2,,,02:01:00,235,/en/stats/leaderboard?page=serve,10,3,54,58,108,72,42,58,40,20,50,80,12,15,13,206,/en/stats/leaderboard?page=serve,2,5,50,42,84,64,27,42,36,15,42,54,7,13,13,57,62,108,50,42,84,54,104,192,50,42,84,43,46,108,46,88,192,A,,,,,,,,,Y. Kafelnikov,M. Woodforde,K267,W035,RUS,AUS,,
410,1998,ATP Masters 1000 Monte-Carlo,1000,1998-04-20T00:00:00,1998-04-26T00:00:00,Clay,56,2200000,$,MS028,R32,01:09:00,,F,2,K214,"6-4,6-2",R. Krajicek,J. Viloca-Puig,,,NED,ESP,6-4,6-2,,,,01:09:00,264,/en/stats/leaderboard?page=serve,3,3,48,30,63,70,21,30,58,19,33,75,3,4,9,223,/en/stats/leaderboard?page=serve,2,3,67,34,51,59,20,34,41,7,17,50,4,8,9,63,40,63,47,24,51,56,64,114,53,27,51,37,23,63,44,50,114,A,,,,,,,,,R. Krajicek,J. Viloca-Puig,K214,V161,NED,ESP,,
410,1998,ATP Masters 1000 Monte-Carlo,1000,1998-04-20T00:00:00,1998-04-26T00:00:00,Clay,56,2200000,$,MS029,R32,01:11:00,,F,2,U032,"6-4,6-2",B. Ulihrach,N. Kiefer,,,CZE,GER,6-4,6-2,,,,01:11:00,229,/en/stats/leaderboard?page=serve,1,1,52,27,52,63,17,27,48,12,25,25,1,4,9,166,/en/stats/leaderboard?page=serve,5,2,48,32,66,50,16,32,38,13,34,0,0,6,9,56,29,52,56,37,66,56,66,118,44,29,66,44,23,52,44,52,118,A,,,,,,,,,B. Ulihrach,N. Kiefer,U032,K316,CZE,GER,,
410,1998,ATP Masters 1000 Monte-Carlo,1000,1998-04-20T00:00:00,1998-04-26T00:00:00,Clay,56,2200000,$,MS030,R32,01:17:00,,F,2,C378,"6-4,6-2",A. Costa,M. Gustafsson,,,ESP,SWE,6-4,6-2,,,,01:17:00,240,/en/stats/leaderboard?page=serve,,1,78,56,72,57,32,56,38,6,16,67,6,9,9,169,/en/stats/leaderboard?page=serve,6,1,52,30,58,43,13,30,46,13,28,33,3,9,9,53,38,72,55,32,58,54,70,130,45,26,58,47,34,72,46,60,130,A,,,,,,False,,,A. Costa,M. Gustafsson,C378,G182,ESP,SWE,,
