event_id,event_year,tourney_name,level,start_date,end_date,surface,singles_draw_size,prize_money,prize_money_currency,match_id,round,match_time_total,match_message,match_status,num_sets,winner_flag_raw,score_string,winner_player_name,loser_player_name,winner_seed,loser_seed,winner_country,loser_country,set1_score,set2_score,set3_score,set4_score,set5_score,match_date,tiebreak_set3_winner,tiebreak_set3_loser,serverating_tot_winner,serveratinglink_tot_winner,doublefaults_tot_winner,aces_tot_winner,firstserve_percent_tot_winner,firstserve_dividend_tot_winner,firstserve_divisor_tot_winner,firstservepointswon_percent_tot_winner,firstservepointswon_dividend_tot_winner,firstservepointswon_divisor_tot_winner,secondservepointswon_percent_tot_winner,secondservepointswon_dividend_tot_winner,secondservepointswon_divisor_tot_winner,breakpointssaved_percent_tot_winner,breakpointssaved_dividend_tot_winner,breakpointssaved_divisor_tot_winner,servicegamesplayed_tot_winner,serverating_tot_loser,serveratinglink_tot_loser,doublefaults_tot_loser,aces_tot_loser,firstserve_percent_tot_loser,firstserve_dividend_tot_loser,firstserve_divisor_tot_loser,firstservepointswon_percent_tot_loser,firstservepointswon_dividend_tot_loser,firstservepointswon_divisor_tot_loser,secondservepointswon_percent_tot_loser,secondservepointswon_dividend_tot_loser,secondservepointswon_divisor_tot_loser,breakpointssaved_percent_tot_loser,breakpointssaved_dividend_tot_loser,breakpointssaved_divisor_tot_loser,servicegamesplayed_tot_loser,totalservicepointswon_percent_tot_winner,totalservicepointswon_dividend_tot_winner,totalservicepointswon_divisor_tot_winner,totalreturnpointswon_percent_tot_winner,totalreturnpointswon_dividend_tot_winner,totalreturnpointswon_divisor_tot_winner,totalpointswon_percent_tot_winner,totalpointswon_dividend_tot_winner,totalpointswon_divisor_tot_winner,totalservicepointswon_percent_tot_loser,totalservicepointswon_dividend_tot_loser,totalservicepointswon_divisor_tot_loser,totalreturnpointswon_percent_tot_loser,totalreturnpointswon_dividend_tot_loser,totalreturnpointswon_divisor_tot_loser,totalpointswon_percent_tot_loser,totalpointswon_dividend_tot_loser,totalpointswon_divisor_tot_loser,winner_flag,tiebreak_set2_winner,tiebreak_set2_loser,tiebreak_set5_winner,tiebreak_set5_loser,tiebreak_set4_winner,tiebreak_set4_loser,tiebreak_set1_winner,tiebreak_set1_loser,player_winner,player_loser,player_id_winner,player_id_loser,country_winner,country_loser,seed_winner,seed_loser
560,2005,US Open,GS,2005-08-29T00:00:00,2005-09-11T00:00:00,Hard,128,7950000,$,MS022,R32,03:04:00,,F,5,V306,"6-1,4-6,6-7(2),6-4,6-4",F. Verdasco,N. Djokovic,,,ESP,SRB,6-1,4-6,6-7(2),6-4,6-4,03:04:00,2.0,7.0,271,/en/stats/leaderboard?page=serve,13,13,61,90,148,77,69,90,50,29,58,64,7,11,24,255,/en/stats/leaderboard?page=serve,3,5,69,106,154,62,66,106,54,26,48,43,6,14,25,66,98,148,40,62,154,53,160,302,60,92,154,34,50,148,47,142,302,A,,,,,,,,,F. Verdasco,N. Djokovic,V306,D643,ESP,SRB,,
560,2005,US Open,GS,2005-08-29T00:00:00,2005-09-11T00:00:00,Hard,128,7950000,$,MS023,R32,02:26:00,,F,4,N289,"6-3,7-6(7),3-6,6-3",J. Nieminen,M. Mirnyi,,,FIN,BLR,6-3,7-6(7),3-6,6-3,,02:26:00,,,315,/en/stats/leaderboard?page=serve,1,3,76,87,115,75,65,87,68,19,28,80,4,5,19,290,/en/stats/leaderboard?page=serve,8,22,64,84,132,71,60,84,56,27,48,75,9,12,20,73,84,115,34,45,132,52,129,247,66,87,132,27,31,115,48,118,247,A,7.0,5.0,,,,,,,J. Nieminen,M. Mirnyi,N289,M595,FIN,BLR,,
560,2005,US Open,GS,2005-08-29T00:00:00,2005-09-11T00:00:00,Hard,128,7950000,$,MS024,R32,02:41:00,,F,4,C524,"6-2,6-7(4),6-1,6-4",G. Coria,R. Soderling,,,ARG,SWE,6-2,6-7(4),6-1,6-4,,02:41:00,,,307,/en/stats/leaderboard?page=serve,6,9,74,95,128,72,68,95,58,19,33,100,3,3,19,247,/en/stats/leaderboard?page=serve,9,14,63,92,146,66,61,92,41,22,54,58,7,12,18,68,87,128,43,63,146,55,150,274,57,83,146,32,41,128,45,124,274,A,4.0,7.0,,,,,,,G. Coria,R. Soderling,C524,SA49,ARG,SWE,,
560,2005,US Open,GS,2005-08-29T00:00:00,2005-09-11T00:00:00,Hard,128,7950000,$,MS025,R32,02:24:00,,F,3,M655,"6-4,6-3,6-0",N. Massu,S. Wawrinka,,,CHI,SUI,6-4,6-3,6-0,,,02:24:00,,,261,/en/stats/leaderboard?page=serve,2,1,62,61,98,66,40,61,51,19,37,86,12,14,12,190,/en/stats/leaderboard?page=serve,4,4,58,46,80,50,23,46,44,15,34,38,5,13,13,60,59,98,53,42,80,57,101,178,48,38,80,40,39,98,43,77,178,A,,,,,,,,,N. Massu,S. Wawrinka,M655,W367,CHI,SUI,,
560,2005,US Open,GS,2005-08-29T00:00:00,2005-09-11T00:00:00,Hard,128,7950000,$,MS026,R32,03:47:00,,F,5,G628,"3-6,7-6(8),6-7(7),6-3,6-2",R. Gasquet,I. Ljubicic,,,FRA,CRO,3-6,7-6(8),6-7(7),6-3,6-2,03:47:00,7.0,9.0,281,/en/stats/leaderboard?page=serve,5,6,73,125,172,72,90,125,47,22,47,70,7,10,25,283,/en/stats/leaderboard?page=serve,3,21,61,102,166,68,69,102,56,36,64,62,8,13,25,65,112,172,37,61,166,51,173,338,63,105,166,35,60,172,49,165,338,A,8.0,6.0,,,,,,,R. Gasquet,I. Ljubicic,G628,L360,FRA,CRO,,
560,2005,US Open,GS,2005-08-29T00:00:00,2005-09-11T00:00:00,Hard,128,7950000,$,MS027,R32,03:18:00,,F,5,G569,"7-5,6-7(3),6-4,2-6,6-3",R. Ginepri,T. Haas,,,USA,GER,7-5,6-7(3),6-4,2-6,6-3,03:18:00,,,275,/en/stats/leaderboard?page=serve,4,20,56,92,163,72,66,92,51,36,71,64,9,14,26,257,/en/stats/leaderboard?page=serve,7,9,53,80,150,70,56,80,56,39,70,54,7,13,25,63,102,163,37,55,150,50,157,313,63,95,150,37,61,163,50,156,313,A,3.0,7.0,,,,,,,R. Ginepri,T. Haas,G569,H355,USA,GER,,
560,2005,US Open,GS,2005-08-29T00:00:00,2005-09-11T00:00:00,Hard,128,7950000,$,MS028,R32,02:29:00,,F,4,A092,"3-6,6-1,6-4,7-6(7)",A. Agassi,T. Berdych,,,USA,CZE,3-6,6-1,6-4,7-6(7),,02:29:00,,,280,/en/stats/leaderboard?page=serve,7,14,56,75,133,68,51,75,60,35,58,71,5,7,19,268,/en/stats/leaderboard?page=serve,3,11,60,72,121,69,50,72,53,26,49,56,5,9,19,65,86,133,37,45,121,52,131,254,63,76,121,35,47,133,48,123,254,A,,,,,7.0,2.0,,,A. Agassi,T. Berdych,A092,BA47,USA,CZE,,
560,2005,US Open,GS,2005-08-29T00:00:00,2005-09-11T00:00:00,Hard,128,7950000,$,MS029,R32,02:57:00,,F,5,M680,"5-7,1-6,6-1,7-5,7-6(7)",X. Malisse,M. Youzhny,,,BEL,RUS,5-7,1-6,6-1,7-5,7-6(7),02:57:00,,,275,/en/stats/leaderboard?page=serve,4,14,61,93,152,77,72,93,47,28,59,58,7,12,25,260,/en/stats/leaderboard?page=serve,3,6,49,73,150,71,52,73,57,44,77,64,9,14,25,66,100,152,36,54,150,51,154,302,64,96,150,34,52,152,49,148,302,A,,,7.0,1.0,,,,,X. Malisse,M. Youzhny,M680,Y061,BEL,RUS,,
560,2005,US Open,GS,2005-08-29T00:00:00,2005-09-11T00:00:00,Hard,128,7950000,$,MS030,R32,03:21:00,,F,4,R419,"6-4,7-5,6-7(3),7-6(7)",T. Robredo,S. Grosjean,,,ESP,FRA,6-4,7-5,6-7(3),7-6(7),,03:21:00,3.0,7.0,293,/en/stats/leaderboard?page=serve,5,7,66,100,151,73,73,100,61,31,51,75,6,8,23,269,/en/stats/leaderboard?page=serve,2,7,50,73,145,78,57,73,54,39,72,50,4,8,23,69,104,151,34,49,145,52,153,296,66,96,145,31,47,151,48,143,296,A,,,,,7.0,3.0,,,T. Robredo,S. Grosjean,R419,G379,ESP,FRA,,
560,2005,US Open,GS,2005-08-29T00:00:00,2005-09-11T00:00:00,Hard,128,7950000,$,MS031,R32,02:25:00,,F,4,B676,"6-4,4-6,6-3,6-1",J. Blake,R. Nadal,,,USA,ESP,6-4,4-6,6-3,6-1,,02:25:00,,,286,/en/stats/leaderboard?page=serve,3,10,64,74,115,76,56,74,51,21,41,80,8,10,18,246,/en/stats/leaderboard?page=serve,4,3,77,79,102,61,48,79,43,10,23,14,1,7,18,67,77,115,43,44,102,56,121,217,57,58,102,33,38,115,44,96,217,A,,,,,,,,,J. Blake,R. Nadal,B676,N409,USA,ESP,,
560,2005,US Open,GS,2005-08-29T00:00:00,2005-09-11T00:00:00,Hard,128,7950000,$,MS032,R64,02:17:00,,F,3,F324,"7-5,7-5,7-6(7)",R. Federer,F. Santoro,,,SUI,FRA,7-5,7-5,7-6(7),,,02:17:00,7.0,2.0,293,/en/stats/leaderboard?page=serve,3,9,68,76,111,80,61,76,51,18,35,67,4,6,18,266,/en/stats/leaderboard?page=serve,0,5,65,78,120,62,48,78,57,24,42,60,6,10,18,71,79,111,40,48,120,55,127,231,60,72,120,29,32,111,45,104,231,A,,,,,,,,,R. Federer,F. Santoro,F324,S424,SUI,FRA,,
