event_id,event_year,tourney_name,level,start_date,end_date,surface,singles_draw_size,prize_money,prize_money_currency,match_id,round,match_time_total,match_message,match_status,num_sets,winner_flag_raw,score_string,winner_player_name,loser_player_name,winner_seed,loser_seed,winner_country,loser_country,set1_score,set2_score,set3_score,set4_score,set5_score,match_date,serverating_tot_winner,serveratinglink_tot_winner,doublefaults_tot_winner,aces_tot_winner,firstserve_percent_tot_winner,firstserve_dividend_tot_winner,firstserve_divisor_tot_winner,firstservepointswon_percent_tot_winner,firstservepointswon_dividend_tot_winner,firstservepointswon_divisor_tot_winner,secondservepointswon_percent_tot_winner,secondservepointswon_dividend_tot_winner,secondservepointswon_divisor_tot_winner,breakpointssaved_percent_tot_winner,breakpointssaved_dividend_tot_winner,breakpointssaved_divisor_tot_winner,servicegamesplayed_tot_winner,serverating_tot_loser,serveratinglink_tot_loser,doublefaults_tot_loser,aces_tot_loser,firstserve_percent_tot_loser,firstserve_dividend_tot_loser,firstserve_divisor_tot_loser,firstservepointswon_percent_tot_loser,firstservepointswon_dividend_tot_loser,firstservepointswon_divisor_tot_loser,secondservepointswon_percent_tot_loser,secondservepointswon_dividend_tot_loser,secondservepointswon_divisor_tot_loser,breakpointssaved_percent_tot_loser,breakpointssaved_dividend_tot_loser,breakpointssaved_divisor_tot_loser,servicegamesplayed_tot_loser,totalservicepointswon_percent_tot_winner,totalservicepointswon_dividend_tot_winner,totalservicepointswon_divisor_tot_winner,totalreturnpointswon_percent_tot_winner,totalreturnpointswon_dividend_tot_winner,totalreturnpointswon_divisor_tot_winner,totalpointswon_percent_tot_winner,totalpointswon_dividend_tot_winner,totalpointswon_divisor_tot_winner,totalservicepointswon_percent_tot_loser,totalservicepointswon_dividend_tot_loser,totalservicepointswon_divisor_tot_loser,totalreturnpointswon_percent_tot_loser,totalreturnpointswon_dividend_tot_loser,totalreturnpointswon_divisor_tot_loser,totalpointswon_percent_tot_loser,totalpointswon_dividend_tot_loser,totalpointswon_divisor_tot_loser,winner_flag,doublefaults_isstatbetter_tot_winner,tiebreak_set1_winner,tiebreak_set1_loser,tiebreak_set2_winner,tiebreak_set2_loser,tiebreak_set3_winner,tiebreak_set3_loser,doublefaults_isstatbetter_tot_loser,player_winner,player_loser,player_id_winner,player_id_loser,country_winner,country_loser,seed_winner,seed_loser
891,1997,Chennai,GP,1997-04-07T00:00:00,1997-04-13T00:00:00,Hard,32,405000,$,MS011,R16,01:31:00,,F,3,T166,"6-1,3-6,6-0",M. Tillstrom,O. Delaitre,,,SWE,FRA,6-1,3-6,6-0,,,01:31:00,257,/en/stats/leaderboard?page=serve,1,5,48,35,73,66,23,35,58,22,38,60,3,5,11,195,/en/stats/leaderboard?page=serve,2,0,49,39,80,69,27,39,34,14,41,63,10,16,11,62,45,73,49,39,80,55,84,153,51,41,80,38,28,73,45,69,153,A,,,,,,,,,M. Tillstrom,O. Delaitre,T166,D015,SWE,FRA,,
891,1997,Chennai,GP,1997-04-07T00:00:00,1997-04-13T00:00:00,Hard,32,405000,$,MS012,R16,01:25:00,,F,2,R284,"6-4,7-5",A. Radulescu,F. Wibier,,,GER,NED,6-4,7-5,,,,01:25:00,295,/en/stats/leaderboard?page=serve,2,6,52,32,62,72,23,32,77,23,30,,0,,11,277,/en/stats/leaderboard?page=serve,3,6,76,55,72,64,35,55,53,9,17,60,3,5,11,74,46,62,39,28,72,55,74,134,61,44,72,26,16,62,45,60,134,A,,,,,,,,,A. Radulescu,F. Wibier,R284,W171,GER,NED,,
891,1997,Chennai,GP,1997-04-07T00:00:00,1997-04-13T00:00:00,Hard,32,405000,$,MS013,R16,01:51:00,,F,3,W124,"3-6,7-6(7),6-1",M. Washington,O. Ogorodov,,,USA,UZB,3-6,7-6(7),6-1,,,01:51:00,276,/en/stats/leaderboard?page=serve,6,8,58,46,79,80,37,46,52,17,33,60,3,5,13,253,/en/stats/leaderboard?page=serve,5,6,61,55,90,75,41,55,43,15,35,60,6,10,15,68,54,79,38,34,90,52,88,169,62,56,90,32,25,79,48,81,169,A,,,,7,3,,,,M. Washington,O. Ogorodov,W124,O127,USA,UZB,,
891,1997,Chennai,GP,1997-04-07T00:00:00,1997-04-13T00:00:00,Hard,32,405000,$,MS014,R16,01:45:00,,F,2,S523,"7-6(7),6-2",G. Solves,L. Roux,,,FRA,FRA,7-6(7),6-2,,,,01:45:00,249,/en/stats/leaderboard?page=serve,6,5,53,48,90,69,33,48,48,20,42,78,7,9,10,234,/en/stats/leaderboard?page=serve,3,5,57,38,67,63,24,38,52,15,29,33,2,6,10,59,53,90,42,28,67,52,81,157,58,39,67,41,37,90,48,76,157,A,,7,4,,,,,,G. Solves,L. Roux,S523,R280,FRA,FRA,,
891,1997,Chennai,GP,1997-04-07T00:00:00,1997-04-13T00:00:00,Hard,32,405000,$,MS015,R16,01:33:00,,F,2,S636,"6-4,7-5",R. Schuettler,G. Etlis,,,GER,ARG,6-4,7-5,,,,01:33:00,250,/en/stats/leaderboard?page=serve,6,0,70,43,61,70,30,43,44,8,18,50,3,6,11,224,/en/stats/leaderboard?page=serve,3,4,68,64,94,48,31,64,53,16,30,55,6,11,11,62,38,61,50,47,94,55,85,155,50,47,94,38,23,61,45,70,155,A,,,,,,,,,R. Schuettler,G. Etlis,S636,E138,GER,ARG,,
891,1997,Chennai,GP,1997-04-07T00:00:00,1997-04-13T00:00:00,Hard,32,405000,$,MS016,R32,01:12:00,,F,2,K214,"6-4,6-4",R. Krajicek,T. Nydahl,,,NED,SWE,6-4,6-4,,,,01:12:00,228,/en/stats/leaderboard?page=serve,3,16,53,26,49,92,24,26,70,16,23,0,0,,10,250,/en/stats/leaderboard?page=serve,10,2,56,36,64,86,31,36,36,10,28,71,5,7,10,82,40,49,36,23,64,56,63,113,64,41,64,18,9,49,44,50,113,A,,,,,,,,,R. Krajicek,T. Nydahl,K214,N099,NED,SWE,,
891,1997,Chennai,GP,1997-04-07T00:00:00,1997-04-13T00:00:00,Hard,32,405000,$,MS017,R32,02:01:00,,F,3,P280,"6-3,3-6,7-6(7)",A. Pavel,J. Golmard,,,ROU,FRA,6-3,3-6,7-6(7),,,02:01:00,268,/en/stats/leaderboard?page=serve,8,9,62,55,89,78,43,55,47,16,34,50,3,6,15,270,/en/stats/leaderboard?page=serve,4,7,64,59,92,78,46,59,45,15,33,63,5,8,15,66,59,89,34,31,92,50,90,181,66,61,92,34,30,89,50,91,181,A,,,,,,7,4,,A. Pavel,J. Golmard,P280,G319,ROU,FRA,,
891,1997,Chennai,GP,1997-04-07T00:00:00,1997-04-13T00:00:00,Hard,32,405000,$,MS018,R32,01:01:00,,F,2,C023,"6-1,6-3",P. Cash,M. Bhupathi,,,AUS,IND,6-1,6-3,,,,01:01:00,203,/en/stats/leaderboard?page=serve,3,6,49,22,45,86,19,22,65,15,23,0,0,,8,208,/en/stats/leaderboard?page=serve,1,0,66,31,47,68,21,31,25,4,16,20,1,5,8,76,34,45,47,22,47,61,56,92,53,25,47,24,11,45,39,36,92,A,,,,,,,,,P. Cash,M. Bhupathi,C023,B471,AUS,IND,,
891,1997,Chennai,GP,1997-04-07T00:00:00,1997-04-13T00:00:00,Hard,32,405000,$,MS019,R32,01:00:00,,F,2,N250,"6-2,6-1",M. Norman,E. Ran,,,SWE,ISR,6-2,6-1,,,,01:00:00,252,/en/stats/leaderboard?page=serve,3,4,47,20,43,90,18,20,57,13,23,,0,,7,182,/en/stats/leaderboard?page=serve,1,2,59,30,51,47,14,30,38,8,21,17,1,6,8,72,31,43,57,29,51,64,60,94,43,22,51,28,12,43,36,34,94,A,,,,,,,,,M. Norman,E. Ran,N250,R243,SWE,ISR,,
891,1997,Chennai,GP,1997-04-07T00:00:00,1997-04-13T00:00:00,Hard,32,405000,$,MS020,R32,01:01:00,,F,2,S403,"6-0,6-3",J. Stark,S. Narla,,,USA,IND,6-0,6-3,,,,01:01:00,298,/en/stats/leaderboard?page=serve,2,9,71,22,31,91,20,22,44,4,9,0,0,1,7,162,/en/stats/leaderboard?page=serve,5,1,55,40,73,53,21,40,33,11,33,50,6,12,8,77,24,31,56,41,73,63,65,104,44,32,73,23,7,31,38,39,104,A,,,,,,,,,J. Stark,S. Narla,S403,N260,USA,IND,,
