event_id,event_year,tourney_name,level,start_date,end_date,surface,singles_draw_size,prize_money,prize_money_currency,match_id,round,match_time_total,match_message,match_status,num_sets,winner_flag_raw,score_string,winner_player_name,loser_player_name,winner_seed,loser_seed,winner_country,loser_country,set1_score,set2_score,set3_score,set4_score,set5_score,match_date,serverating_tot_winner,serveratinglink_tot_winner,doublefaults_isstatbetter_tot_winner,aces_tot_winner,firstserve_percent_tot_winner,firstserve_dividend_tot_winner,firstserve_divisor_tot_winner,firstservepointswon_percent_tot_winner,firstservepointswon_dividend_tot_winner,firstservepointswon_divisor_tot_winner,secondservepointswon_percent_tot_winner,secondservepointswon_dividend_tot_winner,secondservepointswon_divisor_tot_winner,breakpointssaved_percent_tot_winner,breakpointssaved_dividend_tot_winner,breakpointssaved_divisor_tot_winner,servicegamesplayed_tot_winner,serverating_tot_loser,serveratinglink_tot_loser,doublefaults_isstatbetter_tot_loser,aces_tot_loser,firstserve_percent_tot_loser,firstserve_dividend_tot_loser,firstserve_divisor_tot_loser,firstservepointswon_percent_tot_loser,firstservepointswon_dividend_tot_loser,firstservepointswon_divisor_tot_loser,secondservepointswon_percent_tot_loser,secondservepointswon_dividend_tot_loser,secondservepointswon_divisor_tot_loser,breakpointssaved_percent_tot_loser,breakpointssaved_dividend_tot_loser,breakpointssaved_divisor_tot_loser,servicegamesplayed_tot_loser,totalservicepointswon_percent_tot_winner,totalservicepointswon_dividend_tot_winner,totalservicepointswon_divisor_tot_winner,totalreturnpointswon_percent_tot_winner,totalreturnpointswon_dividend_tot_winner,totalreturnpointswon_divisor_tot_winner,totalpointswon_percent_tot_winner,totalpointswon_dividend_tot_winner,totalpointswon_divisor_tot_winner,totalservicepointswon_percent_tot_loser,totalservicepointswon_dividend_tot_loser,totalservicepointswon_divisor_tot_loser,totalreturnpointswon_percent_tot_loser,totalreturnpointswon_dividend_tot_loser,totalreturnpointswon_divisor_tot_loser,totalpointswon_percent_tot_loser,totalpointswon_dividend_tot_loser,totalpointswon_divisor_tot_loser,winner_flag,doublefaults_tot_winner,doublefaults_tot_loser,tiebreak_set1_winner,tiebreak_set1_loser,tiebreak_set2_winner,tiebreak_set2_loser,secondservepointswon_isstatbetter_tot_loser,player_winner,player_loser,player_id_winner,player_id_loser,country_winner,country_loser,seed_winner,seed_loser
306,1998,St. Polten,WS,1998-05-18T00:00:00,1998-05-24T00:00:00,Clay,32,400000,$,MS021,R32,01:23:00,,F,2,N109,"6-4,6-2",D. Nargiso,H. Gumy,,,ITA,ARG,6-4,6-2,,,,01:23:00,274,/en/stats/leaderboard?page=serve,,6,62,33,53,85,28,33,35,7,20,0,0,1,9,213,/en/stats/leaderboard?page=serve,,0,66,38,58,61,23,38,35,7,20,0,0,4,9,66,35,53,48,28,58,57,63,111,52,30,58,34,18,53,43,48,111,A,2,4,,,,,,D. Nargiso,H. Gumy,N109,G247,ITA,ARG,,
306,1998,St. Polten,WS,1998-05-18T00:00:00,1998-05-24T00:00:00,Clay,32,400000,$,MS022,R32,01:04:00,,F,2,S015,"6-2,6-3",J. Sanchez,G. Pozzi,,,ESP,ITA,6-2,6-3,,,,01:04:00,319,/en/stats/leaderboard?page=serve,False,0,81,47,58,68,32,47,82,9,11,,0,,9,221,/en/stats/leaderboard?page=serve,False,2,42,22,52,68,15,22,47,14,30,63,5,8,8,71,41,58,44,23,52,58,64,110,56,29,52,29,17,58,42,46,110,A,,,,,,,,J. Sanchez,G. Pozzi,S015,P045,ESP,ITA,,
306,1998,St. Polten,WS,1998-05-18T00:00:00,1998-05-24T00:00:00,Clay,32,400000,$,MS023,R32,01:39:00,,F,2,C252,"6-3,6-1",F. Clavet,S. Campbell,,,ESP,USA,6-3,6-1,,,,01:39:00,294,/en/stats/leaderboard?page=serve,,0,62,26,42,77,20,26,69,11,16,50,1,2,8,186,/en/stats/leaderboard?page=serve,False,3,57,36,63,56,20,36,33,9,27,50,5,10,8,74,31,42,54,34,63,62,65,105,46,29,63,26,11,42,38,40,105,A,1,,,,,,,F. Clavet,S. Campbell,C252,C355,ESP,USA,,
306,1998,St. Polten,WS,1998-05-18T00:00:00,1998-05-24T00:00:00,Clay,32,400000,$,MS024,R32,01:03:00,,F,2,F165,"6-2,6-2",M. Filippini,G. Raoux,,,URU,FRA,6-2,6-2,,,,01:03:00,303,/en/stats/leaderboard?page=serve,False,1,78,42,54,62,26,42,75,9,12,75,3,4,8,186,/en/stats/leaderboard?page=serve,,1,55,26,47,42,11,26,52,11,21,38,3,8,8,65,35,54,53,25,47,59,60,101,47,22,47,35,19,54,41,41,101,A,,1,,,,,,M. Filippini,G. Raoux,F165,R186,URU,FRA,,
306,1998,St. Polten,WS,1998-05-18T00:00:00,1998-05-24T00:00:00,Clay,32,400000,$,MS025,R32,01:35:00,,F,2,S676,"6-4,6-3",O. Serrano,M. Hipfl,,,ESP,AUT,6-4,6-3,,,,01:35:00,255,/en/stats/leaderboard?page=serve,,6,56,45,80,64,29,45,51,18,35,75,6,8,10,233,/en/stats/leaderboard?page=serve,,2,70,43,61,53,23,43,56,10,18,43,3,7,9,59,47,80,46,28,61,53,75,141,54,33,61,41,33,80,47,66,141,A,2,3,,,,,,O. Serrano,M. Hipfl,S676,H364,ESP,AUT,,
306,1998,St. Polten,WS,1998-05-18T00:00:00,1998-05-24T00:00:00,Clay,32,400000,$,MS026,R32,01:25:00,,F,2,M578,"7-5,6-3",J. Marin,N. Lapentti,,,CRC,ECU,7-5,6-3,,,,01:25:00,242,/en/stats/leaderboard?page=serve,,2,58,33,57,67,22,33,54,13,24,0,0,4,11,175,/en/stats/leaderboard?page=serve,,1,74,52,70,62,32,52,,,18,50,6,12,10,61,35,57,54,38,70,57,73,127,,0,,39,22,57,,0,,A,2,2,,,,,False,J. Marin,N. Lapentti,M578,L290,CRC,ECU,,
306,1998,St. Polten,WS,1998-05-18T00:00:00,1998-05-24T00:00:00,Clay,32,400000,$,MS027,R32,01:42:00,,F,3,M099,"4-6,6-1,7-5",T. Muster,C. Trimmel,,,AUT,AUT,4-6,6-1,7-5,,,01:42:00,270,/en/stats/leaderboard?page=serve,,1,55,44,80,68,30,44,67,24,36,25,1,4,15,239,/en/stats/leaderboard?page=serve,,1,67,61,91,64,39,61,47,14,30,67,10,15,14,68,54,80,42,38,91,54,92,171,58,53,91,33,26,80,46,79,171,A,1,4,,,,,,T. Muster,C. Trimmel,M099,T231,AUT,AUT,,
306,1998,St. Polten,WS,1998-05-18T00:00:00,1998-05-24T00:00:00,Clay,32,400000,$,MS028,R32,02:06:00,,F,3,F164,"6-7(3),7-6(7),6-1",R. Fromberg,G. Stafford,,,AUS,RSA,6-7(3),7-6(7),6-1,,,02:06:00,279,/en/stats/leaderboard?page=serve,,9,63,60,95,75,45,60,54,19,35,57,4,7,16,228,/en/stats/leaderboard?page=serve,,2,55,56,101,75,42,56,40,18,45,55,6,11,15,67,64,95,41,41,101,54,105,196,59,60,101,33,31,95,46,91,196,A,3,10,3,7,7,1,,R. Fromberg,G. Stafford,F164,S406,AUS,RSA,,
306,1998,St. Polten,WS,1998-05-18T00:00:00,1998-05-24T00:00:00,Clay,32,400000,$,MS029,R32,01:59:00,,F,2,S544,"7-5,7-5",V. Spadea,K. Carlsen,,,USA,DEN,7-5,7-5,,,,01:59:00,288,/en/stats/leaderboard?page=serve,,1,83,55,66,78,43,55,36,4,11,67,2,3,12,252,/en/stats/leaderboard?page=serve,,9,58,53,91,74,39,53,39,15,38,70,7,10,12,71,47,66,41,37,91,54,84,157,59,54,91,29,19,66,46,73,157,A,1,3,,,,,,V. Spadea,K. Carlsen,S544,C328,USA,DEN,,
306,1998,St. Polten,WS,1998-05-18T00:00:00,1998-05-24T00:00:00,Clay,32,400000,$,MS030,R32,00:54:00,,F,2,S572,"6-1,6-3",S. Schalken,J. Viloca-Puig,,,NED,ESP,6-1,6-3,,,,00:54:00,294,/en/stats/leaderboard?page=serve,,3,62,24,39,83,20,24,60,9,15,50,1,2,8,187,/en/stats/leaderboard?page=serve,,0,78,35,45,43,15,35,30,3,10,29,2,7,8,74,29,39,60,27,45,67,56,84,40,18,45,26,10,39,33,28,84,A,1,1,,,,,,S. Schalken,J. Viloca-Puig,S572,V161,NED,ESP,,
306,1998,St. Polten,WS,1998-05-18T00:00:00,1998-05-24T00:00:00,Clay,32,400000,$,MS031,R32,01:29:00,,F,2,B397,"6-3,6-4",B. Black,P. Rafter,,,ZIM,AUS,6-3,6-4,,,,01:29:00,290,/en/stats/leaderboard?page=serve,,0,67,39,58,62,24,39,74,14,19,83,5,6,9,226,/en/stats/leaderboard?page=serve,,5,69,51,74,65,33,51,30,7,23,56,5,9,10,66,38,58,46,34,74,55,72,132,54,40,74,34,20,58,45,60,132,A,1,3,,,,,,B. Black,P. Rafter,B397,R255,ZIM,AUS,,
