event_id,event_year,tourney_name,level,start_date,end_date,surface,singles_draw_size,prize_money,prize_money_currency,match_id,round,match_time_total,match_message,match_status,num_sets,winner_flag_raw,score_string,winner_player_name,loser_player_name,winner_seed,loser_seed,winner_country,loser_country,set1_score,set2_score,set3_score,set4_score,set5_score,match_date,tiebreak_set1_winner,tiebreak_set1_loser,tiebreak_set3_winner,tiebreak_set3_loser,serverating_tot_winner,serveratinglink_tot_winner,doublefaults_tot_winner,aces_tot_winner,firstserve_percent_tot_winner,firstserve_dividend_tot_winner,firstserve_divisor_tot_winner,firstservepointswon_percent_tot_winner,firstservepointswon_dividend_tot_winner,firstservepointswon_divisor_tot_winner,secondservepointswon_percent_tot_winner,secondservepointswon_dividend_tot_winner,secondservepointswon_divisor_tot_winner,breakpointssaved_percent_tot_winner,breakpointssaved_dividend_tot_winner,breakpointssaved_divisor_tot_winner,servicegamesplayed_tot_winner,serverating_tot_loser,serveratinglink_tot_loser,doublefaults_tot_loser,aces_tot_loser,firstserve_percent_tot_loser,firstserve_dividend_tot_loser,firstserve_divisor_tot_loser,firstservepointswon_percent_tot_loser,firstservepointswon_dividend_tot_loser,firstservepointswon_divisor_tot_loser,secondservepointswon_percent_tot_loser,secondservepointswon_dividend_tot_loser,secondservepointswon_divisor_tot_loser,breakpointssaved_percent_tot_loser,breakpointssaved_dividend_tot_loser,breakpointssaved_divisor_tot_loser,servicegamesplayed_tot_loser,totalservicepointswon_percent_tot_winner,totalservicepointswon_dividend_tot_winner,totalservicepointswon_divisor_tot_winner,totalreturnpointswon_percent_tot_winner,totalreturnpointswon_dividend_tot_winner,totalreturnpointswon_divisor_tot_winner,totalpointswon_percent_tot_winner,totalpointswon_dividend_tot_winner,totalpointswon_divisor_tot_winner,totalservicepointswon_percent_tot_loser,totalservicepointswon_dividend_tot_loser,totalservicepointswon_divisor_tot_loser,totalreturnpointswon_percent_tot_loser,totalreturnpointswon_dividend_tot_loser,totalreturnpointswon_divisor_tot_loser,totalpointswon_percent_tot_loser,totalpointswon_dividend_tot_loser,totalpointswon_divisor_tot_loser,winner_flag,doublefaults_isstatbetter_tot_winner,tiebreak_set4_winner,tiebreak_set4_loser,doublefaults_isstatbetter_tot_loser,tiebreak_set2_winner,tiebreak_set2_loser,player_winner,player_loser,player_id_winner,player_id_loser,country_winner,country_loser,seed_winner,seed_loser
520,1996,Roland Garros,GS,1996-05-27T00:00:00,1996-06-09T00:00:00,Clay,128,5125107,$,MS023,R32,01:52:00,,F,3,K267,"6-4,6-2,6-2",Y. Kafelnikov,F. Mantilla,,,RUS,ESP,6-4,6-2,6-2,,,01:52:00,,,,,289,/en/stats/leaderboard?page=serve,1,7,58,51,88,82,42,51,51,19,37,80,4,5,13,226,/en/stats/leaderboard?page=serve,1,2,70,75,107,52,39,75,50,16,32,54,7,13,13,69,61,88,49,52,107,58,113,195,51,55,107,31,27,88,42,82,195,A,,,,,,,Y. Kafelnikov,F. Mantilla,K267,M535,RUS,ESP,,
520,1996,Roland Garros,GS,1996-05-27T00:00:00,1996-06-09T00:00:00,Clay,128,5125107,$,MS024,R32,01:09:00,,F,3,I034,"6-4,6-2,6-2",G. Ivanisevic,B. Ulihrach,,,CRO,CZE,6-4,6-2,6-2,,,01:09:00,,,,,278,/en/stats/leaderboard?page=serve,5,12,54,50,92,90,45,50,43,18,42,60,3,5,13,195,/en/stats/leaderboard?page=serve,4,5,53,41,77,59,24,41,36,13,36,22,2,9,13,68,63,92,52,40,77,61,103,169,48,37,77,32,29,92,39,66,169,A,,,,,,,G. Ivanisevic,B. Ulihrach,I034,U032,CRO,CZE,,
520,1996,Roland Garros,GS,1996-05-27T00:00:00,1996-06-09T00:00:00,Clay,128,5125107,$,MS025,R32,02:20:00,,F,4,K190,"4-6,6-4,6-2,6-3",B. Karbacher,P. Haarhuis,,,GER,NED,4-6,6-4,6-2,6-3,,02:20:00,,,,,291,/en/stats/leaderboard?page=serve,5,7,56,66,118,83,55,66,56,29,52,80,4,5,19,284,/en/stats/leaderboard?page=serve,,7,74,99,134,60,59,99,66,23,35,64,7,11,18,71,84,118,39,52,134,54,136,252,61,82,134,29,34,118,46,116,252,A,,,,False,,,B. Karbacher,P. Haarhuis,K190,H223,GER,NED,,
520,1996,Roland Garros,GS,1996-05-27T00:00:00,1996-06-09T00:00:00,Clay,128,5125107,$,MS026,R32,01:28:00,,F,3,R214,"6-4,6-4,6-1",M. Rosset,J. Hlasek,,,SUI,SUI,6-4,6-4,6-1,,,01:28:00,,,,,301,/en/stats/leaderboard?page=serve,4,11,60,49,82,94,46,49,48,16,33,0,0,1,13,226,/en/stats/leaderboard?page=serve,1,4,64,54,85,63,34,54,39,12,31,33,3,9,14,76,62,82,46,39,85,60,101,167,54,46,85,24,20,82,40,66,167,A,,,,,,,M. Rosset,J. Hlasek,R214,H025,SUI,SUI,,
520,1996,Roland Garros,GS,1996-05-27T00:00:00,1996-06-09T00:00:00,Clay,128,5125107,$,MS027,R32,02:43:00,,F,4,E004,"4-6,7-5,6-0,7-6(7)",S. Edberg,M. Chang,,,SWE,USA,4-6,7-5,6-0,7-6(7),,02:43:00,,,,,296,/en/stats/leaderboard?page=serve,1,8,70,89,128,75,67,89,59,23,39,40,2,5,20,241,/en/stats/leaderboard?page=serve,5,8,51,73,144,73,53,73,44,31,71,57,8,14,20,70,90,128,42,60,144,55,150,272,58,84,144,30,38,128,45,122,272,A,,7,1,,,,S. Edberg,M. Chang,E004,C274,SWE,USA,,
520,1996,Roland Garros,GS,1996-05-27T00:00:00,1996-06-09T00:00:00,Clay,128,5125107,$,MS028,R32,02:22:00,,F,4,P226,"4-6,6-1,6-4,6-0",C. Pioline,A. Berasategui,,,FRA,ESP,4-6,6-1,6-4,6-0,,02:22:00,,,,,270,/en/stats/leaderboard?page=serve,2,6,63,70,111,80,56,70,41,17,41,67,6,9,17,214,/en/stats/leaderboard?page=serve,1,0,77,77,100,53,41,77,35,8,23,38,5,13,16,66,73,111,51,51,100,59,124,211,49,49,100,34,38,111,41,87,211,A,,,,,,,C. Pioline,A. Berasategui,P226,B428,FRA,ESP,,
520,1996,Roland Garros,GS,1996-05-27T00:00:00,1996-06-09T00:00:00,Clay,128,5125107,$,MS029,R32,01:30:00,,F,3,R286,"6-3,6-3,6-2",M. Rios,P. Korda,,,CHI,CZE,6-3,6-3,6-2,,,01:30:00,,,,,283,/en/stats/leaderboard?page=serve,3,5,56,49,87,80,39,49,53,20,38,83,5,6,13,242,/en/stats/leaderboard?page=serve,,5,75,66,88,59,39,66,50,11,22,54,7,13,13,68,59,87,43,38,88,55,97,175,57,50,88,32,28,87,45,78,175,A,,,,False,,,M. Rios,P. Korda,R286,K148,CHI,CZE,,
520,1996,Roland Garros,GS,1996-05-27T00:00:00,1996-06-09T00:00:00,Clay,128,5125107,$,MS030,R32,02:25:00,,F,4,S351,"4-6,6-0,6-4,7-6(7)",M. Stich,M. Tillstrom,,,GER,SWE,4-6,6-0,6-4,7-6(7),,02:25:00,,,,,293,/en/stats/leaderboard?page=serve,3,15,72,93,129,83,77,93,42,15,36,57,4,7,19,250,/en/stats/leaderboard?page=serve,1,3,84,113,134,63,71,113,33,7,21,57,8,14,19,71,92,129,42,56,134,56,148,263,58,78,134,29,37,129,44,115,263,A,,7,3,,,,M. Stich,M. Tillstrom,S351,T166,GER,SWE,,
520,1996,Roland Garros,GS,1996-05-27T00:00:00,1996-06-09T00:00:00,Clay,128,5125107,$,MS031,R32,01:05:00,,F,2,M099,"6-2,5-2",T. Muster,A. Voinea,,,AUT,ROU,6-2,5-2,,,,01:05:00,,,,,265,/en/stats/leaderboard?page=serve,,0,74,34,46,71,24,34,58,7,12,,0,,8,196,/en/stats/leaderboard?page=serve,3,1,49,27,55,56,15,27,43,12,28,43,3,7,8,67,31,46,51,28,55,58,59,101,49,27,55,33,15,46,42,42,101,A,False,,,,,,T. Muster,A. Voinea,M099,V166,AUT,ROU,,
520,1996,Roland Garros,GS,1996-05-27T00:00:00,1996-06-09T00:00:00,Clay,128,5125107,$,MS032,R64,02:59:00,,F,5,S402,"6-3,6-4,6-7(2),2-6,6-3",P. Sampras,S. Bruguera,,,USA,ESP,6-3,6-4,6-7(2),2-6,6-3,02:59:00,,,2,7,279,/en/stats/leaderboard?page=serve,6,9,59,113,193,81,92,113,44,35,80,90,18,20,25,312,/en/stats/leaderboard?page=serve,,11,70,96,137,77,74,96,68,28,41,57,4,7,23,66,127,193,26,35,137,49,162,330,74,102,137,34,66,193,51,168,330,A,,,,False,,,P. Sampras,S. Bruguera,S402,B350,USA,ESP,,
