event_id,event_year,tourney_name,level,start_date,end_date,surface,singles_draw_size,prize_money,prize_money_currency,match_id,round,match_time_total,match_message,match_status,num_sets,winner_flag_raw,score_string,winner_player_name,loser_player_name,winner_seed,loser_seed,winner_country,loser_country,set1_score,set2_score,set3_score,set4_score,set5_score,match_date,serverating_tot_winner,serveratinglink_tot_winner,doublefaults_tot_winner,aces_tot_winner,firstserve_percent_tot_winner,firstserve_dividend_tot_winner,firstserve_divisor_tot_winner,firstservepointswon_percent_tot_winner,firstservepointswon_dividend_tot_winner,firstservepointswon_divisor_tot_winner,secondservepointswon_percent_tot_winner,secondservepointswon_dividend_tot_winner,secondservepointswon_divisor_tot_winner,breakpointssaved_dividend_tot_winner,servicegamesplayed_tot_winner,serverating_tot_loser,serveratinglink_tot_loser,doublefaults_tot_loser,aces_tot_loser,firstserve_percent_tot_loser,firstserve_dividend_tot_loser,firstserve_divisor_tot_loser,firstservepointswon_percent_tot_loser,firstservepointswon_dividend_tot_loser,firstservepointswon_divisor_tot_loser,secondservepointswon_percent_tot_loser,secondservepointswon_dividend_tot_loser,secondservepointswon_divisor_tot_loser,breakpointssaved_percent_tot_loser,breakpointssaved_dividend_tot_loser,breakpointssaved_divisor_tot_loser,servicegamesplayed_tot_loser,totalservicepointswon_percent_tot_winner,totalservicepointswon_dividend_tot_winner,totalservicepointswon_divisor_tot_winner,totalreturnpointswon_percent_tot_winner,totalreturnpointswon_dividend_tot_winner,totalreturnpointswon_divisor_tot_winner,totalpointswon_percent_tot_winner,totalpointswon_dividend_tot_winner,totalpointswon_divisor_tot_winner,totalservicepointswon_percent_tot_loser,totalservicepointswon_dividend_tot_loser,totalservicepointswon_divisor_tot_loser,totalreturnpointswon_percent_tot_loser,totalreturnpointswon_dividend_tot_loser,totalreturnpointswon_divisor_tot_loser,totalpointswon_percent_tot_loser,totalpointswon_dividend_tot_loser,totalpointswon_divisor_tot_loser,winner_flag,doublefaults_isstatbetter_tot_loser,tiebreak_set2_winner,tiebreak_set2_loser,breakpointssaved_percent_tot_winner,breakpointssaved_divisor_tot_winner,doublefaults_isstatbetter_tot_winner,secondservepointswon_isstatbetter_tot_loser,tiebreak_set1_winner,tiebreak_set1_loser,tiebreak_set3_winner,tiebreak_set3_loser,player_winner,player_loser,player_id_winner,player_id_loser,country_winner,country_loser,seed_winner,seed_loser
321,1996,Stuttgart-1,GP,1996-07-15T00:00:00,1996-07-21T00:00:00,Clay,48,915000,$,MS012,R16,01:09:00,,F,2,C344,"6-4,6-3",A. Corretja,C. Moya,,,ESP,ESP,6-4,6-3,,,,01:09:00,272,/en/stats/leaderboard?page=serve,1,0,53,23,43,78,18,23,65,13,20,2,9,218,/en/stats/leaderboard?page=serve,,3,70,45,64,53,24,45,42,8,19,50,5,10,10,72,31,43,50,32,64,59,63,107,50,32,64,28,12,43,41,44,107,A,False,,,50,4,,,,,,,A. Corretja,C. Moya,C344,M605,ESP,ESP,,
321,1996,Stuttgart-1,GP,1996-07-15T00:00:00,1996-07-21T00:00:00,Clay,48,915000,$,MS013,R16,01:51:00,,F,3,V037,"2-6,6-4,6-3",A. Volkov,S. Edberg,,,RUS,SWE,2-6,6-4,6-3,,,01:51:00,257,/en/stats/leaderboard?page=serve,4,4,51,44,86,70,31,44,52,22,42,5,13,268,/en/stats/leaderboard?page=serve,4,14,63,60,96,67,40,60,50,18,36,67,6,9,14,62,53,86,40,38,96,50,91,182,60,58,96,38,33,86,50,91,182,A,,,,71,7,,,,,,,A. Volkov,S. Edberg,V037,E004,RUS,SWE,,
321,1996,Stuttgart-1,GP,1996-07-15T00:00:00,1996-07-21T00:00:00,Clay,48,915000,$,MS014,R16,02:14:00,,F,3,M535,"5-7,6-4,7-5",F. Mantilla,M. Larsson,,,ESP,SWE,5-7,6-4,7-5,,,02:14:00,254,/en/stats/leaderboard?page=serve,1,3,71,87,122,68,59,87,43,15,35,10,17,237,/en/stats/leaderboard?page=serve,3,5,60,70,117,66,46,70,45,21,47,54,7,13,17,61,74,122,43,50,117,52,124,239,57,67,117,39,48,122,48,115,239,A,,,,67,15,,,,,,,F. Mantilla,M. Larsson,M535,L206,ESP,SWE,,
321,1996,Stuttgart-1,GP,1996-07-15T00:00:00,1996-07-21T00:00:00,Clay,48,915000,$,MS015,R16,01:14:00,,F,2,K267,"6-3,7-6(7)",Y. Kafelnikov,M. Tillstrom,,,RUS,SWE,6-3,7-6(7),,,,01:14:00,273,/en/stats/leaderboard?page=serve,1,3,47,34,72,79,27,34,55,21,38,3,11,267,/en/stats/leaderboard?page=serve,2,1,67,41,61,71,29,41,50,10,20,33,1,3,10,67,48,72,36,22,61,53,70,133,64,39,61,33,24,72,47,63,133,A,,7,5,75,4,,,,,,,Y. Kafelnikov,M. Tillstrom,K267,T166,RUS,SWE,,
321,1996,Stuttgart-1,GP,1996-07-15T00:00:00,1996-07-21T00:00:00,Clay,48,915000,$,MS016,R32,02:09:00,,F,2,M099,"7-6(7),7-6(7)",T. Muster,M. Gorriz,,,AUT,ESP,7-6(7),7-6(7),,,,02:09:00,271,/en/stats/leaderboard?page=serve,2,3,67,56,84,64,36,56,64,18,28,5,12,257,/en/stats/leaderboard?page=serve,,9,61,65,106,63,41,65,49,20,41,82,14,17,12,64,54,84,42,45,106,52,99,190,58,61,106,36,30,84,48,91,190,A,False,7,2,63,8,,,7,5,,,T. Muster,M. Gorriz,M099,G028,AUT,ESP,,
321,1996,Stuttgart-1,GP,1996-07-15T00:00:00,1996-07-21T00:00:00,Clay,48,915000,$,MS017,R32,01:48:00,,F,3,B518,"6-3,5-7,6-4",G. Blanco,J. Novak,,,ESP,CZE,6-3,5-7,6-4,,,01:48:00,257,/en/stats/leaderboard?page=serve,3,3,66,65,99,69,45,65,47,16,34,2,16,239,/en/stats/leaderboard?page=serve,7,10,61,68,112,66,45,68,43,19,44,69,11,16,15,62,61,99,43,48,112,52,109,211,57,64,112,38,38,99,48,102,211,A,,,,33,6,,,,,,,G. Blanco,J. Novak,B518,N254,ESP,CZE,,
321,1996,Stuttgart-1,GP,1996-07-15T00:00:00,1996-07-21T00:00:00,Clay,48,915000,$,MS018,R32,00:54:00,,F,2,G182,"6-1,6-3",M. Gustafsson,F. Dewulf,,,SWE,BEL,6-1,6-3,,,,00:54:00,299,/en/stats/leaderboard?page=serve,,1,69,31,45,71,22,31,71,10,14,0,8,169,/en/stats/leaderboard?page=serve,6,0,47,22,47,55,12,22,36,9,25,38,3,8,8,71,32,45,55,26,47,63,58,92,45,21,47,29,13,45,37,34,92,A,,,,0,1,False,,,,,,M. Gustafsson,F. Dewulf,G182,D228,SWE,BEL,,
321,1996,Stuttgart-1,GP,1996-07-15T00:00:00,1996-07-21T00:00:00,Clay,48,915000,$,MS019,R32,01:37:00,,F,2,C252,"6-4,6-4",F. Clavet,J. Krocsko,,,ESP,HUN,6-4,6-4,,,,01:37:00,231,/en/stats/leaderboard?page=serve,4,0,49,35,71,69,24,35,47,17,36,5,10,226,/en/stats/leaderboard?page=serve,1,0,76,48,63,48,23,48,53,8,15,17,1,6,10,58,41,71,51,32,63,54,73,134,49,31,63,42,30,71,46,61,134,A,,,,63,8,,,,,,,F. Clavet,J. Krocsko,C252,K154,ESP,HUN,,
321,1996,Stuttgart-1,GP,1996-07-15T00:00:00,1996-07-21T00:00:00,Clay,48,915000,$,MS020,R32,01:08:00,,F,2,G252,"6-0,7-6(7)",M. Goellner,M. Rios,,,GER,CHI,6-0,7-6(7),,,,01:08:00,279,/en/stats/leaderboard?page=serve,,10,58,34,59,74,25,34,60,15,25,4,9,198,/en/stats/leaderboard?page=serve,2,4,39,23,59,74,17,23,39,14,36,29,2,7,9,68,40,59,47,28,59,58,68,118,53,31,59,32,19,59,42,50,118,A,,7,5,67,6,False,,,,,,M. Goellner,M. Rios,G252,R286,GER,CHI,,
321,1996,Stuttgart-1,GP,1996-07-15T00:00:00,1996-07-21T00:00:00,Clay,48,915000,$,MS021,R32,01:24:00,,F,2,R203,"7-5,6-1",D. Rikl,H. Gumy,,,CZE,ARG,7-5,6-1,,,,01:24:00,272,/en/stats/leaderboard?page=serve,3,3,57,36,63,81,29,36,44,12,27,3,10,214,/en/stats/leaderboard?page=serve,5,0,61,44,72,64,28,44,39,11,28,56,5,9,9,65,41,63,46,33,72,55,74,135,54,39,72,35,22,63,45,61,135,A,,,,75,4,,,,,,,D. Rikl,H. Gumy,R203,G247,CZE,ARG,,
321,1996,Stuttgart-1,GP,1996-07-15T00:00:00,1996-07-21T00:00:00,Clay,48,915000,$,MS022,R32,01:47:00,,F,3,U032,"6-2,5-7,7-6(8)",B. Ulihrach,S. Dosedel,,,CZE,CZE,6-2,5-7,7-6(8),,,01:47:00,242,/en/stats/leaderboard?page=serve,3,6,59,57,96,74,42,57,38,15,39,3,16,223,/en/stats/leaderboard?page=serve,7,6,57,61,107,72,44,61,33,15,46,45,5,11,16,59,57,96,45,48,107,52,105,203,55,59,107,41,39,96,48,98,203,A,,,,38,8,,,,,8,6,B. Ulihrach,S. Dosedel,U032,D198,CZE,CZE,,
321,1996,Stuttgart-1,GP,1996-07-15T00:00:00,1996-07-21T00:00:00,Clay,48,915000,$,MS023,R32,01:59:00,,F,3,B428,"7-6(8),4-6,6-3",A. Berasategui,S. Bruguera,,,ESP,ESP,7-6(8),4-6,6-3,,,01:59:00,279,/en/stats/leaderboard?page=serve,2,5,82,82,100,70,57,82,44,8,18,7,15,253,/en/stats/leaderboard?page=serve,6,5,68,68,100,69,47,68,44,14,32,67,8,12,15,65,65,100,39,39,100,52,104,200,61,61,100,35,35,100,48,96,200,A,,,,70,10,,,8,6,,,A. Berasategui,S. Bruguera,B428,B350,ESP,ESP,,
321,1996,Stuttgart-1,GP,1996-07-15T00:00:00,1996-07-21T00:00:00,Clay,48,915000,$,MS024,R32,01:03:00,,F,2,M605,"6-3,6-2",C. Moya,S. Schalken,,,ESP,NED,6-3,6-2,,,,01:03:00,297,/en/stats/leaderboard?page=serve,,1,73,38,52,71,27,38,64,9,14,3,9,191,/en/stats/leaderboard?page=serve,3,2,44,22,50,59,13,22,39,11,28,33,2,6,8,69,36,52,52,26,50,61,62,102,48,24,50,31,16,52,39,40,102,A,,,,75,4,False,,,,,,C. Moya,S. Schalken,M605,S572,ESP,NED,,
321,1996,Stuttgart-1,GP,1996-07-15T00:00:00,1996-07-21T00:00:00,Clay,48,915000,$,MS025,R32,02:06:00,,F,3,C344,"5-7,6-2,6-4",A. Corretja,H. Dreekmann,,,ESP,GER,5-7,6-2,6-4,,,02:06:00,280,/en/stats/leaderboard?page=serve,3,2,65,61,94,72,44,61,58,19,33,6,15,249,/en/stats/leaderboard?page=serve,3,3,48,44,92,80,35,44,48,23,48,50,4,8,15,67,63,94,37,34,92,52,97,186,63,58,92,33,31,94,48,89,186,A,,,,75,8,,,,,,,A. Corretja,H. Dreekmann,C344,D249,ESP,GER,,
321,1996,Stuttgart-1,GP,1996-07-15T00:00:00,1996-07-21T00:00:00,Clay,48,915000,$,MS026,R32,02:14:00,,F,3,V037,"6-3,6-7(6),6-4",A. Volkov,A. Medvedev,,,RUS,UKR,6-3,6-7(6),6-4,,,02:14:00,267,/en/stats/leaderboard?page=serve,3,5,54,53,98,72,38,53,53,24,45,3,15,232,/en/stats/leaderboard?page=serve,4,8,50,60,119,68,41,60,42,25,59,50,5,10,16,63,62,98,45,53,119,53,115,217,55,66,119,37,36,98,47,102,217,A,,6,8,60,5,,,,,,,A. Volkov,A. Medvedev,V037,M475,RUS,UKR,,
321,1996,Stuttgart-1,GP,1996-07-15T00:00:00,1996-07-21T00:00:00,Clay,48,915000,$,MS027,R32,01:24:00,,F,2,E004,"6-4,6-3",S. Edberg,C. Ruud,,,SWE,NOR,6-4,6-3,,,,01:24:00,257,/en/stats/leaderboard?page=serve,1,2,61,42,69,62,26,42,56,15,27,8,9,202,/en/stats/leaderboard?page=serve,2,3,52,33,63,52,17,33,47,14,30,38,3,8,10,59,41,69,51,32,63,55,73,132,49,31,63,41,28,69,45,59,132,A,,,,80,10,,,,,,,S. Edberg,C. Ruud,E004,R219,SWE,NOR,,
321,1996,Stuttgart-1,GP,1996-07-15T00:00:00,1996-07-21T00:00:00,Clay,48,915000,$,MS028,R32,02:01:00,,F,3,M535,"6-3,0-6,6-4",F. Mantilla,M. Filippini,,,ESP,URU,6-3,0-6,6-4,,,02:01:00,253,/en/stats/leaderboard?page=serve,1,3,77,61,79,52,32,61,61,11,18,5,13,232,/en/stats/leaderboard?page=serve,6,5,60,59,99,69,41,59,38,15,40,71,10,14,12,54,43,79,43,43,99,48,86,178,57,56,99,46,36,79,52,92,178,A,,,,50,10,,,,,,,F. Mantilla,M. Filippini,M535,F165,ESP,URU,,
321,1996,Stuttgart-1,GP,1996-07-15T00:00:00,1996-07-21T00:00:00,Clay,48,915000,$,MS029,R32,01:21:00,,F,2,L206,"6-2,7-6(7)",M. Larsson,B. Karbacher,,,SWE,GER,6-2,7-6(7),,,,01:21:00,280,/en/stats/leaderboard?page=serve,,4,73,48,66,73,35,48,50,9,18,2,10,226,/en/stats/leaderboard?page=serve,5,6,51,38,75,63,24,38,51,19,37,64,7,11,10,67,44,66,43,32,75,54,76,141,57,43,75,33,22,66,46,65,141,A,,7,5,50,4,False,,,,,,M. Larsson,B. Karbacher,L206,K190,SWE,GER,,
321,1996,Stuttgart-1,GP,1996-07-15T00:00:00,1996-07-21T00:00:00,Clay,48,915000,$,MS030,R32,01:02:00,,F,2,T166,"6-3,6-3",M. Tillstrom,A. Chesnokov,,,SWE,RUS,6-3,6-3,,,,01:02:00,297,/en/stats/leaderboard?page=serve,,1,72,38,53,63,24,38,73,11,15,2,9,222,/en/stats/leaderboard?page=serve,1,2,54,28,52,54,15,28,58,14,24,0,0,4,9,66,35,53,44,23,52,55,58,105,56,29,52,34,18,53,45,47,105,A,,,,67,3,False,,,,,,M. Tillstrom,A. Chesnokov,T166,C031,SWE,RUS,,
321,1996,Stuttgart-1,GP,1996-07-15T00:00:00,1996-07-21T00:00:00,Clay,48,915000,$,MS031,R32,00:50:00,,F,2,K267,"6-1,6-4",Y. Kafelnikov,G. Kuerten,,,RUS,BRA,6-1,6-4,,,,00:50:00,293,/en/stats/leaderboard?page=serve,1,3,57,28,49,75,21,28,71,15,21,3,9,202,/en/stats/leaderboard?page=serve,4,0,56,28,50,68,19,28,32,7,22,56,5,9,8,73,36,49,48,24,50,61,60,99,52,26,50,27,13,49,39,39,99,A,,,,75,4,,,,,,,Y. Kafelnikov,G. Kuerten,K267,K293,RUS,BRA,,
