event_id,event_year,tourney_name,level,start_date,end_date,surface,singles_draw_size,prize_money,prize_money_currency,match_id,round,match_time_total,match_message,match_status,num_sets,winner_flag_raw,score_string,winner_player_name,loser_player_name,winner_seed,loser_seed,winner_country,loser_country,set1_score,set2_score,set3_score,set4_score,set5_score,match_date,serverating_tot_winner,serveratinglink_tot_winner,doublefaults_tot_winner,aces_tot_winner,firstserve_percent_tot_winner,firstserve_dividend_tot_winner,firstserve_divisor_tot_winner,firstservepointswon_percent_tot_winner,firstservepointswon_dividend_tot_winner,firstservepointswon_divisor_tot_winner,secondservepointswon_percent_tot_winner,secondservepointswon_dividend_tot_winner,secondservepointswon_divisor_tot_winner,breakpointssaved_percent_tot_winner,breakpointssaved_dividend_tot_winner,breakpointssaved_divisor_tot_winner,servicegamesplayed_tot_winner,serverating_tot_loser,serveratinglink_tot_loser,doublefaults_isstatbetter_tot_loser,aces_tot_loser,firstserve_percent_tot_loser,firstserve_dividend_tot_loser,firstserve_divisor_tot_loser,firstservepointswon_percent_tot_loser,firstservepointswon_dividend_tot_loser,firstservepointswon_divisor_tot_loser,secondservepointswon_percent_tot_loser,secondservepointswon_dividend_tot_loser,secondservepointswon_divisor_tot_loser,breakpointssaved_percent_tot_loser,breakpointssaved_dividend_tot_loser,breakpointssaved_divisor_tot_loser,servicegamesplayed_tot_loser,totalservicepointswon_percent_tot_winner,totalservicepointswon_dividend_tot_winner,totalservicepointswon_divisor_tot_winner,totalreturnpointswon_percent_tot_winner,totalreturnpointswon_dividend_tot_winner,totalreturnpointswon_divisor_tot_winner,totalpointswon_percent_tot_winner,totalpointswon_dividend_tot_winner,totalpointswon_divisor_tot_winner,totalservicepointswon_percent_tot_loser,totalservicepointswon_dividend_tot_loser,totalservicepointswon_divisor_tot_loser,totalreturnpointswon_percent_tot_loser,totalreturnpointswon_dividend_tot_loser,totalreturnpointswon_divisor_tot_loser,totalpointswon_percent_tot_loser,totalpointswon_dividend_tot_loser,totalpointswon_divisor_tot_loser,winner_flag,doublefaults_tot_loser,tiebreak_set1_winner,tiebreak_set1_loser,tiebreak_set2_winner,tiebreak_set2_loser,doublefaults_isstatbetter_tot_winner,tiebreak_set3_winner,tiebreak_set3_loser,player_winner,player_loser,player_id_winner,player_id_loser,country_winner,country_loser,seed_winner,seed_loser
402,1997,Memphis,GP,1997-02-17T00:00:00,1997-02-23T00:00:00,Hard,48,700000,$,MS021,R32,02:07:00,,F,3,R186,"7-5,5-7,6-4",G. Raoux,M. Woodforde,,,FRA,AUS,7-5,5-7,6-4,,,02:07:00,307,/en/stats/leaderboard?page=serve,,7,58,53,92,79,42,53,69,27,39,67,2,3,17,285,/en/stats/leaderboard?page=serve,,12,61,63,104,81,51,63,49,20,41,80,8,10,17,75,69,92,32,33,104,52,102,196,68,71,104,25,23,92,48,94,196,A,6,,,,,False,,,G. Raoux,M. Woodforde,R186,W035,FRA,AUS,,
402,1997,Memphis,GP,1997-02-17T00:00:00,1997-02-23T00:00:00,Hard,48,700000,$,MS022,R32,01:49:00,,F,2,S321,"7-6(7),6-4",B. Steven,N. Lapentti,,,NZL,ECU,7-6(7),6-4,,,,01:49:00,227,/en/stats/leaderboard?page=serve,2,4,69,56,81,73,41,56,56,14,25,,0,,11,286,/en/stats/leaderboard?page=serve,,8,72,60,83,65,39,60,52,12,23,86,6,7,11,68,55,81,39,32,83,53,87,164,61,51,83,32,26,81,47,77,164,A,1,7,2,,,,,,B. Steven,N. Lapentti,S321,L290,NZL,ECU,,
402,1997,Memphis,GP,1997-02-17T00:00:00,1997-02-23T00:00:00,Hard,48,700000,$,MS023,R32,01:03:00,,F,2,R284,"6-3,6-2",A. Radulescu,J. Stoltenberg,,,GER,AUS,6-3,6-2,,,,01:03:00,212,/en/stats/leaderboard?page=serve,,5,58,30,52,90,27,30,59,13,22,0,0,,9,222,/en/stats/leaderboard?page=serve,,4,62,36,58,61,22,36,36,8,22,70,7,10,8,77,40,52,48,28,58,62,68,110,52,30,58,23,12,52,38,42,110,A,3,,,,,False,,,A. Radulescu,J. Stoltenberg,R284,S331,GER,AUS,,
402,1997,Memphis,GP,1997-02-17T00:00:00,1997-02-23T00:00:00,Hard,48,700000,$,MS024,R32,01:15:00,,F,2,H223,"6-4,6-3",P. Haarhuis,J. Gimelstob,,,NED,USA,6-4,6-3,,,,01:15:00,269,/en/stats/leaderboard?page=serve,,2,69,42,61,74,31,42,58,11,19,,0,,9,239,/en/stats/leaderboard?page=serve,,6,55,36,65,67,24,36,45,13,29,57,4,7,10,69,42,61,43,28,65,56,70,126,57,37,65,31,19,61,44,56,126,A,4,,,,,False,,,P. Haarhuis,J. Gimelstob,H223,G354,NED,USA,,
402,1997,Memphis,GP,1997-02-17T00:00:00,1997-02-23T00:00:00,Hard,48,700000,$,MS025,R32,01:36:00,,F,3,W212,"4-6,6-2,6-1",C. Woodruff,S. Draper,,,USA,AUS,4-6,6-2,6-1,,,01:36:00,284,/en/stats/leaderboard?page=serve,5,5,58,48,83,71,34,48,63,22,35,80,4,5,13,233,/en/stats/leaderboard?page=serve,,9,43,32,75,75,24,32,42,18,43,43,3,7,12,67,56,83,44,33,75,56,89,158,56,42,75,33,27,83,44,69,158,A,2,,,,,,,,C. Woodruff,S. Draper,W212,D270,USA,AUS,,
402,1997,Memphis,GP,1997-02-17T00:00:00,1997-02-23T00:00:00,Hard,48,700000,$,MS026,R32,01:12:00,,F,2,B446,"6-4,6-3",J. Bjorkman,R. Fromberg,,,SWE,AUS,6-4,6-3,,,,01:12:00,246,/en/stats/leaderboard?page=serve,2,4,68,47,69,72,34,47,64,14,22,,0,,10,247,/en/stats/leaderboard?page=serve,,5,62,40,65,68,27,40,40,10,25,71,5,7,9,70,48,69,43,28,65,57,76,134,57,37,65,30,21,69,43,58,134,A,5,,,,,,,,J. Bjorkman,R. Fromberg,B446,F164,SWE,AUS,,
402,1997,Memphis,GP,1997-02-17T00:00:00,1997-02-23T00:00:00,Hard,48,700000,$,MS027,R32,01:10:00,,F,2,F041,"7-6(10),6-3",J. Frana,M. Washington,,,ARG,USA,7-6(10),6-3,,,,01:10:00,284,/en/stats/leaderboard?page=serve,,7,60,40,67,80,32,40,56,15,27,50,2,4,11,244,/en/stats/leaderboard?page=serve,,2,68,46,68,67,31,46,41,9,22,57,4,7,10,70,47,67,41,28,68,56,75,135,59,40,68,30,20,67,44,60,135,A,4,10,8,,,False,,,J. Frana,M. Washington,F041,W124,ARG,USA,,
402,1997,Memphis,GP,1997-02-17T00:00:00,1997-02-23T00:00:00,Hard,48,700000,$,MS028,R32,01:30:00,,F,2,W136,"6-4,7-6(7)",T. Woodbridge,S. Lareau,,,AUS,CAN,6-4,7-6(7),,,,01:30:00,257,/en/stats/leaderboard?page=serve,3,6,63,42,67,67,28,42,52,13,25,57,4,7,11,219,/en/stats/leaderboard?page=serve,,2,59,52,88,67,35,52,36,13,36,71,10,14,11,61,41,67,45,40,88,52,81,155,55,48,88,39,26,67,48,74,155,A,8,,,7,4,,,,T. Woodbridge,S. Lareau,W136,L226,AUS,CAN,,
402,1997,Memphis,GP,1997-02-17T00:00:00,1997-02-23T00:00:00,Hard,48,700000,$,MS029,R32,01:25:00,,F,2,N250,"6-4,7-5",M. Norman,M. Philippoussis,,,SWE,AUS,6-4,7-5,,,,01:25:00,272,/en/stats/leaderboard?page=serve,3,7,44,33,75,82,27,33,52,22,42,75,3,4,11,245,/en/stats/leaderboard?page=serve,,10,59,39,66,74,29,39,37,10,27,63,5,8,11,65,49,75,41,27,66,54,76,141,59,39,66,35,26,75,46,65,141,A,7,,,,,,,,M. Norman,M. Philippoussis,N250,P338,SWE,AUS,,
402,1997,Memphis,GP,1997-02-17T00:00:00,1997-02-23T00:00:00,Hard,48,700000,$,MS030,R32,01:15:00,,F,2,T136,"6-3,6-4",J. Tarango,V. Spadea,,,USA,USA,6-3,6-4,,,,01:15:00,280,/en/stats/leaderboard?page=serve,2,1,60,29,48,83,24,29,58,11,19,33,1,3,10,220,/en/stats/leaderboard?page=serve,,3,61,41,67,61,25,41,42,11,26,56,5,9,9,73,35,48,46,31,67,57,66,115,54,36,67,27,13,48,43,49,115,A,2,,,,,,,,J. Tarango,V. Spadea,T136,S544,USA,USA,,
402,1997,Memphis,GP,1997-02-17T00:00:00,1997-02-23T00:00:00,Hard,48,700000,$,MS031,R32,01:04:00,,F,2,K293,"6-2,6-4",G. Kuerten,A. Agassi,,,BRA,USA,6-2,6-4,,,,01:04:00,306,/en/stats/leaderboard?page=serve,,18,59,32,54,91,29,32,50,11,22,,0,,9,238,/en/stats/leaderboard?page=serve,,7,47,26,55,73,19,26,48,14,29,57,4,7,9,74,40,54,40,22,55,57,62,109,60,33,55,26,14,54,43,47,109,A,3,,,,,False,,,G. Kuerten,A. Agassi,K293,A092,BRA,USA,,
