event_id,event_year,tourney_name,level,start_date,end_date,surface,singles_draw_size,prize_money,prize_money_currency,match_id,round,match_time_total,match_message,match_status,num_sets,winner_flag_raw,score_string,winner_player_name,loser_player_name,winner_seed,loser_seed,winner_country,loser_country,set1_score,set2_score,set3_score,set4_score,set5_score,match_date,tiebreak_set2_winner,tiebreak_set2_loser,serverating_tot_winner,serveratinglink_tot_winner,doublefaults_tot_winner,aces_tot_winner,firstserve_percent_tot_winner,firstserve_dividend_tot_winner,firstserve_divisor_tot_winner,firstservepointswon_percent_tot_winner,firstservepointswon_dividend_tot_winner,firstservepointswon_divisor_tot_winner,secondservepointswon_percent_tot_winner,secondservepointswon_dividend_tot_winner,secondservepointswon_divisor_tot_winner,breakpointssaved_percent_tot_winner,breakpointssaved_dividend_tot_winner,breakpointssaved_divisor_tot_winner,servicegamesplayed_tot_winner,serverating_tot_loser,serveratinglink_tot_loser,doublefaults_tot_loser,aces_tot_loser,firstserve_percent_tot_loser,firstserve_dividend_tot_loser,firstserve_divisor_tot_loser,firstservepointswon_percent_tot_loser,firstservepointswon_dividend_tot_loser,firstservepointswon_divisor_tot_loser,secondservepointswon_percent_tot_loser,secondservepointswon_dividend_tot_loser,secondservepointswon_divisor_tot_loser,breakpointssaved_percent_tot_loser,breakpointssaved_dividend_tot_loser,breakpointssaved_divisor_tot_loser,servicegamesplayed_tot_loser,totalservicepointswon_percent_tot_winner,totalservicepointswon_dividend_tot_winner,totalservicepointswon_divisor_tot_winner,totalreturnpointswon_percent_tot_winner,totalreturnpointswon_dividend_tot_winner,totalreturnpointswon_divisor_tot_winner,totalpointswon_percent_tot_winner,totalpointswon_dividend_tot_winner,totalpointswon_divisor_tot_winner,totalservicepointswon_percent_tot_loser,totalservicepointswon_dividend_tot_loser,totalservicepointswon_divisor_tot_loser,totalreturnpointswon_percent_tot_loser,totalreturnpointswon_dividend_tot_loser,totalreturnpointswon_divisor_tot_loser,totalpointswon_percent_tot_loser,totalpointswon_dividend_tot_loser,totalpointswon_divisor_tot_loser,winner_flag,doublefaults_isstatbetter_tot_winner,tiebreak_set1_winner,tiebreak_set1_loser,player_winner,player_loser,player_id_winner,player_id_loser,country_winner,country_loser,seed_winner,seed_loser
807,1997,Mexico City,GP,1997-10-20T00:00:00,1997-10-26T00:00:00,Clay,32,305000,$,MS011,R16,01:07:00,,F,2,A190,"6-3,6-3",E. Benfele Alvarez,M. Craca,,,ESP,GER,6-3,6-3,,,,01:07:00,,,261,/en/stats/leaderboard?page=serve,2,7,61,36,59,86,31,36,43,10,23,,0,,9,236,/en/stats/leaderboard?page=serve,4,5,58,32,55,72,23,32,39,9,23,63,5,8,9,69,41,59,42,23,55,56,64,114,58,32,55,31,18,59,44,50,114,A,,,,E. Benfele Alvarez,M. Craca,A190,C439,ESP,GER,,
807,1997,Mexico City,GP,1997-10-20T00:00:00,1997-10-26T00:00:00,Clay,32,305000,$,MS012,R16,01:21:00,,F,2,A228,"6-3,6-3",L. Arnold Ker,G. Etlis,,,ARG,ARG,6-3,6-3,,,,01:21:00,,,263,/en/stats/leaderboard?page=serve,7,0,62,42,68,74,31,42,46,12,26,83,5,6,9,215,/en/stats/leaderboard?page=serve,2,4,52,28,54,64,18,28,42,11,26,56,5,9,9,63,43,68,46,25,54,56,68,122,54,29,54,37,25,68,44,54,122,A,,,,L. Arnold Ker,G. Etlis,A228,E138,ARG,ARG,,
807,1997,Mexico City,GP,1997-10-20T00:00:00,1997-10-26T00:00:00,Clay,32,305000,$,MS013,R16,01:22:00,,F,2,M443,"6-3,7-5",F. Meligeni,R. Delgado,,,BRA,PAR,6-3,7-5,,,,01:22:00,,,273,/en/stats/leaderboard?page=serve,5,3,52,35,67,80,28,35,53,17,32,86,6,7,10,235,/en/stats/leaderboard?page=serve,6,4,64,43,67,56,24,43,54,13,24,67,8,12,11,67,45,67,45,30,67,56,75,134,55,37,67,33,22,67,44,59,134,A,,,,F. Meligeni,R. Delgado,M443,D316,BRA,PAR,,
807,1997,Mexico City,GP,1997-10-20T00:00:00,1997-10-26T00:00:00,Clay,32,305000,$,MS014,R16,01:08:00,,F,2,V161,"6-4,6-3",J. Viloca-Puig,C. Costa,,,ESP,ESP,6-4,6-3,,,,01:08:00,,,281,/en/stats/leaderboard?page=serve,3,4,53,29,55,83,24,29,54,14,26,0,0,1,10,231,/en/stats/leaderboard?page=serve,5,1,44,21,48,81,17,21,44,12,27,50,3,6,9,69,38,55,40,19,48,55,57,103,60,29,48,31,17,55,45,46,103,A,,,,J. Viloca-Puig,C. Costa,V161,C179,ESP,ESP,,
807,1997,Mexico City,GP,1997-10-20T00:00:00,1997-10-26T00:00:00,Clay,32,305000,$,MS015,R16,02:02:00,,F,3,M578,"6-3,4-6,6-4",J. Marin,A. Hernandez,,,CRC,MEX,6-3,4-6,6-4,,,02:02:00,,,262,/en/stats/leaderboard?page=serve,7,1,74,62,84,71,44,62,45,10,22,57,4,7,14,228,/en/stats/leaderboard?page=serve,9,3,56,65,117,66,43,65,46,24,52,58,7,12,15,64,54,84,43,50,117,52,104,201,57,67,117,36,30,84,48,97,201,A,,,,J. Marin,A. Hernandez,M578,H346,CRC,MEX,,
807,1997,Mexico City,GP,1997-10-20T00:00:00,1997-10-26T00:00:00,Clay,32,305000,$,MS016,R32,01:39:00,,F,3,C252,"4-6,6-2,6-0",F. Clavet,A. Gaudenzi,,,ESP,ITA,4-6,6-2,6-0,,,01:39:00,,,256,/en/stats/leaderboard?page=serve,2,5,61,49,80,65,32,49,52,16,31,67,6,9,12,177,/en/stats/leaderboard?page=serve,6,1,59,41,70,61,25,41,21,6,29,0,0,7,12,60,48,80,56,39,70,58,87,150,44,31,70,40,32,80,42,63,150,A,,,,F. Clavet,A. Gaudenzi,C252,G254,ESP,ITA,,
807,1997,Mexico City,GP,1997-10-20T00:00:00,1997-10-26T00:00:00,Clay,32,305000,$,MS017,R32,00:48:00,,F,2,B429,"6-0,6-0",J. Burillo,T. Nydahl,,,ESP,SWE,6-0,6-0,,,,00:48:00,,,261,/en/stats/leaderboard?page=serve,4,6,28,11,39,91,10,11,57,16,28,,0,,6,122,/en/stats/leaderboard?page=serve,3,2,61,27,44,44,12,27,18,3,17,25,2,8,6,67,26,39,66,29,44,66,55,83,34,15,44,33,13,39,34,28,83,A,,,,J. Burillo,T. Nydahl,B429,N099,ESP,SWE,,
807,1997,Mexico City,GP,1997-10-20T00:00:00,1997-10-26T00:00:00,Clay,32,305000,$,MS018,R32,01:42:00,,F,3,S604,"0-6,7-6(11),6-2",A. Sa,D. Sanguinetti,,,BRA,ITA,0-6,7-6(11),6-2,,,01:42:00,11,9,235,/en/stats/leaderboard?page=serve,8,4,51,49,97,73,36,49,46,22,48,67,8,12,13,251,/en/stats/leaderboard?page=serve,4,3,54,53,99,72,38,53,50,23,46,70,7,10,13,60,58,97,38,38,99,49,96,196,62,61,99,40,39,97,51,100,196,A,,,,A. Sa,D. Sanguinetti,S604,S480,BRA,ITA,,
807,1997,Mexico City,GP,1997-10-20T00:00:00,1997-10-26T00:00:00,Clay,32,305000,$,MS019,R32,01:59:00,,F,3,H228,"6-7(5),6-1,6-2",L. Herrera,K. Alami,,,MEX,MAR,6-7(5),6-1,6-2,,,01:59:00,,,286,/en/stats/leaderboard?page=serve,1,1,61,54,89,76,41,54,57,20,35,83,5,6,14,226,/en/stats/leaderboard?page=serve,8,6,57,60,106,67,40,60,43,20,46,67,10,15,13,69,61,89,43,46,106,55,107,195,57,60,106,31,28,89,45,88,195,A,,5,7,L. Herrera,K. Alami,H228,A203,MEX,MAR,,
807,1997,Mexico City,GP,1997-10-20T00:00:00,1997-10-26T00:00:00,Clay,32,305000,$,MS020,R32,01:14:00,,F,2,B518,"6-3,6-4",G. Blanco,F. Fontang,,,ESP,FRA,6-3,6-4,,,,01:14:00,,,230,/en/stats/leaderboard?page=serve,10,2,46,31,67,71,22,31,44,16,36,80,8,10,9,214,/en/stats/leaderboard?page=serve,3,2,67,42,63,55,23,42,43,9,21,50,5,10,10,57,38,67,49,31,63,53,69,130,51,32,63,43,29,67,47,61,130,A,,,,G. Blanco,F. Fontang,B518,F200,ESP,FRA,,
807,1997,Mexico City,GP,1997-10-20T00:00:00,1997-10-26T00:00:00,Clay,32,305000,$,MS021,R32,01:06:00,,F,2,L290,"6-2,6-2",N. Lapentti,O. Ogorodov,,,ECU,UZB,6-2,6-2,,,,01:06:00,,,276,/en/stats/leaderboard?page=serve,5,4,57,27,47,78,21,27,55,11,20,67,2,3,8,180,/en/stats/leaderboard?page=serve,5,2,58,39,67,59,23,39,29,8,28,44,4,9,8,68,32,47,54,36,67,60,68,114,46,31,67,32,15,47,40,46,114,A,,,,N. Lapentti,O. Ogorodov,L290,O127,ECU,UZB,,
807,1997,Mexico City,GP,1997-10-20T00:00:00,1997-10-26T00:00:00,Clay,32,305000,$,MS022,R32,02:10:00,,F,3,A190,"6-3,3-6,6-4",E. Benfele Alvarez,F. Vicente,,,ESP,ESP,6-3,3-6,6-4,,,02:10:00,,,197,/en/stats/leaderboard?page=serve,13,2,48,52,108,67,35,52,36,20,56,63,10,16,14,199,/en/stats/leaderboard?page=serve,11,0,61,55,90,62,34,55,37,13,35,42,5,12,14,51,55,108,48,43,90,49,98,198,52,47,90,49,53,108,51,100,198,A,,,,E. Benfele Alvarez,F. Vicente,A190,V195,ESP,ESP,,
807,1997,Mexico City,GP,1997-10-20T00:00:00,1997-10-26T00:00:00,Clay,32,305000,$,MS023,R32,01:38:00,,F,3,C439,"5-7,6-3,6-3",M. Craca,J. Alonso,,,GER,ESP,5-7,6-3,6-3,,,01:38:00,,,254,/en/stats/leaderboard?page=serve,7,7,53,41,77,78,32,41,50,18,36,20,1,5,15,207,/en/stats/leaderboard?page=serve,14,8,46,51,111,69,35,51,38,23,60,67,12,18,15,65,50,77,48,53,111,55,103,188,52,58,111,35,27,77,45,85,188,A,,,,M. Craca,J. Alonso,C439,A272,GER,ESP,,
807,1997,Mexico City,GP,1997-10-20T00:00:00,1997-10-26T00:00:00,Clay,32,305000,$,MS024,R32,01:44:00,,F,3,A228,"6-1,0-6,6-1",L. Arnold Ker,H. Gumy,,,ARG,ARG,6-1,0-6,6-1,,,01:44:00,,,235,/en/stats/leaderboard?page=serve,7,1,60,43,72,63,27,43,48,14,29,67,6,9,10,191,/en/stats/leaderboard?page=serve,10,1,56,40,72,60,24,40,34,11,32,50,5,10,10,57,41,72,51,37,72,54,78,144,49,35,72,43,31,72,46,66,144,A,,,,L. Arnold Ker,H. Gumy,A228,G247,ARG,ARG,,
807,1997,Mexico City,GP,1997-10-20T00:00:00,1997-10-26T00:00:00,Clay,32,305000,$,MS025,R32,01:13:00,,F,2,E138,"6-4,6-4",G. Etlis,F. Squillari,,,ARG,ARG,6-4,6-4,,,,01:13:00,,,281,/en/stats/leaderboard?page=serve,3,6,64,47,74,72,34,47,52,14,27,90,9,10,10,232,/en/stats/leaderboard?page=serve,8,2,55,39,71,69,27,39,44,14,32,63,5,8,10,65,48,74,42,30,71,54,78,145,58,41,71,35,26,74,46,67,145,A,,,,G. Etlis,F. Squillari,E138,S568,ARG,ARG,,
807,1997,Mexico City,GP,1997-10-20T00:00:00,1997-10-26T00:00:00,Clay,32,305000,$,MS026,R32,00:06:00,,F,2,D316,"6-0,6-1",R. Delgado,O. Gross,,,PAR,GER,6-0,6-1,,,,00:06:00,,,287,/en/stats/leaderboard?page=serve,,4,89,39,44,72,28,39,80,4,5,,0,,7,153,/en/stats/leaderboard?page=serve,5,3,70,26,37,42,11,26,27,3,11,38,3,8,6,73,32,44,62,23,37,68,55,81,38,14,37,27,12,44,32,26,81,A,False,,,R. Delgado,O. Gross,D316,G297,PAR,GER,,
807,1997,Mexico City,GP,1997-10-20T00:00:00,1997-10-26T00:00:00,Clay,32,305000,$,MS027,R32,02:10:00,,F,3,M443,"4-6,7-6(7),6-1",F. Meligeni,M. Filippini,,,BRA,URU,4-6,7-6(7),6-1,,,02:10:00,7,5,243,/en/stats/leaderboard?page=serve,10,6,43,38,89,71,27,38,55,28,51,63,5,8,14,219,/en/stats/leaderboard?page=serve,6,2,46,53,114,62,33,53,49,30,61,69,11,16,15,62,55,89,45,51,114,52,106,203,55,63,114,38,34,89,48,97,203,A,,,,F. Meligeni,M. Filippini,M443,F165,BRA,URU,,
807,1997,Mexico City,GP,1997-10-20T00:00:00,1997-10-26T00:00:00,Clay,32,305000,$,MS028,R32,01:34:00,,F,3,C179,"4-6,6-2,6-4",C. Costa,A. Martin,,,ESP,ESP,4-6,6-2,6-4,,,01:34:00,,,245,/en/stats/leaderboard?page=serve,3,4,58,53,92,77,41,53,38,15,39,33,2,6,14,200,/en/stats/leaderboard?page=serve,9,0,56,44,79,59,26,44,37,13,35,45,5,11,14,61,56,92,51,40,79,56,96,171,49,39,79,39,36,92,44,75,171,A,,,,C. Costa,A. Martin,C179,M590,ESP,ESP,,
807,1997,Mexico City,GP,1997-10-20T00:00:00,1997-10-26T00:00:00,Clay,32,305000,$,MS029,R32,01:35:00,,F,3,V161,"1-6,6-1,6-4",J. Viloca-Puig,R. Vasek,,,ESP,CZE,1-6,6-1,6-4,,,01:35:00,,,288,/en/stats/leaderboard?page=serve,1,6,56,35,62,74,26,35,70,19,27,67,4,6,12,237,/en/stats/leaderboard?page=serve,15,1,56,47,84,74,35,47,46,17,37,25,1,4,12,73,45,62,38,32,84,53,77,146,62,52,84,27,17,62,47,69,146,A,,,,J. Viloca-Puig,R. Vasek,V161,V151,ESP,CZE,,
807,1997,Mexico City,GP,1997-10-20T00:00:00,1997-10-26T00:00:00,Clay,32,305000,$,MS030,R32,00:43:00,,F,2,H346,"6-1,6-1",A. Hernandez,M. Osorio,,,MEX,MEX,6-1,6-1,,,,00:43:00,,,274,/en/stats/leaderboard?page=serve,3,3,51,20,39,85,17,20,53,10,19,0,0,1,7,130,/en/stats/leaderboard?page=serve,3,0,51,21,41,33,7,21,35,7,20,33,3,9,7,69,27,39,66,27,41,68,54,80,34,14,41,31,12,39,33,26,80,A,,,,A. Hernandez,M. Osorio,H346,O109,MEX,MEX,,
807,1997,Mexico City,GP,1997-10-20T00:00:00,1997-10-26T00:00:00,Clay,32,305000,$,MS031,R32,01:10:00,,F,2,M578,"7-5,6-3",J. Marin,J. Sanchez,,,CRC,ESP,7-5,6-3,,,,01:10:00,,,221,/en/stats/leaderboard?page=serve,4,2,68,50,73,62,31,50,39,9,23,29,2,7,11,168,/en/stats/leaderboard?page=serve,6,2,66,39,59,46,18,39,30,6,20,53,8,15,10,55,40,73,59,35,59,57,75,132,41,24,59,45,33,73,43,57,132,A,,,,J. Marin,J. Sanchez,M578,S015,CRC,ESP,,
