event_id,event_year,tourney_name,level,start_date,end_date,surface,singles_draw_size,prize_money,prize_money_currency,match_id,round,match_time_total,match_message,match_status,num_sets,winner_flag_raw,score_string,winner_player_name,loser_player_name,winner_seed,loser_seed,winner_country,loser_country,set1_score,set2_score,set3_score,set4_score,set5_score,match_date,winner_flag,player_winner,player_loser,country_winner,country_loser,seed_winner,seed_loser,tiebreak_set1_winner,tiebreak_set1_loser,tiebreak_set2_winner,tiebreak_set2_loser,serverating_tot_winner,serveratinglink_tot_winner,doublefaults_tot_winner,aces_tot_winner,firstserve_percent_tot_winner,firstserve_dividend_tot_winner,firstserve_divisor_tot_winner,firstservepointswon_percent_tot_winner,firstservepointswon_dividend_tot_winner,firstservepointswon_divisor_tot_winner,secondservepointswon_percent_tot_winner,secondservepointswon_dividend_tot_winner,secondservepointswon_divisor_tot_winner,breakpointssaved_percent_tot_winner,breakpointssaved_dividend_tot_winner,breakpointssaved_divisor_tot_winner,servicegamesplayed_tot_winner,serverating_tot_loser,serveratinglink_tot_loser,doublefaults_tot_loser,aces_tot_loser,firstserve_percent_tot_loser,firstserve_dividend_tot_loser,firstserve_divisor_tot_loser,firstservepointswon_percent_tot_loser,firstservepointswon_dividend_tot_loser,firstservepointswon_divisor_tot_loser,secondservepointswon_percent_tot_loser,secondservepointswon_dividend_tot_loser,secondservepointswon_divisor_tot_loser,breakpointssaved_percent_tot_loser,breakpointssaved_dividend_tot_loser,breakpointssaved_divisor_tot_loser,servicegamesplayed_tot_loser,totalservicepointswon_percent_tot_winner,totalservicepointswon_dividend_tot_winner,totalservicepointswon_divisor_tot_winner,totalreturnpointswon_percent_tot_winner,totalreturnpointswon_dividend_tot_winner,totalreturnpointswon_divisor_tot_winner,totalpointswon_percent_tot_winner,totalpointswon_dividend_tot_winner,totalpointswon_divisor_tot_winner,totalservicepointswon_percent_tot_loser,totalservicepointswon_dividend_tot_loser,totalservicepointswon_divisor_tot_loser,totalreturnpointswon_percent_tot_loser,totalreturnpointswon_dividend_tot_loser,totalreturnpointswon_divisor_tot_loser,totalpointswon_percent_tot_loser,totalpointswon_dividend_tot_loser,totalpointswon_divisor_tot_loser,tiebreak_set5_winner,tiebreak_set5_loser,tiebreak_set3_winner,tiebreak_set3_loser,tiebreak_set4_winner,tiebreak_set4_loser,player_id_winner,player_id_loser
560,2007,US Open,GS,2007-08-27T00:00:00,2007-09-09T00:00:00,Hard,128,8848000,$,MS021,R32,02:43:00,,F,4,L311,"6-3,6-3,2-6,7-5",H. Lee,A. Murray,,,KOR,GBR,6-3,6-3,2-6,7-5,,02:43:00,A,H. Lee,A. Murray,KOR,GBR,,,,,,,265,/en/stats/leaderboard?page=serve,3,5,64,75,117,73,55,75,48,20,42,43,3,7,19,241,/en/stats/leaderboard?page=serve,8,15,53,75,141,60,45,75,53,35,66,63,10,16,19,64,75,117,43,61,141,53,136,258,57,80,141,36,42,117,47,122,258,,,,,,,L311,MC10
560,2007,US Open,GS,2007-08-27T00:00:00,2007-09-09T00:00:00,Hard,128,8848000,$,MS022,R32,03:14:00,,F,5,H355,"6-2,6-4,3-6,4-6,6-3",T. Haas,S. Grosjean,,,GER,FRA,6-2,6-4,3-6,4-6,6-3,03:14:00,A,T. Haas,S. Grosjean,GER,FRA,,,,,,,276,/en/stats/leaderboard?page=serve,8,6,57,73,127,81,59,73,54,29,54,40,2,5,23,257,/en/stats/leaderboard?page=serve,7,15,53,87,163,76,66,87,42,32,76,80,20,25,23,69,88,127,40,65,163,53,153,290,60,98,163,31,39,127,47,137,290,,,,,,,H355,G379
560,2007,US Open,GS,2007-08-27T00:00:00,2007-09-09T00:00:00,Hard,128,8848000,$,MS023,R32,02:37:00,,F,4,B676,"6-4,3-6,7-6(7),6-1",J. Blake,S. Koubek,,,USA,AUT,6-4,3-6,7-6(7),6-1,,02:37:00,A,J. Blake,S. Koubek,USA,AUT,,,,,,,221,/en/stats/leaderboard?page=serve,6,6,51,62,122,66,41,62,43,26,60,53,8,15,18,211,/en/stats/leaderboard?page=serve,5,6,64,88,137,63,55,88,33,16,49,44,8,18,20,55,67,122,48,66,137,51,133,259,52,71,137,45,55,122,49,126,259,,,7.0,5.0,,,B676,K310
560,2007,US Open,GS,2007-08-27T00:00:00,2007-09-09T00:00:00,Hard,128,8848000,$,MS024,R32,01:29:00,,F,3,G858,"6-1,6-3,6-2",E. Gulbis,T. Robredo,,,LAT,ESP,6-1,6-3,6-2,,,01:29:00,A,E. Gulbis,T. Robredo,LAT,ESP,,,,,,,320,/en/stats/leaderboard?page=serve,0,5,70,46,66,80,37,46,65,13,20,100,3,3,12,231,/en/stats/leaderboard?page=serve,2,1,73,55,75,44,24,55,65,13,20,40,4,10,12,76,50,66,51,38,75,62,88,141,49,37,75,24,16,66,38,53,141,,,,,,,G858,R419
560,2007,US Open,GS,2007-08-27T00:00:00,2007-09-09T00:00:00,Hard,128,8848000,$,MS025,R32,04:01:00,,F,5,M605,"4-6,7-5,7-6(7),4-6,6-4",C. Moya,P. Kohlschreiber,,,ESP,GER,4-6,7-5,7-6(7),4-6,6-4,04:01:00,A,C. Moya,P. Kohlschreiber,ESP,GER,,,,,,,286,/en/stats/leaderboard?page=serve,7,20,62,124,199,67,83,124,59,44,75,79,15,19,27,281,/en/stats/leaderboard?page=serve,5,8,68,113,166,74,84,113,51,27,53,56,5,9,27,64,127,199,33,55,166,50,182,365,67,111,166,36,72,199,50,183,365,,,7.0,5.0,,,M605,K435
560,2007,US Open,GS,2007-08-27T00:00:00,2007-09-09T00:00:00,Hard,128,8848000,$,MS026,R32,01:53:00,,F,3,MA21,"7-6(7),6-2,6-4",J. Monaco,A. Calleri,,,ARG,ARG,7-6(7),6-2,6-4,,,01:53:00,A,J. Monaco,A. Calleri,ARG,ARG,,,7.0,5.0,,,297,/en/stats/leaderboard?page=serve,0,3,70,62,89,71,44,62,67,18,27,50,2,4,15,249,/en/stats/leaderboard?page=serve,5,7,67,69,103,58,40,69,56,19,34,38,3,8,15,70,62,89,43,44,103,55,106,192,57,59,103,30,27,89,45,86,192,,,,,,,MA21,C478
560,2007,US Open,GS,2007-08-27T00:00:00,2007-09-09T00:00:00,Hard,128,8848000,$,MS027,R32,01:42:00,,F,3,D643,"6-1,6-3,6-4",N. Djokovic,J. del Potro,,,SRB,ARG,6-1,6-3,6-4,,,01:42:00,A,N. Djokovic,J. del Potro,SRB,ARG,,,,,,,302,/en/stats/leaderboard?page=serve,2,7,75,54,72,80,43,54,50,9,18,83,5,6,13,226,/en/stats/leaderboard?page=serve,1,1,69,49,71,49,24,49,55,12,22,0,0,6,13,72,52,72,49,35,71,61,87,143,51,36,71,28,20,72,39,56,143,,,,,,,D643,D683
560,2007,US Open,GS,2007-08-27T00:00:00,2007-09-09T00:00:00,Hard,128,8848000,$,MS028,R32,03:37:00,,F,5,W367,"5-7,6-4,4-6,6-4,6-3",S. Wawrinka,R. Ginepri,,,SUI,USA,5-7,6-4,4-6,6-4,6-3,03:37:00,A,S. Wawrinka,R. Ginepri,SUI,USA,,,,,,,284,/en/stats/leaderboard?page=serve,4,16,57,85,150,81,69,85,46,30,65,57,4,7,25,269,/en/stats/leaderboard?page=serve,0,2,63,101,161,64,65,101,60,36,60,71,12,17,26,66,99,150,37,60,161,51,159,311,63,101,161,34,51,150,49,152,311,,,,,,,W367,G569
560,2007,US Open,GS,2007-08-27T00:00:00,2007-09-09T00:00:00,Hard,128,8848000,$,MS029,R32,03:41:00,,F,5,C514,"6-4,6-7(5),2-6,6-3,6-3",J. Chela,I. Ljubicic,,,ARG,CRO,6-4,6-7(5),2-6,6-3,6-3,03:41:00,A,J. Chela,I. Ljubicic,ARG,CRO,,,,,5.0,7.0,262,/en/stats/leaderboard?page=serve,5,6,58,90,156,72,65,90,52,34,66,58,7,12,24,266,/en/stats/leaderboard?page=serve,4,25,58,90,156,78,70,90,39,26,66,50,7,14,24,63,99,156,38,60,156,51,159,312,62,96,156,37,57,156,49,153,312,,,,,,,C514,L360
560,2007,US Open,GS,2007-08-27T00:00:00,2007-09-09T00:00:00,Hard,128,8848000,$,MS030,R32,03:56:00,,F,5,F401,"6-3,3-6,4-6,7-6(7),7-5",D. Ferrer,D. Nalbandian,,,ESP,ARG,6-3,3-6,4-6,7-6(7),7-5,03:56:00,A,D. Ferrer,D. Nalbandian,ESP,ARG,,,,,,,256,/en/stats/leaderboard?page=serve,4,2,63,89,142,67,60,89,55,29,53,30,3,10,26,250,/en/stats/leaderboard?page=serve,8,12,59,109,185,68,74,109,46,35,76,59,10,17,26,63,89,142,41,76,185,50,165,327,59,109,185,37,53,142,50,162,327,,,,,7.0,5.0,F401,N301
