event_id,event_year,tourney_name,level,start_date,end_date,surface,singles_draw_size,prize_money,prize_money_currency,match_id,round,match_time_total,match_message,match_status,num_sets,winner_flag_raw,score_string,winner_player_name,loser_player_name,winner_seed,loser_seed,winner_country,loser_country,set1_score,set2_score,set3_score,set4_score,set5_score,match_date,tiebreak_set5_winner,tiebreak_set5_loser,serverating_tot_winner,serveratinglink_tot_winner,doublefaults_tot_winner,aces_tot_winner,firstserve_percent_tot_winner,firstserve_dividend_tot_winner,firstserve_divisor_tot_winner,firstservepointswon_percent_tot_winner,firstservepointswon_dividend_tot_winner,firstservepointswon_divisor_tot_winner,secondservepointswon_percent_tot_winner,secondservepointswon_dividend_tot_winner,secondservepointswon_divisor_tot_winner,breakpointssaved_percent_tot_winner,breakpointssaved_dividend_tot_winner,breakpointssaved_divisor_tot_winner,servicegamesplayed_tot_winner,serverating_tot_loser,serveratinglink_tot_loser,doublefaults_tot_loser,aces_tot_loser,firstserve_percent_tot_loser,firstserve_dividend_tot_loser,firstserve_divisor_tot_loser,firstservepointswon_percent_tot_loser,firstservepointswon_dividend_tot_loser,firstservepointswon_divisor_tot_loser,secondservepointswon_percent_tot_loser,secondservepointswon_dividend_tot_loser,secondservepointswon_divisor_tot_loser,breakpointssaved_percent_tot_loser,breakpointssaved_dividend_tot_loser,breakpointssaved_divisor_tot_loser,servicegamesplayed_tot_loser,totalservicepointswon_percent_tot_winner,totalservicepointswon_dividend_tot_winner,totalservicepointswon_divisor_tot_winner,totalreturnpointswon_percent_tot_winner,totalreturnpointswon_dividend_tot_winner,totalreturnpointswon_divisor_tot_winner,totalpointswon_percent_tot_winner,totalpointswon_dividend_tot_winner,totalpointswon_divisor_tot_winner,totalservicepointswon_percent_tot_loser,totalservicepointswon_dividend_tot_loser,totalservicepointswon_divisor_tot_loser,totalreturnpointswon_percent_tot_loser,totalreturnpointswon_dividend_tot_loser,totalreturnpointswon_divisor_tot_loser,totalpointswon_percent_tot_loser,totalpointswon_dividend_tot_loser,totalpointswon_divisor_tot_loser,winner_flag,tiebreak_set2_winner,tiebreak_set2_loser,tiebreak_set1_winner,tiebreak_set1_loser,tiebreak_set3_winner,tiebreak_set3_loser,player_winner,player_loser,country_winner,country_loser,seed_winner,seed_loser,player_id_winner,player_id_loser
1536,2005,ATP Masters 1000 Madrid,1000,2005-10-17T00:00:00,2005-10-23T00:00:00,Hard,48,2200000,$,MS021,R32,01:52:00,,F,3,G569,"4-6,6-4,6-4",R. Ginepri,S. Grosjean,,,USA,FRA,4-6,6-4,6-4,,,01:52:00,,,285,/en/stats/leaderboard?page=serve,2,7,60,51,85,75,38,51,59,20,34,71,5,7,15,278,/en/stats/leaderboard?page=serve,0,14,56,51,91,75,38,51,53,21,40,50,3,6,15,68,58,85,35,32,91,51,90,176,65,59,91,32,27,85,49,86,176,A,,,,,,,R. Ginepri,S. Grosjean,USA,FRA,,,G569,G379
1536,2005,ATP Masters 1000 Madrid,1000,2005-10-17T00:00:00,2005-10-23T00:00:00,Hard,48,2200000,$,MS022,R32,01:53:00,,F,3,F401,"6-3,4-6,6-4",D. Ferrer,A. Calleri,,,ESP,ARG,6-3,4-6,6-4,,,01:53:00,,,262,/en/stats/leaderboard?page=serve,5,6,55,53,96,77,41,53,44,19,43,78,7,9,14,247,/en/stats/leaderboard?page=serve,6,6,55,46,83,76,35,46,43,16,37,33,2,6,15,63,60,96,39,32,83,51,92,179,61,51,83,38,36,96,49,87,179,A,,,,,,,D. Ferrer,A. Calleri,ESP,ARG,,,F401,C478
1536,2005,ATP Masters 1000 Madrid,1000,2005-10-17T00:00:00,2005-10-23T00:00:00,Hard,48,2200000,$,MS023,R32,01:48:00,,F,2,P372,"7-6(7),7-6(7)",M. Puerta,M. Mirnyi,,,ARG,BLR,7-6(7),7-6(7),,,,01:48:00,,,288,/en/stats/leaderboard?page=serve,5,6,62,55,89,75,41,55,59,20,34,75,3,4,12,319,/en/stats/leaderboard?page=serve,0,16,70,57,82,70,40,57,72,18,25,83,5,6,12,69,61,89,29,24,82,50,85,171,71,58,82,31,28,89,50,86,171,A,7,5,7,5,,,M. Puerta,M. Mirnyi,ARG,BLR,,,P372,M595
1536,2005,ATP Masters 1000 Madrid,1000,2005-10-17T00:00:00,2005-10-23T00:00:00,Hard,48,2200000,$,MS024,R32,01:19:00,,F,2,L360,"6-3,7-6(9)",I. Ljubicic,A. Martin,,,CRO,ESP,6-3,7-6(9),,,,01:19:00,,,318,/en/stats/leaderboard?page=serve,2,11,56,36,64,89,32,36,64,18,28,0,0,0,11,287,/en/stats/leaderboard?page=serve,1,3,49,29,59,79,23,29,67,20,30,0,0,1,10,78,50,64,27,16,59,54,66,123,73,43,59,22,14,64,46,57,123,A,9,7,,,,,I. Ljubicic,A. Martin,CRO,ESP,,,L360,M590
1536,2005,ATP Masters 1000 Madrid,1000,2005-10-17T00:00:00,2005-10-23T00:00:00,Hard,48,2200000,$,MS025,R32,02:14:00,,F,3,R397,"1-6,6-4,7-6(7)",O. Rochus,M. Ancic,,,BEL,CRO,1-6,6-4,7-6(7),,,02:14:00,,,256,/en/stats/leaderboard?page=serve,4,1,64,63,98,62,39,63,60,21,35,50,4,8,15,280,/en/stats/leaderboard?page=serve,2,18,58,53,92,83,44,53,38,15,39,60,3,5,14,61,60,98,36,33,92,49,93,190,64,59,92,39,38,98,51,97,190,A,,,,,7,5,O. Rochus,M. Ancic,BEL,CRO,,,R397,A385
1536,2005,ATP Masters 1000 Madrid,1000,2005-10-17T00:00:00,2005-10-23T00:00:00,Hard,48,2200000,$,MS026,R32,01:48:00,,F,3,G415,"6-3,1-6,6-3",F. Gonzalez,F. Verdasco,,,CHI,ESP,6-3,1-6,6-3,,,01:48:00,,,271,/en/stats/leaderboard?page=serve,2,6,64,55,86,71,39,55,48,15,31,50,2,4,13,250,/en/stats/leaderboard?page=serve,12,7,59,55,93,71,39,55,42,16,38,75,6,8,12,63,54,86,41,38,93,51,92,179,59,55,93,37,32,86,49,87,179,A,,,,,,,F. Gonzalez,F. Verdasco,CHI,ESP,,,G415,V306
1536,2005,ATP Masters 1000 Madrid,1000,2005-10-17T00:00:00,2005-10-23T00:00:00,Hard,48,2200000,$,MS027,R32,01:27:00,,F,2,C524,"6-3,6-4",G. Coria,C. Rochus,,,ARG,BEL,6-3,6-4,,,,01:27:00,,,232,/en/stats/leaderboard?page=serve,10,4,57,38,67,66,25,38,45,13,29,50,3,6,10,195,/en/stats/leaderboard?page=serve,5,0,62,38,61,42,16,38,52,12,23,44,4,9,9,57,38,67,54,33,61,55,71,128,46,28,61,43,29,67,45,57,128,A,,,,,,,G. Coria,C. Rochus,ARG,BEL,,,C524,R336
1536,2005,ATP Masters 1000 Madrid,1000,2005-10-17T00:00:00,2005-10-23T00:00:00,Hard,48,2200000,$,MS028,R32,01:17:00,,F,2,N301,"7-6(7),6-3",D. Nalbandian,J. Melzer,,,ARG,AUT,7-6(7),6-3,,,,01:17:00,,,312,/en/stats/leaderboard?page=serve,1,4,71,41,58,83,34,41,65,11,17,0,0,1,11,261,/en/stats/leaderboard?page=serve,1,2,63,40,63,60,24,40,57,13,23,50,2,4,10,78,45,58,41,26,63,59,71,121,59,37,63,22,13,58,41,50,121,A,,,7,1,,,D. Nalbandian,J. Melzer,ARG,AUT,,,N301,M762
1536,2005,ATP Masters 1000 Madrid,1000,2005-10-17T00:00:00,2005-10-23T00:00:00,Hard,48,2200000,$,MS029,R32,01:19:00,,F,2,J129,"7-6(7),6-3",T. Johansson,J. Chela,,,SWE,ARG,7-6(7),6-3,,,,01:19:00,,,301,/en/stats/leaderboard?page=serve,0,13,63,40,64,85,34,40,50,12,24,50,1,2,11,266,/en/stats/leaderboard?page=serve,0,7,51,31,61,71,22,31,57,17,30,71,5,7,10,72,46,64,36,22,61,54,68,125,64,39,61,28,18,64,46,57,125,A,,,7,2,,,T. Johansson,J. Chela,SWE,ARG,,,J129,C514
1536,2005,ATP Masters 1000 Madrid,1000,2005-10-17T00:00:00,2005-10-23T00:00:00,Hard,48,2200000,$,MS030,R32,01:03:00,,F,2,H377,"6-4,6-2",D. Hrbaty,T. Haas,,,SVK,GER,6-4,6-2,,,,01:03:00,,,301,/en/stats/leaderboard?page=serve,0,7,63,41,65,68,28,41,63,15,24,100,5,5,9,249,/en/stats/leaderboard?page=serve,3,5,66,31,47,71,22,31,44,7,16,50,3,6,9,66,43,65,38,18,47,54,61,112,62,29,47,34,22,65,46,51,112,A,,,,,,,D. Hrbaty,T. Haas,SVK,GER,,,H377,H355
