event_id,event_year,tourney_name,level,start_date,end_date,surface,singles_draw_size,prize_money,prize_money_currency,match_id,round,match_time_total,match_message,match_status,num_sets,winner_flag_raw,score_string,winner_player_name,loser_player_name,winner_seed,loser_seed,winner_country,loser_country,set1_score,set2_score,set3_score,set4_score,set5_score,match_date,serverating_tot_winner,serveratinglink_tot_winner,doublefaults_tot_winner,aces_tot_winner,firstserve_percent_tot_winner,firstserve_dividend_tot_winner,firstserve_divisor_tot_winner,firstservepointswon_percent_tot_winner,firstservepointswon_dividend_tot_winner,firstservepointswon_divisor_tot_winner,secondservepointswon_percent_tot_winner,secondservepointswon_dividend_tot_winner,secondservepointswon_divisor_tot_winner,breakpointssaved_percent_tot_winner,breakpointssaved_dividend_tot_winner,breakpointssaved_divisor_tot_winner,servicegamesplayed_tot_winner,serverating_tot_loser,serveratinglink_tot_loser,doublefaults_tot_loser,aces_tot_loser,firstserve_percent_tot_loser,firstserve_dividend_tot_loser,firstserve_divisor_tot_loser,firstservepointswon_percent_tot_loser,firstservepointswon_dividend_tot_loser,firstservepointswon_divisor_tot_loser,secondservepointswon_percent_tot_loser,secondservepointswon_dividend_tot_loser,secondservepointswon_divisor_tot_loser,breakpointssaved_percent_tot_loser,breakpointssaved_dividend_tot_loser,breakpointssaved_divisor_tot_loser,servicegamesplayed_tot_loser,totalservicepointswon_percent_tot_winner,totalservicepointswon_dividend_tot_winner,totalservicepointswon_divisor_tot_winner,totalreturnpointswon_percent_tot_winner,totalreturnpointswon_dividend_tot_winner,totalreturnpointswon_divisor_tot_winner,totalpointswon_percent_tot_winner,totalpointswon_dividend_tot_winner,totalpointswon_divisor_tot_winner,totalservicepointswon_percent_tot_loser,totalservicepointswon_dividend_tot_loser,totalservicepointswon_divisor_tot_loser,totalreturnpointswon_percent_tot_loser,totalreturnpointswon_dividend_tot_loser,totalreturnpointswon_divisor_tot_loser,totalpointswon_percent_tot_loser,totalpointswon_dividend_tot_loser,totalpointswon_divisor_tot_loser,winner_flag,tiebreak_set2_winner,tiebreak_set2_loser,tiebreak_set3_winner,tiebreak_set3_loser,tiebreak_set1_winner,tiebreak_set1_loser,player_winner,player_loser,country_winner,country_loser,seed_winner,seed_loser,player_id_winner,player_id_loser
1536,2006,ATP Masters 1000 Madrid,1000,2006-10-16T00:00:00,2006-10-22T00:00:00,Hard,48,2200000,$,MS026,R32,01:38:00,,F,3,D643,"7-6(7),1-6,6-1",N. Djokovic,R. Gasquet,,,SRB,FRA,7-6(7),1-6,6-1,,,01:38:00,280,/en/stats/leaderboard?page=serve,3,9,65,47,72,81,38,47,52,13,25,50,3,6,13,261,/en/stats/leaderboard?page=serve,3,5,62,51,82,73,37,51,48,15,31,40,2,5,13,71,51,72,37,30,82,53,81,154,63,52,82,29,21,72,47,73,154,A,,,,,7,2,N. Djokovic,R. Gasquet,SRB,FRA,,,D643,G628
1536,2006,ATP Masters 1000 Madrid,1000,2006-10-16T00:00:00,2006-10-22T00:00:00,Hard,48,2200000,$,MS027,R32,02:13:00,,F,3,MC10,"6-4,3-6,6-3",A. Murray,I. Ljubicic,,,GBR,CRO,6-4,3-6,6-3,,,02:13:00,277,/en/stats/leaderboard?page=serve,6,8,42,37,88,86,32,37,55,28,51,83,5,6,14,267,/en/stats/leaderboard?page=serve,7,12,45,41,91,90,37,41,42,21,50,50,2,4,14,68,60,88,36,33,91,52,93,179,64,58,91,32,28,88,48,86,179,A,,,,,,,A. Murray,I. Ljubicic,GBR,CRO,,,MC10,L360
1536,2006,ATP Masters 1000 Madrid,1000,2006-10-16T00:00:00,2006-10-22T00:00:00,Hard,48,2200000,$,MS028,R32,01:28:00,,F,2,R485,"6-4,7-6(7)",A. Roddick,S. Grosjean,,,USA,FRA,6-4,7-6(7),,,,01:28:00,310,/en/stats/leaderboard?page=serve,3,9,69,47,68,83,39,47,52,11,21,0,0,0,11,279,/en/stats/leaderboard?page=serve,1,11,66,52,79,69,36,52,44,12,27,75,3,4,11,74,50,68,39,31,79,55,81,147,61,48,79,26,18,68,45,66,147,A,7,3,,,,,A. Roddick,S. Grosjean,USA,FRA,,,R485,G379
1536,2006,ATP Masters 1000 Madrid,1000,2006-10-16T00:00:00,2006-10-22T00:00:00,Hard,48,2200000,$,MS029,R32,01:33:00,,F,2,BA47,"7-6(7),6-3",T. Berdych,A. Calleri,,,CZE,ARG,7-6(7),6-3,,,,01:33:00,269,/en/stats/leaderboard?page=serve,2,8,56,38,68,74,28,38,53,16,30,60,3,5,10,223,/en/stats/leaderboard?page=serve,7,8,44,34,77,82,28,34,33,14,43,50,4,8,11,65,44,68,45,35,77,54,79,145,55,42,77,35,24,68,46,66,145,A,,,,,7,2,T. Berdych,A. Calleri,CZE,ARG,,,BA47,C478
1536,2006,ATP Masters 1000 Madrid,1000,2006-10-16T00:00:00,2006-10-22T00:00:00,Hard,48,2200000,$,MS030,R32,01:34:00,,F,2,H355,"6-3,7-6(8)",T. Haas,D. Hrbaty,,,GER,SVK,6-3,7-6(8),,,,01:34:00,281,/en/stats/leaderboard?page=serve,3,7,61,43,70,72,31,43,63,17,27,80,8,10,11,235,/en/stats/leaderboard?page=serve,2,4,51,41,80,68,28,41,44,17,39,70,7,10,10,69,48,70,44,35,80,55,83,150,56,45,80,31,22,70,45,67,150,A,8,6,,,,,T. Haas,D. Hrbaty,GER,SVK,,,H355,H377
1536,2006,ATP Masters 1000 Madrid,1000,2006-10-16T00:00:00,2006-10-22T00:00:00,Hard,48,2200000,$,MS031,R32,01:22:00,,F,2,N409,"6-4,6-2",R. Nadal,M. Fish,,,ESP,USA,6-4,6-2,,,,01:22:00,324,/en/stats/leaderboard?page=serve,0,3,65,31,48,74,23,31,82,14,17,100,2,2,9,238,/en/stats/leaderboard?page=serve,1,6,50,29,58,69,20,29,48,14,29,70,7,10,9,77,37,48,41,24,58,58,61,106,59,34,58,23,11,48,42,45,106,A,,,,,,,R. Nadal,M. Fish,ESP,USA,,,N409,F339
1536,2006,ATP Masters 1000 Madrid,1000,2006-10-16T00:00:00,2006-10-22T00:00:00,Hard,48,2200000,$,MS033,R64,01:28:00,,F,2,M655,"4-6,6-3",N. Massu,G. Gaudio,,,CHI,ARG,4-6,6-3,,,,01:28:00,242,/en/stats/leaderboard?page=serve,4,4,49,28,57,71,20,28,52,15,29,25,1,4,10,233,/en/stats/leaderboard?page=serve,5,0,63,35,56,71,25,35,38,8,21,25,1,4,9,61,35,57,41,23,56,51,58,113,59,33,56,39,22,57,49,55,113,A,,,,,,,N. Massu,G. Gaudio,CHI,ARG,,,M655,G374
1536,2006,ATP Masters 1000 Madrid,1000,2006-10-16T00:00:00,2006-10-22T00:00:00,Hard,48,2200000,$,MS034,R64,01:02:00,,F,2,SA49,"6-3,6-4",R. Soderling,O. Rochus,,,SWE,BEL,6-3,6-4,,,,01:02:00,318,/en/stats/leaderboard?page=serve,2,11,62,33,53,82,27,33,65,13,20,0,0,0,10,263,/en/stats/leaderboard?page=serve,1,2,66,35,53,63,22,35,56,10,18,75,6,8,9,75,40,53,40,21,53,58,61,106,60,32,53,25,13,53,42,45,106,A,,,,,,,R. Soderling,O. Rochus,SWE,BEL,,,SA49,R397
1536,2006,ATP Masters 1000 Madrid,1000,2006-10-16T00:00:00,2006-10-22T00:00:00,Hard,48,2200000,$,MS037,R64,01:50:00,,F,3,G569,"6-1,3-6,6-3",R. Ginepri,F. Lopez,,,USA,ESP,6-1,3-6,6-3,,,01:50:00,281,/en/stats/leaderboard?page=serve,2,7,58,52,89,67,35,52,59,22,37,91,10,11,13,253,/en/stats/leaderboard?page=serve,4,7,53,40,76,75,30,40,47,17,36,50,3,6,12,64,57,89,38,29,76,52,86,165,62,47,76,36,32,89,48,79,165,A,,,,,,,R. Ginepri,F. Lopez,USA,ESP,,,G569,L397
1536,2006,ATP Masters 1000 Madrid,1000,2006-10-16T00:00:00,2006-10-22T00:00:00,Hard,48,2200000,$,MS038,R64,00:58:00,,F,2,C514,"6-3,6-2",J. Chela,C. Moya,,,ARG,ESP,6-3,6-2,,,,00:58:00,330,/en/stats/leaderboard?page=serve,1,3,64,29,45,83,24,29,81,13,16,100,2,2,9,235,/en/stats/leaderboard?page=serve,1,1,65,30,46,70,21,30,38,6,16,50,3,6,8,82,37,45,41,19,46,62,56,91,59,27,46,18,8,45,38,35,91,A,,,,,,,J. Chela,C. Moya,ARG,ESP,,,C514,M605
