event_id,event_year,tourney_name,level,start_date,end_date,surface,singles_draw_size,prize_money,prize_money_currency,match_id,round,match_time_total,match_message,match_status,num_sets,winner_flag_raw,score_string,winner_player_name,loser_player_name,winner_seed,loser_seed,winner_country,loser_country,set1_score,set2_score,set3_score,set4_score,set5_score,match_date,serverating_tot_winner,serveratinglink_tot_winner,doublefaults_tot_winner,aces_tot_winner,firstserve_percent_tot_winner,firstserve_dividend_tot_winner,firstserve_divisor_tot_winner,firstservepointswon_percent_tot_winner,firstservepointswon_dividend_tot_winner,firstservepointswon_divisor_tot_winner,secondservepointswon_percent_tot_winner,secondservepointswon_dividend_tot_winner,secondservepointswon_divisor_tot_winner,breakpointssaved_percent_tot_winner,breakpointssaved_dividend_tot_winner,breakpointssaved_divisor_tot_winner,servicegamesplayed_tot_winner,serverating_tot_loser,serveratinglink_tot_loser,doublefaults_tot_loser,aces_tot_loser,firstserve_percent_tot_loser,firstserve_dividend_tot_loser,firstserve_divisor_tot_loser,firstservepointswon_percent_tot_loser,firstservepointswon_dividend_tot_loser,firstservepointswon_divisor_tot_loser,secondservepointswon_percent_tot_loser,secondservepointswon_dividend_tot_loser,secondservepointswon_divisor_tot_loser,breakpointssaved_percent_tot_loser,breakpointssaved_dividend_tot_loser,breakpointssaved_divisor_tot_loser,servicegamesplayed_tot_loser,totalservicepointswon_percent_tot_winner,totalservicepointswon_dividend_tot_winner,totalservicepointswon_divisor_tot_winner,totalreturnpointswon_percent_tot_winner,totalreturnpointswon_dividend_tot_winner,totalreturnpointswon_divisor_tot_winner,totalpointswon_percent_tot_winner,totalpointswon_dividend_tot_winner,totalpointswon_divisor_tot_winner,totalservicepointswon_percent_tot_loser,totalservicepointswon_dividend_tot_loser,totalservicepointswon_divisor_tot_loser,totalreturnpointswon_percent_tot_loser,totalreturnpointswon_dividend_tot_loser,totalreturnpointswon_divisor_tot_loser,totalpointswon_percent_tot_loser,totalpointswon_dividend_tot_loser,totalpointswon_divisor_tot_loser,winner_flag,tiebreak_set2_winner,tiebreak_set2_loser,doublefaults_isstatbetter_tot_winner,tiebreak_set1_winner,tiebreak_set1_loser,doublefaults_isstatbetter_tot_loser,player_winner,player_loser,player_id_winner,player_id_loser,country_winner,country_loser,seed_winner,seed_loser
408,1998,London-1,CS,1998-02-23T00:00:00,1998-03-01T00:00:00,Carpet,32,689250,$,MS011,R16,02:06:00,,F,3,S381,"6-3,6-7(4),6-4",J. Siemerink,B. Ulihrach,,,NED,CZE,6-3,6-7(4),6-4,,,02:06:00,279,/en/stats/leaderboard?page=serve,5,14,57,57,100,79,45,57,47,20,43,33,1,3,16,241,/en/stats/leaderboard?page=serve,3,1,59,66,111,62,41,66,49,22,45,60,6,10,15,65,65,100,43,48,111,54,113,211,57,63,111,35,35,100,46,98,211,A,4,7,,,,,J. Siemerink,B. Ulihrach,S381,U032,NED,CZE,,
408,1998,London-1,CS,1998-02-23T00:00:00,1998-03-01T00:00:00,Carpet,32,689250,$,MS012,R16,01:55:00,,F,3,H336,"4-6,6-3,6-4",T. Henman,R. Schuettler,,,GBR,GER,4-6,6-3,6-4,,,01:55:00,287,/en/stats/leaderboard?page=serve,1,10,58,49,84,88,43,49,46,16,35,67,4,6,15,251,/en/stats/leaderboard?page=serve,4,2,59,56,95,70,39,56,46,18,39,73,8,11,14,70,59,84,40,38,95,54,97,179,60,57,95,30,25,84,46,82,179,A,,,,,,,T. Henman,R. Schuettler,H336,S636,GBR,GER,,
408,1998,London-1,CS,1998-02-23T00:00:00,1998-03-01T00:00:00,Carpet,32,689250,$,MS013,R16,01:12:00,,F,2,K267,"6-3,6-4",Y. Kafelnikov,D. Vacek,,,RUS,CZE,6-3,6-4,,,,01:12:00,280,/en/stats/leaderboard?page=serve,2,11,61,43,71,74,32,43,46,13,28,89,8,9,10,237,/en/stats/leaderboard?page=serve,2,8,56,31,55,71,22,31,38,9,24,40,2,5,9,63,45,71,44,24,55,55,69,126,56,31,55,37,26,71,45,57,126,A,,,,,,,Y. Kafelnikov,D. Vacek,K267,V141,RUS,CZE,,
408,1998,London-1,CS,1998-02-23T00:00:00,1998-03-01T00:00:00,Carpet,32,689250,$,MS014,R16,01:05:00,,F,2,F196,"6-2,6-4",W. Ferreira,G. Ivanisevic,,,RSA,CRO,6-2,6-4,,,,01:05:00,277,/en/stats/leaderboard?page=serve,,6,64,37,58,84,31,37,57,12,21,,0,,9,223,/en/stats/leaderboard?page=serve,11,8,51,38,75,71,27,38,38,14,37,67,6,9,9,74,43,58,45,34,75,58,77,133,55,41,75,26,15,58,42,56,133,A,,,False,,,,W. Ferreira,G. Ivanisevic,F196,I034,RSA,CRO,,
408,1998,London-1,CS,1998-02-23T00:00:00,1998-03-01T00:00:00,Carpet,32,689250,$,MS015,R16,01:22:00,,F,2,R255,"6-3,7-6(8)",P. Rafter,M. Gustafsson,,,AUS,SWE,6-3,7-6(8),,,,01:22:00,210,/en/stats/leaderboard?page=serve,2,1,63,39,62,87,34,39,61,14,23,0,0,,11,278,/en/stats/leaderboard?page=serve,5,1,63,41,65,71,29,41,58,14,24,75,3,4,10,77,48,62,34,22,65,55,70,127,66,43,65,23,14,62,45,57,127,A,8,6,,,,,P. Rafter,M. Gustafsson,R255,G182,AUS,SWE,,
408,1998,London-1,CS,1998-02-23T00:00:00,1998-03-01T00:00:00,Carpet,32,689250,$,MS016,R32,02:15:00,,F,3,K148,"7-6(7),6-7(2),6-4",P. Korda,D. Prinosil,,,CZE,GER,7-6(7),6-7(2),6-4,,,02:15:00,269,/en/stats/leaderboard?page=serve,9,7,53,62,116,76,47,62,54,29,54,71,5,7,17,281,/en/stats/leaderboard?page=serve,5,18,63,64,102,81,52,64,42,16,38,63,5,8,17,66,76,116,33,34,102,50,110,218,67,68,102,34,40,116,50,108,218,A,2,7,,7,4,,P. Korda,D. Prinosil,K148,P273,CZE,GER,,
408,1998,London-1,CS,1998-02-23T00:00:00,1998-03-01T00:00:00,Carpet,32,689250,$,MS017,R32,01:22:00,,F,2,P226,"6-1,7-6(7)",C. Pioline,F. Clavet,,,FRA,ESP,6-1,7-6(7),,,,01:22:00,283,/en/stats/leaderboard?page=serve,1,14,59,48,81,79,38,48,42,14,33,89,8,9,10,254,/en/stats/leaderboard?page=serve,1,3,66,37,56,62,23,37,58,11,19,50,3,6,9,64,52,81,39,22,56,54,74,137,61,34,56,36,29,81,46,63,137,A,7,5,,,,,C. Pioline,F. Clavet,P226,C252,FRA,ESP,,
408,1998,London-1,CS,1998-02-23T00:00:00,1998-03-01T00:00:00,Carpet,32,689250,$,MS018,R32,01:01:00,,F,2,D228,"6-2,7-5",F. Dewulf,G. Blanco,,,BEL,ESP,6-2,7-5,,,,01:01:00,273,/en/stats/leaderboard?page=serve,4,8,43,26,61,85,22,26,51,18,35,67,2,3,10,241,/en/stats/leaderboard?page=serve,,5,63,38,60,63,24,38,50,11,22,33,2,6,10,66,40,61,42,25,60,54,65,121,58,35,60,34,21,61,46,56,121,A,,,,,,False,F. Dewulf,G. Blanco,D228,B518,BEL,ESP,,
408,1998,London-1,CS,1998-02-23T00:00:00,1998-03-01T00:00:00,Carpet,32,689250,$,MS019,R32,02:25:00,,F,3,K237,"6-7(2),7-6(8),6-4",K. Kucera,G. Raoux,,,SVK,FRA,6-7(2),7-6(8),6-4,,,02:25:00,276,/en/stats/leaderboard?page=serve,10,14,62,71,115,79,56,71,43,19,44,75,6,8,17,267,/en/stats/leaderboard?page=serve,2,3,59,64,108,77,49,64,48,21,44,40,2,5,17,65,75,115,35,38,108,51,113,223,65,70,108,35,40,115,49,110,223,A,8,6,,2,7,,K. Kucera,G. Raoux,K237,R186,SVK,FRA,,
408,1998,London-1,CS,1998-02-23T00:00:00,1998-03-01T00:00:00,Carpet,32,689250,$,MS020,R32,01:42:00,,F,3,G252,"5-7,7-5,6-4",M. Goellner,G. Rusedski,,,GER,GBR,5-7,7-5,6-4,,,01:42:00,292,/en/stats/leaderboard?page=serve,5,16,58,60,103,88,53,60,47,20,43,82,9,11,17,277,/en/stats/leaderboard?page=serve,15,33,54,57,105,81,46,57,42,20,48,57,4,7,17,71,73,103,37,39,105,54,112,208,63,66,105,29,30,103,46,96,208,A,,,,,,,M. Goellner,G. Rusedski,G252,R237,GER,GBR,,
408,1998,London-1,CS,1998-02-23T00:00:00,1998-03-01T00:00:00,Carpet,32,689250,$,MS021,R32,00:45:00,,F,2,R266,"6-3,2-1",A. Richardson,M. Rosset,,,GBR,SUI,6-3,2-1,,,,00:45:00,208,/en/stats/leaderboard?page=serve,1,3,68,25,37,80,20,25,58,7,12,0,0,,7,238,/en/stats/leaderboard?page=serve,2,3,63,25,40,68,17,25,40,6,15,60,3,5,6,73,27,37,43,17,40,57,44,77,58,23,40,27,10,37,43,33,77,A,,,,,,,A. Richardson,M. Rosset,R266,R214,GBR,SUI,,
408,1998,London-1,CS,1998-02-23T00:00:00,1998-03-01T00:00:00,Carpet,32,689250,$,MS022,R32,01:21:00,,F,2,U032,"6-4,7-6(7)",B. Ulihrach,M. Lee,,,CZE,GBR,6-4,7-6(7),,,,01:21:00,291,/en/stats/leaderboard?page=serve,3,6,61,46,75,78,36,46,59,17,29,50,1,2,11,275,/en/stats/leaderboard?page=serve,1,9,61,45,74,80,36,45,45,13,29,60,3,5,11,71,53,75,34,25,74,52,78,149,66,49,74,29,22,75,48,71,149,A,7,4,,,,,B. Ulihrach,M. Lee,U032,L333,CZE,GBR,,
408,1998,London-1,CS,1998-02-23T00:00:00,1998-03-01T00:00:00,Carpet,32,689250,$,MS023,R32,01:08:00,,F,2,S381,"6-1,7-6(7)",J. Siemerink,S. Bruguera,,,NED,ESP,6-1,7-6(7),,,,01:08:00,293,/en/stats/leaderboard?page=serve,3,12,63,38,60,87,33,38,64,14,22,,0,,10,249,/en/stats/leaderboard?page=serve,7,1,62,43,69,70,30,43,46,12,26,75,6,8,9,78,47,60,39,27,69,57,74,129,61,42,69,22,13,60,43,55,129,A,7,3,,,,,J. Siemerink,S. Bruguera,S381,B350,NED,ESP,,
408,1998,London-1,CS,1998-02-23T00:00:00,1998-03-01T00:00:00,Carpet,32,689250,$,MS024,R32,02:39:00,,F,3,H336,"6-7(5),7-6(7),7-5",T. Henman,R. Krajicek,,,GBR,NED,6-7(5),7-6(7),7-5,,,02:39:00,287,/en/stats/leaderboard?page=serve,5,10,52,64,122,81,52,64,55,32,58,80,4,5,18,283,/en/stats/leaderboard?page=serve,3,14,57,74,130,66,49,74,61,34,56,83,10,12,18,69,84,122,36,47,130,52,131,252,64,83,130,31,38,122,48,121,252,A,7,2,,5,7,,T. Henman,R. Krajicek,H336,K214,GBR,NED,,
