event_id,event_year,tourney_name,level,start_date,end_date,surface,singles_draw_size,prize_money,prize_money_currency,match_id,round,match_time_total,match_message,match_status,num_sets,winner_flag_raw,score_string,winner_player_name,loser_player_name,winner_seed,loser_seed,winner_country,loser_country,set1_score,set2_score,set3_score,set4_score,set5_score,match_date,serverating_tot_winner,serveratinglink_tot_winner,doublefaults_tot_winner,aces_tot_winner,firstserve_percent_tot_winner,firstserve_dividend_tot_winner,firstserve_divisor_tot_winner,firstservepointswon_percent_tot_winner,firstservepointswon_dividend_tot_winner,firstservepointswon_divisor_tot_winner,secondservepointswon_percent_tot_winner,secondservepointswon_dividend_tot_winner,secondservepointswon_divisor_tot_winner,breakpointssaved_percent_tot_winner,breakpointssaved_dividend_tot_winner,breakpointssaved_divisor_tot_winner,servicegamesplayed_tot_winner,serverating_tot_loser,serveratinglink_tot_loser,doublefaults_isstatbetter_tot_loser,aces_tot_loser,firstserve_percent_tot_loser,firstserve_dividend_tot_loser,firstserve_divisor_tot_loser,firstservepointswon_percent_tot_loser,firstservepointswon_dividend_tot_loser,firstservepointswon_divisor_tot_loser,secondservepointswon_percent_tot_loser,secondservepointswon_dividend_tot_loser,secondservepointswon_divisor_tot_loser,breakpointssaved_percent_tot_loser,breakpointssaved_dividend_tot_loser,breakpointssaved_divisor_tot_loser,servicegamesplayed_tot_loser,totalservicepointswon_percent_tot_winner,totalservicepointswon_dividend_tot_winner,totalservicepointswon_divisor_tot_winner,totalreturnpointswon_percent_tot_winner,totalreturnpointswon_dividend_tot_winner,totalreturnpointswon_divisor_tot_winner,totalpointswon_percent_tot_winner,totalpointswon_dividend_tot_winner,totalpointswon_divisor_tot_winner,totalservicepointswon_percent_tot_loser,totalservicepointswon_dividend_tot_loser,totalservicepointswon_divisor_tot_loser,totalreturnpointswon_percent_tot_loser,totalreturnpointswon_dividend_tot_loser,totalreturnpointswon_divisor_tot_loser,totalpointswon_percent_tot_loser,totalpointswon_dividend_tot_loser,totalpointswon_divisor_tot_loser,winner_flag,tiebreak_set2_winner,tiebreak_set2_loser,doublefaults_tot_loser,tiebreak_set1_winner,tiebreak_set1_loser,doublefaults_isstatbetter_tot_winner,tiebreak_set3_winner,tiebreak_set3_loser,servicegamesplayed_isstatbetter_tot_winner,player_winner,player_loser,player_id_winner,player_id_loser,country_winner,country_loser,seed_winner,seed_loser
404,1996,ATP Masters 1000 Indian Wells,1000,1996-03-11T00:00:00,1996-03-17T00:00:00,Hard,56,1950000,$,MS045,R64,01:57:00,,F,3,K190,"3-6,6-4,6-4",B. Karbacher,G. Rusedski,,,GER,GBR,3-6,6-4,6-4,,,01:57:00,246,/en/stats/leaderboard?page=serve,1,3,55,49.0,89,73,36.0,49.0,45,18.0,40.0,50,4,8,14,236,/en/stats/leaderboard?page=serve,,8,56,54,96,70,38,54,40,17,42,44,4,9,15,61,54,89,43,41,96,51,95,185,57,55,96,39,35,89,49,90,185,A,,,4,,,,,,,B. Karbacher,G. Rusedski,K190,R237,GER,GBR,,
404,1996,ATP Masters 1000 Indian Wells,1000,1996-03-11T00:00:00,1996-03-17T00:00:00,Hard,56,1950000,$,MS046,R64,01:24:00,,F,2,B397,"7-6(7),6-2",B. Black,J. Frana,,,ZIM,ARG,7-6(7),6-2,,,,01:24:00,284,/en/stats/leaderboard?page=serve,2,3,69,50.0,72,74,37.0,50.0,50,11.0,22.0,89,8,9,10,255,/en/stats/leaderboard?page=serve,,12,54,36,67,81,29,36,39,12,31,57,4,7,10,67,48,72,39,26,67,53,74,139,61,41,67,33,24,72,47,65,139,A,,,1,7,5,,,,,B. Black,J. Frana,B397,F041,ZIM,ARG,,
404,1996,ATP Masters 1000 Indian Wells,1000,1996-03-11T00:00:00,1996-03-17T00:00:00,Hard,56,1950000,$,MS049,R64,00:51:00,,F,2,E004,"6-1,6-2",S. Edberg,J. Novak,,,SWE,CZE,6-1,6-2,,,,00:51:00,232,/en/stats/leaderboard?page=serve,,3,48,15.0,31,93,14.0,15.0,88,14.0,16.0,0,0,,7,191,/en/stats/leaderboard?page=serve,,2,69,35,51,46,16,35,38,6,16,55,6,11,8,90,28,31,57,29,51,70,57,82,43,22,51,10,3,31,30,25,82,A,,,1,,,False,,,,S. Edberg,J. Novak,E004,N254,SWE,CZE,,
404,1996,ATP Masters 1000 Indian Wells,1000,1996-03-11T00:00:00,1996-03-17T00:00:00,Hard,56,1950000,$,MS050,R64,01:28:00,,F,2,N210,"7-6(7),6-4",D. Nestor,B. Steven,,,CAN,NZL,7-6(7),6-4,,,,01:28:00,304,/en/stats/leaderboard?page=serve,2,8,53,34.0,64,88,30.0,34.0,67,20.0,30.0,80,4,5,11,277,/en/stats/leaderboard?page=serve,,6,70,55,79,64,35,55,58,14,24,75,6,8,11,78,50,64,38,30,79,56,80,143,62,49,79,22,14,64,44,63,143,A,,,2,7,2,,,,,D. Nestor,B. Steven,N210,S321,CAN,NZL,,
404,1996,ATP Masters 1000 Indian Wells,1000,1996-03-11T00:00:00,1996-03-17T00:00:00,Hard,56,1950000,$,MS051,R64,00:58:00,,F,2,B053,"6-3,4-1",A. Boetsch,Y. El Aynaoui,,,FRA,MAR,6-3,4-1,,,,00:58:00,255,/en/stats/leaderboard?page=serve,2,6,48,29.0,60,76,22.0,29.0,52,16.0,31.0,,0,,8,215,/en/stats/leaderboard?page=serve,,1,60,25,42,60,15,25,41,7,17,40,2,5,7,63,38,60,48,20,42,57,58,102,52,22,42,37,22,60,43,44,102,A,,,4,,,,,,,A. Boetsch,Y. El Aynaoui,B053,E121,FRA,MAR,,
404,1996,ATP Masters 1000 Indian Wells,1000,1996-03-11T00:00:00,1996-03-17T00:00:00,Hard,56,1950000,$,MS052,R64,01:06:00,,F,2,M442,"6-3,6-2",T. Martin,J. Stoltenberg,,,USA,AUS,6-3,6-2,,,,01:06:00,300,/en/stats/leaderboard?page=serve,2,4,59,29.0,49,86,25.0,29.0,65,13.0,20.0,,0,,9,223,/en/stats/leaderboard?page=serve,,5,41,22,54,77,17,22,41,13,32,25,1,4,8,78,38,49,44,24,54,60,62,103,56,30,54,22,11,49,40,41,103,A,,,3,,,,,,,T. Martin,J. Stoltenberg,M442,S331,USA,AUS,,
404,1996,ATP Masters 1000 Indian Wells,1000,1996-03-11T00:00:00,1996-03-17T00:00:00,Hard,56,1950000,$,MS053,R64,01:49:00,,F,3,W035,"6-7(6),6-2,6-2",M. Woodforde,J. Sanchez,,,AUS,ESP,6-7(6),6-2,6-2,,,01:49:00,269,/en/stats/leaderboard?page=serve,1,5,60,52.0,87,85,44.0,52.0,63,22.0,35.0,,0,,14,275,/en/stats/leaderboard?page=serve,False,5,72,63,88,67,42,63,60,15,25,64,7,11,14,76,66,87,35,31,88,55,97,175,65,57,88,24,21,87,45,78,175,A,,,,6,8,,,,,M. Woodforde,J. Sanchez,W035,S015,AUS,ESP,,
404,1996,ATP Masters 1000 Indian Wells,1000,1996-03-11T00:00:00,1996-03-17T00:00:00,Hard,56,1950000,$,MS054,R64,01:38:00,,F,2,S572,"7-6(7),6-3",S. Schalken,N. Lapentti,,,NED,ECU,7-6(7),6-3,,,,01:38:00,0,/en/stats/leaderboard?page=serve,,0,0,,0,0,,,0,,,0,0,,,256,/en/stats/leaderboard?page=serve,,2,61,43,70,79,34,43,37,10,27,75,6,8,10,0,0,0,0,0,0,0,0,0,63,44,70,35,29,83,48,73,153,A,,,3,7,4,False,,,False,S. Schalken,N. Lapentti,S572,L290,NED,ECU,,
404,1996,ATP Masters 1000 Indian Wells,1000,1996-03-11T00:00:00,1996-03-17T00:00:00,Hard,56,1950000,$,MS057,R64,01:10:00,,F,2,W136,"7-5,6-1",T. Woodbridge,A. Berasategui,,,AUS,ESP,7-5,6-1,,,,01:10:00,272,/en/stats/leaderboard?page=serve,4,1,57,40.0,70,68,27.0,40.0,60,18.0,30.0,83,5,6,10,222,/en/stats/leaderboard?page=serve,,0,87,48,55,52,25,48,29,2,7,33,2,6,9,64,45,70,51,28,55,58,73,125,49,27,55,36,25,70,42,52,125,A,,,1,,,,,,,T. Woodbridge,A. Berasategui,W136,B428,AUS,ESP,,
404,1996,ATP Masters 1000 Indian Wells,1000,1996-03-11T00:00:00,1996-03-17T00:00:00,Hard,56,1950000,$,MS058,R64,01:03:00,,F,2,P338,"6-3,6-0",M. Philippoussis,F. Clavet,,,AUS,ESP,6-3,6-0,,,,01:03:00,265,/en/stats/leaderboard?page=serve,6,9,46,27.0,59,85,23.0,27.0,44,14.0,32.0,0,0,1,8,181,/en/stats/leaderboard?page=serve,,1,67,33,49,42,14,33,44,7,16,44,4,9,7,63,37,59,57,28,49,60,65,108,43,21,49,37,22,59,40,43,108,A,,,1,,,,,,,M. Philippoussis,F. Clavet,P338,C252,AUS,ESP,,
