event_id,event_year,tourney_name,level,start_date,end_date,surface,singles_draw_size,prize_money,prize_money_currency,match_id,round,match_time_total,match_message,match_status,num_sets,winner_flag_raw,score_string,winner_player_name,loser_player_name,winner_seed,loser_seed,winner_country,loser_country,set1_score,set2_score,set3_score,set4_score,set5_score,match_date,serverating_tot_winner,serveratinglink_tot_winner,doublefaults_tot_winner,aces_tot_winner,firstserve_percent_tot_winner,firstserve_dividend_tot_winner,firstserve_divisor_tot_winner,firstservepointswon_percent_tot_winner,firstservepointswon_dividend_tot_winner,firstservepointswon_divisor_tot_winner,secondservepointswon_percent_tot_winner,secondservepointswon_dividend_tot_winner,secondservepointswon_divisor_tot_winner,breakpointssaved_percent_tot_winner,breakpointssaved_dividend_tot_winner,breakpointssaved_divisor_tot_winner,servicegamesplayed_tot_winner,serverating_tot_loser,serveratinglink_tot_loser,doublefaults_tot_loser,aces_tot_loser,firstserve_percent_tot_loser,firstserve_dividend_tot_loser,firstserve_divisor_tot_loser,firstservepointswon_percent_tot_loser,firstservepointswon_dividend_tot_loser,firstservepointswon_divisor_tot_loser,secondservepointswon_percent_tot_loser,secondservepointswon_dividend_tot_loser,secondservepointswon_divisor_tot_loser,breakpointssaved_percent_tot_loser,breakpointssaved_dividend_tot_loser,breakpointssaved_divisor_tot_loser,servicegamesplayed_tot_loser,totalservicepointswon_percent_tot_winner,totalservicepointswon_dividend_tot_winner,totalservicepointswon_divisor_tot_winner,totalreturnpointswon_percent_tot_winner,totalreturnpointswon_dividend_tot_winner,totalreturnpointswon_divisor_tot_winner,totalpointswon_percent_tot_winner,totalpointswon_dividend_tot_winner,totalpointswon_divisor_tot_winner,totalservicepointswon_percent_tot_loser,totalservicepointswon_dividend_tot_loser,totalservicepointswon_divisor_tot_loser,totalreturnpointswon_percent_tot_loser,totalreturnpointswon_dividend_tot_loser,totalreturnpointswon_divisor_tot_loser,totalpointswon_percent_tot_loser,totalpointswon_dividend_tot_loser,totalpointswon_divisor_tot_loser,winner_flag,tiebreak_set1_winner,tiebreak_set1_loser,doublefaults_isstatbetter_tot_winner,tiebreak_set3_winner,tiebreak_set3_loser,tiebreak_set2_winner,tiebreak_set2_loser,player_winner,player_loser,player_id_winner,player_id_loser,country_winner,country_loser,seed_winner,seed_loser
430,1997,Antwerp,GP,1997-02-17T00:00:00,1997-02-23T00:00:00,Hard,32,875000,$,MS011,R16,01:45:00,,F,3,N233,"6-3,1-6,7-6(8)",D. Norman,F. Mantilla,,,BEL,ESP,6-3,1-6,7-6(8),,,01:45:00,285,/en/stats/leaderboard?page=serve,4,10,58,53,91,81,43,53,55,21,38,67,4,6,14,286,/en/stats/leaderboard?page=serve,4,6,61,54,88,78,42,54,53,18,34,80,4,5,14,70,64,91,32,28,88,51,92,179,68,60,88,30,27,91,49,87,179,A,,,,8,6,,,D. Norman,F. Mantilla,N233,M535,BEL,ESP,,
430,1997,Antwerp,GP,1997-02-17T00:00:00,1997-02-23T00:00:00,Hard,32,875000,$,MS012,R16,01:02:00,,F,2,H336,"6-2,6-3",T. Henman,M. Tillstrom,,,GBR,SWE,6-2,6-3,,,,01:02:00,270,/en/stats/leaderboard?page=serve,4,3,47,23,49,87,20,23,50,13,26,50,1,2,8,201,/en/stats/leaderboard?page=serve,2,3,52,31,60,42,13,31,62,18,29,29,2,7,9,67,33,49,48,29,60,57,62,109,52,31,60,33,16,49,43,47,109,A,,,,,,,,T. Henman,M. Tillstrom,H336,T166,GBR,SWE,,
430,1997,Antwerp,GP,1997-02-17T00:00:00,1997-02-23T00:00:00,Hard,32,875000,$,MS013,R16,02:08:00,,F,3,C252,"3-6,6-3,6-3",F. Clavet,J. Van Herck,,,ESP,BEL,3-6,6-3,6-3,,,02:08:00,248,/en/stats/leaderboard?page=serve,5,4,56,47,84,68,32,47,49,18,37,25,1,4,13,224,/en/stats/leaderboard?page=serve,4,6,44,44,101,68,30,44,46,26,57,67,10,15,14,60,50,84,45,45,101,51,95,185,55,56,101,40,34,84,49,90,185,A,,,,,,,,F. Clavet,J. Van Herck,C252,V167,ESP,BEL,,
430,1997,Antwerp,GP,1997-02-17T00:00:00,1997-02-23T00:00:00,Hard,32,875000,$,MS015,R16,02:18:00,,F,3,D214,"4-6,7-5,7-6(7)",M. Damm,M. Rios,,,CZE,CHI,4-6,7-5,7-6(7),,,02:18:00,265,/en/stats/leaderboard?page=serve,8,14,56,70,126,76,53,70,45,25,56,70,7,10,17,263,/en/stats/leaderboard?page=serve,3,6,56,59,106,69,41,59,53,25,47,63,5,8,17,62,78,126,38,40,106,51,118,232,62,66,106,38,48,126,49,114,232,A,,,,7,3,,,M. Damm,M. Rios,D214,R286,CZE,CHI,,
430,1997,Antwerp,GP,1997-02-17T00:00:00,1997-02-23T00:00:00,Hard,32,875000,$,MS016,R32,01:53:00,,F,3,D228,"6-4,5-7,6-4",F. Dewulf,G. Forget,,,BEL,FRA,6-4,5-7,6-4,,,01:53:00,222,/en/stats/leaderboard?page=serve,8,7,50,52,104,69,36,52,42,22,52,60,9,15,16,227,/en/stats/leaderboard?page=serve,2,16,63,60,95,68,41,60,26,9,35,22,2,9,16,56,58,104,47,45,95,52,103,199,53,50,95,44,46,104,48,96,199,A,,,,,,,,F. Dewulf,G. Forget,D228,F035,BEL,FRA,,
430,1997,Antwerp,GP,1997-02-17T00:00:00,1997-02-23T00:00:00,Hard,32,875000,$,MS017,R32,00:59:00,,F,2,P226,"6-0,6-2",C. Pioline,J. Courier,,,FRA,USA,6-0,6-2,,,,00:59:00,304,/en/stats/leaderboard?page=serve,3,2,72,26,36,88,23,26,60,6,10,,0,,7,160,/en/stats/leaderboard?page=serve,2,4,51,22,43,55,12,22,24,5,21,17,1,6,7,81,29,36,60,26,43,70,55,79,40,17,43,19,7,36,30,24,79,A,,,,,,,,C. Pioline,J. Courier,P226,C243,FRA,USA,,
430,1997,Antwerp,GP,1997-02-17T00:00:00,1997-02-23T00:00:00,Hard,32,875000,$,MS018,R32,01:23:00,,F,2,R214,"7-6(7),6-2",M. Rosset,A. Medvedev,,,SUI,UKR,7-6(7),6-2,,,,01:23:00,258,/en/stats/leaderboard?page=serve,5,5,54,35,65,77,27,35,47,14,30,50,2,4,10,220,/en/stats/leaderboard?page=serve,4,4,62,38,61,63,24,38,35,8,23,50,4,8,10,63,41,65,48,29,61,56,70,126,52,32,61,37,24,65,44,56,126,A,7,4,,,,,,M. Rosset,A. Medvedev,R214,M475,SUI,UKR,,
430,1997,Antwerp,GP,1997-02-17T00:00:00,1997-02-23T00:00:00,Hard,32,875000,$,MS019,R32,01:50:00,,F,3,K316,"3-6,6-4,7-5",N. Kiefer,J. Siemerink,,,GER,NED,3-6,6-4,7-5,,,01:50:00,287,/en/stats/leaderboard?page=serve,2,7,53,43,81,77,33,43,66,25,38,50,2,4,15,270,/en/stats/leaderboard?page=serve,2,4,57,54,94,70,38,54,60,24,40,70,7,10,16,72,58,81,34,32,94,51,90,175,66,62,94,28,23,81,49,85,175,A,,,,,,,,N. Kiefer,J. Siemerink,K316,S381,GER,NED,,
430,1997,Antwerp,GP,1997-02-17T00:00:00,1997-02-23T00:00:00,Hard,32,875000,$,MS020,R32,01:07:00,,F,2,K148,"6-3,6-2",P. Korda,D. van Scheppingen,,,CZE,NED,6-3,6-2,,,,01:07:00,230,/en/stats/leaderboard?page=serve,3,5,51,32,63,66,21,32,45,14,31,57,4,7,9,163,/en/stats/leaderboard?page=serve,4,1,56,31,55,52,16,31,33,8,24,50,6,12,8,56,35,63,56,31,55,56,66,118,44,24,55,44,28,63,44,52,118,A,,,,,,,,P. Korda,D. van Scheppingen,K148,S559,CZE,NED,,
430,1997,Antwerp,GP,1997-02-17T00:00:00,1997-02-23T00:00:00,Hard,32,875000,$,MS021,R32,01:05:00,,F,2,S015,"6-4,6-2",J. Sanchez,H. Dreekmann,,,ESP,GER,6-4,6-2,,,,01:05:00,270,/en/stats/leaderboard?page=serve,1,1,50,29,58,66,19,29,66,19,29,75,3,4,9,214,/en/stats/leaderboard?page=serve,3,3,44,23,52,74,17,23,41,12,29,0,0,4,9,66,38,58,44,23,52,55,61,110,56,29,52,34,20,58,45,49,110,A,,,,,,,,J. Sanchez,H. Dreekmann,S015,D249,ESP,GER,,
430,1997,Antwerp,GP,1997-02-17T00:00:00,1997-02-23T00:00:00,Hard,32,875000,$,MS022,R32,00:31:00,,F,1,N233,5-2,D. Norman,B. Ulihrach,,,BEL,CZE,5-2,,,,,00:31:00,190,/en/stats/leaderboard?page=serve,3,3,54,14,26,86,12,14,50,6,12,,0,,4,240,/en/stats/leaderboard?page=serve,1,0,52,12,23,50,6,12,64,7,11,75,3,4,4,69,18,26,43,10,23,57,28,49,57,13,23,31,8,26,43,21,49,A,,,,,,,,D. Norman,B. Ulihrach,N233,U032,BEL,CZE,,
430,1997,Antwerp,GP,1997-02-17T00:00:00,1997-02-23T00:00:00,Hard,32,875000,$,MS023,R32,01:02:00,,F,2,M535,"6-2,6-1",F. Mantilla,B. Karbacher,,,ESP,GER,6-2,6-1,,,,01:02:00,275,/en/stats/leaderboard?page=serve,1,3,43,22,51,77,17,22,66,19,29,,0,,8,188,/en/stats/leaderboard?page=serve,5,1,56,31,55,52,16,31,42,10,24,56,5,9,7,71,36,51,53,29,55,61,65,106,47,26,55,29,15,51,39,41,106,A,,,,,,,,F. Mantilla,B. Karbacher,M535,K190,ESP,GER,,
430,1997,Antwerp,GP,1997-02-17T00:00:00,1997-02-23T00:00:00,Hard,32,875000,$,MS024,R32,02:01:00,,F,3,H336,"6-3,4-6,6-4",T. Henman,S. Bruguera,,,GBR,ESP,6-3,4-6,6-4,,,02:01:00,252,/en/stats/leaderboard?page=serve,5,5,50,47,94,79,37,47,43,20,47,50,3,6,15,234,/en/stats/leaderboard?page=serve,4,2,50,50,101,58,29,50,57,29,51,71,10,14,14,61,57,94,43,43,101,51,100,195,57,58,101,39,37,94,49,95,195,A,,,,,,,,T. Henman,S. Bruguera,H336,B350,GBR,ESP,,
