event_id,event_year,tourney_name,level,start_date,end_date,surface,singles_draw_size,prize_money,prize_money_currency,match_id,round,match_time_total,match_message,match_status,num_sets,winner_flag_raw,score_string,winner_player_name,loser_player_name,winner_seed,loser_seed,winner_country,loser_country,set1_score,set2_score,set3_score,set4_score,set5_score,match_date,serverating_tot_winner,serveratinglink_tot_winner,doublefaults_isstatbetter_tot_winner,aces_tot_winner,firstserve_percent_tot_winner,firstserve_dividend_tot_winner,firstserve_divisor_tot_winner,firstservepointswon_percent_tot_winner,firstservepointswon_dividend_tot_winner,firstservepointswon_divisor_tot_winner,secondservepointswon_percent_tot_winner,secondservepointswon_dividend_tot_winner,secondservepointswon_divisor_tot_winner,breakpointssaved_percent_tot_winner,breakpointssaved_dividend_tot_winner,breakpointssaved_divisor_tot_winner,servicegamesplayed_tot_winner,serverating_tot_loser,serveratinglink_tot_loser,doublefaults_tot_loser,aces_tot_loser,firstserve_percent_tot_loser,firstserve_dividend_tot_loser,firstserve_divisor_tot_loser,firstservepointswon_percent_tot_loser,firstservepointswon_dividend_tot_loser,firstservepointswon_divisor_tot_loser,secondservepointswon_percent_tot_loser,secondservepointswon_dividend_tot_loser,secondservepointswon_divisor_tot_loser,breakpointssaved_percent_tot_loser,breakpointssaved_dividend_tot_loser,breakpointssaved_divisor_tot_loser,servicegamesplayed_tot_loser,totalservicepointswon_percent_tot_winner,totalservicepointswon_dividend_tot_winner,totalservicepointswon_divisor_tot_winner,totalreturnpointswon_percent_tot_winner,totalreturnpointswon_dividend_tot_winner,totalreturnpointswon_divisor_tot_winner,totalpointswon_percent_tot_winner,totalpointswon_dividend_tot_winner,totalpointswon_divisor_tot_winner,totalservicepointswon_percent_tot_loser,totalservicepointswon_dividend_tot_loser,totalservicepointswon_divisor_tot_loser,totalreturnpointswon_percent_tot_loser,totalreturnpointswon_dividend_tot_loser,totalreturnpointswon_divisor_tot_loser,totalpointswon_percent_tot_loser,totalpointswon_dividend_tot_loser,totalpointswon_divisor_tot_loser,winner_flag,tiebreak_set2_winner,tiebreak_set2_loser,doublefaults_tot_winner,tiebreak_set1_winner,tiebreak_set1_loser,tiebreak_set3_winner,tiebreak_set3_loser,player_winner,player_loser,player_id_winner,player_id_loser,country_winner,country_loser,seed_winner,seed_loser
496,1996,Marseille,GP,1996-02-12T00:00:00,1996-02-18T00:00:00,Hard,32,514250,$,MS021,R32,02:24:00,,F,3,V166,"4-6,7-5,7-6(7)",A. Voinea,G. Carraz,,,ROU,FRA,4-6,7-5,7-6(7),,,02:24:00,253,/en/stats/leaderboard?page=serve,,11,54,68,126,74,50,68,45,26,58,69,9,13,17,260,/en/stats/leaderboard?page=serve,6,8,49,48,98,81,39,48,52,26,50,43,3,7,17,60,76,126,34,33,98,49,109,224,66,65,98,40,50,126,51,115,224,A,,,7,,,7,5,A. Voinea,G. Carraz,V166,C400,ROU,FRA,,
496,1996,Marseille,GP,1996-02-12T00:00:00,1996-02-18T00:00:00,Hard,32,514250,$,MS022,R32,01:39:00,,F,3,F035,"4-6,6-3,6-3",G. Forget,Y. Noah,,,FRA,FRA,4-6,6-3,6-3,,,01:39:00,313,/en/stats/leaderboard?page=serve,,6,55,37,67,78,29,37,83,25,30,0,0,1,14,262,/en/stats/leaderboard?page=serve,2,7,60,52,86,69,36,52,50,17,34,50,3,6,14,81,54,67,38,33,86,57,87,153,62,53,86,19,13,67,43,66,153,A,,,1,,,,,G. Forget,Y. Noah,F035,N022,FRA,FRA,,
496,1996,Marseille,GP,1996-02-12T00:00:00,1996-02-18T00:00:00,Hard,32,514250,$,MS023,R32,01:05:00,,F,2,H025,"6-4,6-2",J. Hlasek,A. Chesnokov,,,SUI,RUS,6-4,6-2,,,,01:05:00,300,/en/stats/leaderboard?page=serve,False,7,65,33,51,73,24,33,67,12,18,50,1,2,9,216,/en/stats/leaderboard?page=serve,2,1,59,33,56,64,21,33,39,9,23,43,3,7,9,71,36,51,46,26,56,58,62,107,54,30,56,29,15,51,42,45,107,A,,,,,,,,J. Hlasek,A. Chesnokov,H025,C031,SUI,RUS,,
496,1996,Marseille,GP,1996-02-12T00:00:00,1996-02-18T00:00:00,Hard,32,514250,$,MS024,R32,02:32:00,,F,3,U032,"4-6,7-6(7),7-6(8)",B. Ulihrach,R. Agenor,,,CZE,HAI,4-6,7-6(7),7-6(8),,,02:32:00,221,/en/stats/leaderboard?page=serve,,2,49,66,135,62,41,66,52,36,69,60,9,15,17,255,/en/stats/leaderboard?page=serve,4,10,69,72,105,65,47,72,45,15,33,0,0,5,17,57,77,135,41,43,105,50,120,240,59,62,105,43,58,135,50,120,240,A,7,2,8,,,8,6,B. Ulihrach,R. Agenor,U032,A006,CZE,HAI,,
496,1996,Marseille,GP,1996-02-12T00:00:00,1996-02-18T00:00:00,Hard,32,514250,$,MS025,R32,01:39:00,,F,2,D249,"6-3,6-4",H. Dreekmann,M. Sinner,,,GER,GER,6-3,6-4,,,,01:39:00,279,/en/stats/leaderboard?page=serve,,4,44,27,62,74,20,27,69,24,35,,0,,10,242,/en/stats/leaderboard?page=serve,3,2,42,25,59,80,20,25,44,15,34,67,4,6,9,71,44,62,41,24,59,56,68,121,59,35,59,29,18,62,44,53,121,A,,,2,,,,,H. Dreekmann,M. Sinner,D249,S367,GER,GER,,
496,1996,Marseille,GP,1996-02-12T00:00:00,1996-02-18T00:00:00,Hard,32,514250,$,MS026,R32,00:50:00,,F,2,D228,"6-4,6-2",F. Dewulf,F. Mantilla,,,BEL,ESP,6-4,6-2,,,,00:50:00,309,/en/stats/leaderboard?page=serve,,9,70,30,43,90,27,30,54,7,13,0,0,1,9,229,/en/stats/leaderboard?page=serve,1,2,66,37,56,49,18,37,58,11,19,50,4,8,9,79,34,43,48,27,56,62,61,99,52,29,56,21,9,43,38,38,99,A,,,2,,,,,F. Dewulf,F. Mantilla,D228,M535,BEL,ESP,,
496,1996,Marseille,GP,1996-02-12T00:00:00,1996-02-18T00:00:00,Hard,32,514250,$,MS027,R32,01:32:00,,F,2,M605,"6-3,7-6(7)",C. Moya,J. Bjorkman,,,ESP,SWE,6-3,7-6(7),,,,01:32:00,259,/en/stats/leaderboard?page=serve,,6,58,56,96,70,39,56,50,20,40,83,10,12,11,249,/en/stats/leaderboard?page=serve,1,1,57,40,70,65,26,40,57,17,30,40,2,5,10,61,59,96,39,27,70,52,86,166,61,43,70,39,37,96,48,80,166,A,7,5,6,,,,,C. Moya,J. Bjorkman,M605,B446,ESP,SWE,,
496,1996,Marseille,GP,1996-02-12T00:00:00,1996-02-18T00:00:00,Hard,32,514250,$,MS028,R32,01:25:00,,F,2,P226,"6-4,6-4",C. Pioline,K. Kucera,,,FRA,SVK,6-4,6-4,,,,01:25:00,275,/en/stats/leaderboard?page=serve,,3,59,38,64,74,28,38,50,13,26,67,2,3,10,236,/en/stats/leaderboard?page=serve,1,2,43,25,58,64,16,25,58,19,33,40,2,5,10,64,41,64,40,23,58,52,64,122,60,35,58,36,23,64,48,58,122,A,,,1,,,,,C. Pioline,K. Kucera,P226,K237,FRA,SVK,,
496,1996,Marseille,GP,1996-02-12T00:00:00,1996-02-18T00:00:00,Hard,32,514250,$,MS029,R32,01:45:00,,F,3,D214,"4-6,7-5,6-0",M. Damm,J. Apell,,,CZE,SWE,4-6,7-5,6-0,,,01:45:00,297,/en/stats/leaderboard?page=serve,,12,62,47,76,79,37,47,62,18,29,0,0,2,14,231,/en/stats/leaderboard?page=serve,6,6,62,50,81,70,35,50,35,11,31,29,2,7,14,72,55,76,43,35,81,57,90,157,57,46,81,28,21,76,43,67,157,A,,,3,,,,,M. Damm,J. Apell,D214,A176,CZE,SWE,,
496,1996,Marseille,GP,1996-02-12T00:00:00,1996-02-18T00:00:00,Hard,32,514250,$,MS030,R32,01:34:00,,F,2,H336,"7-6(7),6-3",T. Henman,J. Fleurian,,,GBR,FRA,7-6(7),6-3,,,,01:34:00,277,/en/stats/leaderboard?page=serve,,8,67,39,58,77,30,39,47,9,19,33,1,3,10,226,/en/stats/leaderboard?page=serve,1,2,57,48,84,58,28,48,47,17,36,56,5,9,11,67,39,58,46,39,84,55,78,142,54,45,84,33,19,58,45,64,142,A,,,2,7,4,,,T. Henman,J. Fleurian,H336,F031,GBR,FRA,,
496,1996,Marseille,GP,1996-02-12T00:00:00,1996-02-18T00:00:00,Hard,32,514250,$,MS031,R32,02:08:00,,F,3,B350,"6-7(4),6-3,7-6(7)",S. Bruguera,G. Raoux,,,ESP,FRA,6-7(4),6-3,7-6(7),,,02:08:00,299,/en/stats/leaderboard?page=serve,,15,55,59,107,85,50,59,52,25,48,50,1,2,17,283,/en/stats/leaderboard?page=serve,1,11,53,56,105,84,47,56,49,24,49,67,4,6,16,70,75,107,32,34,105,51,109,212,68,71,105,30,32,107,49,103,212,A,,,2,4,7,7,3,S. Bruguera,G. Raoux,B350,R186,ESP,FRA,,
